coef,rank
0.74,1207
-0.0904,6618
-0.239,9530
-0.146,6961
-0.0828,5522
0.0126,4526
0.0471,3104
0.147,1880
0.0683,3358
-0.0782,6885
-0.0432,6766
0.0396,3177
-0.118,9106
-0.206,9497
-0.262,8885
-0.315,7131
-0.11,10066
0.0373,2688
-0.0268,5961
0.0138,4603
0.0092,4830
-0.215,7453
-0.0887,7641
-0.0429,6364
0.495,681
-0.096,7115
-0.102,8755
-0.475,8332
-0.0952,6998
0.0775,2609
0.0782,2975
0.0324,4530
0.33,374
-0.258,8685
0.0379,3542
0.212,65
-0.115,8896
-0.337,10050
-0.0272,5797
0.0987,2419
-0.107,8980
-0.0239,6994
-0.27,9936
0.168,788
-0.00162,4994
0.0334,4090
-0.0605,8427
-0.0749,9296
0.0112,4569
-0.32,10465
-0.0379,5852
0.0273,4266
0.142,1793
0.0547,2382
0.0813,3137
0.159,1942
-0.451,9587
0.181,1703
0.0487,2645
-0.0688,7933
-0.121,7637
0.0515,3448
-0.246,10455
0.15,148
0.093,1712
-0.0835,8709
-0.122,9516
-0.135,9527
0.0219,4434
-0.125,5329
-0.00836,5545
0.00893,4563
0.198,947
-0.194,9212
0.0423,4347
-0.0417,6668
-0.0181,5848
0.00208,4868
0.116,1161
0.256,254
0.154,3537
-0.186,8397
0.113,859
0.0408,3322
-0.104,8317
-0.235,9171
-0.015,5690
0.292,1488
0.0621,1988
0.0228,3820
-0.248,9836
0.138,2002
-0.0639,6387
-0.177,8826
0.306,425
-0.0147,5698
-0.0376,5446
0.0227,4075
0.143,1193
0.185,1022
0.0919,1599
0.18,699
-0.134,9432
-0.0924,6886
0.0101,4756
0.0316,4386
-0.066,6185
-0.00181,5085
-0.184,9183
0.063,3391
0.177,2824
-0.212,9319
0.124,719
-0.0901,9442
-0.0378,6278
-0.117,8710
-0.14,9772
-0.0686,6469
-0.0865,7529
0.00958,4435
-0.0454,7523
0.0414,3175
-0.067,6032
-0.0787,5962
0.0078,4740
-0.0942,6827
-0.325,9827
0.251,484
-0.185,9281
-0.0136,5349
-0.0989,8998
-0.153,9527
-0.16,8300
0.108,1816
-0.193,4806
-0.151,7377
-0.0373,6634
0.0375,3778
0.619,227
0.0811,1705
0.189,1505
0.0351,3945
-0.195,9782
-0.089,8516
0.00643,4844
-0.0982,7381
0.00787,4673
-0.157,8232
0.1,2242
0.117,1086
-0.394,7916
0.214,890
-0.0118,4849
-0.0417,6293
-0.161,9149
0.0431,3677
-0.114,7176
0.263,277
0.264,584
0.0387,3872
0.0451,3986
-0.0245,6597
0.0617,3340
0.0554,3802
-0.0237,6201
0.0154,4554
0.103,2461
0.0226,4275
-0.0823,7134
0.0559,3693
-0.024,6272
0.238,92
-0.0535,8709
-0.0154,5568
-0.0504,7223
0.121,2099
0.89,50
0.13,230
-0.0128,5516
0.194,1194
0.0968,1699
0.0861,1830
-0.107,9688
0.102,257
0.0488,3514
0.0338,3621
0.00658,4883
-0.045,7027
-0.0992,6083
-0.0768,8209
-0.0382,5960
0.00822,4571
0.192,538
-0.157,8636
0.153,2556
0.0577,2929
0.0396,3930
0.121,2938
0.0558,2370
0.0811,3220
-0.231,9995
0.021,4480
-0.0134,5660
-0.0858,7132
0.328,333
-0.294,9924
0.0119,4420
-0.108,7569
-0.124,9414
0.00574,4868
0.0226,4346
-0.272,10020
-0.032,5585
0.146,1689
-0.0264,6707
0.0778,2050
0.265,400
-0.0678,6982
-0.258,9034
-0.475,6982
-0.00291,5223
-0.0431,7202
0.034,3210
0.259,847
0.252,1788
-0.143,8343
0.143,1129
-0.0562,7741
-0.0405,7459
-0.0623,6133
0.00914,4714
-0.0254,5366
0.11,3036
0.0186,3882
0.305,280
0.313,335
-0.326,8440
-0.0914,7434
-0.0301,5516
-0.105,6220
-0.0187,5291
0.0989,1754
0.0618,3122
0.0117,4589
-0.117,8840
-0.18,9390
0.0186,4751
-0.0687,7580
0.0386,4079
0.0147,4470
0.105,760
0.0949,3357
-0.235,8487
0.00312,4781
-0.347,9259
-0.00891,5472
0.052,2885
-0.186,10064
0.173,1166
-0.147,8840
-0.286,10168
0.14,744
-0.272,10317
0.0582,3594
-0.163,9676
0.0754,2891
-0.392,9325
0.104,2919
0.0453,2250
0.0718,3083
-0.0138,5472
0.0351,3964
0.118,1845
-0.152,9336
0.126,2447
-0.0258,6003
-0.0669,7048
0.19,1586
0.0148,4601
-0.103,8185
0.0112,4610
-0.259,10083
0.441,151
0.017,4479
-0.101,7803
0.0893,1350
-0.122,8243
-0.0388,5919
-0.0461,6060
-0.0717,6348
-0.124,7185
-0.0267,6627
0.0427,3597
0.0399,4388
0.0223,4365
0.182,1680
-0.0866,6789
0.0691,2873
0.0546,3033
0.0727,3085
-0.00129,5012
0.0652,3520
-0.092,6094
-0.00501,5140
-0.136,8109
-0.00898,5496
-0.185,7285
0.191,1722
0.158,594
0.0759,1618
-0.106,8612
-0.00365,5222
0.103,3185
-0.122,7264
0.148,1747
-0.00562,5306
0.045,4134
-0.0912,6512
-0.0592,7034
-0.178,8689
0.136,3162
-0.0373,7024
-0.0169,5869
0.00544,5039
0.157,1511
-0.172,10386
0.753,534
0.152,448
0.147,605
0.0643,3654
-0.253,9949
0.189,1527
-0.261,4725
0.0915,1791
-0.00794,5567
-0.138,9214
0.0763,2111
0.145,983
-0.452,10332
