coef,rank
0.831,1003
0.0639,3687
0.346,404
0.184,2629
-0.432,9137
0.116,2095
-0.00627,5302
0.0386,3946
-0.281,9971
0.0445,3915
-0.031,6311
-0.0208,6106
-0.0756,7958
0.0557,3834
-0.241,8611
-0.348,7576
-0.039,7557
-0.0333,7345
0.057,3232
0.0486,3502
0.196,1535
-0.351,9086
-0.109,8160
0.145,1389
-0.263,8644
0.0178,4663
0.161,681
0.276,2786
-0.143,7923
-0.0151,5701
0.0829,2879
-0.559,10325
-0.0168,5427
0.361,985
0.0493,3158
0.0727,1812
0.136,1180
-0.101,6869
0.269,430
-0.264,10154
0.0885,1671
-0.011,6134
-0.0456,6120
0.0251,4267
-0.0462,6106
-0.209,9206
0.00542,4552
0.00499,4702
-0.0812,6659
0.14,1236
-0.054,6341
0.132,2287
0.175,1264
-0.0761,8804
-0.0544,6875
-0.00943,5231
-0.168,6366
-0.0448,6041
0.09,1221
-0.0156,5730
0.0146,4624
-0.212,9802
0.0555,2892
0.0897,1002
0.0151,4405
0.024,4049
0.148,730
6.09e-05,5065
0.0309,4178
-0.12,5292
-0.141,9953
-0.143,9512
0.223,714
0.249,809
0.205,1621
0.014,4715
-0.111,9000
-0.00777,5256
-0.0869,8715
-0.128,9158
-0.611,10082
-0.0283,5305
0.0764,1778
-0.0902,8581
0.327,83
0.259,1186
0.0183,4533
-0.115,6622
-0.125,9987
0.068,1672
0.173,1719
-0.3,10290
0.13,2721
0.215,1377
-0.0164,5620
0.0437,3142
-0.251,9234
-0.00275,5236
0.332,58
0.114,2073
-0.0175,5876
-0.145,9429
-0.0275,6203
-0.197,8878
0.0101,4754
0.141,2393
0.0843,3366
0.256,676
-0.152,8640
0.183,1328
-0.287,8515
0.114,2243
0.00133,4949
-0.0908,9462
-0.0884,7638
-0.00181,5137
-0.113,9254
-0.0693,6484
0.144,1704
-0.0337,6694
0.0485,3067
0.0578,2529
0.116,3027
0.0828,3791
0.0663,2360
0.437,461
0.0559,3803
0.0995,2317
0.396,86
-0.302,10379
-0.0175,5816
0.249,321
-0.172,8501
0.09,2282
-0.263,5305
0.151,2687
-0.0609,7562
-0.232,10336
-0.173,7361
0.00266,5021
0.0379,4156
0.111,2296
-0.12,8405
0.0385,3717
-0.0855,7046
-0.172,8790
0.00258,4901
-0.103,7171
-0.116,8518
-0.125,9666
0.47,1754
0.279,409
-0.378,9870
0.00695,4728
0.171,1197
-0.136,9164
-0.154,7869
-0.143,9132
-0.105,7594
0.13,1816
-0.159,8862
-0.0401,7484
0.145,1575
0.00245,5147
0.000757,5130
-0.19,10371
0.0535,3720
-0.0206,6139
-0.136,8460
0.372,728
0.0852,2395
-0.0283,6475
0.0232,3568
0.0167,4477
0.0429,3158
0.313,282
-0.265,8701
0.0336,3110
-0.0594,7435
-0.0263,5709
-0.081,8352
-0.0704,8242
0.0716,1789
-0.0467,8857
0.175,725
-0.0113,5511
0.0842,2942
0.0332,3888
-0.215,7567
-0.0169,5968
0.0165,4175
-0.0017,5317
-0.076,7737
-0.0267,5622
-0.196,8250
-0.11,9186
0.132,1755
0.368,633
-0.136,10190
-0.246,9437
-0.14,8688
0.14,2575
-0.056,7695
-0.137,8322
-0.0226,5638
-0.0351,5833
0.217,506
-0.245,9795
0.0682,2433
0.143,667
0.145,884
0.139,2191
-0.165,8731
-0.0633,6568
0.0541,1803
0.0193,4235
-0.186,9736
0.0814,2775
0.333,948
-0.145,4111
0.193,1011
0.0816,1692
-0.0115,5948
0.129,2383
-0.499,10380
-0.19,9198
0.00121,4985
0.0128,4292
0.093,1161
-0.0859,6606
-0.146,9058
-0.239,9229
0.0821,3536
0.0959,742
-0.212,9674
-0.244,9914
-0.0661,5353
-0.0536,6423
0.0513,3832
0.151,3102
0.431,696
0.0245,4138
0.11,1839
0.0135,4529
0.11,1672
-0.00145,4736
0.641,32
-0.0566,7163
-0.215,9526
0.0203,4243
0.038,3030
-0.399,10250
-0.184,7758
-0.305,9722
0.291,1841
-0.0819,7832
-0.083,8093
0.233,239
-0.0246,5856
0.0577,3638
-0.121,7966
0.0727,2189
-0.0345,6251
-0.342,10130
-0.0374,6378
0.0262,4172
0.0129,4476
-0.0268,5730
-0.0216,6810
-0.13,8610
0.0705,2792
-0.0528,5978
0.0715,2954
0.152,1136
-0.0903,7192
-0.08,7686
-0.0216,5668
0.109,2839
0.408,13
-0.179,9690
-0.0988,7019
0.436,81
0.0546,3838
0.0784,3070
0.151,1586
0.057,2405
0.0364,3898
0.122,2282
0.125,2277
-0.178,8493
0.0459,4164
0.0621,2330
-0.00701,5651
0.159,2712
0.0493,3421
0.0444,4180
-0.373,10098
0.0693,2865
-0.0755,7744
0.00833,4722
0.0778,2784
-0.247,9936
-0.544,10301
-0.0569,7712
0.165,2132
-0.0172,5808
-0.402,9805
-0.234,9350
0.2,247
0.13,441
-0.0347,6325
-0.121,8333
-0.159,7648
0.541,143
-0.105,7842
0.343,1074
0.0821,3301
-0.212,8638
-0.0559,6916
-0.0981,7181
-0.0208,5322
-0.0385,7085
0.325,40
-0.0434,6978
0.0626,3396
0.0956,998
0.136,3464
0.0515,3042
-0.0245,6196
-0.1,7177
-0.121,7957
0.143,2156
-0.409,6172
0.083,2039
-0.0545,7641
-0.0233,5898
0.000213,5045
0.00232,5113
-0.338,9855
-0.0359,6915
-0.193,4328
0.319,768
-0.101,9781
-0.0709,8778
-0.0898,7167
-0.000718,5105
-0.144,8805
0.0339,3829
-0.0015,4493
-0.992,9617
-0.307,5771
-0.965,10322
-0.237,9500
0.6,64
-0.0917,7956
-0.0786,6797
0.0631,2150
-0.0907,9602
-0.398,7850
0.222,1572
0.0191,4403
0.36,1553
-0.0393,6118
0.101,1045
1.08,19
-0.0763,6752
0.0035,5066
-0.0312,6099
-0.325,10236
0.0306,3814
0.00177,4982
0.0312,4474
-0.17,9112
-0.0306,5377
-0.11,7592
0.0871,2139
0.441,176
-0.0629,8698
-0.00997,5386
-0.371,8552
-0.257,10406
-0.0787,7686
0.0543,3558
0.101,2238
0.025,4522
-0.158,9200
-0.086,7950
-0.0345,6317
-0.112,8326
0.0264,4517
0.053,3423
0.0842,3443
0.329,320
0.0696,2777
-0.107,6782
-0.11,8771
-0.0139,5490
0.127,1853
-0.182,9821
-0.0967,8640
0.132,1558
0.0353,4176
0.116,2509
0.434,1604
0.0142,3480
0.0779,2290
-0.103,7111
-0.3,9942
0.266,773
0.27,718
-0.0515,7258
-0.0193,6249
-0.0171,7656
-0.0763,7673
-0.139,7310
