coef,rank
-0.968,10412
0.0192,4486
0.173,1743
-0.131,6738
-0.642,10148
-0.149,8695
0.119,1117
-0.0832,6934
-0.237,9566
0.0311,4230
0.348,60
-0.238,10464
0.106,1715
0.497,83
0.534,354
0.325,2569
-0.0308,7106
0.0492,2117
0.18,769
0.135,1455
-0.0436,6036
-0.105,6061
0.154,1326
0.108,2117
0.263,1904
-0.102,7247
-0.115,9104
-0.132,4589
0.223,1364
-0.059,7270
0.104,2446
-0.126,6657
0.02,4473
0.146,2844
0.022,4095
-0.0746,8583
0.0672,2863
-0.338,10056
-0.139,8643
-0.0424,6116
0.0741,2054
-0.0548,8667
0.0158,4704
0.27,129
0.0235,4354
-0.0828,6764
-0.0411,7413
0.0332,2946
-0.215,9117
-0.0802,7669
0.032,3922
-0.353,10319
0.11,2381
-0.153,10275
0.353,172
-0.311,10213
0.336,1601
-0.0245,5583
0.0599,2194
-0.0834,8421
-0.113,7457
-0.0143,5276
-0.0898,8765
0.0565,2091
-0.138,9646
0.0667,2395
0.0245,4212
-0.0647,7585
0.131,1901
-0.358,7806
-0.141,9955
0.000536,4889
-0.0518,6448
0.0685,3303
-0.0309,5854
0.206,638
-0.145,9686
0.105,1668
0.106,1358
-0.0313,6373
-0.255,7619
0.335,589
-0.032,6886
-0.0205,5864
0.273,235
0.0433,4143
0.186,705
-0.578,10432
0.227,18
0.108,640
-0.137,8243
0.017,4639
0.0611,3862
0.128,2564
0.491,47
-0.0892,8652
-0.00507,4785
0.144,649
-0.0429,6642
0.0809,2779
0.155,508
-0.0224,5904
0.0205,4303
-0.211,9096
0.171,2474
0.295,745
0.0634,3712
-0.315,10314
-0.01,5128
0.128,2138
0.329,1560
-0.129,7851
-0.131,9974
0.053,2240
-0.0965,7846
0.196,644
0.0932,1620
-0.202,9261
0.0361,4099
0.0563,2294
-0.0588,8095
0.144,525
0.358,725
-0.216,7881
-0.0282,6352
0.00894,4807
-0.141,7453
-0.0323,5797
-0.192,9385
0.207,804
-0.137,9812
-0.044,6880
-0.155,8230
0.0377,3870
-0.579,7621
-0.0189,5170
-3.52e-05,5135
0.124,1405
-0.114,6391
0.0631,2338
0.0743,3324
-0.0316,5724
-0.171,9419
-0.115,9184
-0.0696,6654
-0.0778,6907
-0.00683,5335
0.302,658
0.0242,4233
0.0975,1498
-0.543,9222
0.00883,4962
0.121,2885
0.241,476
0.0856,2582
0.096,2234
0.485,214
-0.12,8621
-0.0922,7239
0.0202,4382
0.0424,4051
-0.0782,9148
-0.256,10205
0.142,2143
-0.0167,5926
-0.0964,9135
0.0358,4174
-0.0138,5833
-0.128,8283
-0.104,6489
-0.138,9540
0.12,1149
0.0437,2318
-0.163,9591
0.201,199
-0.247,9914
-0.258,8625
-0.0415,7793
0.103,1538
0.0585,3606
-0.224,10404
-0.0839,8668
0.0606,2195
-0.0199,6987
0.0159,4640
0.0966,1654
-0.0516,6462
-0.0176,5941
-0.131,6458
-0.202,10295
0.053,3112
0.0429,2284
-0.124,9028
0.176,1498
0.192,2107
-0.0739,8163
0.276,292
0.164,2350
0.0129,4462
0.092,3012
-0.067,6762
0.426,387
0.103,1162
-0.153,8611
0.236,860
-0.155,8256
-0.29,10389
-0.0376,5845
0.324,15
-0.111,9293
-0.0426,6996
-0.0274,5769
-0.0286,5482
0.0659,3134
-0.0842,9583
-0.099,8909
0.195,965
-0.12,8360
-0.243,8862
1.76,648
0.129,1915
0.123,753
-0.0549,8394
-0.0125,5403
-0.344,9796
-0.382,10424
0.182,634
-0.126,9854
0.235,25
0.00971,4597
0.0955,2337
0.172,1967
-0.121,7624
-0.101,9912
-0.0092,5254
0.337,261
0.145,3124
-0.146,8598
0.143,2259
-0.178,7180
0.408,821
-0.0629,7627
0.0468,3568
0.0466,3428
-0.143,9407
-0.118,8162
-0.037,6028
-0.13,9253
0.1,2766
-0.124,9415
0.0264,3611
-0.0726,6291
0.421,626
0.11,2938
0.0616,4050
-0.0451,6685
-0.0721,7719
0.064,2817
0.104,2286
-0.00555,5367
-0.0557,6312
-0.126,9410
-0.0299,6121
0.328,628
-0.0341,6261
-0.0379,5873
0.714,312
-0.0698,6747
0.0722,1128
0.0454,3742
-0.0203,5705
-0.225,9397
-0.0398,6496
-0.189,9916
0.324,456
0.0658,3047
-0.0194,5602
0.223,1217
0.069,2940
-0.0452,6472
0.211,1290
0.229,842
-0.322,10187
-0.0885,7144
0.0357,3971
0.0263,3771
0.0142,4513
0.203,1203
-0.175,8824
0.136,2303
0.557,282
0.0537,2628
0.0429,3584
-0.0282,5474
0.223,299
-0.0174,5592
-0.123,7369
0.0812,2574
0.0297,3873
-0.0749,7043
-0.0374,6152
0.275,566
-0.139,6710
-0.0366,6781
0.204,1603
0.214,266
-0.391,9719
-0.29,9910
0.213,185
0.0173,4240
-0.071,7572
-0.0586,6763
-0.336,9803
-0.152,7753
0.163,1501
0.327,1196
0.269,795
-0.256,9236
-0.0479,6646
-0.257,9711
-0.191,7784
-0.04,7164
-0.123,9157
0.0943,2003
0.00239,4929
-0.00653,5298
-0.113,5736
-0.0219,6437
0.00443,4861
-0.235,9461
0.176,1402
-0.0588,6288
-0.962,9856
0.169,487
0.0854,1756
0.161,986
-0.0149,5716
0.13,1214
-0.0218,5254
0.0436,2958
0.0487,2990
-0.217,9041
0.0294,3383
-0.0997,9679
0.0213,4600
-0.0144,5760
-0.208,9786
-0.664,7797
0.0938,3730
-0.451,6488
0.201,2913
-0.349,6859
-0.205,9114
0.367,527
-0.222,10068
-0.00253,4890
0.0508,2619
-0.149,10384
0.367,2460
0.172,2157
-0.00161,4861
-0.255,7614
-0.151,8988
0.0716,1863
0.0697,3741
-0.00505,5048
-0.0152,5748
-0.161,9632
0.177,1755
0.159,508
-0.0578,6736
-0.226,9442
-0.262,10156
-0.116,6975
0.0795,2968
0.236,158
-0.0423,5981
-0.0242,6789
-0.273,10222
-0.78,10412
0.019,4517
0.0204,4006
-0.0351,6182
0.0315,4055
-0.121,7227
0.0611,3510
-0.114,8708
0.118,1413
-0.196,9822
-0.387,10192
-0.0897,7896
-0.0418,5641
0.313,393
-0.0408,6825
0.0768,3708
-0.0615,7341
-0.173,8903
-0.149,8992
-0.199,10009
0.272,87
-0.101,8399
-0.236,9189
0.0989,2815
-0.239,7218
0.0847,94
0.0226,4228
-0.165,8338
-0.0819,6789
0.0575,3775
0.133,2368
0.0461,3016
-0.0391,7579
0.0242,1825
-0.0293,6151
0.0605,3892
-0.112,8355
0.0546,3820
0.136,483
-0.247,10153
-0.387,10436
-0.215,9875
-0.242,9534
0.00901,4607
-0.109,9167
0.233,578
-0.115,7513
0.233,944
-0.0963,7785
-0.0626,8113
0.0206,4465
0.0447,4219
-0.134,8874
0.0142,4981
0.0227,4454
-0.238,9645
0.279,97
0.00721,4718
0.000309,4314
0.257,1132
-0.0653,6513
-0.0841,6034
-0.0229,6200
0.222,578
-0.0457,5929
-0.318,8948
0.0975,2998
-0.0776,6629
0.012,4683
-0.142,7473
-0.172,7806
-0.165,9314
0.0765,3196
0.0555,3425
-0.174,10112
-0.0611,8608
0.351,212
-0.0198,5699
-0.0139,5484
0.153,1343
0.00623,4719
-0.246,9732
0.114,2312
-0.235,9314
-0.0151,5475
-0.0736,7079
-0.0257,6242
0.00304,5117
-0.109,7729
-0.115,7989
-0.038,6701
0.0817,2484
-0.00858,5338
-0.209,9279
-0.162,9878
-0.0848,6316
-0.0407,6209
-0.226,10088
-0.0951,8833
0.303,1239
0.0233,4452
0.297,508
0.483,88
0.213,613
0.0708,2711
-0.00372,5312
0.13,1101
-0.0676,7806
-0.0795,7600
-0.00447,5089
-0.0348,8763
0.0468,3482
0.104,1608
0.277,1652
-0.177,7449
-0.171,10026
0.0339,4076
-0.0118,5708
-0.0801,7315
0.032,4254
-0.151,7933
-0.0331,6446
-0.0472,7670
-0.0106,5592
-0.562,10457
0.0383,3834
-0.123,6717
0.163,2380
-0.164,8248
0.00205,4993
-0.227,7357
0.236,1562
0.383,591
-0.248,8032
-0.112,9672
0.116,1264
-0.136,9554
0.214,524
-0.00308,4834
-0.123,8424
0.242,53
-0.159,9415
0.615,259
0.0242,4509
-0.218,9296
-0.0967,6194
0.0158,4460
0.213,483
-0.203,9708
-0.0664,7473
-0.0907,8005
-0.123,8040
-0.0035,5435
-0.037,7517
-0.233,5838
-0.641,8762
-0.112,5729
0.218,799
-0.0171,5341
0.027,4297
-0.237,9684
-0.202,9054
0.156,1281
-0.186,9969
-0.302,10243
0.106,2377
0.0176,4697
0.414,1710
-0.102,5433
0.195,308
-0.078,6805
-0.0208,5860
0.0609,3713
-0.0706,6771
-0.123,8611
-0.074,7188
-0.0673,6760
0.0762,2830
-0.166,9967
-0.2,9464
0.0976,2306
0.131,912
0.125,1325
0.00056,5055
0.247,308
-0.19,9032
0.122,1027
-0.0237,6209
-0.0208,5596
0.15,1566
-0.15,9071
-0.133,8869
0.37,183
0.147,1325
0.151,354
0.0247,4449
0.138,1280
0.427,331
0.366,1255
-0.177,10110
-0.129,8624
0.44,273
0.0325,3724
