coef,rank
0.116,3683
-0.0507,5851
0.0525,3680
-0.00892,4983
0.347,1993
-0.0761,6925
0.019,4204
-0.0288,5560
0.136,2131
0.0138,4652
-0.138,9385
-0.0222,6159
0.0543,3186
0.114,2611
-0.149,7261
0.513,1733
-0.0343,7310
-0.104,10077
0.229,373
0.299,135
-0.0335,5800
0.729,312
0.145,1452
0.163,1109
0.264,1887
0.435,216
0.0419,3507
-0.163,4816
0.152,2224
-0.0183,5814
0.0554,3551
-0.209,7840
-0.265,9991
-0.00647,4918
0.12,1358
-0.00248,5173
0.0161,4611
-0.311,9877
0.0439,3757
0.0705,2993
-0.0754,7948
0.0757,1206
-0.00909,5255
0.0991,2074
-0.0636,6582
-0.103,7217
0.102,579
0.0381,2704
0.115,2621
-0.159,9552
0.19,952
-0.369,10358
0.00598,4961
0.0177,4181
-0.0267,6096
-0.198,9176
-0.131,5943
0.334,466
0.0258,3721
-0.108,9169
-0.0384,5775
0.0142,4461
0.119,1090
-0.107,9955
-0.0662,7728
-0.134,9839
-0.0536,7549
0.162,661
-0.222,9967
0.17,3087
-0.11,9413
0.034,3637
-0.028,5780
0.115,2443
-0.174,8694
-0.0867,8042
-0.0096,5485
-0.111,8802
-0.0148,5812
-0.00753,5496
-0.516,9712
-0.273,9487
-0.0415,7337
-0.147,9836
-0.183,9769
0.00954,4803
0.0631,3101
0.267,1656
-0.105,9671
-0.0691,8864
0.0648,3602
0.0219,4505
0.00402,5007
0.0496,3975
-0.372,10421
-0.209,10387
0.0101,4486
-0.0682,8031
-0.139,9304
-0.169,9290
-0.107,9233
-0.0631,7368
-0.00662,5364
0.0971,2947
-0.213,8458
-0.278,9875
-0.144,7651
-0.0413,6091
-0.1,7492
-0.0324,5854
0.239,2224
-0.0807,6650
-0.16,10281
-0.0279,6736
0.00199,5149
-0.17,9700
0.087,1780
0.0129,4448
-0.131,8607
0.0818,1422
-0.0822,8890
-0.0452,7336
0.139,2700
-0.433,10003
-0.191,10334
0.202,1943
0.132,2658
-0.0625,6681
0.271,479
0.142,1617
0.135,753
-0.0191,6055
-0.0928,7034
-0.152,9712
0.227,2695
-0.00665,4976
0.0928,1853
-0.0478,6858
-0.409,9957
-0.0366,6985
-0.133,7990
0.151,1674
-0.0807,7418
-0.0443,6984
-0.375,10398
-0.159,8552
-0.0803,8399
0.0286,4347
0.227,482
0.0954,1566
-0.258,6512
-0.13,8674
0.428,497
0.279,288
0.118,1923
0.0451,3596
-0.204,8652
0.0205,4351
0.354,203
0.37,104
0.0146,4713
0.0323,3129
0.044,3771
-0.0058,5373
0.0277,4006
-0.00464,5503
-0.0624,7035
0.0372,3648
0.2,913
-0.179,7845
0.037,3899
0.123,1101
0.0958,484
0.095,2141
-0.0466,7057
0.061,3288
0.0254,4557
0.0226,3698
-0.00286,5076
0.11,2551
0.0509,3095
-0.137,9792
-0.0973,9437
-0.0369,8301
-0.186,10107
-0.0874,8414
0.0666,3337
0.175,532
-0.282,8420
0.0141,4686
-0.0181,5295
-0.0997,10088
0.198,482
-0.122,7933
0.0241,4453
-0.0209,6065
-0.0882,7686
0.119,2972
0.0516,2554
0.0837,3175
0.0653,3017
0.297,1002
-0.00263,5130
0.00402,4873
-0.183,9100
0.134,2470
0.125,1633
0.238,850
0.166,509
0.0359,3542
-0.032,6565
-0.166,8796
-0.148,8415
-0.137,8353
-0.0495,8124
-0.0633,7761
0.182,1122
0.0669,3103
0.457,379
0.0855,2961
0.212,806
0.00867,4679
0.0223,3864
-0.0417,6131
0.59,318
-0.0317,5709
0.0211,4280
-0.139,10052
-0.117,9940
-0.276,9709
0.107,2073
0.14,2434
0.471,171
0.0878,903
0.0482,3694
-0.04,6169
0.119,3380
-0.0673,6804
0.0345,4176
-0.341,9035
0.512,403
0.0508,3190
0.135,1320
-0.0889,8046
-0.212,10207
-0.0327,5699
-0.135,8191
-0.114,8912
0.413,189
0.00248,4980
0.139,277
-0.0407,5696
0.112,3124
0.164,2192
0.53,733
-0.203,10064
0.0132,4323
-0.034,6310
0.115,2061
-0.0444,6448
0.0539,3570
-0.0292,6155
0.0344,4174
-0.331,10063
-0.0737,7590
0.237,609
-0.0796,5541
-0.218,9455
-0.0398,7932
0.0552,3481
-0.216,10181
0.0195,4328
0.332,74
-0.161,9527
-0.151,8475
0.158,1184
0.1,2260
-0.00317,5196
0.0651,3056
0.103,1988
0.221,1178
0.00702,4939
-0.0859,6942
0.021,4381
0.0874,2726
-0.0363,7048
0.208,836
0.0555,3620
0.0998,2743
0.108,2748
0.233,1741
0.000649,5206
0.0745,2470
-0.232,8767
0.0476,3474
0.048,4113
0.398,653
-0.055,6896
-0.0341,6234
0.0641,3293
0.0335,4008
