coef,rank
-0.597,9534
0.000391,4847
-0.224,9311
-0.331,9187
-0.0562,5235
0.0905,2602
0.053,2882
0.00114,4835
0.321,405
0.169,1621
-0.178,9988
0.0156,4318
0.0807,2390
0.129,2326
0.156,2723
-0.257,6411
-0.0695,9012
0.0586,1690
-0.105,8387
-0.00337,5155
-0.0527,6245
0.38,1358
-0.191,9721
-0.201,9904
-0.345,9482
-0.0011,5082
0.00558,4904
-0.393,7374
-0.159,8225
0.05,3402
-0.337,10436
-0.165,7230
0.0222,4421
-0.205,7977
0.146,940
-0.0481,7519
0.209,380
0.221,1573
-0.1,7814
0.0289,4052
0.0192,3978
0.131,214
-0.329,10274
0.0179,4545
-0.113,7824
-0.147,8153
-0.0306,6843
-0.0103,5783
-0.0698,6396
-0.0541,6849
-0.104,7680
0.00485,4739
-0.136,8671
-0.00542,5388
0.0329,4416
0.123,2513
-0.545,10086
0.296,667
-0.0327,6961
-0.00854,5443
0.339,437
-0.135,8594
-0.0279,6447
0.0247,3728
0.029,3834
-0.0681,8180
-0.0261,6402
0.144,933
0.0481,3709
0.225,2728
-0.0569,7708
-0.0953,8349
-0.241,10025
0.198,1256
0.1,3197
-0.0206,5969
-0.0422,6799
0.0134,4454
-0.00471,5319
-0.0879,8224
-0.279,7851
-0.188,8427
-0.0652,8420
0.0322,3631
-0.025,5863
0.481,191
0.0718,2842
0.194,2309
-0.165,10336
-0.0209,6459
0.22,1185
-0.11,7936
0.0194,4688
-0.186,8963
0.335,293
0.0962,1484
-0.00842,4852
0.174,343
0.00684,4872
0.139,1634
-0.0703,8136
0.21,428
-0.0638,7565
-0.222,9222
-0.16,7699
0.432,202
-0.117,7159
0.333,299
0.381,112
-0.0238,5618
-0.247,8003
-0.12,7663
-0.125,9863
0.0532,2230
-0.000203,5209
-0.0164,5667
-0.145,9859
0.105,2469
-0.207,9820
-0.00268,5089
0.0219,4247
0.0534,2694
-0.0492,5742
-0.16,7100
0.0554,2772
0.479,354
-0.207,8520
0.0682,3024
0.0544,3542
0.302,254
0.115,1115
0.304,128
-0.184,8722
0.0843,2448
-0.0913,4143
-0.403,10099
-0.0362,6600
0.433,3
-0.125,6541
-0.06,8089
-0.199,9100
-0.123,7967
-0.031,5835
-0.083,8351
-0.0144,5292
-0.235,9694
0.0791,1941
0.423,217
-0.135,8908
0.0622,2521
-0.261,6540
-0.173,9449
-0.111,6541
0.126,1829
0.141,1598
0.0801,2640
0.0583,3920
0.26,293
0.0294,4180
0.175,1142
0.075,3306
0.024,3589
0.195,915
0.0454,4035
-0.0608,7709
-0.0528,7679
0.11,2336
0.0491,3219
0.0936,2523
-0.0463,5416
-0.0504,7274
0.0284,3954
-0.00438,5515
0.0534,3319
-0.082,8407
0.0424,3721
0.37,1088
0.0689,1457
0.0769,2229
0.193,1210
0.0573,2847
0.0143,4514
-0.124,9965
-0.00662,5817
-0.0123,5683
-0.00592,5302
-0.182,9297
-0.284,10465
-0.0777,5799
0.0838,2261
-0.262,10302
-0.0933,9983
-0.0328,6268
-0.079,6925
-0.359,9989
-0.0293,6415
0.0929,2560
0.0572,3961
-0.108,9802
-0.00897,5027
0.00116,4754
-0.276,9494
0.0495,2757
0.227,923
-0.14,8354
0.0369,4291
0.0397,3604
0.0154,4514
0.0755,2228
0.0897,1711
0.0293,4078
-0.0654,6702
0.0722,3035
-0.101,7546
0.00133,4884
-0.0865,8529
-0.0706,7445
0.0742,2936
-0.316,9579
1.54,838
-0.284,10342
-0.0711,8362
0.00673,4785
-0.192,9153
0.105,3350
0.199,1171
0.0229,4212
-0.128,9874
0.186,97
0.0283,4211
0.305,129
0.303,807
0.207,1646
-0.0246,6657
0.196,1037
0.297,396
0.352,1647
-0.0739,6981
-0.0365,5667
-0.222,7730
-0.171,7751
-0.069,7848
-0.283,10447
0.163,926
0.0925,2039
0.0425,3509
0.115,2765
-0.125,9131
0.0685,3440
0.234,165
-0.131,10220
-0.113,7034
-0.125,6843
-0.301,9693
0.0514,4198
-0.0974,8266
0.23,149
-0.0615,7302
0.191,919
-0.103,7938
0.0484,3687
0.0906,1724
0.186,1051
0.0137,4513
0.0129,4597
-0.0596,6503
-0.211,7260
-0.161,8613
-0.122,10350
-0.0679,7049
-0.189,9894
-0.00985,5006
0.243,324
0.194,649
0.349,359
-0.169,9620
-0.0169,5522
-0.184,8879
-0.169,9744
0.0883,2337
-0.047,5902
-0.0164,5560
0.207,1367
-0.149,8532
-0.085,7388
0.107,941
-0.0792,7194
0.107,2534
-0.014,5278
0.196,1498
-0.245,8990
0.0347,3465
0.0787,2328
0.148,2856
-0.0558,7301
0.0677,3706
-0.00872,5326
-0.172,9669
0.0194,4224
-0.0822,7215
-0.186,9613
-0.158,8809
0.164,2848
0.115,778
0.0233,4734
-0.0789,8115
-0.432,9977
-0.321,10123
0.00734,4692
0.06,2171
0.0432,3510
0.0146,4708
0.0157,4562
0.175,2097
-0.0259,5771
-0.233,8833
0.04,4244
-0.0536,5818
0.414,14
-0.227,9378
-0.0236,5360
0.0682,2200
0.142,1072
0.084,2260
-0.116,8164
-0.143,10210
-0.489,9571
0.0611,2647
0.0523,2849
-0.0159,5389
-0.105,7602
0.0515,3750
-0.254,4666
-0.0568,7610
-0.0597,7844
-0.0219,5848
0.0733,2216
0.0854,2210
-0.229,8740
0.0175,4158
-0.514,7848
-0.0224,5510
0.00416,4874
-0.0843,9248
0.0361,4249
0.0124,4392
-0.128,8472
0.237,2998
1.12,267
-1.34,10290
0.56,2058
-0.512,8386
-0.0599,6221
0.0588,3900
0.169,1152
-0.0651,6470
0.0926,1153
0.0814,1034
-0.653,9762
-0.0208,5369
-0.141,7848
-0.342,8739
0.262,393
0.0352,3298
-0.155,6835
0.122,2484
0.381,22
0.0859,2220
0.0235,4521
0.0835,1940
0.00182,4981
-0.119,7716
0.0375,3962
0.45,367
0.115,2324
0.0134,4602
-0.0395,5905
0.0842,1189
-0.119,8215
-0.383,8676
-0.0711,7811
-0.00746,5038
-0.0528,6720
0.0432,3717
0.206,1822
-0.107,8176
0.147,1386
0.0862,2126
0.122,1787
0.28,1138
0.12,1792
0.132,2748
-0.104,7692
0.0201,4485
0.158,2590
-0.143,9451
0.209,1327
-0.0911,7674
0.0921,2376
-0.116,9130
-0.0942,8240
0.3,816
0.311,447
-0.0127,4854
-0.0571,9949
0.155,723
-0.271,9766
0.188,1907
0.00524,4946
-0.211,9520
-0.0589,7576
-0.0371,7460
0.0222,2036
0.0649,3136
-0.0644,6044
-0.0561,6809
-0.0167,5322
0.0856,1516
0.277,359
-0.178,9015
-0.0297,6153
0.209,1421
0.391,350
-0.0518,7331
0.0109,4888
0.348,457
-0.0974,7461
0.199,850
0.0182,4316
-0.0189,6093
0.0501,4088
0.0482,3526
0.0236,4785
-0.0292,6358
0.0844,2902
-0.00461,5270
0.155,161
-0.0788,5050
-0.0247,5302
0.176,1849
0.34,1315
0.178,335
0.0291,4124
0.254,830
0.178,2822
-0.304,9980
-0.267,9643
-0.0484,7114
0.291,1146
-0.0724,6099
-0.0136,5690
0.0137,4624
-0.00911,5411
0.000457,5001
0.0199,3747
-0.215,9603
-0.0631,6915
0.221,995
-0.119,8957
0.0584,2750
-0.122,7806
0.0749,3089
0.817,20
-0.121,8234
0.301,221
-0.00124,5346
-0.13,9228
0.232,669
-0.19,9326
0.0119,4560
-0.0413,6181
-0.0776,7412
-0.0919,7183
0.00297,5206
-0.202,8291
-0.0905,7784
-0.0956,7841
0.0939,1532
0.0993,3407
0.0823,2406
0.175,1576
-0.0564,6390
0.318,119
-0.0307,6474
-0.0579,7859
0.0683,2660
0.0294,3747
-0.0509,6629
0.0303,4045
0.0109,4123
-0.112,8578
0.124,1179
-0.216,8381
-0.0519,5554
-0.0133,5692
0.00242,5116
0.143,1159
-0.00147,5024
0.0432,3956
-0.0969,6956
0.0616,2905
0.117,399
0.122,1212
0.029,4427
-0.0697,7249
-0.343,9447
-0.0474,5883
0.419,286
-0.0667,8175
-0.271,7902
-0.173,7953
-0.175,8259
-0.212,7537
0.135,432
0.164,533
0.083,2193
0.0723,2727
0.358,482
-0.0209,5851
0.0125,4440
0.14,1404
-0.0773,6231
-0.0298,5748
0.0767,3399
-0.016,5095
0.0451,3143
-0.0455,6650
0.101,2686
-0.0611,7305
-0.0363,6379
0.0379,3937
0.0225,4355
0.08,1141
-0.678,9178
-0.592,8380
0.0745,4069
-0.189,9584
-0.245,9612
-0.131,9357
0.179,1492
0.0238,4344
-0.00171,4967
0.401,8
-0.187,9257
-0.0373,6178
-0.119,8901
1.39,63
-0.063,5024
-0.08,8166
0.073,3317
0.0759,2598
0.162,1866
0.0448,3839
0.232,554
0.0129,4689
0.00258,4804
0.0162,4496
0.171,586
0.182,1318
0.0491,3522
-0.0383,6662
-0.183,10001
0.00332,4949
0.263,251
-0.204,9218
0.0976,1502
-0.00271,5333
0.133,2235
0.205,825
0.00192,4832
-0.107,8297
0.181,1396
0.107,2084
0.112,873
-0.0337,5351
-0.0453,6812
-0.0863,6778
0.102,3664
-0.0906,8518
-0.0833,7441
0.0254,4529
-0.122,9313
0.0439,3337
0.25,1248
0.151,669
-0.0952,8513
-0.02,5697
-0.00513,5444
0.0618,3701
-0.256,8751
-0.12,10204
0.166,1362
0.0173,4605
-0.332,10404
0.189,978
0.0703,2596
0.0107,4821
0.118,1247
0.291,593
-0.118,7201
-0.246,10183
-0.211,9257
-0.000603,4881
0.114,986
0.0693,3848
0.0946,1483
0.625,95
0.0033,4727
0.0843,2314
-0.0488,6905
-0.176,9015
-0.166,9785
-0.106,7410
-0.0981,7112
-0.131,8960
0.0298,3620
0.0372,3185
0.19,892
0.0308,4203
0.208,629
0.0194,4224
0.121,2339
0.0155,4354
1.12,649
0.37,1579
0.0809,2302
-0.128,9921
0.112,557
0.0477,3212
-0.135,7432
0.0325,4238
0.0233,4200
0.0152,4191
-0.0727,7975
-0.0175,5483
0.134,2502
-0.0666,6536
-0.224,10218
-0.0227,5393
1.25,740
-0.198,9885
-0.0237,5285
-0.0222,5466
-0.0806,8545
-0.224,9777
-0.103,4915
0.122,1339
-0.311,8943
-0.239,9204
0.0388,3110
-0.0215,5407
0.343,2537
0.485,2118
0.648,19
0.0975,3369
0.0534,3527
0.116,2737
0.135,2004
0.0281,3328
-0.114,8086
0.0138,4880
0.857,278
-0.0907,8596
-0.0971,8153
-0.103,9277
-0.0653,6428
0.115,1573
-0.218,8522
0.078,2210
-0.0156,5554
-0.226,10247
0.286,661
0.142,2704
-0.0962,7476
0.107,2770
-0.0592,7820
-0.058,7335
-0.249,9623
-0.0272,6506
0.289,514
-0.253,9214
0.0834,2308
-0.128,7771
-0.0542,6320
-0.331,7807
0.0244,4366
0.106,2936
0.0382,3496
0.136,1151
0.0157,4705
-0.00115,5034
0.139,1860
-0.125,6695
-0.199,8687
-0.041,6297
-0.107,8385
-0.354,8691
-0.0584,6568
-0.0316,5989
-0.0375,6295
0.209,595
-0.193,10355
-0.226,9707
0.194,2587
-0.477,8644
0.061,2640
0.0382,3454
-0.0162,5860
-0.472,10451
0.115,647
-0.176,7199
-0.139,9070
-0.0931,8695
-0.297,9688
-0.182,9026
0.0661,3287
0.0558,3747
0.0614,3415
0.243,114
-0.489,10194
-0.0853,6310
-0.0489,5197
0.238,1662
-0.0227,6261
-0.108,7775
0.143,2088
0.0676,2577
0.33,98
-0.246,8418
-0.0204,5825
-0.0731,7470
-0.043,6245
0.0688,2590
0.133,3272
-0.0828,5688
0.1,1609
0.0337,3591
-0.0346,6122
0.259,471
-0.201,9302
-0.0688,6591
0.0965,1723
-0.0219,5921
-0.0533,6447
-0.351,9439
0.0152,4198
-0.0435,6988
-0.179,10006
-0.011,5366
0.25,379
0.167,2539
0.158,244
0.175,997
0.555,90
0.0779,1829
0.0579,3249
0.124,1971
0.106,2464
0.0766,3834
0.0259,4444
0.0691,3214
-0.17,9097
0.693,94
0.199,1485
-0.0436,6088
0.0253,3853
-0.0499,5733
0.731,207
-0.00275,4903
0.154,2256
0.0881,2898
-0.218,10282
-0.175,9636
-0.185,8371
0.189,156
0.393,851
-0.0323,5461
0.224,955
0.0492,2758
-0.0355,6130
-0.0256,5645
-0.0718,6802
-0.0631,6431
-0.0882,8583
-0.0623,6690
0.0178,2975
0.0154,2709
0.0209,2430
-0.00302,6018
0.0449,77
-0.794,9129
0.144,2298
2.28,501
0.365,24
-0.33,10419
-0.241,8506
-0.208,8667
-0.312,9924
-0.0339,6458
-0.0606,6292
-0.0485,6629
-0.167,7974
0.146,152
0.0601,3135
-0.322,10459
-0.406,8859
-0.507,9560
-0.136,6837
-0.482,9520
-0.0199,5723
-0.101,7536
-0.165,6445
0.0866,2928
-0.0078,5334
-0.326,8646
-0.228,10234
-0.0247,5900
-0.151,7224
-0.031,6015
-0.0855,8514
-0.0619,7822
-0.529,10391
-0.0938,7007
0.218,559
0.013,4635
0.135,2227
0.193,243
0.062,1288
-0.261,10137
0.115,1942
0.215,841
-0.0897,6596
0.165,1442
-0.159,9365
-0.123,7576
0.125,1958
0.169,1553
-0.0666,7548
0.0249,4029
-0.245,10189
0.12,1588
0.0699,2278
0.29,1112
-0.126,6720
-0.159,9578
-0.0766,7938
0.19,2190
-0.0417,6324
-0.216,9272
-0.167,7827
0.00995,4694
0.22,608
0.264,1554
0.107,1365
0.153,1761
-0.0497,6943
-0.0481,7187
0.151,858
0.153,644
-0.0555,6965
-0.155,8767
-0.261,9387
-0.0896,9076
0.102,1260
-0.000904,4717
-0.0953,6821
0.114,1767
0.00779,4931
0.109,2529
-0.0395,6963
-0.032,6444
-0.0411,4999
-0.198,9779
-0.0537,7299
-0.48,9260
0.3,93
-0.437,8836
0.0222,4014
0.213,416
-0.0877,8700
-0.466,7128
-0.474,8338
-0.101,5972
-0.343,9434
0.147,1479
0.0392,4358
-0.082,7604
0.129,1343
0.322,137
0.132,1284
-0.178,9198
0.148,1629
-0.0799,7009
-0.179,9800
0.152,1187
-0.0678,7333
-0.062,6322
0.334,19
