coef,rank
-0.23,6399
0.273,1079
0.0367,4052
-0.19,7547
-0.781,10380
0.197,958
0.0772,2130
0.0535,3609
0.00552,4704
-0.0779,6875
-0.0297,6266
-0.0763,8458
-0.019,5914
-0.157,8775
0.209,2133
-0.0607,4721
-0.0153,6240
-0.0643,8931
-0.103,8322
-0.0772,7592
-0.022,5558
0.0208,4496
0.0555,3360
-0.164,9376
-0.0159,5136
0.0538,3885
-0.0419,6813
-0.218,5286
0.0735,3501
-0.0665,7519
0.249,482
-0.114,6506
-0.0731,6815
-0.061,5820
0.175,600
-0.0695,8403
0.0071,4956
-0.309,9862
-0.0133,5394
-0.0398,6042
-0.0917,8526
0.086,927
-0.0324,5820
-0.0182,5930
-0.163,8842
-0.0682,6423
0.174,57
0.0234,3507
-0.24,9474
0.0285,4054
-0.0718,6828
0.0653,3489
-0.0691,7082
0.0383,3158
0.0502,3909
-0.1,7333
-0.0572,5058
-0.249,9651
0.00765,4757
-0.116,9313
0.319,532
0.157,1332
0.0111,4673
-0.0641,8699
0.0374,3501
0.109,1216
-0.0475,7286
0.0543,3060
0.099,2484
-0.474,8912
0.0529,2822
0.085,2050
0.0457,3745
0.444,104
0.373,397
0.0508,3540
0.0796,2321
0.0355,3650
-0.0421,7030
0.0543,3455
0.215,3064
-0.0742,6250
0.0448,3019
-0.0581,7386
-0.0583,6953
0.227,1454
0.16,1017
0.352,1118
-0.106,9689
0.00194,5060
-0.0983,7392
0.188,1293
-0.16,8177
-0.0873,7112
-0.000393,5225
0.0162,4333
-0.104,6829
0.0901,1631
0.0131,4645
0.0736,2958
-0.0206,6015
-0.0578,7177
-0.0952,8593
0.186,1642
0.12,3104
0.238,1186
0.507,174
0.179,1469
0.00622,4702
0.0666,3313
-0.634,10417
-0.115,7532
-0.0584,7938
0.0481,2465
0.0935,2761
0.0123,4670
0.0572,2661
-0.0788,6714
0.0401,3986
0.00457,4679
0.0112,4744
-0.0149,5838
0.105,3187
-0.0425,5433
0.0855,1771
-0.0144,5287
-0.0912,6552
-0.00193,4930
-0.00919,5206
-0.101,7906
-0.0307,6413
0.211,595
-0.292,9954
0.0399,3793
-1.3,10285
0.167,2514
0.0571,2903
-0.0291,6170
0.167,2451
-0.0214,6248
0.0269,4434
0.0573,3429
-0.0805,7408
-0.0807,8289
0.126,2268
0.177,1653
0.0183,4207
0.469,142
-0.106,8225
-0.00956,5550
-0.958,10423
-0.0826,7580
-0.208,8119
-0.0427,6321
-0.185,9523
-0.0102,5450
0.423,376
0.0996,2221
-0.0958,7345
-0.137,8657
0.132,2216
-0.05,7980
-0.0642,6977
-0.185,9274
0.0368,3658
-0.0255,6481
0.0589,3576
0.0658,2601
0.0992,2415
-0.209,8306
-0.0669,7856
0.0326,3775
0.0221,3632
0.0959,2115
0.141,714
0.123,2064
0.0666,3942
0.151,103
-0.000458,4975
-0.155,8592
0.0249,4133
0.0665,2422
0.0241,3907
0.0186,3622
0.0251,4298
0.0255,3956
0.097,2674
0.0393,3648
-0.281,8400
-0.0458,7150
-0.0381,5951
0.0526,1794
-0.0274,6065
0.047,3812
0.421,481
0.078,2285
-0.0811,7490
-0.161,8122
0.0572,2307
-0.182,8557
-0.0398,5992
-0.00453,4983
0.0214,3993
-0.275,10107
0.155,1758
0.0722,3597
-0.155,9231
-0.195,9189
-0.0868,8448
0.0103,4690
0.0264,4182
0.185,1512
-0.101,7367
0.0212,4283
-0.0841,9576
-0.185,10285
-0.1,8195
-0.143,8850
0.113,3070
-1.05,10084
-0.067,7083
-0.0462,7360
0.00983,4584
0.113,2684
-0.0539,5725
0.0645,3429
-0.263,10407
0.0991,1075
-0.0432,7585
-0.266,9613
-0.0872,7630
-0.505,10451
-0.105,7329
0.00829,4569
-0.0453,6264
-0.0216,5614
-0.774,10428
-0.0791,7104
-0.0618,6201
-0.152,6836
0.0901,3663
-0.0725,7955
-0.0933,8494
-0.218,10215
-0.031,6065
-0.143,8727
-0.0669,6760
-0.0172,5773
0.329,433
-0.198,10276
0.0308,3374
-0.2,8500
0.22,1886
-0.195,8396
0.256,2106
0.0777,2677
-0.0725,7738
-0.162,9803
0.0803,2856
-0.123,8386
-0.268,10063
-0.0679,7662
0.0288,4337
-0.0678,6235
-0.00383,5185
0.15,1536
0.0254,4334
0.239,1112
-0.037,7748
0.015,4595
-0.225,10233
-0.0484,5878
-0.0598,7145
-0.245,10319
-0.113,7665
-0.244,10287
-0.0808,7435
-0.0628,6576
-0.0316,6191
-0.00922,5270
-0.169,8432
0.00609,4964
-0.0186,5497
-0.408,10456
0.0141,4543
-0.0777,8836
-0.0391,6077
-0.272,9997
-0.116,7704
0.165,1887
0.173,2354
-0.0127,5896
0.0951,1856
0.235,1899
-0.175,10007
0.0176,4811
0.145,2810
0.00306,4923
-0.0768,7788
0.0603,3378
-0.101,7981
-0.0741,6987
-0.453,9985
0.0682,1909
0.216,1482
0.0276,4106
-0.348,9317
-0.137,7860
0.0408,3349
