coef,rank
0.15,3503
-0.308,9872
0.0176,4440
0.445,755
0.862,367
-0.195,9478
0.00288,4912
0.312,410
-0.218,9339
-0.000292,4987
0.0372,3890
0.00364,4902
0.149,893
0.0536,3871
-0.0787,6124
-0.44,8692
0.0401,2801
0.0399,2558
-0.184,9872
-0.251,10309
-0.35,10283
-0.145,6596
0.0617,3216
-0.0859,7601
0.102,3516
-0.00087,5073
0.216,255
0.874,926
-0.0536,6120
-0.18,9927
-0.0548,6779
-0.236,8183
-0.114,7736
0.0776,3734
-0.0715,7616
-0.0962,9269
-0.169,9830
-0.197,8565
0.23,675
-0.0828,7192
0.0825,1825
-0.0105,6103
-0.0987,7355
0.0894,2302
-0.203,9429
0.142,2097
-0.00178,5017
0.00109,4969
0.165,1898
-0.01,5346
-0.0615,6565
-0.0948,7024
-0.000898,5167
0.0704,1767
-0.0208,5923
-0.133,8010
-0.382,8991
-0.414,10419
0.00972,4628
-0.0761,8184
-0.262,9786
0.104,2215
0.0452,3268
-0.0251,6695
-0.115,9215
-0.0119,5720
-0.094,8887
-0.0909,8457
-0.18,9482
-0.436,8581
-0.00215,5252
0.00215,4825
0.0699,3133
0.0541,3621
0.234,1304
-0.0269,6183
-0.1,8707
0.0175,4318
0.00335,4949
0.0653,3080
0.212,3095
-0.0567,5887
-0.0313,6853
0.0757,2133
-0.197,9919
-0.144,7848
0.0171,4570
-0.133,6917
-0.145,10202
0.161,118
-0.223,9565
-0.00109,5086
-0.0714,6527
0.104,2987
-0.145,8632
0.0228,4025
0.108,2865
0.00453,4921
-0.121,8926
0.184,1033
0.0668,2341
-0.195,10033
0.00146,5042
0.0379,4086
-0.0921,6524
0.0931,3171
-0.13,7408
-0.279,10162
0.265,531
-0.197,9466
-0.498,10150
-0.0569,6025
0.264,13
-0.0281,6741
0.0855,2935
-0.199,10021
-0.000515,4951
0.0711,3139
-0.186,9587
0.0693,1816
-0.123,9860
-0.123,9740
-0.177,7911
0.228,2266
-0.0822,8604
0.00708,4842
-0.184,8166
-0.0709,6908
0.0995,2607
-0.0409,6195
-0.147,9966
0.0205,4737
0.278,825
0.0749,2684
-0.704,8471
-0.353,9803
0.0258,4099
0.0425,3615
-0.405,9932
0.0187,4232
0.102,2823
-0.116,7777
0.164,1123
-0.115,9169
0.274,637
-0.046,6166
-0.154,10039
0.117,2642
0.0385,3793
-0.0742,8296
-0.537,9176
-0.0905,7779
-0.0112,4837
-0.192,9678
0.198,868
-0.0444,6656
0.29,1058
0.125,1697
0.0785,3050
0.0229,4301
-0.173,9109
-0.069,8816
-0.0283,5925
0.193,1406
-0.0766,8268
0.0274,4032
-0.0353,6274
0.066,2594
0.0295,4099
-0.0529,5543
-0.0762,8137
0.0124,4659
-0.0193,6626
-0.204,10064
0.0103,4530
0.0716,3061
-0.229,8273
-0.157,10424
-0.214,10358
-0.0333,5886
-0.138,9725
-0.0392,6970
0.0593,2250
-0.0425,8650
0.0559,3269
0.0344,3591
0.112,2379
-0.266,10446
0.295,1799
0.0958,1921
-0.134,8727
0.0511,1869
-0.0967,8361
-0.0765,6869
-0.0276,5326
0.143,808
-0.24,10120
0.113,3053
-0.082,9127
0.157,1981
-0.413,10470
-0.127,7329
-0.0519,7502
0.0475,3787
0.0475,3898
0.114,2816
-0.0521,6582
-0.167,8736
-0.0592,7477
0.0551,2795
0.0879,2136
-0.183,9095
0.117,2217
0.00469,4734
-0.0718,9174
0.205,186
0.0394,4144
0.113,2092
0.282,1310
1.82,616
0.0482,3828
0.0903,1453
-0.0357,7383
0.0637,3672
-0.247,8813
0.22,960
-0.118,8906
-0.158,10255
-0.016,6123
0.0506,3762
-0.185,9672
0.233,1325
-0.0202,5563
-0.0131,5913
-0.066,6741
-0.00851,5214
0.185,2806
-0.0819,7184
0.384,344
0.344,1515
0.225,2045
0.0663,2661
0.13,1425
0.142,1213
0.0984,1920
0.0603,3063
0.265,956
0.114,1591
0.166,1751
0.0572,2927
0.0309,3364
-0.226,8888
0.412,670
-0.00266,4888
-0.306,8859
-0.0372,6439
0.0802,2060
-0.166,9854
-0.0134,5493
-0.11,8088
-0.134,8232
-0.165,10025
0.0789,2984
-0.285,9742
-0.0171,5655
0.185,1063
-0.476,9924
0.146,2227
0.0391,2535
0.0212,4415
0.199,551
-0.102,7165
-0.21,10089
-0.351,10467
0.0521,3875
-0.196,9950
0.093,2425
0.0878,3245
0.0746,2780
0.0202,4317
-0.0962,6968
-0.103,7758
-0.0342,5847
-0.0395,5966
-0.199,9594
0.00513,4855
0.0526,3479
0.0403,3951
-0.17,8743
-0.231,9280
0.0201,4576
-0.0162,6095
-0.107,9238
0.174,2525
-0.0273,6205
-0.102,7512
0.175,2388
-0.0795,7624
0.187,482
-0.0578,6588
0.125,1768
-0.0103,5382
0.0224,4495
-0.0507,7425
-0.151,8396
0.194,379
-0.0918,6005
0.0742,3430
-0.164,10094
-0.102,9680
-0.161,9702
-0.191,9554
0.757,42
-0.227,8902
-0.0607,6685
-0.0183,5514
0.138,2272
0.0695,3515
-0.156,9437
0.0955,3038
0.682,244
-0.11,9616
0.0247,4326
-0.0625,7674
-0.0109,5295
-0.119,9906
-0.481,9519
-0.0732,8591
-0.125,9609
-0.189,8879
0.221,880
0.0582,3617
-0.401,6093
-0.105,9160
0.00286,5063
-0.125,8930
-0.142,9856
0.198,393
0.0776,3580
0.0945,1251
-0.509,7787
-0.0371,5805
0.165,92
-0.0608,8340
0.0996,2946
0.0284,3697
-0.00842,5233
2.29,372
0.172,3153
0.00308,3324
2.34,273
-0.509,8365
0.0812,3110
0.0827,3484
-0.124,8756
-0.073,6655
-0.122,10039
-0.069,8886
-0.279,6552
-0.0435,5825
0.0536,3728
-0.417,9483
-0.139,8785
0.2,90
-0.0056,4719
-0.078,6784
0.0256,4261
0.0353,3711
0.0519,3896
0.0319,3747
0.0748,2978
-0.152,8346
0.23,727
-0.0714,6181
0.0767,3029
-0.0849,8286
0.111,2779
-0.0233,6744
0.121,2188
0.557,1054
0.0151,4660
0.0884,1885
-0.0167,5623
-0.189,9795
0.0409,4211
-0.141,8901
0.0144,4728
0.197,397
-0.0641,7006
0.105,3137
0.0336,3983
0.62,101
-0.213,9554
-0.0635,7620
0.0613,3959
0.297,107
0.322,464
0.279,310
0.00453,4960
0.174,547
-0.0656,7386
-0.115,7220
-0.262,9822
-0.615,10015
0.0275,2220
-0.0665,7844
-0.13,7674
0.119,2876
-0.0237,5667
-0.0821,7199
-0.0711,8062
-0.0484,8141
0.0241,1831
0.0531,3472
0.125,2913
-0.266,10325
-0.261,9575
0.0489,2764
-0.0358,6026
0.316,375
0.0245,4645
0.127,2566
-0.0809,6517
-0.0873,8543
-0.0661,7157
-0.262,9760
-0.000599,5145
0.188,977
-0.181,10352
-0.031,6601
-0.0991,7648
-0.106,8271
0.0686,3841
0.0514,3464
-0.0175,5259
0.11,1664
-0.0388,7442
-0.567,9542
-0.467,10435
0.211,1402
-0.0364,5324
-0.0222,6166
0.0169,4461
-0.0121,5143
0.648,353
-0.0538,6103
-0.177,8478
-0.143,9712
0.00174,4902
-0.279,9252
0.0944,2810
0.0414,3944
-0.0998,8097
-0.173,10100
-0.023,6493
-0.195,9330
-0.158,9054
0.0708,3405
-0.16,9655
0.0129,4440
0.0931,2966
0.00747,4636
0.0702,3598
0.0662,3323
-0.233,10052
-0.0191,6004
0.0862,2412
-0.131,8265
0.176,1498
-0.00419,5253
-0.247,10272
0.014,4617
-0.133,8010
0.121,1596
0.23,1624
0.0491,3396
-0.109,8184
0.0159,4278
0.213,2015
-0.015,5925
-0.0866,7210
-0.139,8108
0.0112,4954
0.0662,2855
-0.0682,8270
0.035,3766
-0.106,9020
-0.1,8216
-0.235,10105
0.0506,966
0.00103,4947
0.0466,3279
-0.211,8298
-0.247,8444
0.0273,4055
0.0316,4156
0.218,372
0.0206,4367
-0.151,9118
-0.0192,5378
0.061,2928
0.035,2930
-0.00279,5253
0.496,267
0.151,1250
-0.474,10148
-0.0816,6600
-0.178,8488
-0.0187,6029
-0.224,7330
0.201,1935
-0.211,8800
-0.072,5661
-0.0777,8735
0.0536,3140
0.126,1211
0.0448,3466
-0.173,8280
-0.111,8186
0.105,1176
0.237,409
0.0423,4437
0.164,1881
0.225,1270
0.246,2196
-0.168,10291
-0.0808,7719
-0.0655,7075
-0.0355,6373
-0.163,9515
0.0799,2955
0.0885,2028
0.0739,1317
0.516,2106
1.26,1048
-0.0562,5190
0.0456,3853
0.072,3422
0.0136,4795
0.355,269
-0.112,7426
0.19,852
0.0288,4346
-0.0533,6434
-0.0895,7617
0.0588,3373
0.387,1834
0.938,245
0.103,1486
0.0396,3994
-0.0203,5840
0.185,1545
-0.0819,7058
-0.11,8292
0.105,2361
0.0535,3500
0.0132,4582
-0.147,9716
0.0538,3704
0.00282,4869
0.0539,2943
-0.0877,8152
-0.0165,5679
-0.00427,5067
0.0765,3206
-0.188,10256
-0.143,9662
-0.0275,5760
-0.132,8580
-0.12,8411
-0.169,9486
-0.111,7934
-0.0271,5986
-0.0379,6892
0.326,1261
-0.121,8966
-0.291,9797
0.09,3794
-0.0676,7770
-0.2,9840
-0.225,9110
-0.211,10341
0.143,702
-0.154,8056
-0.0919,8751
0.0813,2340
-0.107,8243
0.197,465
-0.00464,4978
0.21,2331
0.0545,2063
0.207,874
0.0685,3440
0.00176,5033
0.151,1522
-0.0021,4970
-0.081,7581
-0.0842,8293
-0.169,8931
0.0462,3980
0.17,1149
0.0374,4224
-0.149,9401
0.0162,4305
-0.365,10263
0.14,628
-0.193,8268
-0.0504,5729
0.0383,3667
-0.0303,6190
0.0891,3095
-0.0182,5838
-0.0901,7061
-0.106,7306
-0.116,8626
-0.0803,8387
-0.0895,9058
-0.0641,6943
-0.0418,6651
-0.0172,5706
-0.00798,5455
-0.219,9513
0.036,3469
0.263,3002
-0.129,6334
0.0948,1962
0.0814,1527
0.167,97
-0.171,10145
-0.244,9172
-0.145,8864
-0.0937,9065
0.0547,1950
-0.0582,7422
-0.178,9042
0.0434,3962
-0.0487,6101
0.262,309
0.078,2762
0.774,1595
-0.0367,6156
-0.121,7230
0.268,572
-0.058,7748
-0.128,8210
-0.409,6489
-0.0179,6052
-0.243,8117
-0.154,7917
0.074,1728
-0.125,7592
1.58,174
-0.012,4126
-0.124,7806
-0.304,9664
-0.0385,6561
-0.0558,6349
-0.168,9376
0.0297,3238
0.375,69
-0.178,8574
-0.00566,4510
0.104,1378
-0.0756,7514
-0.0568,7683
0.0608,3700
-0.0564,7223
-0.217,8502
0.0819,2078
0.0583,3171
-0.101,8503
-0.125,7903
-0.157,7682
0.0745,3398
-0.213,9493
-0.0432,7127
-0.228,10298
0.0298,4339
-0.0101,5704
0.149,1988
-0.129,7351
-0.0207,5998
0.166,2035
0.0479,3945
-0.411,8635
-0.32,10426
0.0275,4522
-0.109,8171
0.132,1212
0.0394,4185
0.288,1200
-0.0692,6728
-0.208,8074
-0.0528,5848
0.0396,3954
0.199,711
-0.353,8689
-0.0472,6240
0.0602,3164
-0.256,10384
0.195,704
-0.0332,6531
-0.258,10015
0.112,3571
0.735,1327
0.182,306
0.0321,3693
-0.219,10428
-0.369,10314
-0.0836,9115
-0.484,10221
-0.2,9991
-0.0557,7393
0.271,1340
-0.156,8602
0.162,1483
0.0388,4201
-0.17,9249
0.0206,4299
0.365,1352
-0.00709,4848
-0.407,8992
0.0169,4685
0.0723,1736
0.262,562
-0.0925,7117
-0.117,9097
0.0126,4853
-0.064,5722
-0.0469,6600
0.0942,2396
-0.0288,5803
-0.166,9912
-0.00404,5001
0.109,3872
-0.0282,6616
-0.097,9421
0.0241,4096
0.0896,2811
-0.127,8080
0.015,4675
-0.00872,5558
0.0633,3252
-0.00227,5060
0.365,1207
-0.0553,6644
0.000586,5042
0.0944,1969
-0.126,9042
-0.0122,5472
0.108,3366
0.0489,2541
-0.182,9618
-0.244,9372
-0.091,9061
-0.233,9947
-0.108,7806
-0.0212,5838
0.745,30
0.144,1501
0.0811,2939
-0.0596,6717
-0.0344,5500
0.245,1069
0.0949,3067
-0.0522,7771
-0.323,9826
-0.0745,5729
-0.165,8866
-0.216,8755
-0.0393,5850
-0.135,9372
0.0229,4228
-0.29,9674
-0.00673,5689
-0.00434,4827
0.308,784
-0.303,10255
0.242,42
0.0345,4041
0.0447,3935
-0.178,9069
0.223,1282
0.00297,5045
-0.0189,5384
-0.0787,10381
0.0411,278
0.0185,2754
-0.00776,6992
0.0239,1048
-0.326,5280
-0.115,7473
-0.431,6591
0.0151,4573
0.049,3528
0.00186,4814
-0.0868,6738
0.0463,3980
0.00609,4836
-0.11,7290
-0.0351,6196
0.179,2289
-0.0871,9638
-0.0346,5953
0.0505,3453
0.145,3454
0.175,3252
-0.0188,5104
-0.173,6102
0.078,3154
0.105,2571
-0.648,10214
-0.0192,5234
0.14,2317
-0.255,7855
0.0417,3813
-0.0486,6717
0.231,2112
-0.0905,7663
0.00461,5062
0.154,613
-0.0974,6548
-0.278,9900
-0.246,10250
0.291,1170
0.0982,2885
-0.125,9584
0.111,218
-0.101,7735
-0.0615,7005
-0.0987,7825
-0.143,7602
0.0784,2862
-0.256,10281
0.0679,3508
0.203,803
-0.138,8386
-0.0544,7084
0.0367,3551
0.221,662
-0.035,6121
0.121,1009
-0.401,10223
0.136,3197
-0.0698,7424
0.108,1901
0.334,878
-0.0274,5794
0.186,1710
0.319,1052
-0.091,8313
-0.0761,7626
0.021,4405
-0.0423,7140
-0.0281,5868
0.0152,4610
-0.0331,6635
0.0693,2719
-0.135,9523
0.021,4409
0.121,2246
0.0856,3366
0.101,1266
-0.075,8562
-0.178,7077
0.352,621
0.00864,4685
0.0985,2753
