coef,rank
-0.461,8596
-0.309,9884
0.512,89
-0.00588,4946
-0.455,9299
-0.211,9671
-0.0606,7562
0.162,1686
0.125,2306
-0.00531,5100
0.0813,2477
0.0224,3954
-0.0376,6625
0.0753,3370
0.0599,4006
2.02,32
0.108,537
0.0555,1822
0.054,3316
0.033,3975
0.0915,3134
0.388,1309
0.188,907
-0.0141,5486
0.432,879
-0.182,8692
0.0751,2443
0.0786,3563
0.191,1703
0.0343,3907
0.0603,3422
-0.111,6455
0.178,1548
-0.199,7902
0.209,336
0.0532,2491
-0.0302,6309
-0.345,10099
-0.0692,6991
-0.252,10071
0.0741,2051
0.0667,1512
-0.0363,5914
-0.106,8820
0.0354,4071
-0.308,10086
-0.0544,8123
0.0606,1663
-0.197,8843
-0.101,8297
-0.202,9571
0.176,1668
0.00644,4952
0.148,306
0.304,312
0.00876,4797
-0.0546,5024
-0.123,7775
-0.00549,5507
0.0284,3810
-0.0834,6802
0.0127,4498
0.0196,4314
0.0236,3787
0.0507,3010
-0.0315,6673
0.0356,3743
0.0208,4300
-0.0155,5497
-0.218,6274
0.0451,3107
-0.0573,7129
0.104,2379
-0.37,10386
-0.157,8426
-0.0836,7959
0.0505,3221
-0.106,8676
0.0131,4511
0.145,1235
-0.00231,4922
-0.376,10202
-0.013,5907
-0.0118,5518
0.206,588
0.164,2213
0.228,377
0.415,821
-0.0449,7413
-0.146,10352
-0.0105,5382
0.257,631
0.00813,4931
-0.0437,6131
0.321,356
0.215,142
0.563,71
-0.0443,7123
0.023,4300
0.0794,2824
0.0359,3499
-0.151,9518
-0.168,9929
-0.149,8054
0.165,2536
-0.0763,6749
0.123,2750
-0.00238,5102
0.0162,4425
0.0482,3767
-0.121,6355
-0.00248,4692
-0.123,9840
-0.0364,7192
-0.18,9482
0.0112,4702
0.0549,2750
-0.142,8182
-0.0841,7481
0.0121,4307
-0.0628,8236
-0.0293,6579
0.397,544
0.169,2817
-0.0212,6050
-0.0672,6310
0.244,1375
-0.044,6150
0.166,1503
-0.0406,6185
0.0746,2110
-0.335,10465
0.327,548
-0.154,9734
-0.352,5951
-0.493,10375
-0.0226,6051
-0.019,5804
-0.12,6479
-0.0378,7046
-0.415,10435
0.141,1820
0.306,160
0.192,392
0.172,1589
-0.0457,6159
0.0117,4520
0.0305,4313
0.128,1688
