coef,rank
0.0286,4241
0.0817,3383
-0.188,8810
-0.0451,5493
-0.547,9840
0.135,1754
-0.000828,5075
-0.0119,5156
0.0302,4157
-0.129,8000
0.0257,4287
0.0704,2033
0.265,101
-0.354,10380
-0.235,8539
-0.357,7691
0.109,519
0.0164,3898
0.132,1458
0.0252,4240
-0.0152,5393
0.567,641
-0.106,8096
0.301,142
0.0936,3620
-0.201,8992
-0.0156,5749
0.312,2625
-0.308,10025
-0.000895,5165
0.149,1606
0.399,1237
0.33,372
0.316,1251
-0.0692,7530
0.149,361
0.0399,3755
-0.0128,5153
-0.147,8827
-0.039,6016
-0.133,9548
-0.014,6322
0.0783,3377
0.0336,3979
-0.138,8367
0.283,617
0.0552,1967
-0.0971,9899
-0.259,9688
-0.102,8325
0.117,1983
-0.178,8652
-0.127,8496
-0.0633,8264
-0.0613,7058
0.205,1355
0.251,2114
-0.00512,5118
-0.00925,5723
-0.0462,7047
0.387,283
-0.169,9235
0.0174,4404
-0.00669,5569
0.0779,2138
-0.0233,6263
0.00943,4870
-0.167,9986
-0.0503,6519
-0.31,7279
0.0175,4351
-0.0826,7974
-0.228,9898
-0.246,9821
-0.12,7734
0.0211,4475
0.17,605
-0.0192,5708
0.132,875
-0.19,10040
-0.154,6533
0.257,1076
0.0405,3240
0.177,417
0.075,2730
0.414,357
-0.11,8739
0.233,1951
-0.0156,5846
-0.0187,6306
-0.0857,7152
0.0554,3662
-0.12,7453
0.141,2346
-0.219,9679
-0.0899,8676
0.579,57
-0.00114,5159
0.0347,3887
0.0659,3114
0.0489,2979
-0.132,9169
0.00469,4908
-0.121,7552
-0.133,7249
-0.226,9366
0.203,1722
-0.118,7997
-0.0996,7469
0.145,1901
-0.0161,5004
0.0959,2543
-0.012,5658
0.154,177
-0.00121,5236
-0.0502,6811
0.102,1393
0.0935,2673
-0.0151,5525
0.0596,2155
-0.036,7089
0.00352,4962
-0.246,8899
0.217,2370
-0.125,9710
-0.0876,6684
-0.156,7720
-0.0362,5902
-0.246,9993
-0.223,9999
-0.0223,6036
-0.0722,7692
0.0687,3546
-0.0648,7555
0.0339,3464
-0.297,9272
-0.0964,8694
0.0479,3429
0.207,2033
-0.0714,8493
0.226,1095
0.281,455
0.0707,2886
0.00661,4958
-0.0192,5419
0.0394,4177
-0.1,8993
-0.0447,5934
-0.073,7355
-0.107,9294
-0.455,8513
0.264,492
0.118,2923
-0.0213,5638
-0.143,8804
-0.0937,8164
-0.0415,5788
0.142,1422
-0.0576,6423
0.159,1354
0.226,985
0.0487,2341
0.0286,4215
0.296,523
0.136,901
0.117,1073
0.0434,3996
-0.0326,6628
-0.142,8574
-0.067,5806
0.112,1680
-0.085,8647
-0.0751,9524
0.00575,4858
0.0294,3684
0.0465,3639
-0.229,8265
-0.00487,5464
-0.064,7626
0.0832,3053
-0.0229,6216
-0.118,9489
-0.0532,7893
-0.0853,10059
-0.0355,6532
0.00149,5002
0.0187,4560
-0.134,9573
-0.381,9440
0.164,673
-0.0308,5705
0.033,2869
0.149,1016
0.0782,3163
0.171,2330
-0.139,9719
0.139,1594
0.281,1168
0.0146,4368
-0.154,8078
-0.133,8548
-0.07,6270
-0.0512,7479
0.203,1165
0.0649,3479
0.0287,4453
-0.16,9329
0.123,2295
0.0435,3252
0.0389,3422
0.061,2917
0.0975,2912
-0.0658,6462
0.11,2280
-0.037,7386
0.0309,3728
0.116,2209
0.0679,3087
0.0675,3742
-0.0456,3507
0.147,1601
0.048,2870
-0.0584,8545
-0.0762,6903
-0.149,7332
0.081,3047
0.205,460
-0.000932,5037
0.152,280
-0.123,7362
0.134,1566
-0.142,7700
-0.0239,5652
0.00664,4660
-0.0437,6224
-0.0999,7663
0.744,347
-0.167,8969
0.16,2016
-0.299,8612
-0.22,8412
-0.0786,8180
0.0154,4699
-0.00177,5079
-0.228,10299
-0.265,10227
0.201,1537
-0.0461,6812
0.0495,3842
0.145,904
0.131,358
0.222,1707
-0.107,6537
-0.178,8120
-0.0246,5196
0.0131,4724
-0.0345,6306
