coef,rank
-0.542,9206
-0.247,9273
-0.0188,5228
0.0472,4227
0.349,1980
-0.0107,5140
0.143,759
0.549,28
0.272,671
0.118,2406
0.0179,4567
-0.0205,6085
-0.0915,8431
0.147,2017
0.199,2221
0.347,2459
-0.103,9952
-0.0613,8819
-0.0427,6458
0.145,1277
0.221,1264
-0.493,10051
-0.12,8466
0.0151,4600
-0.159,7241
-0.256,9641
-0.0561,7330
0.473,2020
-0.249,9539
0.0636,3002
0.13,1966
0.244,2266
0.0353,4141
0.294,1394
-0.0433,6545
-0.0424,7248
0.0548,3234
-0.2,8624
-0.127,8414
-0.0614,6632
0.0104,4311
-0.0243,7019
-0.0558,6391
0.03,4104
0.0866,2955
0.304,514
0.0166,3857
-0.0267,6911
-0.333,10200
0.0525,3257
0.0371,3788
0.111,2633
0.000377,5120
-0.101,9541
0.0459,4030
-0.316,10239
0.151,2883
-0.361,10315
-0.0114,5839
0.0159,4341
0.147,2132
0.0175,4371
0.042,3398
-0.0496,8061
9.02e-05,4996
-0.0533,7599
0.146,753
-0.138,9584
0.0312,4165
-0.193,5983
0.0273,3887
-0.171,9934
0.2,928
0.221,1012
0.0665,3882
0.093,2419
-0.118,9181
-0.0852,8040
0.0464,3139
-0.0096,5573
-0.569,9946
-0.292,9689
-0.0244,6515
0.0713,2256
-0.0442,6506
0.287,977
0.106,1998
-0.423,10110
0.147,288
-0.00155,5258
0.139,2181
0.02,4562
-0.00472,5180
-0.387,10405
0.00755,5005
-0.0261,6240
0.172,2010
0.0427,3226
-0.149,9465
-0.0555,6680
-0.0806,8487
0.0273,4154
0.00643,4842
0.245,1042
0.0351,4344
-0.225,9362
0.165,2162
0.235,834
0.0893,2692
-0.278,10196
0.383,1225
0.134,1927
-0.112,9667
0.107,653
-0.0727,7251
0.111,1854
0.105,1336
-0.129,7892
-0.208,9821
-0.0124,5581
-0.0311,6869
-0.0587,7865
0.357,728
-0.219,7909
-0.0627,7885
-0.101,6950
-0.00102,4837
-0.0627,6690
0.236,701
0.0952,2500
-0.0872,8657
0.0637,3364
0.39,304
-0.183,10058
-0.233,5085
0.173,2448
-0.05,7110
-0.188,10074
0.178,2323
0.0379,3366
-0.0113,5298
0.245,689
0.189,833
-0.00232,5296
0.269,672
-0.163,8628
0.0556,2739
-0.0679,6422
-0.00452,5171
-0.00517,5327
0.231,2822
-0.3,10373
-0.0933,6244
-0.194,9708
-0.028,5679
0.252,257
-0.0315,5594
-0.453,10475
-0.111,7743
-0.0783,7216
0.0271,4398
-0.0493,7947
-0.0552,6716
0.137,2212
-0.168,10126
-0.0835,8781
0.0729,3196
-0.155,10129
-0.0445,6116
-0.3,9441
0.214,352
-0.178,10272
0.126,163
-0.0847,7910
-0.0534,7333
-0.172,8962
0.236,2043
0.0763,1229
0.0835,2016
-0.107,7621
0.157,575
0.0257,4026
0.0711,1810
0.00966,4330
0.0205,4479
0.149,729
-0.173,9160
-0.0616,7648
0.368,1332
-0.0356,6718
0.498,6
0.00396,4904
0.0668,2830
-0.267,10022
0.0166,4588
-0.171,10126
0.122,1926
-0.139,7741
-0.0655,8574
-0.222,9144
-0.016,5273
0.0778,3478
-0.203,10422
-0.0148,5316
-0.0249,5688
0.0878,3282
-0.0849,7598
-0.00151,4939
0.0632,2602
-0.0408,7032
-0.0434,7033
0.0214,4580
0.172,1419
-0.00797,5066
0.0315,2933
0.111,1217
-0.195,9842
0.016,4522
0.318,1049
-1.65,10464
0.2,942
-0.0355,6842
-0.0442,7861
-0.15,8476
-0.267,9061
-0.189,9193
-0.00997,5393
0.0444,2824
0.0184,4104
0.354,449
0.0887,2517
0.148,2322
-0.102,7246
0.00147,4972
-0.185,9294
0.163,1565
0.065,3927
0.0321,4085
0.189,1695
-0.551,10228
-0.416,10153
0.101,1703
-0.05,7123
0.13,1431
0.275,137
-0.0506,6211
0.116,2751
0.00765,4820
-0.0951,7365
-0.0366,6631
0.0363,3115
0.151,2486
0.0696,3776
0.0252,4363
0.0399,4339
0.203,564
0.0361,3455
-0.104,8650
0.148,1505
-0.236,10027
0.25,723
-0.0907,8456
-0.414,10472
0.281,872
-0.1,8353
-0.0195,5415
0.335,1608
-0.161,8625
-0.0678,9291
0.0708,3109
-0.0418,6411
0.0603,3474
-0.121,8814
0.0213,4207
-0.089,7161
-0.121,8726
-0.0253,5790
-0.121,7815
0.0819,2559
0.0719,2769
0.171,1733
0.204,1082
-0.178,8763
0.438,76
-0.000896,4961
0.0578,2371
0.00904,4667
-0.236,9676
0.00197,4907
-0.0485,5863
-0.0473,5762
0.0424,3139
-0.272,10468
-0.401,10138
-0.0921,8413
0.025,4644
-0.00547,5265
0.0372,3774
-0.0572,7100
-0.202,9675
0.00745,4734
0.216,1031
-0.405,9662
-0.0389,6894
-0.109,7591
-0.0446,6891
-0.241,8047
-0.0951,6975
-0.047,7061
-0.101,9657
0.131,1229
-0.154,9013
-0.0619,5887
0.364,593
-0.233,9973
-0.0819,6567
-0.149,8500
0.219,1553
0.04,3707
0.204,1484
-0.314,9226
0.131,703
-0.0497,7048
0.102,1808
0.0314,4147
-0.0281,6521
0.657,750
-0.0326,6929
-0.152,9999
-0.11,7384
-0.114,7780
0.0748,3297
-2.57,10471
0.0915,1794
-0.104,9276
0.114,1764
-0.0155,5767
0.0544,3177
0.127,2847
-0.00144,5143
-0.709,9397
-0.289,9787
-0.0518,8093
0.00378,4811
-0.302,10179
-0.0425,7089
0.105,2324
0.297,2810
-0.108,5466
-1.12,9975
-1.93,10474
1.18,553
0.176,1634
-0.00661,5168
-0.0939,8014
0.361,184
0.0931,1136
0.0148,3970
-0.161,5382
-0.343,9989
-0.186,8669
-0.398,9309
-0.174,9350
-0.016,5943
0.374,1126
0.0729,3328
0.0208,4432
0.137,1183
0.018,4635
0.0173,4406
0.125,1930
0.286,859
-0.0527,6477
-0.383,10183
0.0393,3883
-0.0429,6843
-0.262,9729
0.0467,2613
-0.037,6176
-0.401,8854
-0.00789,5525
-0.0984,8346
-0.113,8258
-0.0788,7523
0.237,1522
-0.0762,7337
-0.0619,7221
0.0652,2748
-0.393,10468
0.0144,4742
0.118,1839
-0.0389,5580
-0.118,8014
-0.125,9258
0.121,3067
0.197,535
-0.223,9592
0.0199,4407
0.0343,3995
-0.152,9783
-0.00795,5485
0.145,2347
0.133,2238
0.265,2544
-0.0151,6875
0.0315,3896
0.0873,3109
-0.315,10031
0.0181,4645
-0.171,8957
0.195,201
0.0971,487
0.0528,237
-0.0291,6141
0.183,2247
-0.11,8327
0.11,2861
-0.167,10352
-0.103,7928
0.0661,3421
-0.124,8532
-0.143,8069
0.0785,3298
0.131,814
-0.0376,6371
0.146,2154
0.0375,4203
-0.155,9028
0.088,1619
0.0624,2892
-0.0517,6534
0.05,3488
-0.0983,7496
-0.0299,6375
