coef,rank
0.313,2655
-0.166,8037
-0.165,8418
-0.215,7895
-0.362,8560
-0.0236,5504
0.000358,5023
0.291,499
2.29e-05,4822
-0.00146,5017
-0.111,8878
-0.0232,6204
-0.0985,8621
0.173,1626
0.35,1050
-0.254,6374
0.0639,1721
0.0183,3783
-0.146,9263
0.281,178
-0.0555,6316
-0.261,8042
-0.159,9253
0.051,3520
0.238,2115
-0.153,8228
-0.113,9068
0.484,1980
0.165,2028
-0.0483,6932
0.12,2132
0.171,2942
0.0497,3824
0.0817,3686
-0.0973,8396
-0.074,8559
0.0496,3421
-0.117,7181
0.0487,3633
0.152,1477
-0.007,5068
0.0365,2905
-0.191,9073
0.215,351
-0.028,5637
0.322,410
0.0518,2090
-0.0907,9742
-0.433,10427
0.0117,4612
0.16,1316
0.035,4091
-0.265,10217
-0.0326,6821
-0.309,10381
-0.113,7617
0.184,2614
-0.506,10469
0.0223,3918
-0.0172,5800
0.0355,4165
-0.121,8250
0.0284,3987
-0.0127,5921
-0.0205,5926
-0.0645,8041
0.0146,4617
-0.128,9395
-0.166,9251
0.604,1039
0.0374,3401
-0.256,10412
0.339,158
-0.151,8489
0.109,3026
0.0241,4381
-0.153,9815
-0.0575,7093
-0.0603,7784
-0.069,7669
-0.717,10324
0.16,2106
0.0428,3114
-0.0142,5605
0.101,2107
0.0176,4645
0.0163,4600
-0.144,7107
0.12,617
0.0303,3407
-0.0601,6581
-0.0928,7546
0.0827,3467
-0.313,10188
-0.197,9427
-0.0419,6898
0.15,2274
0.00564,4870
-0.13,9107
0.0927,2532
-0.127,9683
0.0302,4063
-0.0411,6716
0.0672,3550
-0.0717,6157
-0.107,7405
0.0545,3874
0.216,1039
-0.217,9601
-0.195,9425
-0.217,7608
0.128,2031
-0.00618,5333
0.0875,1081
0.00336,5114
0.0209,4357
0.194,254
0.202,1162
-0.0696,7107
0.0246,3680
0.00438,5089
0.043,3104
-0.0241,5292
-0.3,8911
-0.0732,8282
0.198,1989
0.00661,4700
-0.00337,4962
0.132,2020
-0.0984,7813
0.00293,4874
0.0716,3106
0.366,374
-0.106,8789
-0.415,6424
0.347,1050
0.0494,3169
-0.0446,6755
0.241,1743
-0.0319,6758
0.0515,3851
0.0838,2870
0.431,20
0.0706,2619
0.0617,3562
-0.0817,6999
0.0446,3152
0.23,1205
0.217,563
0.0849,1849
-0.0107,4276
-0.194,9709
-0.501,10359
0.0944,2415
0.0778,2766
0.0739,2792
-0.215,8824
-0.0842,7701
-0.2,9360
-0.125,8398
-0.215,9679
-0.0571,8303
0.0786,2930
0.295,531
0.000215,5160
-0.117,9603
-0.0537,6804
-0.0776,8442
-0.201,9571
-0.188,8006
0.142,1136
-0.0639,7921
0.0658,1301
0.161,990
0.0441,3107
0.0872,2716
0.269,1742
0.0585,1875
0.221,175
-0.0935,7332
0.146,703
-0.0575,7754
0.0884,1281
-0.0462,8834
-0.0235,6091
0.095,1692
-0.265,10128
-0.0746,8094
0.361,1361
-0.0183,6019
0.164,967
-0.116,10289
0.0193,4349
-0.0589,6408
0.0838,3497
-0.178,10189
0.0915,2595
-0.206,8814
0.0355,3251
-0.135,7753
0.0517,3371
-0.0296,5459
-0.226,10451
-0.121,7962
0.334,305
-0.165,8408
0.221,482
-0.0391,5888
0.174,459
-0.0577,7715
-0.103,8987
0.0705,3451
0.218,901
0.155,1535
0.065,1417
0.143,702
-0.0524,6929
0.0362,3920
-0.083,6339
-2.07,10475
0.224,687
-0.0519,7598
0.0108,4525
-0.137,8225
-0.165,7574
-0.146,8404
-0.0104,5413
0.15,334
-0.0563,8170
0.376,381
0.0488,3557
0.152,2269
-0.0897,7001
-0.0756,9238
-0.202,9544
0.26,596
0.0822,3747
0.018,4471
0.225,1295
-0.46,9876
-0.117,6829
0.164,622
-0.0327,6504
0.0391,3689
0.121,1499
-0.0693,6816
0.041,4248
-0.116,8945
0.00389,4901
-0.0167,5809
-0.0229,6493
-0.0501,5873
-0.0156,5118
-0.123,7139
-0.0847,6014
0.17,855
0.0289,3713
-0.12,9057
0.151,1446
-0.226,9943
0.0694,3231
0.0218,3970
-0.256,10260
0.43,269
0.0073,4797
0.044,3672
0.433,1116
-0.266,9932
-0.0164,6448
-0.0374,6181
-0.014,5477
-0.0123,5059
0.00217,5131
0.0435,3531
0.0602,3701
-0.241,10267
0.233,481
-0.0824,7005
-0.0496,6802
0.0429,3589
0.132,2285
0.179,1397
-0.108,7400
0.284,491
-0.108,7958
0.000618,5122
-0.0728,7031
0.142,1981
0.0731,3245
-0.00119,4829
0.0193,4596
0.0617,2351
-0.18,10256
-0.174,7946
0.0852,2328
-0.0398,6113
0.32,1060
0.132,1494
-0.0787,7843
-0.152,8842
-0.115,8353
0.178,1505
-0.389,9557
-0.00372,5083
-0.0966,7369
0.0159,4546
0.134,2971
0.234,1224
-0.0398,6776
-0.0619,8399
0.0444,3477
-0.114,8168
-0.156,7608
-0.0312,5558
-0.188,9452
-0.3,9570
-0.1,7536
-0.213,8651
-0.00726,5289
0.0463,3958
0.0633,4061
0.0363,3457
0.00393,5091
0.0614,2922
-0.0165,5454
0.0555,2241
1.39,48
-0.0211,6403
-0.0721,8149
-0.256,9682
0.0408,3913
0.0748,3298
-2.41,10470
-0.0458,7223
-0.0845,8744
-0.0876,7981
-0.0394,6785
0.102,1775
0.137,2727
0.0347,3334
-1.33,10455
-0.227,9175
0.0595,1901
0.11,645
-0.201,9228
0.0466,2883
0.254,480
0.804,1721
-0.265,7241
-0.277,5126
-0.612,8442
-0.222,5568
0.155,1900
0.268,1125
-0.0415,6500
0.209,1034
0.00824,4762
0.0532,1986
0.851,987
-0.25,9168
0.0218,4335
-0.173,6552
-0.133,8670
-0.115,9787
-0.278,8521
0.163,1801
-0.0178,5830
0.0805,2363
0.0343,4293
0.0877,1803
0.244,561
-0.129,7884
-0.0491,6381
-0.0766,6283
0.0704,3169
-0.213,10320
-0.344,10254
-0.0252,6855
0.00114,5070
-0.529,9803
-0.022,6078
-0.0566,6922
0.0506,3676
-0.114,8426
-0.12,7205
-0.0541,6751
0.0193,4589
-0.019,5742
-0.242,10206
-0.0621,6229
0.0415,3745
0.158,2431
-0.165,8902
-0.0441,6928
-0.0724,6174
0.11,1816
-0.197,9260
-0.0418,6225
0.0772,2734
-0.00561,5338
-0.0176,5791
0.208,1567
0.157,1884
0.0826,3984
-0.0172,7101
0.174,526
0.0773,3274
-0.508,10468
-0.235,9711
-0.284,10112
0.178,315
0.017,3683
0.015,2973
0.0239,4362
0.121,2961
-0.00838,5228
-0.0703,6422
-0.0729,8794
-0.145,8814
0.0807,3109
0.081,3225
0.102,2988
0.134,2438
0.126,900
-0.0566,6906
-0.0868,6928
-0.165,8838
-0.156,9042
0.124,837
-0.0175,6040
-0.0871,7379
-0.156,9275
0.0919,3370
0.0943,2250
0.0573,3444
0.273,113
0.0299,3463
1.03,275
0.0298,4259
-0.21,9242
-0.561,10372
-0.00462,5331
-0.105,8012
0.0482,3821
-0.392,9630
0.0318,4228
-0.101,7151
0.193,336
0.424,444
0.126,2866
0.0195,4736
0.143,1987
0.253,342
0.0428,3311
0.0593,1809
0.249,658
0.0625,3427
-0.121,8168
-0.057,7354
