coef,rank
-0.832,10278
0.334,657
-0.121,7580
-0.0805,6011
0.0856,3892
0.0318,4063
0.0969,1566
-0.0231,5426
-0.0482,5944
0.0332,4186
0.0218,4425
-0.0843,8743
0.193,417
0.12,2490
0.222,2003
-0.0541,4673
-0.0378,7504
0.0377,2671
0.122,1624
0.0395,3768
-0.215,9281
-0.0317,5149
-0.0842,7523
-0.0932,7801
0.326,1423
0.184,1812
-0.00533,5340
-0.816,10220
-0.479,10457
-0.03,6235
0.0336,4156
-0.0164,5171
-0.192,9158
0.171,2547
0.00164,4855
-0.0775,8681
-0.197,10108
0.00116,4892
0.0431,3776
-0.116,8008
0.0226,3833
0.0554,1919
-0.109,7576
0.178,682
0.329,287
0.188,1486
0.0811,1047
0.00237,4872
-0.235,9417
-0.176,9803
-0.0294,5591
-0.189,8828
0.0342,4154
0.0235,3872
-0.071,7318
-0.125,7865
-0.162,6303
0.0608,3696
-0.0337,7016
-0.0755,8168
-0.0885,6921
-0.061,6667
0.0706,2329
-0.0646,8722
-0.188,10223
-0.18,10302
-0.0257,6384
-0.136,9546
-0.176,9415
0.304,2249
0.116,1006
-0.275,10438
0.159,1400
-0.0783,6878
-0.258,9712
-0.0884,8082
-0.0279,6230
-0.276,10443
-0.0912,8853
-0.122,9049
-0.483,9525
0.041,3930
-0.0376,7155
-0.0903,8584
-0.105,8342
-0.0599,6220
-0.153,9578
0.157,2696
0.104,878
0.0312,3358
0.136,2231
-0.359,10426
0.117,2915
-0.155,8480
-0.0667,6901
0.0415,3243
0.308,775
0.0407,3318
-0.121,8917
0.0206,4385
-0.124,9627
0.147,1126
0.256,163
0.123,2497
-0.261,9111
-0.218,9254
0.103,3061
-0.12,8016
-0.334,10359
-0.153,8731
-0.187,7235
-0.0715,6407
0.0263,3710
0.0376,2961
0.152,1680
0.114,1775
-0.00649,5215
0.268,588
0.106,2438
0.0433,2827
-0.0771,8762
-0.0226,6232
0.32,924
0.368,1210
0.0713,2211
0.298,1114
-0.241,8958
0.248,507
0.12,2233
0.0817,2814
-0.0143,5667
-0.0302,6418
0.347,462
-0.0556,7266
-1.28,10260
0.397,810
-0.0266,6194
-0.0529,7029
0.291,1369
0.0385,3338
-0.305,10141
0.579,7
0.129,1671
-0.0169,5881
0.278,609
0.0033,4981
0.103,1322
0.0271,4383
-0.187,9741
0.189,236
0.175,3105
-0.167,9341
-0.0534,5526
0.138,1605
0.00682,4668
0.113,1843
0.166,2270
0.0717,2879
0.213,961
-0.0388,6164
0.193,1324
-0.0802,9218
0.122,1979
-0.0152,5600
0.0276,4010
0.0408,3484
-0.105,8186
-0.101,9150
-0.164,8989
-0.0391,5276
-0.00508,5533
-0.0857,8665
-0.00426,5503
-0.0152,5566
0.0609,2501
0.0237,4129
0.305,1472
0.154,84
0.0738,2309
0.139,2027
0.0359,3672
0.0427,3297
-0.0677,8506
-0.0713,9762
-0.0174,5866
0.221,179
0.0143,4698
-0.0581,7532
-0.0157,4990
0.0988,1834
-0.0759,7187
-0.117,10296
0.114,1648
0.0234,4400
-0.0136,5083
-0.326,10474
-0.141,8933
1.4e-05,5034
0.0524,2513
-0.267,9692
0.182,974
-0.126,7312
-0.145,10083
0.206,1116
0.195,1261
0.237,1181
0.0138,4347
0.0966,2764
0.0702,2376
0.1,1428
-0.0649,7849
-0.0659,6711
0.0231,4175
-0.0165,5287
0.0829,894
0.204,194
-0.231,10150
0.146,1546
-0.117,6935
-0.772,9161
-0.0844,7572
0.0414,3157
-0.0264,6827
-0.096,7367
-0.111,6702
-0.334,10342
-0.253,10384
0.152,316
-0.0522,8003
0.365,407
0.14,1448
-0.0306,5462
0.113,2979
-0.0746,9206
-0.0502,6387
0.294,409
0.376,1516
-0.00785,5159
-0.00655,4990
-0.566,10266
-0.225,8487
0.0492,3238
-0.196,10174
-0.129,9047
0.0389,3559
-0.09,7402
0.24,1161
-0.0593,7260
0.275,719
-0.0635,7678
-0.0966,9654
-0.101,6814
0.129,2920
0.285,1008
-0.305,8840
-0.0725,7563
-0.0144,5456
-0.114,8923
0.208,742
-0.315,10399
0.022,4298
-0.0795,8074
-0.151,9185
0.0936,3007
-0.0703,7463
0.278,360
-0.182,6855
-0.0613,6545
0.0334,2860
-0.0819,7449
0.269,178
-0.0138,5084
0.134,1536
0.192,669
-0.281,10096
-0.102,8260
0.161,1191
0.0276,4528
0.0398,3784
0.214,491
0.187,1532
0.429,92
0.184,1657
0.027,4225
-0.133,8518
0.0901,1331
-0.226,9862
0.00737,4742
0.024,4363
0.00299,4738
0.081,3578
-0.01,5764
-0.0638,7939
-0.137,7358
-0.0868,8242
-0.0595,6574
0.0777,3770
0.132,1491
0.0442,3393
0.0111,4636
-0.134,8751
0.406,141
0.164,2847
-0.0616,7926
0.119,2810
-0.00694,5409
0.459,663
-0.0759,6561
-0.119,9404
-0.104,9730
0.0306,3924
0.0145,4711
0.148,2587
0.0422,4176
-0.039,6103
0.0614,4204
-0.239,9746
0.241,1355
0.106,1942
-0.0804,6821
0.485,656
0.12,870
-0.172,9955
0.122,1346
0.106,2437
-0.13,10073
0.558,1009
0.0148,4648
0.0173,4330
0.0653,3632
0.121,2254
0.011,4669
-1.57,10446
0.143,780
-0.132,9836
-0.102,8371
-0.0757,8173
0.162,758
0.442,459
0.0322,3438
-0.338,5932
-0.349,10164
0.0593,1907
-0.0518,7932
-0.243,9716
-0.0841,8781
-0.00324,5078
-0.795,8424
-1.29,10474
0.658,1864
-1.66,10469
0.174,3168
-0.0892,6904
0.0411,4218
0.183,970
0.152,1694
0.0507,2624
-0.0257,6560
0.903,876
0.297,937
-0.108,7175
-0.254,7604
0.00612,4767
0.0327,3419
0.0546,3903
-0.0302,5668
-0.267,10416
0.0494,3244
0.0491,3958
-0.0101,5657
0.283,323
0.00163,5108
-0.0449,6263
0.409,494
-0.0651,6495
-0.0346,6508
-0.107,7395
-0.0234,6754
-0.00585,5275
0.266,2481
0.00909,4874
0.0554,2814
0.0608,3385
-0.0491,6621
0.143,2626
-0.0517,6690
-0.13,9024
0.263,108
-0.288,10388
0.109,3085
0.0256,4229
0.144,2604
-0.0862,7280
-0.00402,5397
-0.228,8678
0.0948,2174
-0.169,8853
0.0785,2873
0.176,912
0.0556,3071
-0.0628,7300
0.0492,3883
-0.154,8342
0.00013,4727
-0.00853,6133
0.0132,4647
0.0138,4524
0.198,1795
-0.154,8570
-0.0762,7051
0.108,1151
0.0602,1450
-0.0153,7451
-0.147,9339
0.735,47
-0.134,8875
-0.0212,5399
-0.159,10323
-0.0359,6030
-0.0534,6327
0.0663,3563
-0.31,10052
0.191,1687
-0.0672,7915
0.153,1506
-0.0903,7005
-0.0182,5583
-0.224,9952
-0.0162,5999
-0.0136,5879
0.0544,3997
-0.0165,5610
-0.0852,7196
-0.108,8734
-0.0886,6991
0.0696,2682
0.0457,2708
0.533,1232
-0.0372,5556
-0.116,7625
0.00454,4734
0.0761,2094
0.108,2122
0.0277,4200
-0.252,8168
-0.0546,6123
-0.265,9635
0.121,1201
0.193,1993
-0.048,5691
-0.00478,5437
0.0336,4127
-0.051,6700
-0.0371,6582
-0.0872,9580
0.0798,2932
-0.0515,6606
-0.129,8329
0.00867,5187
-0.12,9238
0.132,2262
-0.268,10073
0.127,2694
0.0503,3737
0.0329,3975
-0.0517,7190
-0.101,8591
-0.0801,7071
-0.24,9873
0.107,1355
-0.0159,5340
0.0451,3748
-0.19,8990
-0.0855,8323
-0.35,9945
-0.169,9530
0.108,2064
0.026,3825
-0.213,8440
0.116,1599
-0.172,8900
-0.129,7922
-0.193,9922
0.115,1551
0.2,138
0.00863,4793
-0.107,9055
-0.00362,5026
-0.0935,7714
0.0262,2632
0.032,3915
0.171,554
-0.234,8604
-0.0111,4885
0.0165,4468
-0.173,9760
0.0195,4540
0.136,1675
-0.00885,5427
0.217,1569
-0.00146,5170
-0.00101,5004
-0.0194,5972
-0.27,9394
-0.0339,6110
0.541,422
0.266,1329
-0.0907,6874
-0.0852,8804
-0.0544,5350
0.221,1727
-0.0799,6641
0.393,1138
-0.11,9633
-0.0967,9084
-0.0865,8326
0.0015,4801
0.0281,4245
0.0142,4911
0.123,844
-0.0676,7244
0.306,1550
0.412,175
0.148,2227
0.359,1419
-0.0707,8433
-0.224,10207
0.0458,4027
-0.0104,5465
-0.193,9893
-0.102,7566
-0.248,10442
-0.0141,6110
-0.0195,4219
0.376,2299
-0.0827,5449
0.0653,3379
-0.135,7939
-0.0012,5308
0.0942,2807
-0.246,9594
0.0559,3367
0.046,3750
-0.216,9653
0.0276,4299
-0.0271,6210
-0.821,10391
-0.495,9548
0.0926,1741
-0.147,8274
0.0394,3728
0.0564,3823
0.212,972
-0.162,9335
-0.457,10474
-0.0482,6267
0.111,2034
0.00749,4873
0.0404,4036
0.23,455
-0.0191,5885
0.00546,4776
-0.00606,5288
-0.0792,7524
-0.465,10467
0.0786,1961
-0.0804,8239
0.37,222
0.0628,3313
0.0382,3739
0.146,1463
-0.115,8039
-0.12,8592
0.0809,1532
-0.306,9169
-0.0515,7001
-0.0075,5178
-0.0381,5515
-0.0541,7261
0.0319,3878
-0.431,10395
-0.216,10358
0.0253,4090
-0.205,8827
0.0233,4106
0.015,4552
0.123,1909
-0.00697,5515
0.173,1978
-0.291,9096
0.123,319
-0.0212,5717
-0.0992,7328
-0.072,7075
-0.0544,6839
-0.23,10284
-0.0105,5480
0.109,1461
-0.141,8440
0.00871,4671
-0.0221,5763
0.00617,4890
-0.113,8584
0.108,1127
-0.356,10226
-0.075,8464
0.478,335
0.12,2828
-0.169,9755
-0.0578,7266
0.113,2610
-0.187,10016
0.0564,3717
0.284,651
-0.109,8446
0.0264,3757
-0.0537,7759
-0.188,9617
-0.0522,6979
0.175,995
-0.0396,6744
-0.123,7980
-0.0226,6029
-0.815,10219
0.0786,3972
-0.021,5972
0.0164,4102
0.00476,4659
0.0213,4319
0.245,1156
0.444,53
0.0167,4506
-0.0726,9416
-0.275,10462
0.00339,4974
0.341,629
-0.229,9511
0.0163,4685
-0.333,10384
0.662,1860
-0.254,10298
-0.0138,5063
0.124,2169
0.039,3578
0.0462,3469
-1.61,10246
0.11,1613
0.0487,4024
-0.151,7865
0.0117,4522
0.041,4124
-0.676,9592
-0.159,5167
-0.0944,7221
0.161,2437
-0.0898,8119
-0.208,9219
0.0145,4941
-0.109,10128
-0.0278,5689
-0.255,9567
0.82,325
0.233,98
0.1,2049
-0.15,10091
0.181,1706
-0.0851,8108
-0.388,10066
0.174,443
-0.129,8752
0.0559,3383
-0.164,8664
0.0268,4442
-0.11,7769
-0.306,10237
0.062,2525
0.0565,3325
0.0988,2901
0.103,1392
-0.0424,6495
-0.361,10115
-0.141,9599
-0.0994,7237
0.111,2693
-0.421,8721
-0.0218,5803
-0.388,10345
0.0491,3206
0.211,352
-0.17,8699
0.0967,3377
0.261,558
0.0626,3659
-0.211,8887
-0.107,8223
-0.122,8732
0.18,3209
-0.212,9602
-0.104,8144
0.123,1450
0.00355,4796
-0.0703,8050
-0.0787,6955
-0.488,10213
0.688,1460
-0.0417,6913
-0.0582,7901
-0.0108,5587
-0.174,8628
-0.00828,5560
-0.0871,5827
0.206,541
-0.0319,6368
0.14,2766
-0.00282,5207
0.24,645
0.14,1908
-0.0097,5328
-0.0474,7142
0.0413,4277
-0.169,7846
-0.146,6069
0.285,1267
-0.0596,8056
-0.046,6200
-0.0996,7275
-0.0327,6314
-0.0413,6578
0.264,1724
-0.235,10172
0.142,1470
0.0832,2694
-0.032,6301
-0.0347,5416
-0.528,9818
-0.0808,8626
0.064,2309
0.111,1677
0.206,914
0.24,956
-0.148,8246
0.0798,2192
0.35,83
-0.147,8599
0.0275,4388
0.0633,2784
-0.0524,7351
-0.0599,7273
0.197,424
-0.00357,5175
-0.0125,5408
0.192,83
-0.0198,5603
0.00586,4950
-0.0657,8245
0.0317,3928
0.0783,2870
-0.0681,7225
-0.351,9990
-0.108,8514
-0.288,10248
0.157,1639
-0.216,8385
-0.0131,5341
0.0269,4455
-0.126,9937
-0.137,7318
0.0441,4151
0.19,1201
0.145,2354
-0.139,8150
0.0213,4281
-0.21,10042
-0.142,7611
-0.188,10403
-0.0796,6084
-0.164,8133
-0.0707,6894
0.0344,3386
-0.0655,7021
-0.00423,5092
-0.0684,6719
0.114,2754
-0.093,8716
0.13,1780
-0.0686,10263
0.0151,2742
0.0117,3676
-0.0089,7211
0.00991,3177
0.443,1991
0.0974,3068
-1.57,10316
-0.0317,6255
-0.00996,5247
0.139,2916
-0.0541,6136
-0.0499,5940
-0.00529,5310
0.133,2509
0.193,793
0.256,1541
-0.0624,8875
0.121,1779
-0.135,9153
-0.219,6985
-0.218,6956
0.0794,3700
0.862,391
-0.215,9759
-0.233,9793
-0.342,8380
-0.0215,5285
-0.00271,5216
-0.397,9343
-0.0835,7962
-0.0853,7938
0.0458,4306
0.26,524
0.244,139
-0.115,9432
0.0591,4140
0.151,1851
0.132,1585
0.207,1908
-0.254,9939
0.0756,2154
-0.0521,8773
0.218,780
0.0921,2426
-0.253,10134
0.0242,4381
0.271,462
0.00588,4914
0.0921,3051
-0.316,10440
0.102,2638
-0.0198,5706
0.136,869
-0.164,9349
0.177,794
0.131,855
-0.264,9309
0.117,3421
-0.091,8082
-0.0977,8565
-0.0729,6569
0.0474,3223
-0.218,9296
0.291,1224
0.0479,3323
0.183,1000
-0.0488,5519
-0.216,10416
-0.255,10081
-0.182,9982
-0.022,6204
0.205,347
-0.0466,6928
0.212,543
0.0804,3006
0.0489,4022
0.08,1851
0.105,1206
0.00175,4672
-0.0693,6320
-0.102,8263
-0.0554,6595
-0.0665,7097
0.00027,5212
0.212,315
-0.404,9457
-0.0991,7901
0.123,1555
0.00104,4559
-0.0168,5797
0.207,2992
-0.00516,5585
0.0473,3351
0.163,428
1.04,1459
0.0522,3829
0.409,1094
-0.0195,5249
0.131,1731
0.841,113
0.0939,2311
0.0171,4429
0.247,422
0.0228,4244
0.201,917
0.189,1050
-0.014,5262
0.000877,4887
-0.333,10461
-0.0357,6216
0.269,1007
-0.00599,5402
0.216,1348
-0.085,6778
0.151,1755
0.0945,2680
-1.36,10410
-0.517,6583
0.122,2147
0.0577,4038
-0.112,7387
-0.00469,4939
0.177,2015
-0.201,10082
0.338,119
0.0791,2047
-0.0828,7848
-0.0351,7935
-0.227,9976
0.139,2170
-0.0964,7448
-0.221,10452
-0.382,10433
0.142,449
-0.14,6949
-0.0427,6195
0.145,2866
0.0208,4613
0.0875,1341
-0.116,8488
-0.708,10425
-0.188,9761
-0.129,9084
-0.246,9357
-0.156,10138
-0.283,10127
0.0655,3610
-0.0803,7548
-0.218,10050
0.0476,4033
-0.0621,8776
-0.0618,7651
0.89,1175
-1.15,10440
-0.178,8446
0.0747,2249
-0.00685,4994
-0.232,9209
0.0396,4298
0.0131,4674
-0.0313,6148
0.0093,4727
-0.0322,6689
0.483,90
0.253,2759
0.613,668
-0.532,9573
0.202,516
-0.267,10214
0.101,2391
-0.0337,5257
0.211,2641
0.58,1120
0.0216,4432
-0.0491,6766
-0.0192,5067
-0.107,7999
0.202,2432
-0.129,9193
0.047,3007
0.0882,1442
-0.0671,9322
-0.179,9588
-0.0835,8661
-0.0427,7318
-0.0139,5812
-0.0429,6547
0.17,1172
-0.0261,6044
0.0965,3425
-0.15,6785
0.134,1754
0.0732,2805
-0.142,9208
0.268,714
-0.0961,7563
-0.145,8138
0.0313,4086
-0.094,8617
0.389,2052
0.401,623
0.29,1912
0.337,797
-0.11,7614
0.0236,4148
0.158,2492
-0.0731,7030
0.169,857
-0.0464,6424
0.0194,4419
0.116,25
-0.23,9366
0.455,2393
-0.019,5067
-0.157,8814
0.169,322
-0.0166,5711
0.0956,3025
-0.0156,5404
-0.16,7071
0.133,992
0.26,422
0.0331,3434
0.0768,3454
0.0992,3114
0.197,2424
-0.157,8119
-0.0193,5279
-0.101,8632
-0.159,9111
0.101,1944
-0.32,10264
-0.134,6514
0.054,3127
-0.188,10094
0.149,2584
0.0532,3118
-0.158,8918
0.395,1063
0.0463,3209
0.00285,4908
-0.306,10044
0.203,1001
0.108,3109
-0.162,7791
-0.119,8512
0.12,1432
0.0307,3849
0.0952,2760
0.00357,4973
-0.234,7383
-0.0763,9001
-0.0942,8726
-0.198,8279
0.0423,3981
0.00829,5110
-0.0327,6097
-0.197,9558
-0.184,8750
0.57,75
-0.141,8429
0.16,202
-0.0811,8101
0.181,414
0.248,162
0.0583,2902
0.0137,4451
-0.039,6066
0.255,1011
0.027,3945
0.0381,3723
-0.0692,7762
-0.221,8833
0.124,1557
-0.000167,4726
0.0518,3473
-0.134,9901
0.248,1707
-0.0257,5637
-0.00601,5172
0.0995,3625
0.181,1089
0.0014,5070
-0.0652,6065
-0.0855,7788
0.338,2534
0.0862,2593
-0.251,10292
-0.109,8594
-0.0874,8526
-0.19,9406
-0.98,9584
-0.034,6415
-0.376,10463
-0.00748,5381
-0.199,8150
-0.109,6425
0.116,1695
0.0287,3973
-0.152,10161
-0.0203,5831
0.162,1606
-0.0187,5391
0.11,2513
-0.0303,6207
-0.0593,7435
-0.0982,8738
-0.0432,6955
0.0403,4413
-0.00292,4908
0.0556,2445
-0.131,9966
0.11,2361
-0.0155,5662
0.142,3012
0.109,2834
0.103,2534
-0.122,8248
0.0388,4119
0.432,164
0.336,980
0.344,756
-0.0388,6862
0.0466,2913
0.0462,4015
-0.0357,6400
-0.0261,6216
-0.162,8314
0.0222,4022
-0.00939,5737
-0.0795,6489
-0.0616,6894
0.0397,4001
0.69,985
-0.154,8234
0.00907,4777
-0.222,10396
-0.0113,5406
-0.0503,7394
0.39,747
-0.0353,7277
-0.0761,7005
0.227,1626
0.671,640
-0.4,8541
0.0131,4957
-0.107,8149
-0.0218,6118
0.0298,4090
-0.0222,5947
0.379,959
0.327,299
0.0112,4823
-0.0386,6886
-0.0834,7017
-0.562,10452
0.00743,4655
-0.206,10016
0.0227,4016
0.252,396
-0.057,6449
0.0337,4311
-0.126,9021
0.0381,4329
0.00696,4613
0.271,1230
-0.0545,7176
0.136,2354
-0.118,9993
0.0277,4325
0.103,854
-0.0888,7026
-0.061,6886
0.125,1146
-0.897,10448
0.16,1630
-0.0299,7088
0.204,252
-0.0715,7042
0.295,350
0.148,2351
-0.395,10048
-0.00848,5512
-0.0458,7109
-0.0069,5102
0.25,1335
-0.17,8795
-0.172,9142
-0.0406,6388
-0.041,6771
0.347,2721
0.0548,3743
-0.0207,5402
0.18,842
0.0692,3024
0.451,909
0.341,79
0.14,2556
-0.387,10020
0.0111,4664
-0.139,9882
-0.147,9148
0.0546,3268
-0.0256,6259
0.267,621
-0.114,8958
0.0994,1349
0.000591,4992
-0.00312,5154
-0.0985,6251
0.0773,3338
-0.14,9353
0.0719,2729
0.164,1130
1.86,583
0.105,3506
-0.219,9193
0.943,786
-0.0232,5902
-0.195,8753
0.0144,4743
-0.0883,8035
0.0795,2941
-0.0975,7719
0.109,3252
-0.0312,6916
-0.0731,7671
0.12,1846
0.111,3192
0.00173,4795
-0.109,8344
-0.0817,9269
0.0399,3973
0.0963,2125
-0.00228,5074
0.126,1230
-0.149,10254
0.132,832
0.11,1815
-0.0036,5095
-0.41,8913
0.0575,3897
-0.216,9782
-0.218,10206
0.0362,3878
0.188,264
-0.0197,5268
0.0782,3429
-0.161,8900
0.0251,4308
0.0176,4517
0.0761,3901
-0.0242,5703
0.105,3204
-0.201,10318
-0.133,9329
-0.0996,8975
-0.0615,6002
-0.0409,6715
0.0778,3138
0.045,2355
-0.0492,6895
-0.174,9708
0.171,1103
-0.0714,7538
0.134,2626
0.285,804
-0.251,8637
0.124,2570
-0.0558,6594
