coef,rank
1.17,547
0.0287,4304
0.203,1419
-0.463,10088
-0.518,9699
0.348,149
-0.0741,8053
0.088,2913
-0.187,8870
0.0252,4379
-0.015,5732
-0.0363,6823
-0.129,9328
0.131,2282
0.248,1783
1.53,140
0.0383,2893
-0.0606,8789
-0.0457,6550
-0.0677,7289
-0.288,9971
-0.325,8828
-0.051,6567
-0.036,6165
-0.227,8228
-0.133,7861
-0.027,6212
-0.366,7045
-0.0851,6783
-0.0515,7031
0.0234,4452
-0.102,6338
0.0322,4209
0.162,2653
-0.0859,8068
0.0832,1521
-0.043,6774
-0.0816,6533
0.209,862
-0.1,7630
-0.0496,6988
-0.0341,7598
0.164,1956
-0.032,6445
-0.0232,5517
-0.151,8248
-0.0286,6732
-0.00755,5602
-0.191,8751
-0.00835,5291
-0.0793,7029
-0.198,8951
0.11,2392
-0.0476,7567
0.166,1457
0.0807,3254
-0.546,10091
-0.172,8667
0.0433,2859
0.17,411
0.0752,3362
-0.0148,5290
0.0587,2754
0.11,574
0.0284,3869
0.0118,4615
0.0493,3201
0.0521,3133
0.361,85
-0.12,5282
-0.0148,5857
0.0141,4376
0.315,222
0.118,2395
-0.039,6046
-0.0274,6203
-0.102,8763
0.0429,3382
0.234,94
0.0628,3171
-0.337,8425
-0.0829,6450
-0.0964,9410
-0.0324,6354
-0.0302,6031
-0.143,7817
-0.168,9802
-0.155,7276
0.178,120
-0.0753,9088
0.0866,3132
-0.0262,5789
0.015,4783
-0.0521,6311
-0.136,8444
-0.0335,6539
-0.364,10180
-0.0863,8645
0.0043,4955
-0.004,5165
0.0562,2719
0.0867,2342
0.0288,4009
-0.127,7662
0.0969,3434
0.351,434
-0.0747,6365
0.0491,3797
-0.115,7846
-0.0666,6795
0.366,1306
-0.0945,7013
-0.0108,5605
-0.102,9708
-0.113,8228
-0.0866,7945
0.116,1115
-0.18,8925
0.249,559
-0.125,9877
-0.11,9621
-0.0589,7874
-0.283,9304
0.372,1181
-0.0557,7600
-0.088,6692
-0.0614,5951
-0.215,9785
0.021,4391
0.0554,3449
0.0947,1555
-0.243,10308
0.357,416
0.102,1971
-0.0479,3884
-0.362,9895
0.0685,2515
-0.126,9125
-0.249,8447
-0.0164,6019
-0.168,8645
0.0425,3775
0.0482,3473
0.114,1465
0.516,39
-0.00993,5310
-0.146,9932
0.00514,4843
-0.167,9476
0.0904,1694
-0.305,6984
-0.113,8313
-0.291,9152
-0.0695,7092
0.072,2913
0.0423,3699
-0.0957,6803
0.198,695
-0.0588,6454
0.055,3426
-0.116,7986
0.197,31
0.191,960
-0.0794,7263
0.0711,2448
-0.000409,5290
-0.268,10303
0.0326,3838
0.0306,4079
-0.305,9494
0.146,1076
-0.0941,8940
-0.09,9893
-0.049,6771
-0.103,9045
-0.226,9709
0.417,838
0.00812,4614
0.0835,2014
0.132,2133
