coef,rank
-0.249,6589
0.319,741
0.0553,3639
0.625,286
-0.101,5723
0.313,238
0.149,681
-0.0971,7302
-0.157,8368
-0.119,7789
-0.0581,7273
-0.032,6610
0.0978,1937
0.0675,3557
0.346,1067
0.147,3543
0.0233,3744
0.0872,782
0.0425,3656
0.095,2228
0.0701,3543
-0.188,7140
-0.166,9359
-0.114,8319
-0.135,6895
-0.0225,5534
0.112,1467
-0.353,6878
0.00567,4841
-0.145,9455
-0.23,10058
1.11,43
-0.101,7439
0.372,928
-0.0201,5661
0.0334,3376
0.0202,4446
-0.076,6407
-0.21,9814
0.012,4533
-0.272,10456
0.0628,1647
0.111,2740
0.168,791
-0.206,9476
-0.144,8102
0.0518,2091
-0.0138,6035
-0.00123,4858
-0.007,5247
-0.256,10082
0.223,1143
-0.0938,7735
0.0855,1344
0.204,992
0.129,2401
-0.203,6833
0.246,1023
-0.0513,7852
0.142,726
0.273,783
0.0169,4381
0.0186,4353
-0.0145,6035
-0.104,8945
-0.0828,8689
0.114,1297
-0.0926,8507
0.127,1948
-0.503,9125
-0.0157,5910
-0.167,9880
0.119,2062
-0.0478,6089
0.0757,3686
-0.197,10074
-0.047,6973
-0.0184,5669
-0.0258,6314
0.14,1320
0.374,2009
-0.0583,5915
-0.0391,7236
-0.0703,7888
-0.0746,7491
0.139,2532
0.123,1640
0.091,3461
0.0222,3721
-0.0437,7727
0.0796,3284
-0.0701,6972
-0.0289,5660
0.074,3519
0.0069,5026
-0.0961,8880
-0.051,5716
-0.0694,8063
-0.0257,6050
0.105,2239
-0.141,9899
0.0149,4582
0.348,27
0.0986,2920
-0.199,8276
0.146,2328
-0.149,7735
0.119,2399
-0.13,8160
0.0239,4357
-0.077,5782
-0.0262,5249
0.0291,3593
-0.0294,6815
-0.117,8308
-0.0366,6367
0.0504,2911
0.293,446
-0.132,8620
-0.0559,7763
-0.0171,6167
-0.108,9439
-0.204,8320
0.152,2980
0.0619,2527
-0.227,9065
0.0182,4476
-0.0791,7128
0.129,2081
-0.241,10145
-0.00217,5124
0.0487,3828
0.288,756
0.00294,5137
-1.23,10199
0.113,3130
0.133,997
0.0543,3225
0.186,2239
-0.105,9549
0.0604,3633
-0.0313,5707
0.0448,3573
0.212,263
-0.0446,6040
0.313,520
-0.0869,8613
-0.0193,5378
0.0885,2481
0.0414,3285
-0.498,8880
-0.055,6849
-0.137,6979
0.0637,3162
0.218,685
-0.055,7006
-0.0615,6151
0.0924,2386
0.288,447
0.0165,4492
-0.161,8902
0.0736,1387
0.00785,4856
-0.202,9507
-0.16,10053
-0.00434,5481
0.191,1015
0.0581,2876
-0.216,9753
-0.299,9432
0.00691,5064
0.0661,2548
-0.00112,5247
-0.0491,6774
0.0805,1897
0.144,1725
-0.241,8403
0.0495,2257
-0.116,9195
0.0963,2810
-0.16,10025
-0.0835,8657
-0.109,9713
0.0715,745
-0.0616,7453
-0.0138,5631
0.0683,3298
0.212,262
-0.289,8494
0.0655,2790
-0.0214,5396
-0.026,7081
0.157,898
-0.114,7765
0.123,2961
-0.076,8232
-0.0845,7580
-0.224,9048
0.000527,5130
-0.0856,6699
-0.188,9535
-0.314,9830
0.0655,2182
0.102,2687
0.0346,4198
0.182,1814
-0.0639,6948
0.09,2882
0.0962,1688
-0.0445,7191
0.059,2984
-0.184,9113
-0.157,8597
-0.169,8991
0.0214,3549
-0.0743,8146
0.0144,4859
-0.158,9140
-0.0677,6071
0.199,2655
0.0276,4353
-0.0417,7134
-0.0848,9470
-0.05,6325
-0.0106,5025
-0.145,8396
-0.0926,8229
-0.0066,5322
0.0113,4488
0.0576,3631
0.00997,4688
-0.114,7118
0.0619,3926
-0.00571,5420
0.0381,3934
-0.197,9426
0.111,3451
-0.0754,7027
-0.153,8019
-0.263,8225
-0.175,7802
0.013,4566
-0.0388,6712
0.0477,3398
-0.0225,5751
0.0475,3372
-0.339,10322
0.00553,4896
0.185,1503
-0.0865,8462
0.0546,2244
0.184,2088
0.0828,3549
-0.295,9633
0.134,3199
-0.105,8472
-0.134,9474
-0.0522,6956
0.0673,3183
0.0512,3786
-0.122,7973
0.0242,3876
0.27,369
-0.224,9072
0.0141,4553
0.388,88
-0.015,4789
0.324,508
-0.0247,7004
0.173,1180
-0.151,9351
0.145,1956
0.369,37
0.00986,4587
0.0157,4662
-0.0953,8097
-0.0507,6569
0.0395,4271
-0.188,9959
0.251,270
0.00146,4828
-0.239,9922
-0.0289,5726
-0.245,9869
-0.238,10000
0.0237,3874
-0.093,7552
0.395,174
-0.139,8174
0.178,1706
0.199,2060
-0.0168,6134
-0.0103,5804
-0.00499,5096
-0.123,9218
-0.165,8753
-0.00948,5342
0.179,799
0.124,1309
-0.148,8779
0.0428,3739
0.126,2305
-0.151,6852
-0.0535,7555
0.116,2881
0.118,1385
-0.285,8634
-0.0554,6096
-0.0867,8550
-0.061,8359
-0.0103,5426
-0.0874,7508
-0.19,8116
-0.301,9735
-0.0107,5349
-0.197,8354
-0.00915,5377
-0.0786,6274
0.338,71
0.0876,3193
-0.28,8880
-0.0905,9103
0.0102,4856
0.18,480
-0.151,8878
0.0453,2645
-0.302,7808
-0.0647,8288
-0.0349,6638
-0.265,9750
0.0593,3517
0.0626,3527
-0.557,7588
-0.0512,7431
0.00213,5102
0.00261,4994
0.0178,4308
0.0168,4551
-0.148,7503
0.0335,3383
-0.247,4819
0.0871,3353
-0.0563,8295
-0.0232,6379
0.197,1487
0.0388,3198
0.233,628
-0.805,8464
-0.0666,5064
-0.638,7899
-0.797,9511
-0.305,6393
-0.113,7446
0.203,1748
0.13,1734
-0.248,9836
0.0297,3635
-0.0779,9212
-0.219,5908
0.00747,4839
0.0227,4316
-0.17,6514
-0.0359,6011
0.0741,1759
-0.19,7325
0.0197,4496
-0.223,10277
-0.0825,7819
0.0694,3537
-0.0251,6339
0.221,726
0.103,3096
-0.0926,7583
-0.0233,5221
-0.106,7485
0.132,1104
-0.28,9873
-0.0866,9520
0.0465,3841
0.0447,4216
-0.105,8799
-0.0669,7283
-0.139,8819
0.236,481
-0.202,8599
-0.206,9867
-0.066,7359
0.103,1740
-0.00144,5031
-0.0542,6072
0.103,2144
-0.0555,5879
0.0139,4798
-0.129,9345
-0.196,8211
0.0357,3865
0.313,517
-0.104,8015
-0.0769,7650
-0.164,9943
0.0432,3746
-0.0568,6036
-0.0176,5333
0.382,1864
-0.0294,8336
0.0845,2131
-0.264,9709
-0.00364,5161
0.0729,3450
-0.136,8366
-0.023,6026
0.0242,3226
0.00588,4301
-0.114,8657
0.166,2441
0.0871,2549
0.38,379
0.116,795
-0.104,7952
-0.154,8621
0.0745,3378
-0.245,9564
-0.153,7885
-0.11,9212
-0.00589,5384
-0.162,8396
-0.28,10132
-0.0221,5657
0.152,449
-0.106,9105
-0.0692,6949
-0.0419,6407
0.158,2267
-0.0635,7496
0.164,1598
-0.0362,6522
-0.0759,9060
-0.402,8300
0.128,2590
-0.127,7874
0.106,3407
-0.0314,6552
0.0288,4134
0.121,2414
-0.145,6788
-0.177,8594
0.245,1219
-0.0232,6111
0.0607,3860
0.228,1682
-0.077,7491
-0.188,9081
0.21,646
0.0291,3836
-0.0113,5777
-0.0587,6431
0.0801,3018
0.166,1641
0.022,4748
0.0615,2646
-0.292,10104
-0.0427,6028
-0.0975,7017
0.0926,2730
-0.0324,5937
0.179,630
0.165,878
-0.17,9023
-0.214,9633
0.114,1234
0.0217,4175
-0.0585,6846
-0.0187,5560
0.103,1986
-0.248,8908
-0.187,9776
0.0553,3336
-0.0563,7489
-0.389,10060
0.0334,4046
-0.228,9675
0.0104,4837
0.0901,2638
0.0255,4263
0.00876,4731
-0.185,10201
-0.0883,8517
0.0766,2510
