coef,rank
-0.268,6792
-0.0178,5208
0.0383,4009
0.174,2736
-0.26,7495
-0.318,10356
-0.0893,8554
-0.0249,5471
-0.263,9835
-0.263,9941
0.0751,2661
0.274,22
-0.103,8757
-0.0492,6398
0.00612,4823
-0.472,8999
-0.063,8761
0.0424,2426
0.186,710
-0.159,9476
-0.0392,5927
0.353,1505
0.0334,4007
0.203,670
-0.102,6434
0.19,1739
0.0487,3272
0.772,1160
-0.0324,5659
-0.0285,6177
0.172,1264
0.413,1146
-0.293,10176
-0.165,7409
-0.0495,6771
0.0269,3696
-0.1,8543
-0.235,9129
-0.0312,5919
0.0151,4434
-0.0409,6602
-0.125,10329
0.238,1064
-0.0457,6959
0.0899,2900
0.021,4331
-0.0743,9039
-0.159,10441
0.447,148
0.183,691
0.209,756
0.024,4329
0.0162,4683
0.143,358
0.0163,4849
0.0177,4576
-0.188,6643
-0.222,9351
0.0281,3588
-0.0336,6536
0.119,2572
-0.01,5152
0.0108,4690
-0.06,8531
-0.118,9274
-0.0102,5633
0.0708,2423
0.0392,3561
-0.019,5598
-0.0798,4954
-0.000841,5185
0.0376,3514
0.322,196
0.11,2522
-0.108,7501
0.0426,3771
-0.131,9438
-0.0437,6591
0.0718,2225
-0.0636,7494
-0.0156,5052
0.158,2135
-0.0355,7064
-0.112,9162
0.0301,4088
0.0631,3790
0.0342,4004
-0.406,10031
-0.0942,9378
-0.0684,8843
-0.0822,7059
-0.0206,5639
-0.312,9975
-0.381,10390
-0.0642,6828
0.147,647
0.0385,3978
-0.0544,7502
0.0631,3001
-0.00258,5118
0.101,1379
-0.0089,5402
-0.186,10127
-0.299,9994
0.268,1576
-0.113,7529
-0.2,8504
-0.109,7781
0.307,333
-0.14,8448
0.527,646
-0.066,6255
-0.026,6381
0.0992,826
-0.179,9459
-0.0254,5992
0.0747,2118
-0.0897,6981
0.0552,3587
0.0276,3544
-0.0642,8296
0.0254,3950
-0.202,8295
0.158,2918
-0.000273,5116
0.448,426
-0.119,7043
0.0724,2911
-0.096,7512
0.0555,3447
-0.03,6391
-0.104,8557
0.308,641
0.121,1535
0.461,2205
-0.249,8774
0.223,163
0.0644,2908
-0.0148,4801
-0.00376,5360
0.0322,4310
0.00629,4678
0.209,637
0.129,1197
-0.103,7451
-0.0287,5734
0.138,678
-0.205,9010
0.144,1424
0.154,504
-0.301,6950
-0.152,9096
0.133,2705
-0.101,7995
-0.0235,5561
0.111,1892
-0.228,9019
-0.078,7544
0.143,1803
0.0347,3971
-0.0278,5821
0.0941,852
0.295,287
0.0847,3125
0.139,865
-0.138,9951
0.085,2908
-0.0432,7078
-0.0282,5662
0.0923,3176
0.165,822
0.0688,2449
0.00755,4632
-0.014,5535
-0.132,9690
0.124,2050
-0.0405,5546
0.0647,1603
0.0697,2419
0.272,548
-0.0431,7060
0.0712,2261
0.0171,4238
-0.0801,9972
-0.0806,8063
0.078,2175
-0.136,8515
-0.0705,7946
-0.216,7576
0.0728,2580
0.00152,4649
-0.0544,8706
0.0104,4663
-0.0953,7302
0.157,2495
0.139,874
0.174,1065
