coef,rank
-0.143,5605
0.323,721
-0.0189,5230
-0.0534,5622
-0.192,6752
-0.108,7775
0.0814,1992
-0.149,8445
0.0436,3866
-0.0968,7306
-0.0918,8344
-0.111,9487
0.0345,3873
0.129,2307
-0.105,6553
0.378,2334
0.0687,1531
-0.00906,5677
0.103,2035
-0.104,8340
-0.123,7769
0.656,443
-0.182,9593
-0.11,8216
-0.231,8276
-0.227,9318
-0.121,9242
-0.138,4648
-0.00807,5120
-0.00448,5299
0.177,1196
0.0776,3930
-0.219,9521
0.0314,4317
-0.0682,7487
0.0256,3757
-0.267,10415
-0.223,8966
0.275,400
0.0475,3547
0.00886,4368
-0.0767,9495
-0.089,7148
-0.0214,6058
0.372,165
-0.169,8572
0.0582,1856
0.0277,3272
0.099,2891
0.148,1089
0.0296,3983
-0.241,9534
-0.0472,6519
0.0741,1657
0.0715,3395
-0.24,9675
-0.233,7233
0.309,598
0.0354,3218
-0.0145,5677
-0.104,7282
-0.0293,5756
0.0413,3427
0.043,2733
-0.141,9700
-0.214,10419
0.104,1523
0.0929,1927
0.184,1058
0.881,450
0.0777,1955
-0.044,6636
0.298,283
0.0296,4211
-0.302,10029
0.143,1440
-0.0479,7001
-0.0338,6251
-0.12,9549
-0.155,9637
-0.701,10292
-0.0109,4944
0.159,293
-0.0876,8499
-0.141,9121
-0.18,8441
-0.0347,6401
0.234,1933
0.111,753
0.00248,5026
-0.0869,7179
0.0321,4255
-0.0327,5737
0.116,2775
0.21,1150
-0.108,9180
0.484,149
-0.137,9824
0.021,4373
0.00579,4859
-0.0712,8167
-0.0199,5797
-0.0361,6522
-0.0505,5988
0.21,2098
-0.249,9635
0.176,2033
0.171,1569
0.0703,3104
0.0649,3351
0.0465,4227
-0.027,5272
0.00723,4640
-0.0618,8445
-0.00728,5418
0.351,52
0.263,60
-0.128,7866
-0.0105,5388
-0.0675,8247
0.124,795
-0.0671,8213
-0.0664,6018
0.283,1811
0.0978,1463
-0.147,7822
-0.094,6605
-0.178,9301
0.0282,4215
-0.000978,4994
0.27,32
0.172,1030
0.15,2166
-0.0933,8440
0.339,2443
-0.215,8315
-0.0438,6881
-0.188,10076
-0.158,7109
-0.0523,7743
0.0509,3861
-0.00965,5107
0.022,4225
-0.0656,7786
-0.0409,5939
0.07,3498
0.0589,2606
0.0418,4092
0.124,1766
-0.0351,6706
0.543,1497
0.165,1425
0.0492,3883
-0.0165,5484
0.0381,3741
-0.0133,5558
-0.0392,5743
-0.0721,7381
0.104,2512
0.0426,3768
0.119,2432
-0.0342,7195
0.183,1032
0.0719,3424
0.00754,4843
-0.122,9695
-0.158,9245
-0.141,9946
0.179,1160
0.047,3818
0.19,548
-0.0763,8356
0.0913,566
0.0113,4657
0.0468,3019
0.0454,3661
0.254,1879
0.0061,4748
0.0231,4004
-0.0167,5465
-0.186,10248
-0.00959,5635
-0.00749,5629
-0.0779,9926
0.131,1342
-0.0231,6020
0.159,1588
-0.105,8972
0.359,1374
0.0147,4668
-0.0186,5306
-0.00659,5649
0.0875,2234
-0.0266,5613
-0.245,8949
-0.0556,7516
-0.0785,7429
-0.16,8099
-0.0776,8989
0.207,1396
0.0231,4143
-0.0368,5608
-0.074,8384
0.242,799
0.0439,4000
0.101,3038
0.0874,2382
0.0636,3434
0.0126,4438
0.236,90
0.136,1020
-0.155,8630
-0.0409,5811
0.24,607
-0.0169,6093
-0.061,7671
-0.182,9683
0.219,726
-0.168,7783
0.0771,2997
-0.047,6522
-0.0182,6006
-0.00416,5473
0.0829,3258
0.0465,4162
0.118,2376
-0.148,9490
0.072,1802
0.000328,5160
-0.229,9189
-0.0486,6514
-0.0374,5612
0.0475,4210
0.0219,3681
-0.0365,6011
0.0749,3130
-0.0557,5229
-0.0993,7634
-0.0167,5223
0.0436,4341
-0.159,7560
-0.0637,7662
0.00217,5188
0.169,838
-0.0755,7649
-0.0128,5089
0.0492,4078
-0.0968,8460
-0.127,8097
-0.0123,5622
0.0711,1612
0.496,252
0.0138,4619
-0.381,10190
-0.327,9070
-0.0983,8292
-0.0791,7970
-0.0174,5710
-0.00103,5123
-0.00245,5263
0.000654,4846
0.0504,2892
-0.0196,5808
-0.255,9417
-0.00427,5204
-0.132,8368
-0.276,8080
0.171,1892
-0.106,10185
-0.151,9036
-0.113,8544
0.0785,3142
-0.02,5860
-0.156,9449
0.252,911
-0.0216,5876
0.188,886
-0.027,5728
0.217,438
-0.188,9805
0.0068,4714
-0.145,8650
-0.165,8556
0.0385,3933
-0.188,9434
-0.1,9482
-0.191,9463
-0.272,10000
0.244,840
-0.187,8628
0.0253,4498
0.0646,2229
0.0104,4918
0.199,2243
-0.0569,7327
-0.0616,6630
-0.0975,6965
0.0268,4130
0.131,1166
0.159,1484
0.117,1904
0.109,2646
0.0915,3660
-0.0314,6517
-0.0813,7066
0.105,1691
-0.244,8094
-0.0118,5107
-0.0344,6557
-0.015,6039
-0.0257,5994
-0.0722,7121
-0.0405,5483
-0.304,9750
-0.138,8557
-0.0972,6837
0.035,4359
0.0161,4459
0.101,2076
-0.182,8759
-0.253,8566
0.0276,3840
0.035,3926
-0.0659,7798
0.00595,4818
-0.0262,6409
-0.502,9661
-0.154,10207
-0.0834,8559
0.286,756
0.0161,4514
-0.345,10271
-0.486,6962
-0.167,10104
-0.0344,6791
-0.0442,6633
0.0889,1750
-0.168,10033
-0.239,8854
0.0264,3715
-0.173,4139
-0.107,7207
-0.0545,8222
0.0975,873
0.139,2265
-0.0108,5589
0.444,21
-0.248,5369
-0.144,5853
-0.0816,3770
-0.219,5028
-0.255,5901
0.00764,4677
0.0685,3726
-0.119,8667
0.0587,3448
-0.0289,6899
0.0217,3567
-0.225,5962
0.00946,4809
-0.0855,6721
