coef,rank
-0.197,6113
-0.00103,4877
0.378,316
-0.19,7545
-0.25,7386
0.000579,4850
0.0733,2247
-0.188,9117
-0.121,7648
0.0044,4883
0.016,4645
-0.161,10212
0.0328,3926
-0.184,9179
-0.119,6782
-0.462,8909
-0.104,9967
0.00824,4446
0.0534,3336
0.0348,3914
-0.252,9704
0.0838,3768
0.342,91
0.0813,2707
0.173,2723
0.133,2505
0.0851,2170
0.502,1912
-0.332,10154
0.0191,4448
0.0962,2608
0.131,3371
-0.047,6171
-0.372,9800
-0.031,6085
0.0856,1472
0.142,1104
0.00653,4790
0.195,997
-0.125,8230
-0.0424,6676
-0.0703,9296
-0.0863,7095
0.44,3
0.0323,4156
-0.0424,5827
0.0822,1009
0.0914,738
-0.13,7689
-0.0578,6965
-0.0618,6576
0.0359,4079
0.117,2244
-0.0176,6028
0.0244,4638
0.109,2755
0.00895,4322
0.124,2510
0.00589,4863
-0.0482,7131
-0.125,7709
-0.177,9374
-0.0756,8334
-0.0436,7738
0.0574,2782
0.0359,3532
0.0856,1960
0.00918,4758
-0.0603,6809
-0.1,5094
0.0387,3352
0.00898,4561
0.0216,4389
-0.135,8180
-0.0475,6224
0.227,486
0.0518,3174
0.0238,4083
-0.0641,7928
0.166,935
0.291,2542
0.0161,4406
0.151,341
-0.00426,5186
-0.0506,6710
-0.142,7803
0.0484,3553
-0.0477,5492
-0.0331,6820
0.00477,4872
-0.2,9293
0.0989,2727
-0.183,8549
0.019,4679
-0.151,8735
-0.0869,8580
0.212,1561
-0.15,9998
-0.0522,6937
-0.257,10191
0.00414,4897
0.03,4068
-0.0277,6220
-0.245,9509
0.0378,4309
0.411,258
-0.171,8061
0.00608,4874
-0.0435,6052
-0.0574,6547
-0.244,7961
0.327,316
-0.0841,8906
-0.0321,6963
0.42,51
0.0839,2500
0.0855,1812
0.017,4350
-0.155,9078
0.0425,2859
-0.101,9425
-0.004,5301
0.26,1368
0.189,2627
0.159,448
0.297,1125
0.037,4165
-0.133,8413
0.00179,4891
