coef,rank
-0.325,7357
-0.0524,5886
-0.0882,6822
0.0737,3866
1.78,18
-0.0938,7414
0.146,707
0.00168,4821
-0.246,9650
-0.0912,7173
-0.208,10208
-0.0871,8839
-0.12,9155
-0.0961,7553
-0.154,7354
0.137,3593
-0.0937,9741
-0.0253,6816
-0.0814,7711
-0.158,9447
0.0609,3745
-0.507,10103
0.0459,3619
0.149,1321
0.000621,4890
-0.0735,6662
0.0303,3945
-0.26,5685
-0.0407,5836
0.152,1026
0.029,4296
-0.11,6453
-0.204,9315
-0.141,7021
0.461,1
0.00449,4820
-0.107,8718
-0.0854,6602
-0.0795,7280
0.135,1746
0.000244,4746
0.0512,2125
-0.0281,5705
-0.06,7450
-0.113,7833
-0.0983,7127
0.0357,2839
0.0468,2282
-0.275,9855
0.0272,4117
0.16,1312
-0.0531,6113
0.036,4112
-0.0453,7464
-0.0461,6662
-0.266,9929
0.141,2978
0.0868,3165
0.00816,4720
0.185,281
-0.187,8843
0.353,110
-0.0644,7947
-0.0988,9784
-0.133,9571
-0.0428,7177
-0.0652,7976
-0.0891,8402
-0.0998,7883
-0.0951,5062
-0.0056,5412
0.0386,3483
0.077,2968
0.248,814
-0.0522,6326
0.0522,3503
-0.0424,6807
0.048,3232
0.0313,3729
-0.0568,7252
0.0323,4574
0.311,724
0.0957,1233
-0.119,9334
-0.00305,5126
-0.15,7960
-0.192,10053
-0.209,8067
-0.0551,7901
0.049,2449
0.0603,3707
-0.126,8291
0.527,145
-0.155,8482
0.112,2569
-0.0355,6633
-0.0571,5848
-0.0141,5753
0.263,202
-0.0438,6356
-0.0669,7997
-0.11,8701
-0.152,9708
0.0436,3968
0.0495,4115
-0.0999,7260
0.975,3
0.228,894
-0.0357,5845
-0.219,9739
0.0929,3750
-0.0427,5663
0.0349,3327
0.0185,4027
-0.102,7974
0.0951,2214
-0.0143,5538
0.138,1919
-0.261,10238
-0.0044,5179
-0.073,8621
-0.108,9454
0.207,1851
-0.291,8816
-0.0934,8960
0.589,183
0.199,1820
0.176,1120
0.132,2019
-0.173,9421
-0.052,7358
-0.0851,8078
-0.337,10208
0.0654,2966
-0.301,5610
0.338,1108
-0.0414,6786
-0.0149,5635
-0.284,8866
-0.0637,8240
-0.11,7500
-0.264,10042
0.00632,4700
0.116,1441
-0.0743,6768
-0.0381,5988
-0.0274,6256
-0.108,7251
-0.111,8370
0.0386,3395
-0.237,6282
-0.0283,6046
0.21,1845
0.113,2065
0.496,15
-0.0672,7400
0.114,3035
-0.0651,7152
0.144,1798
0.287,293
0.601,15
0.11,559
0.0845,2785
0.154,1957
0.2,243
-0.0194,6180
0.203,899
-0.0617,7822
0.209,822
-0.254,8924
0.0929,2175
0.0301,3879
0.0311,3047
0.0909,2244
0.182,300
-0.144,8420
-0.229,8266
-0.0457,8008
-0.0661,7722
-0.282,10108
-0.049,7263
0.0103,4690
-0.00506,5470
-0.0616,9486
0.214,397
0.0422,3290
0.0256,4366
0.125,1220
0.267,2013
-0.0252,6285
-0.0464,6226
0.0261,3300
0.0787,2451
-0.135,8199
-0.216,8544
-0.0378,6782
-0.126,8625
-0.0471,5952
0.0671,1926
-0.00803,5005
0.0111,4484
-0.285,9580
-0.0294,6473
-0.0869,7162
-0.0605,6539
0.169,1981
-0.0585,6789
-0.256,9898
-0.163,10045
0.004,4968
0.0166,4599
-0.104,7585
0.11,2342
0.0867,2707
-0.087,9669
0.0694,2301
0.134,1853
-0.0119,5373
0.141,2717
5.01,15
0.367,75
-0.112,9569
-0.0534,8307
-0.196,9211
0.0336,4356
-0.0581,6361
-0.0273,6024
0.00836,4554
0.0981,1023
-0.173,8307
-0.105,8116
