coef,rank
-0.297,7078
-0.283,9651
0.0404,3960
0.272,1817
-0.402,8908
0.289,316
0.0011,4989
-0.227,9614
-0.00398,4916
-0.0392,5952
0.111,1727
-0.0182,5989
0.187,474
-0.291,10198
0.00118,4903
-0.359,7712
0.0839,1069
0.0622,1517
0.0413,3699
-0.236,10237
-0.262,9779
-0.0735,5658
0.0323,4034
-0.227,10109
-0.406,9931
0.0715,3506
0.00768,4831
-0.34,6698
-0.168,8377
0.097,2122
-0.132,8714
-0.228,8083
0.0756,3258
-0.0481,5612
0.00443,4744
-0.0032,5217
-0.153,9621
-0.163,8060
-0.039,6125
0.163,1339
0.0534,2710
0.011,4579
-0.187,9004
-0.0142,5802
0.0711,3246
0.135,2203
0.00788,4412
-0.0793,9425
0.00881,4636
-0.0769,7567
-0.196,9486
0.215,1242
0.294,290
-0.00399,5296
-0.0463,6667
-0.0248,5612
-0.369,8856
0.065,3612
-0.0723,8698
-0.0726,8061
0.397,253
-0.0737,7028
-0.0341,6725
0.067,1687
0.082,2030
0.0191,4282
0.0256,4161
-0.00281,5182
-0.151,8999
0.237,2658
0.101,1329
-0.0395,6463
-0.118,8169
-0.034,5739
0.189,1820
0.0193,4552
-0.0313,6363
-0.00589,5176
0.147,673
0.166,936
-0.107,6045
-0.176,8222
-0.00262,5344
-0.0143,5611
0.00322,4922
-0.17,8277
-0.128,9130
-0.0459,5465
0.0615,2011
0.00236,5037
-0.2,9295
0.249,698
0.206,1764
-0.158,8540
-0.0335,6055
0.0892,1668
0.379,429
0.0131,4496
0.281,147
0.0707,3014
0.146,601
0.115,1660
-0.0704,7799
0.0546,3761
-0.185,8084
-0.0662,6523
-0.0182,5216
0.00278,4962
0.0672,3174
-0.0616,6655
-0.112,6233
-0.136,8008
-0.0302,6586
0.0793,1307
0.205,970
-0.048,6726
0.0671,2335
-0.159,8535
0.389,89
-0.00772,5330
0.112,1005
-0.154,10166
-0.0769,6208
-0.265,8500
-0.0612,7823
-0.057,6115
-0.116,6995
-0.0319,5789
-0.176,9142
0.331,164
0.191,228
0.0071,5177
-0.387,10349
-0.0902,8335
-0.293,5554
0.0398,4219
0.0372,3624
0.0463,3497
0.212,2000
-0.00881,5631
-0.185,8895
0.0898,2746
0.126,1725
-0.0158,5836
-0.197,9188
-0.0591,6472
-0.0303,6385
-0.155,8184
-0.103,8168
-0.0532,7489
1.29,206
0.401,70
0.265,1372
-0.139,8832
-0.0329,5823
0.115,1792
-0.107,7035
0.00386,4892
-0.13,8144
0.169,1205
0.397,186
-0.188,10459
-0.012,5430
0.147,2060
-0.045,7087
-0.0457,7384
-0.0411,6461
-0.0872,8753
-0.175,9196
-0.0413,5313
-0.032,6585
-0.0206,6139
0.0395,2540
0.374,35
-0.0904,8672
-0.0395,5814
0.417,837
-0.106,10004
0.0142,4347
0.154,1787
0.0325,3826
-0.00398,5370
-0.0472,7622
-0.00259,5460
0.0832,2437
0.22,182
0.0755,3152
0.0217,4326
-0.33,8953
-0.0397,6901
-0.0511,6399
0.0011,5099
-0.0943,8305
-0.167,8807
0.0479,4069
-0.159,9987
0.0204,4453
0.267,1266
-0.0671,8630
0.0254,4268
-0.188,9540
0.479,260
-0.0104,5520
-0.192,9263
0.109,2587
-0.224,9244
-0.0771,7372
-0.117,7778
-0.189,10256
-0.147,9938
-0.0507,7306
0.413,159
0.127,2052
-0.205,9528
0.0617,1515
-0.165,10149
0.0306,4372
0.139,1671
0.134,2797
-0.159,4229
0.145,1618
-0.126,9800
-0.155,10400
-0.377,10422
-0.186,7933
0.113,2432
-0.0511,6858
0.18,149
0.0135,4380
-0.294,9884
-0.145,9046
0.395,377
0.223,1479
0.0853,968
-0.115,7966
-0.331,10355
0.815,262
-0.109,7849
-0.119,7401
-0.0323,5303
-0.306,9376
0.103,1655
0.0909,2285
-0.0279,6024
-0.0522,6885
-0.0429,5986
-0.213,9466
0.046,3493
-0.18,9026
-0.141,9693
-0.0504,7994
-0.21,8648
-0.314,9430
0.0148,4577
-0.093,6135
-0.165,9680
-0.0122,5355
-0.174,9945
0.337,132
-0.272,10244
0.026,4195
0.133,857
-0.0722,7357
-0.118,7263
0.0756,2634
-0.00747,5085
0.218,2403
-0.142,8306
-0.0104,6003
0.101,2408
0.135,1310
0.391,174
-0.0879,7986
0.0413,3598
-0.091,7203
0.114,1930
0.155,1284
-0.0201,5575
-0.0653,7352
0.0135,4518
-0.137,7816
-0.189,9381
0.0568,3798
0.115,2323
-0.258,10141
0.153,315
0.127,1913
0.224,976
-0.0752,6772
0.109,2733
0.774,81
0.1,1102
-0.0122,5879
-0.268,9185
-0.17,9948
0.134,2407
0.0248,4705
-0.0188,5697
0.184,517
0.0108,4646
0.169,1083
0.0371,4201
-0.507,10215
0.0405,2962
0.28,886
0.0926,1978
-0.238,8001
-0.158,8246
0.0275,3844
-0.0834,9199
0.144,1043
0.0598,3485
-0.0925,6431
-0.186,8309
-0.141,8621
0.0693,4078
0.0506,3999
-0.209,8595
0.0734,2709
0.118,2646
-0.12,6757
-0.0177,6047
-0.19,10124
-0.175,10084
0.00846,4759
0.0166,4025
-0.409,8901
-0.0712,8522
-0.000938,5112
0.255,1011
0.104,2615
-0.0393,5849
3.29,258
0.216,194
0.00411,5019
0.0424,3670
-0.106,9104
0.0272,4141
-0.191,8187
-0.0326,6763
-0.325,5787
-0.165,8273
0.0472,2454
-0.0681,8667
0.0529,3876
-0.0688,8268
-0.261,10200
-1.12,9579
-0.0112,4584
-0.464,6589
-0.488,7408
-0.321,6570
-0.0113,5098
-0.359,10174
-0.278,10346
0.214,982
0.14,333
-0.0177,6054
-0.462,8472
0.318,800
-0.132,7681
-0.116,5847
-0.145,8892
0.136,483
-0.302,8819
0.113,2619
-0.0671,7552
0.106,1742
-0.234,9602
0.0646,2549
0.101,2398
-0.104,7405
-0.0421,6180
-0.163,7832
-0.117,7745
-0.12,9246
0.352,436
-0.0525,8265
0.274,462
0.48,1336
-0.0533,7202
-0.00871,5083
-0.0272,5929
0.0575,3336
-0.077,6412
-0.00198,5277
-0.169,9663
0.099,1821
0.129,1659
0.0449,4199
0.126,1671
0.289,1134
-0.278,10137
0.173,655
0.111,3207
0.0669,2902
-0.334,10321
-0.129,8590
-0.047,6699
-0.0401,6715
0.269,212
0.115,2742
0.0195,4446
-0.43,8939
-0.0539,9836
0.0653,2684
-0.164,8309
0.216,1600
0.244,945
0.0347,4421
0.164,414
0.0586,1503
-0.0158,7508
-0.0112,5529
0.511,291
-0.0954,7972
-0.28,9761
-0.162,10337
0.193,962
-0.133,8210
0.296,429
0.399,273
-0.307,9922
0.0222,4066
-0.0851,7678
-0.186,8792
0.445,90
-0.202,9746
-0.0152,5950
-0.0325,6651
0.237,966
0.00576,4884
0.000456,5310
-0.131,9243
0.339,267
-0.164,9853
0.0603,2055
0.49,1370
0.166,2047
0.0746,3479
-0.469,10127
-0.0773,8380
0.0927,2464
0.247,874
0.407,1169
0.144,2288
0.339,589
0.00297,5073
0.0314,4355
-0.0121,5057
-0.22,9972
0.122,2328
0.0996,2330
0.0137,4463
-0.0686,8912
0.233,783
0.229,687
0.0524,3829
0.111,2120
-0.102,8845
-0.134,8036
-0.102,7556
-0.259,9592
0.263,529
0.0101,4612
-0.091,8503
-0.0472,6945
-0.168,8990
0.199,1193
-0.14,9742
-0.0302,5811
0.048,3670
0.144,2173
0.0666,3002
-0.147,7455
0.013,4465
0.135,1619
-0.0631,7768
0.148,2739
0.111,1713
0.724,4
-0.00461,5187
-0.0397,6667
-0.0115,5700
-0.0149,5913
0.00949,4760
-0.139,9724
-0.197,10065
-0.0528,6598
-0.0372,8903
0.0854,2396
0.157,681
-0.0702,6162
-0.226,8169
0.156,752
-0.222,10205
-0.103,8855
-0.209,9809
-0.0837,7599
-0.375,10244
0.0961,1965
0.0411,2626
0.0251,4103
-0.099,6743
-0.0136,5504
-0.304,9069
-0.122,7368
0.16,2141
-0.0796,8629
-0.201,7068
-0.0433,5619
-0.0666,6349
0.164,2791
-0.0188,5921
-0.201,10385
0.0159,4459
0.134,1461
0.341,559
0.21,1051
0.187,228
-0.0865,7775
0.733,124
-0.0435,6071
-0.068,6567
-0.049,5530
0.106,1169
-0.147,9284
-0.0839,7548
-0.068,7526
0.0617,3271
0.0958,2646
-0.0549,7529
-0.0736,9311
-0.418,7386
1.72,589
-0.265,7327
0.036,4118
-0.0987,7191
-0.173,9975
-0.293,10132
-0.0894,6946
0.113,2003
-0.0891,8209
0.279,576
-0.153,9084
-0.0357,6509
-0.282,7554
-0.235,7018
0.0671,2506
-0.128,7890
0.00174,5058
-0.0274,5947
-0.374,10422
0.0892,2725
-0.0983,7847
-0.139,8567
0.1,2288
0.132,1156
0.135,2045
0.0296,4068
-0.0721,7984
0.0256,4065
-0.0263,6040
0.27,219
-0.271,9937
0.149,631
0.145,937
-0.274,10086
0.0944,2560
0.0351,3838
-0.277,10343
-0.0825,7247
-0.0328,6146
-0.0109,5550
-0.187,7625
-0.0273,6165
-0.00443,5120
0.425,977
0.0634,2726
0.00956,4523
0.0505,4043
0.0645,2627
-0.0587,7727
0.163,2286
0.00861,4746
0.0819,2323
0.0724,3057
-0.0118,5720
0.354,506
0.166,2797
0.112,450
0.075,3014
0.169,1715
-0.0136,5440
-0.11,8340
