coef,rank
-0.531,9131
-0.0218,5283
0.168,1801
0.111,3409
-0.401,8904
0.169,1278
-0.173,10144
0.0204,4390
0.143,2033
0.123,2311
0.13,1350
0.128,721
-0.138,9484
-0.179,9115
-0.0294,5363
-0.558,9650
0.0454,2515
0.114,322
0.0749,2749
0.209,562
0.182,1696
0.349,1536
0.15,1395
-0.154,9176
-0.0394,5445
-0.187,8777
0.0508,3206
-0.251,5584
0.293,776
-0.27,10415
0.00472,5028
-0.392,9643
-0.158,8621
0.526,398
-0.0721,7634
0.0682,1969
-0.0782,7936
0.288,1009
-0.0803,7304
-0.0344,5883
0.014,4153
-0.0854,9727
-0.192,9089
-0.111,8935
-0.00936,5194
0.00194,4793
-0.0144,5840
0.049,2186
0.138,2266
0.00572,4811
-0.0869,7225
-0.0197,5364
-0.0767,7281
-0.0217,6248
0.166,1459
0.167,1829
0.428,1127
0.381,285
-0.101,9560
-0.0275,6248
-0.0872,6885
-0.0653,6800
-0.0348,6761
0.00642,4776
0.0508,3008
0.0693,2293
0.0325,3863
-0.029,6210
-0.067,6989
-0.216,6255
-0.0577,7746
0.217,251
-0.0517,6446
-0.0924,7215
0.0265,4644
-0.281,10427
-0.00715,5397
0.0997,1794
-0.023,6174
-0.046,6863
0.127,3751
-0.0156,5035
0.0601,2384
0.0881,1807
0.0126,4641
0.175,2077
-0.072,7640
0.011,4623
0.0417,2819
0.093,941
-0.151,8501
0.212,1010
-0.0492,6072
-0.254,9770
-0.173,9072
0.00303,4924
-0.0218,5099
-0.0237,6219
-0.0361,6441
-0.0906,7657
0.101,1373
0.166,870
-0.00956,5479
0.136,2302
-0.247,8940
-0.027,5699
-0.0565,5973
0.0423,3980
0.0437,3739
-0.00252,5054
-0.0429,5367
-0.0186,5076
0.103,1108
0.0718,1552
-0.21,9840
-0.0967,8208
-0.0599,7543
0.0665,3228
0.0569,3555
0.011,4360
-0.0414,7352
0.0366,3409
0.0174,4559
-0.143,6850
0.11,1177
-0.227,9058
0.231,1489
-0.143,8638
-0.0287,5725
0.0825,2790
0.0827,1868
-0.227,10229
0.00757,4823
-0.081,8055
0.889,1578
-0.0286,5339
-0.112,9140
0.105,1812
-0.218,8053
0.0522,2766
-0.0438,6017
0.00216,4776
0.0728,2832
-0.0474,7101
-0.141,8246
-0.111,7661
-0.0565,7547
0.0493,3968
0.0634,3111
0.104,1356
0.889,636
0.067,3422
0.259,1415
-0.0101,5249
-0.148,8897
-0.0778,7732
0.0498,4071
0.181,864
0.169,1445
-0.134,8600
-0.0188,5572
-0.0515,8037
-0.16,9165
0.0355,4285
-0.0762,8259
-0.0666,8236
-0.254,10242
0.073,2354
-0.0992,7584
0.219,1720
-0.0151,5908
-0.104,9172
-0.0714,9402
0.121,1600
-0.0447,6971
0.0318,3962
0.0741,3853
0.0546,2048
-0.0114,5467
-0.1,7495
0.0231,4207
0.0953,1599
0.0426,2991
0.06,1094
0.106,1865
0.0897,1814
-0.0557,6582
0.0579,2950
0.0301,4385
-0.0747,8133
0.122,1589
0.0374,2597
-0.0191,5784
0.0569,3603
-0.0468,5700
0.0509,3162
0.0198,4477
-0.0254,5512
-0.0616,8445
0.258,924
-0.0201,5406
0.183,2019
-0.0333,6668
-0.187,9177
0.132,2164
-0.311,10045
0.0319,3823
0.0966,2765
0.0744,2267
-0.0993,9005
-0.079,8296
-0.285,10112
-0.0297,5511
0.467,17
0.00326,4738
-0.024,6145
-0.147,9152
0.0312,4061
-0.108,6776
-0.207,4616
-0.258,10236
0.0648,2237
-0.0118,5982
0.0884,3130
-0.268,9065
0.303,419
0.0779,2525
-0.00562,5265
-0.109,9800
-0.119,7275
0.111,2008
-0.0857,6596
0.068,3804
0.137,198
0.0247,4276
-0.202,9483
0.0244,4356
0.0617,3337
-0.0736,6469
0.103,3657
0.223,2067
-0.0523,7222
-0.104,8783
0.0265,4118
0.0639,2785
0.0417,3530
-0.214,9467
0.197,440
-0.17,8873
-0.0727,8011
0.061,1969
-0.293,9619
0.102,3265
-0.105,6809
-0.124,6534
-0.0416,6581
0.0118,4368
0.0582,2984
0.134,1746
0.0603,3558
0.0646,3344
0.0486,2944
-0.166,9453
-0.0926,6774
0.174,717
0.00193,4832
0.524,763
-0.0158,5456
-0.00282,5428
0.0203,4435
0.132,1368
0.11,2546
-0.017,5761
0.0859,2395
0.0171,4625
-0.227,10188
0.117,1912
0.0174,4740
0.129,1498
0.174,845
-0.085,6727
0.0213,4569
0.0126,4770
0.0947,2747
0.0832,2816
0.102,1030
0.18,1125
-0.341,10325
-0.0967,7299
0.0724,3329
-0.238,8921
-0.0158,6062
-0.128,9655
-0.211,8478
0.0632,2976
0.162,1948
-0.0182,5494
0.0398,3704
0.122,1344
0.051,3593
0.254,363
0.0886,3053
0.485,753
-0.0855,8876
0.0944,3286
-0.0414,6756
0.324,1348
0.0513,3842
0.188,326
-0.0293,6841
0.0234,4198
-0.052,6592
0.374,711
-0.0487,5893
-0.077,7106
-0.516,10417
-0.155,8593
0.124,2664
0.05,3388
-0.0358,5812
-0.391,9819
0.0763,1920
0.212,344
-0.181,10148
-0.215,9766
0.0471,2559
0.199,2909
-0.124,9809
0.0435,3165
0.297,690
-0.0574,6413
-0.196,8973
-0.228,4435
0.0473,3213
-0.000321,5215
-0.389,10475
-0.0564,7486
0.0187,4479
-0.256,9036
0.0207,4002
-1.07,10353
-0.112,7303
0.0291,3402
0.0263,3500
-0.117,7750
0.0521,2677
0.049,3620
1.98,530
0.112,3595
0.975,1487
-0.688,8928
-1.03,10397
0.017,4469
0.177,2037
-0.0779,7604
-0.166,8727
0.0203,4102
0.0209,3605
-0.883,10336
0.115,2952
0.333,513
1.14,53
-0.0189,5489
-0.0154,5914
0.496,658
-0.277,9974
-0.0486,6932
0.238,217
0.167,1890
-0.209,10381
-0.0275,5846
-0.145,8211
-0.0293,5810
-0.00834,4927
-0.0278,5566
0.0751,2474
-0.169,8522
0.0275,3690
0.174,1346
0.411,1642
-0.0397,6701
0.112,1405
-0.0381,6291
-0.027,5947
0.0213,4592
-0.0132,5593
-0.118,8784
-0.0779,7843
-0.103,8094
0.133,2740
