coef,rank
1.18,540
-0.169,8091
0.159,1916
-0.332,9206
-0.0439,5106
-0.217,9740
0.0227,4046
0.144,1929
-0.0941,7022
0.0299,4265
-0.00776,5478
-0.042,7072
0.0962,1979
0.166,1737
-0.132,6966
-0.0299,4534
0.0333,3149
0.0676,1320
-0.196,9987
-0.0233,5835
-0.0446,6065
-0.016,4964
0.183,961
0.0243,4306
-0.0304,5335
0.00317,4992
0.101,1737
-0.805,10193
-0.166,8325
-0.0435,6736
-0.151,9043
-0.111,6464
0.0605,3581
-0.0301,5303
-0.122,9045
0.0309,3506
0.197,464
0.5,210
-0.211,9825
0.0504,3473
0.279,40
-0.00267,5536
0.188,1625
-0.141,9553
0.00274,4881
0.014,4512
-0.0418,7459
-0.103,10014
0.163,1926
0.219,394
0.183,1022
-0.139,7923
0.0513,3728
0.0626,2055
0.257,554
-0.0296,5722
0.456,1013
0.11,2733
-0.0942,9381
0.165,456
0.12,2558
-0.131,8508
0.0742,2223
-0.0242,6634
0.000669,4967
-0.0627,7974
0.0537,3030
0.108,1575
-0.237,10083
-0.233,6435
0.0474,3014
-0.0467,6726
0.0904,2642
-0.418,10445
0.202,1657
-0.0354,6473
0.0858,2159
0.0345,3686
0.201,228
-0.212,10202
-0.238,7420
-0.443,10390
-0.0063,5533
-0.0108,5482
0.0305,4071
0.527,123
0.0233,4373
0.251,1775
0.0709,1705
0.0517,2322
0.106,2789
0.202,1135
-0.0316,5715
0.161,2065
-0.0901,7471
0.041,3258
-0.041,5509
0.103,1349
-0.089,8094
-0.0308,5963
-0.062,7784
0.0276,4140
-0.252,10429
0.0952,2992
-0.304,9514
-0.0174,5486
0.305,858
0.132,2163
0.11,2283
-0.117,7972
0.201,2569
-0.112,7445
-0.0462,7362
-0.0431,7540
0.154,1642
0.0609,3139
0.0927,1627
-0.14,8136
-0.0304,6006
0.0756,1599
0.0167,4501
0.0992,1275
-0.253,8980
-0.632,10441
-0.0205,6012
0.0428,4204
0.239,1425
0.0779,2807
-0.07,6836
-0.0433,6282
0.00535,4763
0.0485,3831
0.112,2750
0.105,1876
-0.908,9421
0.223,1964
0.116,1310
0.167,738
-0.0923,6028
-0.122,9855
0.0349,4245
-0.338,10377
0.0592,3178
-0.00192,5277
0.209,1177
-0.0409,6047
-0.0419,6892
0.139,2305
0.101,2232
0.0315,3689
-0.422,8205
-0.0128,5573
-0.0151,4904
-0.153,9092
-0.138,8691
0.0212,4377
-0.379,10217
-0.0506,6691
-0.0999,7459
-0.0913,7578
0.207,1178
-0.0375,7373
0.0354,4014
-0.0537,6610
-0.0916,8758
-0.161,10195
0.0989,2559
-0.101,9156
-0.0585,6492
-0.0587,5649
-0.0586,7566
0.086,1916
0.0404,2482
-0.0495,6789
0.0954,1517
0.15,1623
-0.000528,4955
-0.000559,5172
-0.0335,6393
-0.000614,5039
0.0162,4497
-0.0589,7818
0.000781,5123
-0.0737,9820
-0.0458,6888
0.0425,3278
0.188,1187
0.0651,2699
-0.0872,5933
-0.152,9836
0.0301,3759
-0.0965,10039
0.038,3699
-0.151,8519
0.00223,4831
0.0663,2649
-0.0669,7090
-0.0806,6619
-0.135,10179
0.0597,3627
-0.0056,4948
0.0196,4512
-0.0731,8358
0.00451,4859
0.049,3876
0.155,2158
-0.101,8022
-0.155,8516
-0.0323,6409
0.0114,4637
0.0412,3610
0.095,2968
-0.0315,5565
-0.0827,7083
-0.0486,8079
0.0286,3824
0.102,2526
-0.174,9380
-0.439,10258
0.704,1836
0.194,1002
-0.0176,5977
0.0632,1835
0.0481,4007
0.216,2138
0.215,1007
0.21,424
-0.0924,9020
-0.108,9771
-0.142,7712
0.0448,3676
0.0509,3862
0.0527,4102
-0.149,10392
-0.0706,6847
0.21,995
-0.255,7583
-0.0433,6148
-0.162,8192
0.137,3256
0.302,1392
0.0449,3406
0.177,730
-0.0505,6856
0.0168,4293
-0.178,9364
-0.342,10325
-0.0382,6526
0.343,380
-0.0985,8822
-0.0101,5771
-0.297,9648
-0.225,8354
0.165,2168
-0.195,7546
0.0205,4472
-0.105,8771
0.274,115
0.00789,4856
-0.0779,7320
0.253,706
-0.042,6703
0.0703,3216
0.233,1280
-0.194,10040
-0.202,9602
0.564,630
-0.127,8002
-0.0267,7121
0.0683,3157
0.183,706
-0.0956,7022
0.0768,2826
-0.146,9236
0.0232,4517
0.0888,2472
-0.154,9161
0.0803,3416
-0.118,8808
0.0152,4465
0.163,1848
0.142,1949
-0.0998,7248
-0.0956,7319
0.0584,3391
0.055,2486
0.265,425
0.0714,3275
-0.263,9930
0.101,2847
0.198,2065
0.03,3667
-0.0868,8726
-0.293,9425
-0.206,10246
-0.0868,7198
-0.222,8869
0.0593,3132
0.129,1195
-0.0324,5905
-0.215,9946
0.207,1158
-0.184,7290
-0.0539,7586
-0.126,7930
0.000571,5126
0.0548,3963
-0.0332,5582
0.255,68
-0.0162,6107
0.432,2
-0.0141,5543
-0.122,6981
0.152,2394
0.0332,4191
-0.227,8765
-0.0259,5791
0.0431,3955
0.0529,3289
0.142,2271
0.289,1710
-0.0963,9266
-0.0474,6973
0.0445,3521
-0.103,7858
0.0926,1061
0.0172,4490
-0.075,8654
-0.138,9804
-0.255,9675
0.26,593
0.145,2119
0.162,2422
0.0917,1781
0.0635,2430
-0.0644,7253
-0.0485,7178
-0.0894,8459
0.347,861
-0.0481,7483
0.673,1843
0.114,2905
-0.0879,9468
0.00387,4804
-0.0239,5697
-0.199,10396
-0.122,8324
-1.08,9471
-0.329,7982
3.47,110
-0.755,9309
-0.0413,4232
0.271,696
0.359,564
-0.0556,6946
-0.198,9231
0.018,4244
0.0225,3520
0.699,1368
0.424,329
0.0623,3580
0.102,3523
0.188,992
-0.0212,6240
0.0584,3863
0.192,1473
-0.078,7884
-0.22,10206
-0.00399,5152
-0.0301,6553
-0.129,8535
-0.101,7352
-0.0386,6057
0.0964,3153
0.0583,3456
-0.0287,6258
-0.0185,5426
-0.113,10074
0.272,470
