coef,rank
-0.391,8005
0.21,1592
-0.0692,6419
0.0876,3685
0.108,3681
-0.297,10277
0.0609,2627
0.185,1386
0.156,1853
0.075,3242
0.0104,4840
0.0171,4236
0.184,495
-0.0945,7527
0.0543,4089
-0.254,6367
0.0485,2358
0.0433,2378
-0.106,8428
0.0989,2156
0.253,993
-0.446,9834
-0.109,8183
-0.305,10410
0.063,4026
-0.296,9962
0.106,1614
0.735,1239
0.0377,4181
-0.0247,6046
0.0749,3052
-0.0971,6249
0.0322,4210
-0.57,10424
-0.0024,5029
0.07,1911
-0.00346,5342
-0.312,9890
-0.157,9029
-0.0193,5443
-0.149,9830
-0.0426,8090
0.303,580
-0.144,9602
-0.00811,5165
0.313,464
-0.0337,7010
-0.0663,8997
0.0557,3656
0.0262,4156
-0.176,9196
0.144,2079
-0.17,9279
0.0319,3463
-0.0148,5776
-0.196,9145
-0.263,7621
-0.0742,6726
0.0417,2931
-0.0904,8647
0.0672,3529
0.225,607
0.175,346
-0.0376,7436
-0.0823,8273
0.0303,3782
-0.051,7434
-0.164,9958
0.157,1424
1.21,137
-0.0758,8390
0.0466,3205
0.105,2345
-0.0904,7160
-0.0478,6229
-0.0323,6356
-0.0178,5836
0.0495,3176
0.0706,2270
0.0582,3334
0.432,1699
-0.0533,5820
0.0272,3850
-0.0707,7908
0.0257,4246
0.129,2678
0.0165,4599
-0.128,6829
-0.000725,4983
0.105,689
0.0748,3405
-0.0132,5421
0.567,102
0.141,2347
-0.0296,5952
0.0322,3645
0.214,1538
-0.0772,8326
-0.202,10131
-0.211,9843
-0.0501,7313
-0.182,9909
-0.00969,5483
-0.118,7482
-0.286,9350
-0.0665,6530
-0.0769,6413
0.277,547
-0.12,7946
-0.105,7730
-0.351,9192
0.0643,3142
-0.00408,5212
0.0441,2649
0.0835,2976
0.0683,2922
0.0693,2267
0.066,3242
-0.286,10334
0.117,697
-0.0885,9088
-0.11,9497
0.109,3121
0.715,185
-0.0275,6317
-0.0816,6581
-0.146,7546
-0.0377,5958
0.0357,4029
0.0386,3915
-0.0433,6994
0.123,1855
-0.0863,6900
-0.196,10152
0.0427,3419
-0.115,6761
-0.0566,7396
-0.0398,6555
-0.247,8413
0.0277,3820
0.119,2518
0.0162,4431
-0.0648,6912
0.0499,3285
0.0621,3547
-0.0762,6866
-0.0145,5675
0.131,2431
0.185,852
-0.0722,8212
0.21,2926
-0.0382,6367
-0.0083,4797
0.155,1340
-0.0167,5367
0.0717,2854
-0.0855,6620
-0.158,9390
-0.0119,5230
-0.216,9872
0.134,2177
0.027,3417
0.106,2305
-6.92e-06,5206
0.108,1428
0.145,655
-0.127,8652
-0.0995,9124
-0.0619,6582
0.439,455
0.413,3
-0.0501,7392
-0.086,9801
-0.0398,6403
0.168,411
-0.158,8702
0.943,39
0.0624,1704
-0.11,9051
-0.0811,7054
-0.0146,5869
-0.0125,5780
-0.11,9737
-0.048,8918
-0.0642,7555
0.0324,3673
0.0994,2622
0.0817,2208
-0.469,10007
-0.0504,7305
-0.0532,6465
-4.88e-05,5196
0.0797,2422
0.163,1672
-0.12,6981
-0.133,9628
0.0395,3931
0.285,1136
-0.0505,7927
0.11,2687
0.281,260
-0.0227,5320
0.135,620
0.0693,3322
0.0947,2852
0.0899,3245
0.0195,4176
0.0236,4312
0.000899,4917
-0.00884,5595
-0.0155,5908
0.00728,4940
-0.0262,5424
0.118,2126
0.0103,4241
-0.0208,5994
0.0336,4292
0.093,2528
0.0796,3559
-0.728,8911
-0.207,9867
-0.0327,6704
-0.093,9685
0.0443,4097
-0.142,7236
-0.0509,6179
0.158,904
-0.0642,8064
-0.0415,7504
0.0436,3893
0.00562,4831
-0.0855,6595
-0.313,10065
0.00933,4501
-0.14,8496
-0.00297,5071
-0.251,7539
-0.104,7754
-0.187,8620
0.372,1368
0.0569,4152
0.141,932
0.0232,4387
-0.133,9137
-0.162,9690
0.156,1257
-0.11,7713
0.0323,3930
0.247,921
0.0437,3374
-0.000737,5198
0.0184,4627
-0.0197,5181
0.232,1445
-0.00677,4972
0.223,437
-0.0265,5933
-0.00827,5339
0.0907,2609
-0.154,8964
0.133,2044
-0.0973,8660
0.226,664
-0.229,9134
0.132,1355
-0.00508,5020
-0.447,9767
-0.336,10301
-0.0674,9284
0.0908,2634
0.00877,4645
0.21,1137
-0.133,9039
-0.097,8091
-0.086,7098
0.0698,2932
-0.129,8644
-0.17,8682
-0.125,8966
-0.106,8249
0.0104,4631
0.181,1368
-0.154,8349
0.131,2044
0.0786,2933
0.0947,1213
-0.0515,6462
0.032,4135
-0.161,8602
0.0133,4519
-0.106,6859
0.0404,3239
0.0141,4732
0.0579,4114
0.0499,3398
-0.148,8464
0.203,2069
0.0286,4071
-0.164,9779
0.0035,4866
0.108,2100
0.0475,3933
0.241,2127
-0.0688,8237
0.142,2458
0.0679,2678
0.044,4097
-0.0497,5958
0.0374,3471
-0.0624,8430
0.196,462
-0.0304,5992
0.165,2369
0.0655,3742
0.0577,3532
0.915,19
-0.062,6679
0.104,2979
-0.0625,7147
-0.189,8872
0.0179,4756
0.0993,1305
-0.0457,6905
-0.0456,7056
-0.00562,5147
0.015,4107
0.0287,4400
0.0118,4805
-0.115,9406
-0.111,7393
-0.218,9611
-0.0867,6915
-0.96,9852
-0.135,9741
-0.107,9346
-0.144,9326
-0.113,9282
0.0789,2380
0.141,2676
-0.00779,5477
-0.383,6460
-0.0891,6855
-0.0282,6811
-0.0781,9041
0.022,4586
-0.102,9290
0.24,579
-1.04,9379
0.615,1127
-0.458,6548
-0.258,5357
-0.282,6161
0.00775,4675
0.476,211
0.167,1192
0.0476,3710
0.16,170
-0.142,10350
-0.248,6199
0.167,2228
-0.139,7806
0.83,220
0.274,336
0.022,3923
-0.00114,4649
-0.228,9522
0.0235,4331
-0.122,8889
-0.119,7708
-0.101,9107
-0.0748,7193
-0.234,9531
-0.0417,6163
0.121,2808
-0.161,8678
0.0609,2927
0.315,576
0.0398,2957
0.0323,4201
0.0632,4060
-0.0462,6948
0.0984,1689
-0.18,9487
-0.219,10094
-0.428,10335
0.0135,4831
-0.0471,6726
-0.0272,6033
0.0913,2395
-0.0726,6430
0.0947,2310
-0.101,6724
-0.0837,7223
-0.00139,5297
-0.364,9916
-0.0393,6587
0.378,264
0.0768,2911
-0.0353,6272
-0.0122,5588
0.136,1474
-0.132,7553
-0.104,7309
-0.405,8769
0.0501,855
0.0964,1800
0.514,80
0.0377,4298
-0.0776,6952
0.115,2694
-0.0433,6932
-0.0178,6142
0.0026,4800
-0.0655,7353
0.37,789
0.0813,2687
0.101,2996
0.0801,1667
0.113,2176
0.129,2171
0.0633,3632
-0.0401,5884
-0.253,9449
-0.0972,8838
-0.151,9148
0.241,1079
0.472,68
-0.0626,6859
0.0797,1846
0.08,2286
-0.0307,6034
0.021,4411
0.0116,5043
-0.109,8776
-0.0369,5747
-0.184,10071
0.083,1283
-0.477,8931
-0.152,7829
0.0172,4685
-0.367,9558
-0.172,10222
0.141,1514
-0.0223,5383
0.0309,4522
-0.0153,5218
-0.271,9692
-0.0783,8177
-0.053,5957
-0.305,9501
-0.222,9991
-0.198,9228
0.203,712
0.00328,4883
-0.0462,7871
-0.146,8452
-0.0398,6263
0.00284,5040
-0.00553,5659
-0.0215,5886
-0.3,10149
-0.175,9008
-0.112,7280
-0.221,9821
-0.0284,5794
-0.176,10064
-0.0087,5549
0.0315,3948
-0.0846,7288
0.162,516
-0.225,10144
-0.0847,7601
-0.102,7401
-0.0354,6618
-0.259,9048
-0.0963,7953
-0.0883,7630
0.139,668
0.123,3073
-0.0956,8642
0.0479,3878
0.313,578
0.0503,3770
-0.119,9233
0.0988,1354
0.049,3308
0.172,445
-0.102,8277
-0.114,8272
-0.0399,9080
0.0945,2198
-0.133,9426
0.257,1822
0.191,2277
0.103,1691
-0.0289,6139
0.0055,5056
-0.201,9721
-0.0989,7968
0.0739,3603
-0.0156,5725
-0.0375,7144
0.059,2871
-0.212,8661
0.13,1594
0.108,3376
-0.0145,5273
0.262,1048
0.00844,4688
-0.282,8014
-0.148,7551
0.0631,3942
-0.0279,5052
0.00565,4629
0.0274,4162
0.0859,2110
0.00126,4810
0.716,13
0.0658,3516
0.0401,3187
0.071,2902
-0.26,8680
-0.156,8531
-0.0682,6576
0.123,3421
-0.119,9734
0.171,906
0.0776,3208
0.214,360
-0.00536,5379
0.104,2502
0.0286,4090
-0.042,7802
-0.484,7897
-0.0226,3076
1.63,41
-0.0343,6166
-0.0907,7024
0.18,701
-0.0236,5514
0.0383,4047
0.0526,3447
0.0712,2945
-0.205,9516
-0.171,9381
0.067,3146
-0.281,7549
-0.344,8295
0.0855,1960
0.369,292
-0.0714,7649
