coef,rank
0.62,1482
-0.164,8017
0.0777,3207
-0.255,8391
1.19,130
0.143,1639
0.131,927
-0.058,6312
0.181,1549
-0.178,8948
-0.0798,7990
-0.0181,5985
0.105,1741
0.0528,3890
-0.0266,5329
-0.25,6325
-0.0497,8123
0.041,2508
0.00518,4861
-0.000716,5070
-0.158,8442
-0.482,10018
0.0915,2478
0.0827,2676
-0.25,8488
0.157,2122
0.0307,3926
-0.209,5198
0.223,1368
0.199,540
-0.0604,6933
-0.128,6694
-0.0209,5521
-0.0421,5504
-0.00645,5162
0.0322,3439
-0.0358,6505
-0.0905,6679
0.00479,4868
0.079,2805
-0.114,9139
0.0244,3702
0.0431,4050
-0.0593,7424
0.0987,2715
-0.0961,7077
0.0333,2965
0.00228,4875
0.215,1302
-0.071,7393
0.0398,3712
-0.0561,6179
-0.00376,5242
0.0206,4032
-0.0395,6477
0.12,2556
0.152,2877
0.21,1373
0.0931,1146
-0.104,9056
-0.124,7697
0.0513,3451
0.0416,3415
0.042,2780
0.11,1340
-0.00466,5390
0.0226,4294
0.00589,4875
-0.13,8580
-0.582,9641
0.0548,2753
0.181,497
-0.0259,5722
0.132,2184
0.0717,3769
0.145,1405
0.171,589
0.206,372
0.0196,4230
-0.0983,8497
-0.144,6421
-0.239,9113
-0.0182,6169
0.202,247
0.0881,2430
-0.0192,5366
-0.195,10074
0.105,3269
-0.00724,5371
0.0354,3156
-0.00878,5337
0.129,2177
-0.263,9580
0.295,679
0.074,3354
0.0404,3288
-0.239,9104
0.321,8
0.0127,4658
-0.035,6075
0.0087,4703
-0.0591,7223
-0.00455,5292
-0.24,9450
-0.174,7922
0.13,2580
-0.194,8413
0.207,1152
-0.205,9456
0.0656,3335
0.0115,4653
-0.159,8472
-0.0233,6250
0.106,671
-0.441,10473
-0.187,9906
0.0586,2606
0.0576,3436
-0.0417,6296
-0.0187,5927
-0.0362,7100
-0.00343,5273
-0.185,8037
0.362,1243
0.0561,2746
-0.0198,5398
0.0393,4120
0.169,1202
-0.284,10216
0.0818,2810
-0.124,9576
-0.147,9438
0.0689,3542
0.088,2344
0.025,3510
0.0795,3619
-0.0622,7607
-0.0153,5649
-0.45,10156
-0.0509,7676
0.072,3372
-0.177,9015
-0.151,9086
-0.0689,7907
-0.228,9569
-0.126,7957
-0.0752,8225
0.165,1934
0.0705,2943
-0.123,9632
0.422,1937
-0.0296,6094
0.0926,3279
0.132,1713
-0.0463,6217
-0.0401,6521
0.0524,4027
0.282,214
-0.0977,7403
-0.0426,6264
0.414,156
0.0131,4230
0.0109,4769
-0.192,9368
-0.0156,5875
0.082,1942
0.26,428
0.0211,4331
0.0452,3727
-0.0249,5036
0.136,1231
0.0663,2540
0.106,323
0.1,2034
-0.0882,8598
-0.0154,5169
0.157,2829
-0.00537,5504
0.318,17
-0.0274,5744
-0.083,8428
0.0351,3614
0.0726,1757
0.0613,1043
-0.00528,5416
-0.0546,7292
-0.1,7779
-0.124,9386
0.267,2005
0.117,1371
-0.0335,5799
-0.0542,8690
0.12,1529
0.144,1946
0.0646,3801
0.0574,2947
0.0236,4365
0.181,2116
-0.0024,5310
-0.0468,5837
-0.0988,7627
-0.313,9812
-0.078,8545
0.239,816
-0.195,9297
0.0188,4662
-0.0589,6802
-0.108,7571
-0.067,7757
-0.147,9926
-0.0043,5449
0.225,1039
0.15,1719
-0.0923,7325
0.0364,2670
-0.00464,5278
-0.0648,7282
-0.155,9081
-0.125,7074
0.0935,2929
0.0841,2848
-0.0157,5868
-0.0186,6407
-0.126,8013
0.693,181
-0.0398,5913
0.299,90
0.0505,2573
-0.00888,5701
0.21,1426
0.133,1584
0.274,1031
-0.205,9009
0.0593,1809
0.0379,3940
-0.0334,5962
0.856,226
0.403,82
-0.303,9934
-0.2,7470
-0.138,7175
0.178,457
-0.236,10363
0.098,2041
-0.111,8700
-0.126,8342
0.193,1617
-0.0519,7003
0.0529,3772
0.00491,4864
-0.000392,5165
0.291,1103
0.0133,4626
-0.291,9595
0.0014,4861
0.124,1595
-0.117,9119
-0.082,8006
-0.107,8186
-0.184,9442
-0.237,9827
-0.022,5845
-0.0182,5768
0.0318,4155
-0.0608,7131
0.335,178
-0.358,9007
-0.0636,6602
-0.0579,8904
-0.107,8062
0.111,1777
0.233,915
0.036,4011
-0.0762,7431
0.0298,4370
-0.123,8765
0.189,870
-0.291,10024
0.00312,4968
0.0299,4022
-0.289,9910
0.0857,3005
-0.206,9126
-0.218,9608
-0.259,10144
-0.0299,6702
0.144,1614
0.744,1
-0.27,9984
-0.197,8797
-0.0755,6290
0.171,209
0.138,932
0.135,3001
-0.0812,8095
0.0709,3629
-0.0143,5425
0.0274,4116
0.103,1730
-0.107,7827
-0.00308,5074
0.111,2603
-0.334,9067
0.0884,1332
-0.111,7624
-0.0365,6586
-0.02,4986
-0.114,7379
0.0456,3159
0.111,746
-0.0925,8274
0.029,4290
0.00731,4703
0.00121,4926
-0.0696,6907
0.416,699
0.16,1938
-0.00728,4920
-0.142,9233
0.165,1925
-0.293,9038
-0.0232,6287
-0.0645,7557
0.0167,4581
-0.0333,5915
0.011,4310
0.298,2178
0.0102,4874
-0.247,10461
0.24,1142
-0.117,7852
0.164,1841
-0.112,3528
-0.0752,8285
0.0829,1820
-0.01,5451
-0.115,9316
-0.0331,6528
0.18,2227
-0.00528,5352
-0.0905,3564
-0.127,7594
0.0137,4272
-0.0396,7316
0.0822,3287
0.0224,3941
-0.17,9295
-0.133,4681
0.391,1900
-0.651,7976
-0.248,5270
0.574,1748
-0.06,6222
-0.0351,5715
-0.0604,7108
-0.152,8476
0.0138,4464
-0.081,9325
0.35,2513
-0.181,8261
-0.0187,5245
-0.377,9128
-0.0341,5953
-0.068,8433
-0.118,6288
0.0228,4428
0.0251,4277
-0.075,7576
-0.00761,5253
-0.0645,7929
-0.0446,6341
-0.243,9623
-0.154,8836
-0.323,9831
-0.0476,6098
0.0873,2133
-0.13,7870
0.0505,2426
-0.154,8892
0.0104,4492
0.00464,5053
0.0549,2828
-0.257,10229
-0.0385,6283
-0.119,7196
0.14,1800
0.295,160
-0.166,9836
-0.148,9119
-0.101,6940
-0.0406,6343
0.0603,3848
0.113,2579
0.102,1878
-0.00758,5090
-0.00997,5504
0.0952,3077
-0.249,10188
0.0142,4639
-0.228,10380
-0.176,9796
-0.143,7780
-0.119,7648
0.108,3767
-0.000764,5205
-0.0434,6949
0.412,262
0.211,1641
-0.0394,6018
0.199,1389
-0.0767,8266
0.0442,2159
0.0206,2221
0.0607,3250
0.106,3179
-0.243,10236
0.427,235
0.011,4684
0.433,36
0.046,3877
0.0997,2844
-0.316,10089
0.347,496
-0.125,9503
0.00937,4940
0.119,2608
0.153,1885
-0.112,8173
-0.0498,7584
0.0584,3030
-0.0753,7102
-0.125,8678
0.00582,5170
0.128,1493
0.104,2539
0.054,3155
-0.0442,7712
0.147,3192
-0.129,7425
-0.0694,6607
-0.281,8666
0.169,396
-0.0977,7847
0.00667,4702
-0.103,6192
-0.0666,6398
-0.00673,5157
0.044,3431
-0.226,8745
-0.237,8739
0.014,4912
-0.259,9901
0.302,158
-0.102,8859
-0.038,7400
0.296,386
0.0527,3690
0.221,991
-0.123,9040
-0.00945,5387
0.0633,3606
-0.0221,5483
-0.0491,6000
0.207,966
-0.0629,6814
-0.0236,6169
0.0187,4514
-0.0978,7481
0.159,1699
0.0851,1889
0.0665,2844
-0.0258,5871
-0.0649,6607
0.244,220
-0.164,7740
-0.0984,8013
0.11,2042
0.0267,3795
0.0351,4370
-0.12,9250
0.0628,3548
-0.119,7727
0.149,1412
0.0286,4144
-0.0234,6324
0.0102,4732
-0.22,10391
-0.12,8713
-0.138,8828
0.0298,2319
0.0838,2442
0.00553,4852
-0.0228,5408
0.403,815
0.0596,2938
0.000479,5192
0.207,440
-0.0319,5887
-0.00279,5247
0.318,745
-0.0426,6802
-0.00859,5482
0.0697,2520
0.0355,4333
0.0269,4180
-0.0993,6370
0.00628,4895
-0.167,8303
0.108,1131
-0.406,9282
0.504,223
-0.0889,6799
-0.157,6833
0.0119,4304
-0.0201,6279
-0.00366,5205
-0.0602,6742
-0.0333,5468
0.0581,3719
-0.0137,5669
-0.0748,7449
-0.0928,6474
-0.0447,6104
-0.179,8765
-0.301,8765
0.12,913
-0.0921,8035
0.0789,3176
0.0709,2724
-0.00118,5250
-0.168,8883
0.0098,4891
0.126,295
-0.22,5715
-0.147,3781
0.0849,3989
-0.00336,5234
-0.165,8516
0.0239,4402
0.13,2182
-0.148,8157
-0.0734,7183
0.257,262
-0.0393,6097
0.0532,3593
-0.0456,6846
0.0334,4370
0.248,2396
-0.115,9156
-0.0389,5861
-0.129,9159
0.224,1070
-0.187,9209
-0.256,10261
-0.0126,5406
-0.198,9515
0.0645,3125
0.0611,2952
-0.205,9530
-0.0833,7575
0.0716,2314
-0.0476,6804
0.0232,4220
-0.123,8719
0.189,1423
0.139,771
-0.0243,6236
0.145,2032
0.0478,3700
-0.00929,5168
-0.153,9227
-0.0444,6285
-0.0456,6557
-0.0934,9133
-0.386,9838
0.0766,2637
0.241,1365
0.0633,4130
0.0171,4363
-0.0693,7041
-0.05,6016
0.106,1506
0.098,1581
-0.0839,6718
-0.0162,5794
-0.015,5751
0.00634,4915
0.133,1232
-0.345,10208
-0.234,8448
0.0902,846
0.151,1559
-0.316,10209
-0.109,7960
0.212,732
0.0233,4043
0.206,759
-0.12,9238
-0.0436,6246
0.359,566
-0.0657,7028
-0.0873,7056
-0.0923,7995
0.133,669
0.136,2750
0.0341,3652
0.354,849
-0.235,8970
-0.105,8418
-0.0621,7418
0.155,1922
0.0813,2380
-0.144,8168
-0.0471,5952
0.221,394
0.0187,4089
0.106,1018
-0.112,8180
-0.148,9421
-0.0832,7707
-0.0949,8706
-0.17,8858
-0.000284,5016
-0.345,6831
-0.327,8683
-0.0598,7426
0.113,782
-0.0126,5681
-0.0756,8249
-0.191,8438
0.487,25
0.0223,4245
-0.0369,7695
-0.0534,7236
0.114,2520
0.227,1425
-0.0723,6674
0.0269,4358
-0.101,7503
-0.773,9638
-0.0702,7168
0.103,3028
-0.274,10098
0.171,383
-0.0884,7191
0.00456,4383
-0.208,10325
0.0731,3724
0.0126,4700
-0.153,10301
0.0291,4339
-0.598,9173
-0.457,7766
-0.0675,6655
-0.0779,6375
-0.0247,6114
0.0639,3668
-0.137,8889
-0.0218,6682
-0.0161,5357
-0.294,9924
-0.299,7855
0.0701,2267
-0.000996,5076
-0.147,10053
-0.187,8849
-0.171,9868
-0.194,8197
-0.0153,5771
-0.0347,6215
0.0328,4107
-0.0274,5635
0.0373,4252
0.266,696
-0.0279,5750
0.0321,3725
-0.0312,6406
0.00975,4744
0.0439,3246
-0.168,9095
0.0252,4411
0.0236,4245
-0.0551,6293
0.0337,4254
-0.518,9491
-0.011,5468
-0.263,9762
-0.113,8276
-0.0623,7239
0.0699,3599
0.118,3072
0.0403,3847
-0.0534,5498
0.124,2508
0.157,1324
-0.0973,8125
-0.448,9508
0.0727,3212
-0.267,10323
