coef,rank
0.301,2716
0.00553,4754
0.325,507
-0.304,8929
-0.00911,4735
0.125,1941
-0.0468,7032
0.136,2053
0.0889,2939
0.558,12
-0.0377,6558
-0.0926,9016
0.0336,3889
-0.222,9682
-0.326,9572
0.0482,4096
0.0273,3517
-0.0074,5563
-0.192,9942
0.224,441
-0.226,9410
-0.38,9354
-0.0641,6969
0.0329,4049
-0.167,7363
-0.112,7414
0.08,2315
-0.581,9264
-0.022,5438
-0.145,9452
0.283,299
-0.179,7427
-0.0582,6461
0.182,2427
0.00429,4748
-0.0834,8881
-0.00917,5587
-0.107,6993
-0.112,8065
-0.305,10326
0.0189,3986
-0.0108,6120
-0.159,8535
-0.0551,7296
0.357,206
0.123,2376
-0.0108,5594
-0.0654,8957
-0.016,5170
0.0354,3818
-0.0546,6368
0.0519,3756
0.0668,3311
-0.0109,5674
0.0414,4168
0.0388,4134
-0.311,8208
-0.289,9989
-0.0308,6868
-0.0889,8602
0.0534,3779
0.0312,4016
-0.106,9245
0.0678,1652
0.209,211
-0.011,5677
0.00922,4883
-0.0146,5655
-0.171,9330
-0.0892,5023
0.0834,1796
0.139,960
0.152,1518
0.229,954
-0.117,7668
0.102,2235
-0.02,5935
0.186,514
0.0111,4619
-0.0502,7002
-0.0528,5449
-0.0842,6474
-0.0182,6168
-0.155,9929
0.129,1565
-0.393,10314
0.0114,4753
-0.336,9607
-0.0381,7074
0.0215,3892
-0.247,9822
0.0595,3571
-0.158,8156
0.0523,3927
-0.0967,7625
-0.112,9284
-0.0744,6216
-0.0413,7004
0.178,692
-0.137,8741
0.00166,4996
-0.0424,6660
0.17,684
0.0188,4499
-0.232,8748
0.128,2604
-0.117,7163
0.0772,3165
0.0489,3597
-0.162,8903
0.298,1760
0.538,12
-0.0325,6689
-0.083,9239
0.289,360
0.00633,4871
0.00947,4543
0.221,961
-0.0706,7131
0.0399,2972
0.185,194
0.0418,3148
0.176,2198
-0.505,10261
-0.00533,5328
0.0409,4239
0.41,420
0.00861,4611
0.205,1004
-0.0823,7388
-0.0347,6610
0.046,3916
-0.337,10209
-0.181,10042
2,550
-0.131,7034
-0.108,9018
0.106,1784
0.227,1871
-0.12,9815
-0.174,8715
0.288,412
0.29,197
-0.142,9700
-0.28,10056
0.0309,4353
-0.0883,8662
-0.221,9243
0.146,1395
-0.0267,6334
0.329,2317
-0.0814,7549
0.364,769
0.0831,2667
0.208,761
