coef,rank
0.228,3076
-0.138,7528
0.295,683
-0.0174,5106
-0.175,6575
-0.225,9827
0.14,783
0.418,125
-0.17,8587
-0.0465,6125
-0.0124,5653
-0.132,9849
0.0945,2022
0.0401,4163
-0.0435,5573
0.654,1241
0.0133,4405
-0.0366,7539
0.104,2009
-0.0787,7642
-0.0397,5943
-0.159,6767
0.139,1556
-0.0161,5541
0.66,311
0.0128,4777
-0.0282,6253
-0.334,6597
0.163,2055
0.152,1030
0.16,1440
0.414,1141
-0.224,9573
-0.522,10354
-0.0174,5574
0.0278,3647
-0.166,9801
0.0255,4441
-0.112,8072
-0.106,7785
-0.00144,4827
-0.0345,7635
-0.0817,6991
-0.0844,8256
0.3,397
-0.185,8837
-0.106,9943
0.00216,4892
0.282,742
-0.0635,7144
-0.204,9598
0.0101,4634
0.00554,4975
0.21,45
-0.113,8332
-0.105,7441
-0.371,8889
0.0295,4326
-0.0839,9092
-0.0994,8913
-0.423,10432
0.00885,4623
-0.0664,8039
0.0406,2841
0.0466,3188
-0.107,9351
0.0897,1852
-0.0416,6657
-0.215,9895
0.0539,3905
-0.152,10089
-0.00986,5299
-0.103,7805
-0.0952,7284
-0.189,8898
0.0636,3168
-0.219,10346
-0.214,10263
-0.102,9147
0.262,232
-0.371,8733
-0.0898,6593
-0.0511,7826
-0.0432,6812
-0.324,10452
-0.194,8633
-0.0655,7431
-0.239,8537
-0.0313,6715
-0.0108,5807
-0.278,10073
-0.109,7901
0.396,473
-0.0108,5349
-0.00159,5256
0.16,511
0.0783,3309
-0.236,10452
-0.171,9811
-0.0425,6310
0.115,1092
-0.0958,8311
-0.0905,8474
0.154,2067
0.259,1662
-0.159,8347
0.178,2008
-0.000337,5050
0.123,2055
0.051,3696
-0.272,8335
-0.38,10413
-0.0295,6561
-0.0018,5197
0.398,75
0.105,1984
0.0701,2249
0.357,210
-0.0777,7304
-0.016,5781
0.0645,2429
0.0651,2268
0.545,200
0.127,3255
-0.0697,8163
0.136,2727
-0.174,8029
0.189,978
0.214,902
0.0775,2910
-0.0203,5954
-0.0988,8421
-0.313,10089
0.0498,3482
-0.174,4660
-0.146,7287
0.125,1143
0.0585,3078
0.146,2678
-0.0147,5949
-0.153,8353
0.245,686
0.273,258
-0.012,5664
-0.0262,5605
-0.22,9496
0.106,1243
0.534,66
-0.0948,7958
-0.0536,7509
1.11,351
0.249,595
-0.0754,5954
-0.042,6307
-0.00794,5085
-0.162,9584
0.0505,4060
-0.0293,6002
-0.0703,6724
-0.0242,5707
-0.015,5469
-0.0317,7035
0.064,3286
0.0359,4270
-0.0884,8635
0.0249,4141
-0.0109,5536
0.00764,4884
-0.0252,5584
-0.265,9044
-0.0349,6697
-0.0356,6791
0.0955,490
0.137,1331
-0.0213,5909
0.256,578
