coef,rank
0.479,1950
0.065,3668
0.205,1397
-0.298,8864
0.566,1058
0.259,482
-0.057,7429
-0.1,7386
0.218,1131
0.303,468
-0.158,9697
-0.0259,6335
0.0504,3316
-0.0151,5545
0.0714,3845
-0.319,7189
0.0333,3152
-0.00361,5245
0.0148,4541
-0.224,10156
0.131,2476
0.154,3029
-0.0225,5701
0.0246,4300
0.482,710
-0.0459,6064
0.16,709
0.994,703
0.41,271
-0.0375,6526
-0.155,9108
-0.169,7286
-0.0462,6150
-0.193,7837
0.0246,4011
-0.0343,6837
0.0526,3325
0.142,2506
-0.15,8887
-0.00141,4933
-0.182,10202
0.0931,761
0.355,371
-0.121,9180
0.0201,4432
0.275,657
-0.151,10385
-0.0168,6230
-0.2,8889
0.142,1202
-0.239,9945
-0.0844,6819
0.198,963
-0.0148,5880
-0.199,9801
0.0916,3069
0.41,1226
-0.349,10277
0.011,4547
-0.0298,6356
-0.202,9061
-0.123,8284
0.0993,1498
0.0321,3308
-0.0982,8774
-0.123,9664
-0.108,9237
-0.0367,6475
-0.036,6098
-0.522,9254
0.264,31
-0.262,10418
-0.115,8101
-0.15,8481
-0.12,7722
-0.0653,7420
-0.0136,5669
-0.113,8834
0.144,710
0.0185,4567
0.0467,4436
-0.027,5279
-0.133,10089
0.161,568
0.115,1807
0.0756,3574
0.0106,4780
-0.145,7113
-0.0395,7157
-0.0697,8892
0.0885,3084
0.0921,2881
0.284,1041
0.0023,5043
0.0442,4113
-0.0849,8512
-0.098,6708
-0.124,9606
0.0395,3740
0.0843,2697
-0.0975,8999
0.133,1335
0.286,99
0.0484,3881
0.211,2088
0.133,2518
0.0559,3853
-0.18,9179
-0.0306,5696
-0.0507,6359
-0.224,7688
-0.0436,5682
0.0232,3861
0.137,269
0.034,4242
0.136,1413
0.0265,3825
0.23,871
-0.188,9607
-0.0113,5518
-0.042,7373
-0.131,9877
0.202,1891
-0.285,8748
0.0171,4333
-0.0239,5501
-0.242,8973
-0.012,5195
0.065,3310
-0.0597,6774
-0.0645,7870
-0.0184,6034
-0.178,8615
0.00645,5004
0.809,1700
0.138,2838
-0.138,9681
-0.0647,7460
-0.121,6487
-0.0161,6005
-0.156,8415
-0.0495,6216
-0.208,9926
0.0872,2141
-0.147,8376
-0.0981,7378
-0.049,7216
0.0669,3611
-0.107,8255
0.0547,2776
0.167,3151
0.183,1197
0.232,1636
0.0826,2673
0.179,1086
-0.0267,6051
-0.0965,6837
-0.0485,6639
0.117,2275
-0.148,8895
-0.149,8679
-0.0928,9562
0.0245,4338
0.118,2523
-0.0785,8323
0.00498,5038
0.116,2198
0.0865,1956
-0.0564,6445
0.0672,3527
0.162,858
0.00565,4938
-0.061,9008
0.148,1163
-0.0605,7636
-0.357,10394
-0.299,9089
0.048,2339
0.162,599
-0.117,7828
0.0478,3223
0.291,68
0.264,10
0.0932,348
0.105,1905
-0.0742,8024
-0.232,9908
0.0948,1832
0.0754,3858
-0.0515,7346
0.116,1681
-0.0507,8529
0.0334,3861
0.0467,3818
-0.188,8132
-0.134,9649
-0.0881,7682
0.511,217
-0.0941,9496
-0.273,9749
0.142,1482
-0.257,9288
-0.0309,6555
0.132,2139
0.173,1534
-0.364,10271
0.0895,2331
0.0512,3715
0.112,1328
0.026,3959
0.0812,2314
-0.302,10198
-0.212,9478
0.00485,4729
-0.00286,5161
-0.00752,5409
-0.0166,5850
0.0093,4730
-0.501,10399
-0.26,5023
-0.268,10282
-0.127,9817
-0.0456,7933
0.169,1760
0.0708,3820
-0.193,9239
-0.0751,7706
0.0371,3138
0.00452,4912
-0.14,7681
0.0739,2899
-0.129,7419
0.0331,4480
-0.11,10042
-0.0602,6609
0.276,501
0.104,3543
0.204,912
-0.157,8122
0.165,2952
-0.0559,5884
0.167,585
0.121,1614
-0.0977,8312
-0.162,9685
-0.171,9245
-0.108,7681
-0.0357,6447
0.000255,4984
0.269,75
0.0239,3764
-0.269,9397
0.231,1797
-0.0298,5397
0.0824,3788
0.0605,3172
-0.0096,5237
-0.241,10369
-0.0438,6430
-0.206,9743
-0.00735,5041
0.0833,1913
-0.097,8034
-0.0692,6269
-0.0906,8081
0.131,1797
0.34,1569
-0.318,10238
0.013,4235
-0.0236,5782
0.00146,4894
-0.308,10139
0.263,237
-0.0697,7233
0.376,269
-0.0803,7696
-0.28,10347
-0.32,10180
-0.27,10407
-0.014,5438
-0.149,8061
0.435,82
-0.188,8901
-0.25,9912
-0.0948,7654
-0.0284,6637
-0.264,10163
0.156,1759
-0.12,7785
-0.266,9666
0.292,1251
-0.134,10093
0.12,1285
-0.111,6905
-0.0129,5692
0.209,1373
0.382,725
-0.117,8658
0.0705,2566
-0.334,10421
0.0915,2453
0.148,1932
-0.478,10096
-0.0472,7252
-0.0931,7295
-0.0413,6752
-0.1,6130
0.0707,3491
0.00217,4916
-0.021,6369
-0.0306,6178
0.153,1581
-0.048,5635
0.307,914
0.131,2006
0.0665,4130
-0.0775,7038
0.0447,3921
0.14,1351
0.0542,3808
-0.126,6847
0.0492,2954
-0.156,9754
0.067,2757
-0.25,10088
-0.0634,8219
0.193,2971
0.233,62
0.0337,3591
-0.00501,5150
0.0682,3320
0.396,266
0.421,2083
-0.0791,8414
0.0459,3122
0.233,350
-0.0271,6267
0.0684,2689
0.225,1801
0.0677,1987
-0.116,3715
-0.162,8226
0.0035,4922
-0.0185,6091
-0.319,10253
-0.0407,6997
0.0192,4401
-0.544,7108
0.625,1096
0.309,2335
-0.541,7865
-0.101,4635
-0.249,9646
0.481,199
0.00256,5054
-0.0253,5465
-0.104,9755
-0.0291,6807
0.191,3278
0.201,1819
-0.0904,6812
0.128,3303
-0.0452,6303
0.0421,2997
0.144,2903
-0.0298,5655
0.0506,3487
-0.0278,5994
-0.0954,7225
-0.0392,6923
-0.0127,5393
0.148,2366
0.412,80
0.176,2132
-0.146,8369
-0.155,9843
-0.2,8998
-0.0462,7953
-0.0956,7655
-0.881,10455
-0.0182,5924
0.0118,4313
-0.0228,5810
-0.0366,6225
0.00568,4894
-0.0432,6423
-0.0347,6335
-0.2,10184
0.00225,4899
0.124,2866
0.0691,2966
0.213,1790
-0.391,10436
-0.0888,8378
0.102,3343
0.0525,3351
-0.115,7857
0.0459,3698
0.00198,5026
-0.0737,7923
-0.161,9596
0.194,1731
-0.244,9640
0.602,976
0.0176,3125
0.136,990
-0.205,8987
0.377,482
0.0395,4163
-0.0392,6184
0.074,2021
0.0104,4134
0.00607,4270
0.0641,3156
-0.0626,6018
-0.0905,7835
0.624,36
0.016,4423
0.111,2204
-0.0901,7236
0.14,2016
-0.237,9459
-0.322,10025
-0.0309,6446
-0.106,8200
0.197,1483
0.195,1325
0.103,2312
-0.0511,7643
-0.131,9631
-0.0927,7507
0.0252,4281
-0.0334,6063
0.0202,4542
0.0628,3337
0.0925,2069
0.241,4
-0.0526,4788
0.232,1330
-0.0311,5762
0.402,980
-0.0699,8117
0.0279,4154
0.256,811
0.668,321
0.0486,3898
0.0399,4180
-0.0575,7449
0.247,1479
0.127,2847
-0.0152,5738
0.117,2421
0.0325,4116
0.177,515
-0.0255,6649
-0.0905,7217
0.0273,4365
-0.157,8869
-0.158,9626
-0.0332,6410
0.0783,3288
-0.27,10086
-0.053,6089
-0.0159,5496
-0.0774,7184
-0.0698,7854
-0.127,9156
-0.221,9761
-0.115,8005
0.0457,3147
-0.0274,5725
