coef,rank
0.0805,3882
-0.14,7567
0.044,3872
-0.386,9659
-0.0624,5307
0.149,1543
0.00797,4663
-0.0449,5951
0.152,1908
-0.0662,6602
-0.205,10186
-0.0466,7275
-0.0174,5865
-0.251,9949
0.133,2982
-0.443,8733
0.0225,3795
0.0209,3612
0.0185,4420
-0.0498,6719
-0.0193,5506
0.195,2639
0.0669,3076
-0.00514,5209
0.0448,4269
-0.161,8345
-0.0551,7296
0.728,1264
-0.158,8201
-0.0817,8009
-0.122,8504
-0.013,5130
0.0706,3348
0.262,1653
0.097,1843
-0.0955,9246
0.0113,4787
0.0789,3479
-0.256,10175
-0.188,9393
0.163,483
-0.0772,9512
0.00107,5038
-0.169,9923
0.203,1086
0.105,2719
-0.0648,8646
0.177,32
0.347,410
0.0923,2209
0.189,958
0.318,465
0.0927,2714
0.0943,1107
0.164,1491
0.19,1523
0.255,2082
0.362,352
-0.0925,9337
-0.107,9138
-0.0563,6185
-0.272,10260
-0.018,5996
0.038,2959
0.0492,3085
0.00962,4722
-0.0546,7595
0.104,1663
0.0795,2920
0.338,2076
0.056,2709
-0.0389,6440
-0.0267,5740
-0.0946,7267
-0.000744,5218
0.0334,4078
-0.0493,7053
0.09,2012
-0.0522,7432
0.00894,4909
-0.408,9025
-0.139,7588
0.0117,4586
0.061,2595
0.012,4667
-0.23,9100
-0.0823,7962
0.105,3258
-0.0709,8551
-0.0547,8253
0.138,2202
0.0162,4664
-0.127,7607
-0.000899,5124
-0.131,8359
0.036,3476
-0.0575,5857
-0.0989,9005
-0.019,5806
-0.045,6387
0.0888,1696
0.0321,4005
0.201,413
0.227,1214
-0.558,10454
-0.0636,6468
0.325,755
0.143,1993
0.0827,2817
-0.0145,5362
-0.164,6950
0.222,904
0.0644,2167
0.0689,1655
-0.237,10095
0.0941,2245
0.135,772
0.3,414
0.183,1159
-0.0158,5773
-0.0282,6726
0.0884,1566
0.0217,4489
-0.00139,4888
0.313,8
-0.176,8323
0.195,1875
0.0441,3668
-0.152,8747
0.146,1544
0.000851,4979
-0.161,9641
-0.314,10101
-0.216,10283
0.382,2356
-0.467,10319
-0.0134,5658
0.0883,2199
0.0678,3635
-0.0154,5971
-0.15,8294
0.199,1089
0.0688,2936
-0.02,5995
-0.129,8010
0.292,626
0.052,2863
0.0272,4377
0.0574,3260
-0.006,5374
0.211,2919
0.0518,3817
0.38,690
-0.0232,5705
0.149,1477
-0.0532,6931
-0.433,10371
0.0676,2963
-0.0391,5966
0.15,1485
-0.18,9230
0.0523,2178
-0.00182,5148
-0.153,8803
-0.0785,8319
-0.0865,8868
-0.0429,6535
-0.0645,7949
-0.08,7071
-0.0395,5286
0.109,1749
-0.0458,7202
0.0598,1559
-0.209,10106
0.0489,2931
0.0811,2849
0.113,3343
0.0739,1306
0.0944,1736
-0.204,9399
-0.164,10062
-0.164,10102
-0.0469,7601
-0.0671,9643
-0.14,9515
-0.0483,7028
-0.0594,6703
0.072,2492
0.0382,4287
0.0899,2099
0.0306,3739
-0.0469,8333
-0.0372,6448
-0.119,7873
0.461,371
0.185,380
0.129,1812
0.192,2006
-0.0122,5881
0.294,664
0.102,2168
-0.223,8873
0.0796,1767
-0.359,10406
-0.0151,5425
-0.222,9219
-0.0653,6996
-0.184,9035
0.133,952
-0.0119,5753
0.0636,2841
-0.11,7740
0.0304,3984
-0.0637,6575
0.0546,1788
-0.0228,6093
-0.189,9774
0.299,256
-0.00191,4934
0.835,1642
-0.0762,7375
-0.164,10250
-0.0191,6441
0.0836,3246
0.139,2956
0.249,715
0.259,181
0.0658,1998
-0.036,7238
0.00889,4616
-0.0957,7873
-0.176,8307
0.155,2348
-0.113,10086
-0.00608,5155
0.104,2535
0.752,333
-0.156,8783
-0.123,7472
-0.233,7865
-0.155,7487
0.112,1461
-0.016,5885
0.146,1166
-0.0276,5947
0.363,81
-0.422,10441
0.161,795
-0.383,10428
-0.0185,5886
-0.103,9807
0.424,435
0.298,1266
-0.0179,5179
-0.657,10440
-0.0246,6023
-0.0866,8217
0.153,942
-0.0216,5763
-0.0185,5725
0.207,1104
0.0765,2087
0.000155,5229
-0.0422,5659
-0.0924,8140
0.115,2055
0.552,667
0.0301,4417
0.018,3886
0.0863,2736
0.0714,2765
0.195,1280
0.0727,2925
0.0254,4084
-0.00489,5131
0.0696,2942
0.219,569
0.0229,4629
0.0154,4582
0.0446,3535
0.246,962
-0.114,7996
-0.0232,5599
-0.000633,4926
0.0187,4419
0.031,3551
0.132,1837
-0.102,7443
0.0721,3269
0.159,1968
-0.00414,4978
0.00401,4992
-0.047,7301
0.0168,4745
0.185,548
-0.106,7592
0.0428,4369
-0.191,9935
0.0477,3273
0.0178,4463
-0.02,5591
-0.128,8224
-0.39,9564
0.0188,3968
-0.43,10439
0.114,1462
0.1,3377
0.0668,3560
