coef,rank
-0.43,8348
-0.115,7129
-0.107,7281
0.142,3080
-0.373,8666
0.171,1261
0.0197,4172
-0.0773,6793
-0.031,5566
-0.113,7667
-0.0621,7391
-0.139,9950
0.0981,1926
-0.167,8929
0.362,968
-0.365,7798
-0.0347,7333
-0.0747,9319
-0.0263,5941
-0.0363,6276
0.121,2641
-0.0745,5672
-0.00162,5053
0.0147,4614
-0.191,7755
-0.0368,5843
-0.0694,7778
-0.258,5661
-0.199,8888
-0.0283,6167
0.153,1536
0.316,1711
0.372,235
0.771,79
-0.0131,5400
0.0435,2903
0.0695,2788
0.199,1807
0.0742,3019
0.0287,4059
-0.00456,4967
0.0652,1561
-0.0743,6827
0.241,214
0.0651,3385
0.0318,4117
0.00613,4511
-0.00286,5275
0.00481,4733
0.125,1503
-0.14,8545
-0.309,10126
0.074,3139
0.0817,1449
-0.0591,6992
-0.0216,5533
0.401,1269
0.0277,4365
0.00725,4784
-0.0303,6379
-0.045,5934
0.147,1480
-0.0484,7310
-0.0732,9048
-0.0176,5794
-0.0241,6312
-0.0828,8563
-0.0923,8498
0.0767,2994
-0.288,7031
0.105,1216
-0.0236,5843
0.0137,4586
0.106,2593
0.0924,3341
0.0829,2671
0.149,841
0.0887,2043
0.0149,4425
-0.123,9062
-0.206,7088
-0.241,9135
-0.0448,7496
-0.053,7184
0.166,997
-0.252,9373
-0.129,9156
-0.387,9943
-0.0467,7499
-0.126,10199
-0.211,9427
0.0386,4095
-0.0934,6957
0.00568,4966
-0.0314,6003
-0.0178,5849
-0.0572,5850
0.0691,2246
0.00534,4922
-0.0348,6072
-0.132,9767
-0.00472,5233
0.277,117
-0.023,5415
0.308,1278
0.0494,4022
-0.0315,5489
-0.15,8648
-0.0917,7260
-0.149,8647
-0.034,5246
-0.0254,5230
-0.00522,5266
-0.0351,7125
0.0425,4002
-0.128,8954
-0.0673,7828
-0.178,8892
-0.0192,5647
-0.0728,8434
0.00316,5160
-0.111,9514
0.359,717
-0.232,8082
0.0332,3663
-0.0336,5682
0.265,1212
-0.117,8058
-0.0142,5350
-0.0163,5425
0.0545,2747
-0.162,9656
0.11,2778
0.111,1752
-0.537,7341
1.1,10
0.0912,1896
-0.181,10011
-0.0829,5873
-0.0592,8056
0.391,238
-0.0996,7426
0.0253,4139
0.0382,3728
0.0727,3337
0.0864,3167
-0.0557,7520
-0.147,8068
0.0424,3686
0.00211,4989
-0.206,5947
0.0689,3379
-0.33,9528
-0.0718,7161
-0.115,8158
-0.117,8732
-0.113,7142
-0.003,5122
0.303,374
0.113,2123
0.112,2567
0.111,534
0.0136,4689
0.169,1722
0.0673,2583
0.0579,2830
0.0549,3682
-0.0457,7188
-0.183,9321
-0.0426,5343
0.0113,4886
-0.0178,5986
-0.0517,8622
-0.0439,6571
0.1,1419
0.209,937
-0.366,9685
0.0323,3191
-0.114,9151
-0.195,9263
0.0684,2503
-0.0755,8408
0.0132,4442
0.0528,1417
0.0778,2585
0.0847,1955
0.0893,2824
-0.0166,5894
-0.016,4995
0.0288,4100
0.205,562
0.0596,1499
-0.0559,7090
0.101,2696
0.081,3539
-0.055,7495
0.232,528
0.474,294
-0.0729,8830
0.00839,4666
-0.175,9351
0.108,3024
-0.0515,7490
0.144,1922
0.203,1163
0.146,2290
-0.137,8876
-0.0172,5320
-0.0144,5626
0.0725,2210
-0.000867,5310
0.0928,3013
0.0517,3478
0.0533,3455
-0.135,10359
-0.0236,6128
0.189,1030
-0.111,8170
-0.155,7548
-0.912,9734
0.105,2359
-0.0463,7368
-0.0973,9788
-0.199,9255
-0.309,9498
-0.0333,5737
0.00381,4894
-0.126,9847
-0.0404,7456
0.0177,4425
-0.18,9596
0.0229,4412
-0.085,6916
-0.0212,6426
0.0115,4651
-0.0892,7406
0.587,677
-0.0126,5278
-0.147,7927
0.0148,4711
-0.303,9346
-0.0184,5891
-0.0901,8415
-0.214,10191
0.037,3616
-0.197,9616
0.277,875
-0.0192,5841
0.00521,4863
-0.0661,7782
-0.0414,7515
-0.232,8961
-0.285,9118
-0.458,10382
1.09,70
-0.0331,6309
-0.207,10288
-0.113,8900
-0.0579,6825
-0.2,9650
-0.0508,6201
-0.12,9266
0.012,4844
0.11,2744
0.0318,3887
-0.0879,7249
0.261,2091
0.288,713
-0.0817,9723
-0.0293,5925
-0.0187,5633
-0.0465,5827
0.113,1943
0.0844,2426
0.152,2039
0.0295,4187
-0.32,10429
-0.215,9322
-0.0221,5838
-0.0307,5988
0.142,2143
0.296,421
-0.121,7699
0.13,2047
-0.0342,5945
0.011,4539
0.205,869
0.106,2544
-0.132,8049
0.0813,3171
0.466,464
0.14,459
0.0128,4798
-0.00427,5085
-0.0886,8293
0.00121,5167
0.232,1785
-0.0445,6551
0.127,1234
0.0684,3191
0.109,2078
0.0191,4643
-0.31,8827
0.00444,4687
0.0069,5058
0.115,1439
-0.342,9257
-0.204,8983
0.16,579
-0.0252,6613
-0.0269,6037
-0.211,9796
0.0678,3726
-0.312,9814
0.0676,3296
0.154,2883
-0.108,7717
0.337,713
-0.0495,6705
0.319,586
-0.209,8028
-0.0477,7530
-0.084,8160
0.0292,4086
-0.0165,5452
-0.081,8901
-0.172,6327
0.145,542
0.0453,3092
-0.00435,5135
-0.0342,5791
-0.0618,6362
-0.29,4977
-0.11,9260
-0.0756,8448
0.0649,3015
0.056,2815
0.0462,3481
0.278,1287
-0.0515,7618
0.00398,3139
0.22,1541
0.00914,4557
0.0543,2229
0.227,1150
-0.0243,6217
-0.0525,6493
-1.08,9462
0.0514,4088
-0.759,8625
-0.107,4237
0.382,2400
0.0331,4098
-0.211,8872
0.0729,3033
-0.136,8166
0.0652,2064
0.0328,2975
-0.622,9621
0.065,3806
0.105,2836
-0.347,8787
0.111,2120
-0.0592,8068
0.0471,4009
0.31,544
0.0233,4337
-0.0402,6393
0.189,1600
-0.0483,7329
0.217,762
0.264,1025
-0.0686,6929
0.0731,3504
-0.255,9924
-0.101,8783
-0.379,10356
-0.0104,5961
0.0215,4498
-0.186,6440
-0.0852,8282
0.0314,3620
0.121,2005
0.0476,3615
-0.115,7119
-0.184,9611
0.0329,4170
0.0286,3929
0.188,846
-0.349,10021
0.108,2017
-0.0607,5962
-0.111,7867
-0.00203,5317
-0.0496,5784
-0.0219,5933
-0.0535,6419
0.0806,2819
-0.247,10297
0.0545,3119
0.134,1511
-0.00789,5058
-0.0738,6635
0.674,795
-0.0539,9837
0.0047,4997
-0.296,9957
-0.0197,5496
0.0338,4273
-0.0987,7586
-0.11,9238
-0.0658,9033
0.0283,1431
0.114,1963
0.032,4367
0.126,1708
0.101,2991
0.156,300
0.0354,4017
-0.0691,6713
-0.198,9712
0.118,2727
-0.00227,4851
-0.00352,5169
0.15,1564
-0.0274,5553
0.142,2089
-0.0826,7418
-0.126,9830
0.128,1141
-0.127,8247
-0.0924,7937
0.103,3153
0.0425,3702
-0.0621,6373
0.104,1791
0.00395,4919
-0.253,6807
0.104,2953
0.159,2059
-0.415,9872
0.117,1075
0.15,1385
-0.138,7947
0.485,820
-0.166,8364
-0.00926,5205
-0.0653,7746
0.0639,3809
-0.342,9830
0.0156,4852
-0.156,8525
0.0827,2711
0.129,1038
-0.000652,5057
-0.113,7776
0.092,2739
-0.14,8553
-0.0201,6169
-0.017,5692
-0.0885,7094
-0.118,7861
0.402,428
-0.153,8907
-0.129,8530
0.0635,2993
0.15,1098
-0.131,8257
-0.129,8311
-0.0155,5725
-0.104,8158
0.181,973
0.0877,3176
0.274,116
0.13,2770
0.213,514
-0.148,9065
-0.13,9648
-0.0879,6500
0.134,1232
-0.0578,6490
-0.03,5790
0.0365,4196
0.0937,2061
-0.0376,6964
0.135,1043
0.119,1125
0.055,3096
-0.158,9187
0.0907,102
0.0589,3116
-0.0506,7092
0.373,981
-0.0763,5942
0.196,352
0.0223,4435
-0.013,5755
0.024,4265
0.0433,3951
0.252,1231
-0.126,9357
-0.17,10428
-0.0736,8043
0.0307,4404
0.0758,2789
-0.0578,5753
0.0669,3828
0.171,1999
0.0442,3118
-0.191,6937
-0.122,7097
0.254,1484
-0.0249,5017
-0.0886,9078
0.0981,1719
0.109,1550
0.167,996
-0.3,9841
0.101,2727
-0.0266,6272
-0.0128,5487
-0.323,9335
0.194,1491
0.383,300
-0.137,6765
-0.0151,6018
0.166,958
0.157,1634
-0.0266,6058
-0.0249,6033
-0.116,7879
-0.0639,7869
0.013,4405
-0.647,9013
-0.21,4266
0.0496,4262
0.161,1461
0.253,892
-0.134,9406
-0.258,9892
0.18,1573
0.199,775
0.0709,2952
-0.313,10282
-0.178,9476
0.00603,5095
0.278,2515
-0.371,8554
-0.0884,8447
-0.103,7355
0.0367,3827
0.0328,4405
-0.00126,4984
-0.0105,5479
-0.0203,5606
0.119,2095
0.121,1872
0.046,3458
0.14,1947
-0.125,8653
0.0887,1847
-0.0206,5751
-0.111,8743
-0.0249,5802
-0.0118,5144
0.0828,1853
-0.156,9845
-0.168,8943
-0.162,9172
-0.131,8688
0.241,451
0.18,1413
0.0762,2826
-0.00782,5385
0.549,367
-0.00521,5352
-0.0605,6274
-0.25,8401
-0.116,9129
-0.141,8886
-0.194,8662
0.0116,4564
0.128,943
-0.135,7713
-0.0482,7209
0.0275,4077
0.247,405
0.0962,2030
0.328,607
-0.149,7335
-0.0431,7817
-0.135,8841
-0.13,7997
-0.00804,5307
-0.0784,7515
-0.137,9191
-0.0558,6857
0.0784,2280
-0.0822,7139
-0.0754,6385
0.00716,4889
-0.115,7623
0.287,132
-0.0249,6286
0.222,1602
0.0293,3869
0.0283,4447
-0.26,9277
-0.21,10140
0.0292,3908
-0.167,8863
-0.109,8686
-0.0605,6389
-0.148,8152
-0.0154,5577
0.0718,2095
-0.0622,8117
-0.107,8038
0.354,68
0.404,30
0.0682,2414
-0.00773,5303
0.00715,4691
-0.268,5929
0.369,1584
-0.00456,5297
-0.115,9708
-0.0151,5841
-0.122,9491
-0.0837,6373
-0.163,9183
0.0783,2059
-0.0294,7244
0.135,876
0.161,1781
0.396,410
0.0157,4569
0.206,692
0.123,1887
2.2,134
0.0771,2761
-0.0837,6474
-0.0626,6517
-0.173,10227
0.0486,3407
-0.709,7996
-0.0241,6284
-0.391,9698
0.118,2828
-0.0479,7632
-0.189,8700
0.683,1364
1.17,712
0.287,912
-0.22,8739
-0.159,9579
0.139,2336
-0.108,8295
0.0429,2529
-0.124,8322
0.221,1590
-0.138,5887
0.134,805
0.00635,4814
0.0469,2998
0.0423,4079
-0.0379,6540
0.0168,4826
0.305,28
-0.0524,6753
-0.0382,6576
0.22,1154
0.16,2463
-0.21,9449
0.0749,3443
0.0148,4451
0.0338,4032
-0.232,9413
-0.0256,6444
0.126,2391
-0.0304,5485
0.318,41
-0.113,7490
-0.157,8493
-0.462,9078
0.0154,4640
0.221,1340
0.195,610
-0.0481,6742
-0.226,9558
-0.0615,6162
-0.237,9820
0.00261,4578
0.0771,3304
0.0145,4659
-0.0977,8138
-0.127,6259
-0.113,7887
-0.0762,7334
-0.00941,5255
-0.11,8239
-0.0559,7518
-0.028,5568
0.161,2963
1.32,412
-0.0976,8922
-0.214,10429
-0.0706,8199
-0.249,9572
0.0985,964
0.0557,3721
-0.206,10055
-0.0127,5494
-0.0233,5408
0.00877,4926
0.0423,3853
0.0478,3969
-0.0536,6617
-0.0534,7370
0.557,595
-0.197,8294
0.382,1985
-0.262,9112
-0.0349,6878
0.0955,2644
0.265,772
0.0357,3659
-0.0255,6073
-0.046,5443
-0.0131,5612
0.0635,3196
0.065,3101
-0.123,9221
-0.0499,5647
-0.108,5984
0.071,2441
0.0251,4009
-0.0396,6324
-0.126,8616
0.161,1877
-0.0354,5789
-0.164,10074
-0.221,10133
0.117,2310
0.191,2424
0.097,1992
-0.128,9595
-0.0128,5541
0.0366,3634
-0.000555,5075
-0.0272,5682
-0.0278,6395
-0.0447,6407
-0.0931,6944
-0.103,9394
-0.194,9520
0.00582,4722
-0.0448,6578
