coef,rank
-0.243,6523
-0.00807,5047
0.217,1274
0.42,871
-0.285,7754
-0.303,10304
0.0539,2859
-0.113,7697
0.0572,3570
-0.148,8386
0.204,464
-0.161,10213
-0.152,9738
-0.292,10203
0.223,2002
-0.184,5639
-0.0409,7668
0.00808,4462
-0.0407,6401
0.0472,3539
-0.299,10036
-0.106,6074
-0.0471,6445
-0.0949,7848
-0.168,7382
0.0127,4783
0.0129,4608
2.01,80
-0.0731,6551
-0.183,9954
0.03,4256
-0.194,7634
-0.239,9754
0.18,2448
-0.111,8732
-0.104,9492
-0.00873,5566
-0.0866,6627
-0.0259,5752
-0.177,9223
0.0978,1452
-0.0142,6335
0.0862,3193
-0.00143,5304
-0.0904,7301
0.117,2506
0.0122,4137
-0.101,9975
0.0202,4381
-0.263,10385
-0.0179,5246
0.0274,4265
-0.104,7960
-0.0238,6355
0.205,985
-0.0168,5408
0.224,2306
-0.111,7533
-0.0886,9227
-0.101,8980
-0.289,9997
0.0888,2524
0.0698,2358
-0.0483,7990
-0.00608,5286
0.0305,3779
-0.0797,8454
0.171,577
0.0296,4218
-0.646,9949
0.132,711
-0.115,8890
0.122,1991
0.187,1390
0.0261,4654
-0.103,8459
0.103,1728
-0.0909,8215
-0.0915,8863
0.116,1764
-0.0159,5057
-0.101,6830
0.062,2315
0.18,397
-0.0104,5365
-0.0266,5524
0.0171,4568
0.000319,4765
0.0205,3801
0.00558,4823
-0.165,8721
-0.256,10069
-0.0987,7057
0.0116,4842
0.000361,5202
0.287,17
-0.161,7891
0.053,2791
-0.0544,7016
-0.081,7411
0.0631,2472
-0.0672,7498
-0.0884,8410
0.172,1831
0.113,3203
-0.067,6548
-0.117,7155
0.151,1861
-0.166,8908
-0.201,9507
0.936,80
0.0386,3743
0.0198,4026
-0.0926,9502
-0.129,8592
0.0055,4892
-0.0315,6315
0.228,889
0.0626,3403
-0.0152,5742
0.0193,4377
-0.0762,8536
-0.235,8760
-0.0485,5527
0.156,474
0.282,1225
0.0318,4247
-0.165,9079
0.0721,3163
-0.225,10019
-0.0114,5538
-0.0779,7867
0.249,1053
0.00521,5060
-0.247,5190
0.103,3279
-0.0896,8500
-0.19,10089
-0.234,8263
0.0289,3747
0.178,1646
-0.152,8561
-0.111,8187
0.0888,2091
-0.0577,6360
0.0061,4931
0.183,258
-0.143,7982
-0.107,8250
-0.0997,9103
0.903,612
0.133,1969
0.208,1870
-0.117,8366
-0.0808,7282
0.327,68
0.246,1410
0.344,77
-0.131,8163
0.0431,3757
-0.0902,7368
-0.0603,8440
0.335,168
0.114,2589
0.0903,1896
-0.073,8429
-0.145,9007
0.0716,2403
-0.224,9831
-0.138,7125
-0.0548,7431
-0.054,7551
0.0352,2805
-0.15,9413
0.0266,3814
0.0207,4201
-0.16,7279
-0.105,9983
-0.0168,5692
0.00904,4779
0.00258,5126
0.0114,4640
-0.0911,9270
0.0771,612
-0.0337,6470
0.0167,4338
0.034,4147
0.113,1425
-0.202,7391
0.000753,5247
0.112,1752
0.129,118
-0.0738,7669
-0.00747,5136
0.502,278
0.0815,2168
-0.0394,6288
-0.0483,5968
0.0437,2906
-0.138,7797
-0.103,7739
-0.0655,6184
0.129,705
0.0793,3113
-0.0713,6807
0.0266,4494
-0.153,9192
0.116,2419
0.0392,3403
-0.0975,8960
-0.162,10041
-0.212,9490
0.126,2078
-0.133,8271
-0.0523,8265
-0.148,9962
-0.138,9004
0.107,2211
0.153,2557
0.0522,3079
0.135,1788
-0.0411,7118
0.0109,4524
-0.203,9303
0.582,337
0.011,4641
0.0457,3416
0.0606,2181
-0.0735,8830
-0.176,8357
-0.152,9184
-0.194,8597
0.303,818
-0.00936,5684
0.0808,2945
-0.0658,6823
-0.353,8711
-0.235,9906
0.0418,4012
-0.109,6270
0.439,660
-0.0035,5270
-0.0817,8152
0.26,197
0.0406,3500
0.244,435
-0.00519,5305
-0.185,10033
0.222,1125
-0.134,9593
-0.0421,7550
0.281,1174
0.338,1018
-0.0489,5749
-0.266,8394
-0.134,9137
0.259,78
0.123,1420
-0.0075,5316
0.00365,5101
0.0742,3119
-0.00198,4981
-0.0252,5970
0.105,2798
-0.0916,8115
-0.056,6401
0.231,2296
0.242,1091
-0.0539,8722
0.0839,2791
-0.153,9397
-0.142,8026
0.0993,2251
-0.0861,7746
-0.242,9794
0.00514,4952
0.194,818
-0.13,7997
-0.0167,5652
0.0763,2669
-0.261,9664
-0.00377,5223
-0.174,8713
0.286,480
-0.116,8123
-0.00418,5372
-0.263,10154
-0.126,7979
0.0549,3637
0.326,523
-0.106,6848
0.272,5
-0.0371,6924
-0.171,7890
-0.145,9612
0.206,1407
0.0143,4914
0.0497,3409
0.162,733
-0.124,8237
0.106,2124
-0.135,8378
-0.175,7165
-0.0471,7245
0.225,1372
-0.127,9333
0.282,1634
-0.287,9889
0.132,938
0.022,3990
-0.245,10374
-0.151,8947
-0.223,8605
-0.0692,6273
-0.038,6070
0.0875,3789
-0.142,8358
0.0807,3333
-0.0981,8188
0.337,492
-0.277,8848
0.0248,3972
0.0196,4512
0.128,1212
0.0386,3951
0.0308,3305
-0.437,9170
-0.157,10239
0.0235,4052
-0.128,7738
0.0216,4382
-0.00612,5070
-0.293,5007
0.209,230
-0.0631,7987
0.0386,3777
0.0834,1904
0.147,952
0.0282,4389
0.041,3058
-0.327,5801
-0.18,8514
-0.0513,8067
-0.0685,8687
0.184,1651
0.00792,4651
-0.0113,5314
0.128,3414
-0.297,7613
-0.888,9232
0.0395,3483
-0.38,7168
0.139,2119
-0.0629,6273
-0.295,10385
0.256,657
0.0592,2283
-0.07,8937
0.0557,3942
0.151,2454
-0.0962,6937
0.175,2875
0.141,1608
0.0183,4098
0.282,1704
-0.0557,6270
0.0232,4339
0.0982,1914
-0.112,7550
0.195,214
-0.131,8582
0.133,2608
-0.296,10297
-0.0671,6082
-0.0631,6450
-0.0429,6846
0.0678,3584
0.0465,2624
-0.00353,5206
-0.343,8239
0.0739,2727
-0.217,10262
-0.0773,7364
0.15,1339
0.326,868
0.0116,4889
-0.0421,6567
0.0187,4312
0.0399,3714
0.332,792
0.0561,3325
0.116,2944
0.0199,4645
-0.0278,6323
0.724,54
0.226,352
0.447,113
-0.203,9794
0.00995,4766
0.00672,4846
0.0744,2826
-0.147,7872
-0.103,7306
0.0581,4191
-0.0254,7977
0.0228,4216
0.334,538
-0.0942,7039
-0.0331,5887
-0.105,7749
-0.0601,7636
-0.0241,6604
0.0418,575
-0.228,10202
-0.1,6653
0.0966,2309
-0.164,8179
0.0237,3976
-0.163,9168
0.3,459
-0.164,9258
-0.0702,6578
0.0324,4158
-0.126,9533
0.132,1893
-0.0115,5188
0.307,478
-0.279,10294
0.135,666
-0.07,8061
-0.112,7920
-0.085,7740
-0.313,10145
-0.0666,7597
0.155,1713
-0.00825,5411
-0.0309,7011
-0.125,5498
0.0465,3925
0.134,2412
0.07,3856
-0.0262,6335
-0.0306,5900
-0.032,5617
0.21,2521
0.312,614
-0.011,5235
0.0346,3802
0.043,4150
-0.226,8595
0.234,690
-0.0265,5632
0.141,1583
0.064,2579
0.0367,2848
-0.0428,6021
0.252,505
-0.0406,6206
-0.0503,7145
-0.0493,7081
-0.232,9602
-0.109,7699
-0.197,8760
-0.0171,5532
0.215,716
0.00378,5140
0.176,750
0.0419,3683
-0.0757,7080
-0.136,9673
0.0658,2860
0.341,102
-0.0446,6140
0.0999,2054
0.221,1710
-0.108,8253
-0.117,8399
0.0102,4510
0.154,2665
0.235,219
-0.134,8249
-0.021,5577
-0.11,8576
0.135,1118
-0.0858,8849
-0.0532,7326
0.0847,1963
0.0832,2351
-0.0529,6602
0.0288,2403
0.0536,3269
-0.0757,7978
-0.383,9985
0.158,2612
-0.0289,6325
-0.00196,5281
-0.0755,8065
0.0935,2491
0.00743,4968
-0.0935,6885
-0.0122,5576
-0.0408,7330
0.038,3602
-0.296,9645
-0.138,9041
-0.19,7691
0.146,2609
-0.00368,5066
-0.178,10320
-0.292,8150
-0.113,6905
-0.26,9416
0.067,3867
0.0652,1974
-0.082,8694
0.103,1691
-0.135,8743
0.129,2502
-0.0804,7485
0.075,1943
-0.139,9046
0.0275,4651
0.158,1958
-0.138,8066
-0.376,9410
-0.0613,8100
0.00658,4790
-0.00684,5487
-0.0418,6617
-0.0457,6693
0.151,1702
0.233,187
0.0851,969
-0.0726,4558
-0.376,6107
0.0105,4609
0.232,677
-0.222,9350
-0.0831,8200
0.293,528
-0.222,9319
-0.153,9050
-0.082,8002
-0.0725,6942
-0.09,7627
-0.156,9611
-0.133,5923
-0.47,9390
0.0146,4371
-0.0399,5897
-0.111,8725
0.139,2184
0.105,2536
0.0417,3853
-0.0986,7853
0.0633,3272
-0.0946,7933
0.0852,2226
-0.248,9954
-0.0177,5563
-0.0137,5642
0.0557,3037
0.0388,3688
0.115,1772
0.193,1374
-0.039,6761
-0.0869,8406
-0.107,7734
-0.266,10247
0.0118,4531
0.159,1251
-0.0636,6796
0.0246,4325
-0.0144,5755
-0.305,9162
0.0981,2077
-0.0586,6236
0.415,1023
-0.0504,7116
-0.0933,7726
-0.0291,5604
0.0407,3434
0.152,601
0.0661,3755
0.0472,3229
-0.0614,7466
-0.0204,5715
-0.00426,5406
0.187,1796
-0.293,9120
0.00973,4443
0.0117,4731
0.331,403
0.132,2009
0.0793,3001
0.109,1620
0.221,618
0.0189,4381
-0.0688,6821
0.24,1381
-0.152,9059
-0.0792,6883
0.0743,2576
0.0531,2731
