coef,rank
0.197,3237
-0.183,8329
0.154,1981
0.202,2454
0.311,2213
-0.0727,6835
-0.166,10075
-0.156,8556
-0.135,7950
-0.0913,7176
0.346,61
-0.0122,5699
0.0758,2530
0.163,1774
0.732,93
0.681,1168
0.0567,1988
-0.0265,6915
-0.157,9482
0.166,998
0.168,1896
-0.00125,4768
0.0152,4564
-0.118,8401
0.134,3162
-0.244,9534
-0.163,9963
-0.359,6941
0.057,3799
-0.146,9468
0.137,1836
-0.232,8121
-0.0129,5314
0.274,1558
0.0221,4091
0.0744,1762
0.105,1859
0.0551,3885
-0.219,9900
0.193,978
-0.106,8971
0.00416,5048
-0.0842,7049
0.148,1062
-0.0736,6846
-0.286,9971
0.00562,4542
-0.0325,7296
0.116,2619
-0.0209,5742
0.173,1157
-0.152,8174
-0.176,9381
0.163,212
-0.166,9362
-0.102,7381
-0.468,9703
0.00426,4918
0.0652,2017
0.203,193
-0.0907,6978
-0.0536,6454
-0.00689,5513
0.0627,1833
-0.0676,7777
0.186,253
0.0388,3633
0.07,2544
0.0716,3119
0.491,1396
-0.161,10179
-0.0979,8438
0.169,1274
-0.207,9373
-0.494,10462
-0.0946,8268
-0.0592,7414
0.0899,2014
-0.0204,6075
0.249,271
0.341,2221
0.231,1304
-0.00578,5509
0.101,1510
0.432,6
0.103,3088
0.0815,2571
0.402,872
0.0013,4864
0.0374,3059
-0.133,8171
-0.137,8499
0.0442,4187
-0.196,9142
-0.0107,5489
-0.169,10186
0.0113,4471
0.0799,1918
-0.204,10157
0.156,1391
0.158,471
0.0998,2020
0.116,1508
0.112,2680
0.167,2514
0.172,1948
-0.258,9296
-0.157,8798
-0.0993,7458
0.0066,4826
-0.0713,5713
-0.0553,5977
-0.0401,7064
0.0334,3192
0.24,646
0.1,2107
-0.0229,5940
0.166,1542
0.013,4702
0.0819,1420
-0.136,10038
-0.0679,8246
0.0958,3331
0.331,1457
-0.148,10050
0.0843,3519
0.247,1341
-0.478,10474
0.393,94
0.198,907
-0.119,9476
-0.145,9402
-0.277,9815
-0.125,9202
0.106,3139
-0.125,6936
0.123,1185
0.0567,3142
0.0738,3568
0.232,46
-0.0215,5492
-0.21,9498
0.199,739
-0.0739,8090
-0.0689,6636
-0.0877,7153
-0.0179,5845
-0.146,8038
0.0176,4441
-0.026,6309
-0.00503,4235
-0.141,8881
0.121,2872
-0.237,10124
-0.144,8833
0.00821,4816
-0.0471,5884
-0.0408,6384
0.102,2553
0.00675,4774
0.0933,2925
-0.0721,8927
0.251,498
-0.203,9519
-0.00195,5267
-0.00903,5712
0.108,2362
-0.144,9999
-0.226,9848
0.0543,3717
-0.0577,7533
0.0222,4235
0.0207,3730
0.28,148
-0.0492,7169
0.15,1637
0.273,1711
0.125,275
-0.00635,5226
-0.157,8630
-0.0818,8380
0.0184,4355
0.117,656
-0.0285,7681
-0.0532,7156
0.0386,3425
0.0206,4496
-0.135,9592
0.0775,3827
0.0302,4032
-0.218,10019
-0.0341,7593
0.0444,3479
-0.0303,5710
-0.0946,6524
0.114,1377
-0.107,8189
0.0347,4363
-0.0205,6396
-0.00383,4914
0.164,1175
0.0144,4610
-0.154,10194
-0.0544,6354
-0.0295,5803
-0.175,8568
0.185,798
0.0389,3976
0.0475,3101
0.179,307
-0.226,10389
-0.254,9910
0.0694,3106
-0.18,9188
-0.0264,6703
0.075,2119
0.0194,4723
-0.126,8522
0.166,2407
0.759,1761
-0.324,10412
0.191,149
-0.0987,9811
-0.131,8135
0.442,723
-0.0119,5197
0.16,880
0.0288,3526
-0.128,10113
0.237,1161
-0.0988,7946
-0.152,7918
0.128,2772
0.0587,1836
0.00592,4818
0.0769,3085
-0.585,10171
0.0868,2780
0.267,928
0.346,1499
0.15,2867
-0.0962,8702
-0.105,8795
-0.0744,7623
0.00282,4810
-0.0606,6527
0.134,2457
-0.0165,5746
0.0155,4613
-0.172,10088
-0.13,10215
-0.114,7056
-0.0516,5654
0.0277,4310
0.0799,3815
0.142,1274
-0.0477,6843
0.191,531
0.115,2053
0.384,92
0.182,1361
0.172,394
-0.119,8554
0.122,2571
-0.152,9494
-0.0739,6906
-0.0729,5462
-0.00888,5309
0.0817,863
-0.0288,5907
0.0114,4559
0.399,158
-0.0569,7074
-0.052,6616
0.115,2637
0.0793,2698
0.0556,3379
-0.0609,6525
0.119,1709
0.121,1639
0.0778,3220
0.101,2681
-0.101,7267
-0.0205,5477
0.0881,2711
0.0855,1452
0.0471,3615
0.0516,3708
-0.104,7453
-0.172,8392
0.323,1067
-0.00703,5608
-0.00182,5436
-0.142,7438
0.0494,3416
-0.267,9959
-0.255,9258
-0.0387,6385
0.104,1720
-0.111,7914
-0.0025,5056
0.12,2414
-0.23,7914
-0.0848,8850
-0.152,8406
0.11,1572
0.24,1982
-0.0225,5359
-0.0943,8768
0.0643,2008
-0.0617,7265
-0.251,10121
0.086,3456
-0.318,9869
0.275,450
-0.125,7281
-0.018,5595
-0.28,9475
0.176,832
-0.344,10251
-0.387,9784
-0.0223,6233
-0.143,9573
-0.144,9725
0.0145,4600
-0.0284,6532
-0.624,10187
0.16,364
-0.0531,7430
0.0528,3883
-0.0184,5363
-0.187,8836
-0.926,9758
0.0331,3779
-0.189,10331
0.12,1643
-0.000565,5073
0.142,1032
0.209,1972
-0.0382,7040
0.0244,3059
0.445,255
-0.0916,9566
0.022,3747
-0.139,8171
0.0855,1592
-0.202,9716
-0.436,6482
-0.412,8888
-0.282,5165
-0.664,8802
-0.577,8897
0.168,1721
0.083,3477
-0.0365,6334
0.138,1905
0.019,4187
0.0164,3879
-0.554,9210
-0.108,7026
0.0996,2938
-0.478,9905
0.136,1697
0.129,582
0.468,746
0.277,746
-0.0229,6019
-0.239,10303
0.0746,3429
0.04,3414
0.0647,3209
0.161,2175
0.342,175
-0.272,9362
0.0288,4112
0.0326,3889
-0.301,10022
-0.0145,6203
-0.1,7776
0.0238,4372
0.00211,5145
-0.0813,7773
0.207,768
-0.113,8404
0.299,1070
-0.306,10385
0.0136,4755
0.006,4802
0.0172,4442
-0.39,10200
0.104,2131
-0.257,9166
-0.294,10218
-0.0441,6927
0.121,3063
0.0329,3959
0.193,1539
0.319,177
-0.0416,6501
0.087,2141
-0.0231,5996
-0.0854,6659
0.0353,4084
-0.144,6196
0.0399,1345
-0.00874,5509
-0.348,10234
0.000986,5079
-0.559,10474
-0.165,8870
0.041,3184
0.07,1088
0.0289,1378
0.0521,3502
0.394,678
0.0384,3821
-0.000974,4962
-0.0501,7911
0.0534,3546
-0.233,9773
-0.135,8755
0.034,4267
