coef,rank
-0.669,9880
0.0301,4277
0.888,2
-0.21,7832
0.00492,4619
-0.096,7473
-0.0255,6128
-0.267,9997
-0.0978,7105
0.276,616
-0.194,10128
-0.134,9884
0.236,194
-0.137,8424
-0.0366,5456
-0.354,7655
-0.0148,6212
-0.103,10069
-0.203,10048
-0.204,10003
0.00891,4841
0.257,2155
0.0146,4578
-0.0517,6630
-0.0618,5805
0.0118,4800
-0.0151,5721
-0.205,5160
-0.255,9589
-0.000483,5145
-0.107,8169
0.176,2885
-0.00517,5113
-0.12,6708
-0.0407,6449
-0.0608,8072
-0.0799,7986
-0.0264,5418
-0.204,9732
-0.127,8250
-0.115,9153
-0.036,7730
-0.0549,6369
-0.0154,5839
0.071,3251
0.16,1860
-0.0951,9702
-0.0925,9789
-0.221,9217
0.0853,2384
0.288,292
-0.159,8319
-0.0915,7679
0.00974,4564
0.12,2318
-0.0708,6652
0.242,2176
-0.191,8939
0.054,2429
-0.117,9344
-0.0016,4980
0.14,1578
-0.136,9805
-0.0362,7351
-0.0154,5696
0.000726,5154
-0.0801,8470
0.3,58
0.0514,3627
-0.0786,4940
-0.0995,9152
0.202,338
0.104,2366
-0.0261,5550
-0.12,7730
0.18,878
-0.0573,7340
0.0175,4317
-0.124,9616
-0.0923,8341
-0.156,6556
-0.128,7377
0.0695,2028
-0.127,9489
-0.0579,6939
0.358,559
-0.087,8090
-0.253,8713
-0.147,10213
0.135,255
0.292,597
0.0463,3883
-0.235,9260
0.178,1824
0.144,2020
-0.0554,7445
0.0746,3366
0.0633,2446
0.0045,4948
0.0168,4512
0.0242,4004
-0.151,9516
0.278,114
0.00759,4760
-0.486,10397
0.245,1135
0.144,2448
-0.0641,6684
0.131,1928
-0.0449,6205
0.11,3547
-0.0748,6490
0.099,1197
0.0137,4323
-0.0279,5992
-0.115,8658
-0.168,10128
-0.0819,6787
-0.273,10294
-0.00738,5319
-0.0877,9064
0.0139,4460
-0.323,9667
0.0818,3804
-0.0531,7493
-0.192,8568
-0.0517,5767
0.0648,3118
0.238,686
-0.0319,5919
0.0251,3909
0.0524,3697
0.101,2931
-0.258,10419
0.135,3005
0.0139,4615
0.0557,2941
0.02,4353
0.719,108
0.0933,1333
0.0514,3854
-0.0918,7251
-0.118,8339
-0.119,9251
0.454,97
-0.0747,6828
-0.0445,7017
-0.0781,6650
0.0767,2774
0.0117,4561
-0.29,6833
-0.106,8149
-0.178,7636
0.0406,3756
-0.118,8228
-0.0331,6280
0.25,1382
-0.0806,7610
-0.0956,7339
-0.172,9280
0.113,2560
0.0207,3775
0.0629,3306
0.268,710
0.0761,2287
-0.0619,8056
0.0492,3840
0.0399,3537
0.0872,2652
0.0823,3311
0.0527,3370
-0.0806,8507
-0.00699,5725
0.0434,3602
0.0551,2697
0.133,1891
-0.0125,5117
0.088,911
0.125,1114
-0.216,9532
0.0368,3629
-0.00228,5296
0.0485,2704
0.00352,4891
0.0721,2763
-0.0638,7658
0.0142,4701
0.0111,4744
0.215,2420
0.0912,2056
-0.0827,7386
0.0147,4083
0.278,104
-0.0196,5440
-0.367,10046
0.22,192
-0.0235,5789
-0.0289,5583
-0.0287,6835
0.138,2230
-0.0495,6275
0.2,1836
0.133,648
-0.0683,6695
0.0673,3414
-0.223,9228
-0.0316,5913
0.095,2794
0.214,198
-0.0865,8662
-0.114,9256
0.0342,4311
0.00155,4695
-0.19,9351
-0.0303,6977
0.139,747
-0.0354,6417
-0.187,9560
-0.0754,6214
-0.0258,3427
0.0629,3421
-0.0897,8931
0.0709,1537
-0.0696,6761
0.199,2278
0.0169,4471
-0.0325,6214
0.0574,2300
0.00155,5079
-0.0449,5750
0.0265,4197
0.0984,3031
0.368,484
0.0481,2301
0.0216,4360
0.261,587
-0.258,7630
-0.0615,6646
-0.216,9015
-0.0374,5378
-0.28,9116
-0.0258,6190
-0.0596,7448
0.0826,2399
0.0972,1943
-0.0504,6204
-0.253,9871
-0.0617,7342
0.207,1264
-0.0551,7384
0.00694,4717
0.0475,4084
-0.379,9943
0.35,628
0.179,2766
0.00269,5076
0.0663,2442
0.0303,3896
-0.192,9744
-0.000248,5195
0.0286,4137
-0.106,8934
-0.18,9663
0.106,2790
0.149,1068
0.217,765
0.695,333
0.119,2680
-0.0192,6632
-0.0626,6915
0.0735,2689
0.0676,3324
-0.0582,7109
-0.0966,8073
-0.201,9308
0.0729,2861
0.014,4576
0.0607,3813
0.103,2043
-0.119,8596
0.0311,4174
-0.172,9133
0.052,3897
-0.165,8831
-0.0334,5913
0.0861,1436
-0.188,9420
-0.0293,5680
-0.0202,5437
0.143,2212
0.0548,4029
0.0338,3504
-0.122,9550
0.243,1821
-0.0302,6320
-0.0578,6538
0.184,2274
0.096,2195
-0.129,9213
0.117,2174
-0.0753,7213
-0.177,9121
-0.268,8375
0.0715,1805
-0.0168,5587
-0.11,8969
-0.163,7003
0.211,1465
0.0853,1923
-0.0632,8473
-0.0437,6634
0.119,2172
-0.0883,6361
-0.127,7355
0.216,888
0.226,2038
0.566,35
0.122,2709
-0.215,10117
0.0413,4057
-0.297,9072
0.0791,1840
-0.0916,8379
-0.0499,7228
0.0377,3978
-0.155,10306
0.0794,3933
0.0826,1896
-0.148,9944
0.0265,4431
-0.0885,7202
-0.401,10408
-0.215,4312
0.0432,3374
0.0426,3263
0.0068,4844
-0.0629,7725
-0.0163,5872
-0.0819,6361
0.0892,1390
0.00129,3154
-0.248,9425
0.0842,1079
-0.0638,8464
0.00667,4930
-0.03,6474
-0.0147,5418
-0.424,6411
-0.0322,4751
0.335,2293
-0.261,5385
-0.133,4840
0.14,2104
0.283,1020
-0.0659,7268
0.122,2151
-0.0164,6163
0.142,154
0.183,3311
-0.185,8325
0.133,2415
0.244,2311
-0.0176,5459
-0.157,10303
0.0283,4245
0.0319,4223
-0.0102,5589
0.143,1079
-0.333,10271
