coef,rank
-0.0922,5156
-0.0589,6014
-0.178,8641
0.242,2067
-0.252,7408
0.155,1446
0.202,256
0.353,250
0.0429,3879
-0.158,8584
-0.00209,5275
0.109,1046
-0.0384,6661
0.0775,3321
0.373,897
-0.313,7104
-0.0141,6165
-0.0729,9263
-0.0818,7719
-0.0978,8160
-0.0872,7028
-0.297,8503
0.125,1802
-0.164,9381
-0.181,7584
-0.0946,7093
-0.125,9322
-0.163,4812
0.0583,3766
-0.0489,6958
-0.0421,6402
0.014,4750
-0.194,9189
-0.151,7181
-0.0591,7140
0.183,153
0.0996,1991
-0.221,8927
-0.00467,5117
0.196,952
-0.0518,7077
-0.021,6806
0.0207,4590
0.00408,5075
0.0689,3298
0.147,2037
-0.0368,7177
-0.0736,9244
0.145,2169
0.13,1396
0.0428,3619
0.241,964
-0.0399,6310
0.00169,4996
-0.136,8829
0.121,2546
-0.226,7133
0.221,1263
-0.0901,9269
0.0507,2961
0.0254,4374
0.0755,2826
-0.0737,8271
0.000191,5155
-0.184,10189
-0.206,10397
0.0928,1769
0.0111,4681
-0.105,7994
0.392,1822
-0.0294,6553
-0.0639,7340
-0.112,8027
0.121,2334
0.107,3085
0.0184,4586
0.285,57
-0.136,9347
-0.0928,8912
0.108,1964
-0.24,7435
-0.0161,5050
-0.107,9668
0.0529,2891
-0.102,8232
-0.164,8180
-0.0179,5802
0.273,1614
0.105,860
-0.0139,5991
0.317,468
-0.274,10171
-0.082,6757
0.0203,4658
0.116,2491
-0.086,8554
-0.11,6925
0.196,212
-0.0646,7343
-0.039,6211
0.0159,4354
-0.0948,8286
0.0871,2163
-0.313,10089
-0.00033,4929
0.129,2593
0.0181,4543
-0.324,10338
0.12,2109
-0.0669,6800
-0.136,6566
-0.192,9034
0.0464,2837
-0.00269,5256
0.0974,2673
0.063,3078
-0.0345,6450
0.0145,4416
-0.0378,6188
0.177,151
-0.0278,6701
-0.0188,6045
0.15,2542
-0.0859,6072
0.107,1234
-0.197,8647
-0.287,9480
0.0222,4245
-0.00731,5150
-0.123,8404
0.0179,4213
0.0634,3377
-0.193,8846
-0.146,9598
-0.162,4591
0.166,2526
-0.115,9218
0.00701,4847
-0.421,10021
0.0633,2324
-0.204,9170
-0.0344,5801
0.00759,4666
-0.0196,5983
0.144,2013
0.068,3539
0.0451,3137
-0.0547,6167
-0.0914,7862
0.011,4588
-0.513,8994
-0.118,8437
0.128,2784
0.0844,2645
-0.12,8275
-0.029,6141
0.0615,3862
0.112,1950
0.223,881
0.0598,3287
0.213,1119
0.042,2651
0.0788,2925
-0.128,8354
0.173,425
-0.129,9823
-0.129,8707
0.135,876
0.162,1348
0.353,811
-0.05,7251
-0.0694,8138
-0.00276,5379
-0.0791,7741
-0.0292,6264
0.23,761
-0.111,6558
-0.00877,5733
-0.0792,8185
0.0458,3910
-0.019,6063
-0.00926,5624
0.0119,4527
-0.0515,9081
0.114,1703
0.139,873
-0.286,10220
0.0275,4113
-0.443,9860
-0.0294,6458
0.0946,2134
-0.0509,8542
-0.0775,7789
0.0245,4373
0.0517,4013
-0.0588,7635
-0.00239,5158
-0.156,8019
0.0759,1629
0.057,3665
-0.0768,7026
-0.138,7525
0.082,1695
0.124,2251
0.0255,4398
-0.0801,6798
0.0566,3139
-0.0996,7369
0.0695,2394
-0.127,9615
-0.142,9806
-0.211,9482
0.0267,4068
-0.247,9965
0.14,111
-0.0701,8003
-0.0752,7572
-0.044,6303
0.112,3074
-0.313,5487
-0.0238,5829
0.0119,4509
-0.0297,7023
0.0693,3540
-0.178,7782
0.0297,4182
-0.124,9033
-0.151,10187
0.039,3125
-0.102,6940
0.0851,2610
-0.298,9793
-0.191,8784
0.0348,2918
-0.0433,6213
-0.0907,7438
0.088,3687
-0.0572,6532
-0.188,8626
0.423,1111
0.228,2013
0.0211,4242
-0.00634,5518
-0.0908,8115
-0.246,10366
0.367,75
-0.077,6993
0.115,1570
0.0514,3802
0.0468,3282
-0.0545,8173
-0.15,7690
0.257,1575
0.261,1183
0.0489,4225
0.0278,4223
0.0951,1673
0.177,657
-0.0441,6439
-0.0464,6503
0.151,1750
-0.0787,8048
-0.0294,6110
0.0293,4209
0.0591,3065
0.0625,3194
0.00283,4593
-0.0793,6974
0.0272,3243
-0.179,9508
0.00759,4683
-0.187,8880
-0.047,6737
-0.0773,7470
0.106,2797
0.155,1228
-0.0657,7003
-0.0345,5900
0.0665,3019
-0.117,8532
0.168,1761
0.00635,4958
0.0767,3391
0.0685,3270
0.248,521
0.012,4488
0.11,2255
-0.0219,5495
-0.253,9820
0.219,1264
0.0487,4123
0.0477,2881
0.0884,2037
0.296,1373
0.066,2877
-0.209,9395
0.0428,4372
-0.171,9659
-0.15,9572
0.0758,3017
0.194,794
0.106,2717
-0.562,10334
-0.0475,7273
-0.122,7844
0.162,671
0.0311,4284
0.0322,4180
-0.024,6088
-0.0471,7760
-0.179,9954
0.226,740
-0.0691,6030
0.364,591
-0.19,9488
0.261,1709
-0.0833,7160
-0.0572,5873
0.00701,4803
0.253,986
-0.313,9219
-0.0171,6016
0.0199,4500
-0.114,9151
0.0376,3980
0.057,2171
-0.264,7379
0.0766,2105
-0.111,9299
0.258,987
0.0623,3462
-0.225,9365
-0.319,5281
0.129,1021
-0.0667,8124
-0.0564,6999
0.0554,2838
-0.0777,8089
0.186,2158
0.0427,2984
-0.055,3375
0.0677,3711
0.154,138
0.00356,4820
0.0732,3484
-0.00255,5190
0.0669,3154
1.8,642
-0.396,8731
-0.182,4421
-0.345,6102
0.0355,3794
-0.0325,5579
-0.226,9079
0.168,1181
0.0156,4470
0.121,558
-0.00475,5251
-0.21,5801
-0.0892,6690
-0.313,10073
0.163,2983
0.0766,2865
-0.0192,6116
0.0906,3475
-0.0345,5771
-0.103,8575
-0.213,10163
-0.26,9856
-0.0773,8413
-0.0882,7558
-0.161,8482
0.168,1357
-0.236,8952
-0.0436,5994
0.0545,3144
0.179,1756
-0.0423,7770
0.0853,2925
-0.348,8292
0.0695,2856
0.0418,3277
-0.085,7555
-0.0194,5691
-0.15,7759
0.171,1320
-0.187,9898
0.0642,2772
-0.147,9092
0.0878,3425
0.229,469
0.0902,3339
0.0399,4186
-0.0947,8525
0.0347,4357
-0.0355,6425
0.215,1269
0.256,428
0.0158,4600
0.222,231
-0.188,9939
-0.00977,5100
-0.0768,6713
-0.344,8216
0.0503,843
-0.0511,7235
0.274,852
-0.247,9462
-0.296,10189
0.0857,3279
-0.0543,7380
0.0311,2804
-0.00121,5391
0.0282,4243
-0.257,9001
0.209,652
0.254,1069
0.0165,4397
0.102,2397
-0.103,7540
0.0887,3074
-0.0781,6766
-0.12,7283
0.0797,1972
0.151,1545
0.0544,3798
0.226,1029
-0.118,8291
-0.0972,9262
-0.0304,6574
-0.198,9402
0.0484,3524
0.0366,4512
-0.165,9807
