coef,rank
-0.494,8877
-0.0302,5464
0.269,855
-0.355,9415
-0.284,7740
0.1,2409
-0.0837,8390
0.0235,4300
0.0844,3022
0.0138,4653
-0.0308,6301
-0.116,9588
-0.0612,7486
-0.0115,5467
-0.0897,6308
-0.425,8521
-0.0963,9806
-0.0182,6311
-0.0519,6763
-0.262,10344
-0.204,9128
0.132,3238
-0.147,9023
-0.0277,5889
0.14,3082
0.256,1074
0.00762,4834
-0.416,7659
-0.364,10286
0.0619,3047
-0.0741,7327
-0.32,9113
-0.121,7870
-0.0366,5404
0.0945,1901
0.0569,2336
0.156,897
0.195,1851
-0.028,5823
-0.164,8993
0.0988,1428
0.0422,2590
0.67,4
-0.0554,7305
-0.167,8914
-0.17,8593
-0.0464,7719
0.0188,3796
-0.184,8643
0.253,217
0.34,158
-0.328,10220
-0.016,5625
0.0303,3543
0.0983,2731
0.0411,4082
0.435,1099
0.0781,3351
-0.0131,5930
-0.114,9281
0.12,2568
-0.0198,5456
-0.0189,6041
0.0232,3810
0.0769,2175
0.019,4288
0.102,1579
0.128,1158
-0.0311,5964
-0.2,6055
0.0179,4332
-0.0463,6713
-0.249,10092
0.339,315
0.152,2325
-0.0675,7486
-0.0503,7082
0.105,1670
-0.0292,6468
-0.0882,8233
0.00223,4873
-0.273,9492
0.271,10
-0.0477,6973
0.0178,4463
0.0225,4552
0.323,72
-0.0187,5051
-0.0491,7617
0.116,509
0.373,268
0.294,402
0.22,1619
-0.0888,7144
0.0272,4523
0.118,1072
-0.114,6995
0.0704,2209
-0.067,7429
0.3,226
-0.163,10162
-0.0247,5996
-0.0462,6911
0.199,1486
-0.0305,5406
-0.299,10032
-0.302,9712
-0.2,9461
-0.18,9117
-0.0395,6062
-0.292,8568
-0.14,8089
-0.0907,9109
0.00213,4993
0.0587,3614
0.172,907
-0.0877,8558
-0.0337,5608
0.232,684
0.157,268
-0.0095,5785
-0.0821,8738
0.114,3052
0.146,3050
0.125,910
0.0353,4341
-0.0952,6631
0.266,400
-0.0259,5644
-0.123,8390
-0.177,10259
0.208,623
0.433,209
0.0902,2278
-0.681,8317
-0.136,7117
-0.13,9535
-0.00423,5229
-0.0359,5145
-0.0522,7739
0.101,2830
-0.247,9894
-0.0158,5352
-0.101,8823
0.0299,4275
0.197,1443
-0.0547,7486
-0.00266,5016
-0.0141,5459
0.194,212
