coef,rank
-0.314,7263
-0.187,8390
-0.266,9778
-0.0296,5277
0.906,319
0.0582,3359
0.191,320
-0.118,7823
-0.289,10009
0.264,694
0.1,1979
0.0202,4060
0.111,1611
0.0773,3325
0.271,1589
0.599,1403
-0.104,9977
0.0887,760
0.0865,2452
-0.105,8370
0.157,2043
0.112,3482
0.175,1054
-0.0884,7669
0.251,1987
0.00274,5002
-0.0762,7989
0.246,2903
0.0477,3982
0.0433,3617
-0.208,9869
0.3,1821
-0.352,10370
0.603,244
0.163,735
0.0706,1898
0.089,2241
0.0982,3151
-0.0525,6536
-0.162,8957
0.0847,1776
-0.13,10363
-0.133,8060
-0.129,9314
-0.0586,6459
-0.109,7355
-0.114,10062
0.04,2630
-0.194,8809
0.103,1942
-0.317,10359
-0.208,9107
-0.118,8284
-0.0836,9045
0.0878,2973
0.00759,4818
-0.307,8167
0.085,3197
0.0932,1144
0.218,132
0.0449,3946
-0.024,5603
0.0619,2621
-0.0268,6791
-0.122,9363
0.0458,3135
-0.164,10116
-0.216,10339
-0.0526,6585
-0.2,6056
0.0544,2768
0.117,1338
-0.0708,6955
-0.157,8604
-0.0995,7323
-0.105,8519
0.0197,4359
-0.0505,6854
-0.0312,6553
0.0592,3299
-0.327,8316
0.281,907
-0.0349,7038
0.15,672
0.251,308
-0.0502,6008
-0.179,9922
-0.116,6633
0.0917,1136
-0.119,10100
0.207,1321
0.124,2254
-0.167,8288
0.00101,5069
0.144,2024
0.107,1272
0.269,1034
0.0315,3697
-0.0124,5575
-0.105,7999
-0.141,9896
0.044,3595
0.0873,2161
-0.189,8758
0.756,120
0.217,1392
-0.0524,5888
-0.098,7537
-0.116,7859
-0.0544,6477
-0.296,8619
-0.185,8927
-0.0467,7392
0.0544,2175
-0.258,10214
0.0397,3781
0.058,2631
-0.288,10094
-0.0815,7402
0.0829,1397
-0.0883,9082
-0.0722,8394
0.0477,4057
-0.329,9213
0.0229,4095
-0.11,7145
-0.128,7218
0.0418,3727
0.174,1382
-0.242,10146
-0.0364,6684
0.167,1102
-0.115,7493
-0.133,9363
0.548,2056
0.33,1145
0.07,2478
0.056,3169
-0.352,9560
-0.0136,5879
0.263,819
0.0587,3409
