coef,rank
1.58,247
-0.0997,6789
0.291,704
0.178,2686
-0.145,6263
-0.0596,6503
-0.0706,7921
-0.194,9193
0.223,1076
0.00337,4911
-0.00851,5506
0.0234,3906
-0.0447,6894
0.23,983
0.103,3378
-0.37,7876
0.0189,4021
-0.0683,9102
0.0916,2324
0.114,1817
-0.0554,6314
-0.215,7456
-0.0638,6959
-0.0982,7942
-0.146,7061
0.013,4772
-0.0718,7860
-0.344,6752
-0.188,8706
-0.0779,7879
-0.0456,6519
0.15,3168
0.142,2044
0.00589,4720
0.029,3866
0.0732,1799
0.0198,4458
0.201,1790
0.203,924
-0.0126,5221
-0.0687,7735
-0.00053,5381
0.0422,4067
-0.135,9432
-0.244,9883
0.00595,4696
-0.103,9894
0.167,45
0.102,2836
0.158,960
0.132,1724
0.233,1036
-0.204,9725
-0.0998,9496
-0.0547,6884
-0.0305,5748
0.438,1085
0.12,2581
0.0172,4220
-0.118,9374
0.15,2073
0.0513,3452
-0.0405,7000
0.144,189
-0.0539,7283
0.0714,2224
-0.0206,6152
0.183,493
0.202,850
-0.285,6997
-0.157,10139
0.088,1971
-0.0327,5905
-0.24,9749
0.198,1700
-0.179,9879
-0.0505,7091
-0.116,8919
-0.0022,5181
-0.0227,6061
-0.00837,4984
-0.0242,5224
-0.0806,8966
-0.056,7302
0.109,1935
0.018,4638
0.0824,2554
-0.212,8123
0.0601,2055
-0.0401,7568
-0.0437,6179
-0.167,9043
-0.11,7279
0.298,659
-0.13,8333
-0.011,5545
-0.165,7960
0.216,132
0.166,817
-0.0172,5554
-0.0458,7115
0.0531,3327
-0.0398,6657
-0.199,8917
-0.0131,5131
0.0795,3440
0.0266,4384
-0.214,9626
0.0301,4075
0.334,261
0.342,1462
0.248,722
-0.0618,8072
-0.0577,8262
0.201,1022
0.0584,3208
-0.0464,6951
-0.118,7635
0.109,2368
-0.0615,7989
-0.0519,7813
0.034,3535
-0.202,8294
-0.115,6466
-0.0352,6685
0.0857,3489
0.0204,4429
-0.0683,6836
-0.0878,7302
0.0251,4301
-0.118,9456
-0.153,9525
-0.225,9299
0.0829,2487
-0.201,4863
-0.363,9896
-0.0803,8228
-0.188,10071
-0.113,6356
0.0492,2888
0.218,1185
0.0386,3872
0.436,17
-0.0992,8782
-0.144,8302
-0.158,8545
-0.134,9752
0.118,2637
-0.00219,5083
0.0624,2515
-0.372,7691
0.118,2263
-0.326,9494
0.136,1644
-0.169,9289
0.153,1143
-0.122,7323
0.261,285
-0.17,8890
-0.0341,6018
-0.0273,5802
0.141,223
0.0986,2459
0.0979,2871
0.0345,3754
-0.163,10216
-0.0217,5865
0.0673,2549
0.124,1938
-0.0424,5339
-0.0648,7774
0.126,1050
-0.126,10336
-0.0736,7578
0.00976,4560
-0.157,8684
0.0478,4215
-0.0398,7691
-0.194,10249
-0.0462,6190
0.0523,3039
0.0624,2554
-0.0688,8545
-0.00759,5908
-0.143,9556
-0.0104,5475
-0.0498,6410
-0.0863,8424
-0.171,6986
0.161,708
-0.0855,7486
-0.0619,9031
-0.116,8857
-0.188,9143
-0.151,7532
0.0578,2925
-0.0294,5977
0.061,3880
-0.0792,9041
0.462,143
0.133,1625
-0.211,8715
0.112,981
-0.00123,4996
-0.0343,5915
0.142,2346
-0.0578,6759
-0.103,7445
0.142,814
-0.0722,8232
-0.144,9829
-0.0531,6394
0.164,1521
-0.225,9773
0.000238,4944
-0.0152,5752
-0.033,6350
0.00862,4754
-0.163,7709
-0.137,4063
0.0043,5005
-0.102,9320
-0.0437,7828
-0.128,8078
-0.337,9750
-0.107,7551
-0.0718,7600
-0.148,10161
-0.0706,8714
0.204,1497
-0.056,6755
-0.136,7581
0.0943,3302
-0.0993,9866
-0.176,9146
-0.202,9492
-0.404,9183
-0.14,8491
-0.0295,5504
-0.289,8499
0.123,3212
-0.118,9271
-0.121,9151
0.00694,4764
-0.00229,4974
-0.109,7932
0.233,1207
0.11,1658
-0.0894,7226
-0.187,10216
-0.0665,8713
-0.193,8392
0.266,1511
-0.171,7992
-0.386,9545
-0.016,5711
0.0783,2102
-0.0488,6831
0.101,2340
-0.254,10130
0.244,758
-0.133,9561
0.109,2314
-0.22,9031
0.166,817
0.0948,2454
-0.114,5987
0.0596,3762
-0.0434,8140
0.223,639
0.121,1559
0.138,2078
0.0248,4356
-0.156,9453
-0.217,9516
0.0245,4343
-0.0552,6713
0.221,1237
-0.123,8933
0.123,1609
-0.272,9754
-0.0676,6917
-0.109,7435
-0.0273,5660
-0.139,8633
0.164,241
-0.0966,7641
0.0566,3603
-0.171,8765
-0.115,7303
-0.175,7997
-0.0259,6587
-0.124,9604
0.507,358
0.129,1337
-0.162,8695
-0.256,9279
-0.207,10089
-0.0752,7739
-0.216,9832
-0.126,8592
-0.0257,5780
-0.441,9911
0.026,3618
-0.0522,6451
-0.0252,6135
-0.117,6353
-0.151,8123
-0.0948,8780
-0.0497,7903
-0.0229,5891
0.113,2302
0.123,2904
-0.305,9757
0.00487,4941
-0.083,6584
-0.103,7592
-0.118,7046
-0.157,9466
0.0186,4548
0.309,1582
-0.0361,6963
0.0886,2240
0.239,154
-0.068,6892
-0.0791,8827
1.83,5
0.0872,1732
-0.0405,6907
-0.0515,6155
0.117,2356
-0.18,8717
4.49,77
0.0261,4061
-0.17,10240
-0.144,9324
0.0529,2923
0.0508,3328
0.0324,4313
-0.057,7852
-0.113,3689
-0.0882,6835
-0.148,10375
0.149,207
0.0179,4668
-0.0788,8604
0.0651,3197
0.806,1715
-0.396,8733
-0.797,8819
-0.365,6268
-0.414,7500
0.134,2191
-0.292,9788
-0.0336,6229
0.138,1900
-0.0897,9391
0.00339,4675
0.111,3659
-0.212,8716
0.0231,4304
0.338,1684
-0.122,8392
-0.0581,8036
-0.251,8176
-0.0242,5521
0.0135,4708
-0.0996,8334
-0.205,9210
-0.0729,8246
0.014,4583
-0.125,7823
0.0159,4537
-0.266,9291
0.00589,4707
-0.000526,5121
0.107,2845
-0.00416,5595
0.147,1734
-0.226,6889
-0.236,10363
0.0466,3118
-0.112,8240
-0.0714,7291
0.146,2565
0.0976,2641
0.109,2098
-0.113,8872
0.0724,2873
0.179,2140
-0.142,9132
0.142,2634
-0.0455,6304
-0.13,9361
-0.306,9491
0.0578,3191
-0.189,9140
0.178,1077
0.139,1409
-0.0491,7071
0.0267,4298
