coef,rank
0.123,3650
0.502,176
1.25,0
0.228,2193
-0.15,6319
0.0778,2915
0.0615,2601
-0.246,9809
0.128,2259
-0.128,7983
0.0691,2833
0.00654,4779
-0.127,9288
0.218,1107
-0.0259,5316
-0.0332,4548
-0.0924,9711
-0.0179,6296
0.0545,3303
-0.117,8671
0.014,4734
0.25,2205
0.186,919
0.215,565
-0.38,9761
-0.299,9977
-0.0879,8357
0.374,2384
-0.0691,6442
0.0911,2260
0.0162,4674
-0.212,7869
-0.00721,5175
-0.127,6811
-0.0871,8103
0.00466,4812
-0.197,10112
-0.011,5120
0.0422,3815
-0.176,9206
0.00451,4554
0.00191,5231
-0.00435,5142
-0.182,10065
-0.0199,5440
0.116,2516
0.0858,925
-0.056,8594
0.506,78
0.0456,3471
0.0763,2809
0.00548,4726
0.291,301
0.0777,1571
-0.0386,6456
-0.196,9140
-0.353,8688
0.0925,3062
0.0462,2744
0.121,1084
0.175,1721
-0.0571,6562
-0.0265,6391
-0.127,10219
0.0343,3620
-0.036,6875
-0.0507,7422
-0.00379,5226
0.0377,3989
-0.0988,5085
-0.0642,7975
-0.0279,6014
0.188,1049
0.104,2648
-0.102,7377
-0.223,10245
0.0887,2080
-0.074,7696
-0.0611,7821
-0.0277,6239
0.605,984
-0.0164,5057
0.0211,4151
0.00831,4649
0.0521,3394
-0.0144,5270
-0.0215,5943
-0.261,8820
0.0831,1370
0.0543,2213
-0.0984,7394
-0.135,8463
0.252,1295
-0.111,7638
0.141,2070
0.101,1396
0.183,1880
-0.0111,5607
0.0989,2041
0.0415,3733
-0.00604,5342
0.144,1158
-0.0681,7716
-0.133,7772
0.289,1419
-0.0383,5936
-0.227,8896
0.427,101
0.0676,3163
0.183,1324
-0.248,8015
-0.0776,6560
0.104,1094
0.0675,1708
0.0882,2879
-0.119,8736
-0.0177,5697
0.14,1878
0.0331,4178
0.0255,3644
-0.0637,8267
-0.0182,6015
0.331,861
0.183,2690
-0.0745,8322
0.345,834
-0.137,7381
0.02,4295
0.0592,3440
0.275,349
0.0998,1440
0.0456,3931
0.33,538
-0.0993,8585
-0.655,8152
-0.191,8000
0.232,140
-0.00606,5288
0.134,2806
