coef,rank
0.0782,3894
-0.19,8446
-0.14,7966
-0.0292,5273
0.251,2581
-0.0143,5233
0.0663,2454
0.166,1639
0.0969,2791
0.211,1149
0.0676,2884
-0.0246,6271
-9.9e-05,5191
-0.0592,6659
-0.516,10390
-0.173,5557
0.0215,3857
-0.00365,5249
0.26,232
0.00127,5008
0.039,4203
0.357,1480
-0.215,9986
0.0539,3429
0.0929,3628
0.0729,3480
0.175,521
0.0495,3692
0.295,751
0.0248,4225
-0.0285,5977
-0.293,8836
-0.124,7920
-0.523,10357
-0.111,8749
0.143,421
0.0575,3149
-0.0285,5468
0.166,1344
0.0755,2880
-0.107,8983
-0.00972,6045
0.246,983
0.12,1588
0.00322,4872
-0.0651,6359
-0.0509,7949
-0.06,8749
-0.1,7055
-0.105,8415
-0.0443,6054
-0.187,8788
0.136,1897
0.12,632
0.0305,4469
0.149,2100
0.141,2974
-0.239,9533
0.193,78
-0.184,10264
0.556,61
-0.0749,7071
0.0702,2344
0.0584,2006
0.00216,4896
0.289,19
0.0206,4367
0.193,422
-0.0932,7705
-0.473,8904
0.0469,3039
0.0177,4225
-0.107,7903
0.229,949
0.191,1792
-0.268,10398
0.0238,4201
-0.013,5449
-0.0398,6921
0.385,17
-0.453,9327
-0.148,7750
-0.039,7229
0.128,1020
0.0744,2755
0.124,2773
0.132,1472
-0.433,10142
0.0969,1025
-0.115,10037
0.28,679
-0.0535,6517
0.306,860
0.153,2184
-0.15,8725
-0.155,10037
-0.0149,4956
-0.22,10431
-0.151,9503
0.159,1336
0.0355,3518
0.0809,2499
0.0228,4225
-0.173,8485
0.101,3379
-0.247,9617
-0.0541,5920
0.168,1609
-0.266,10017
-0.228,9845
-0.131,6503
-0.319,10249
-0.0693,8382
-0.0359,7162
0.316,254
0.00826,4805
-0.0951,8784
-0.041,5791
0.12,2138
-0.0263,6322
0.197,141
-0.124,9756
0.161,2390
0.278,1849
0.0884,1692
-0.253,9408
-0.0498,5731
0.186,1012
0.326,235
-0.292,10360
0.0403,3241
0.15,1355
-0.277,9816
0.0343,3993
0.147,2952
-0.00884,5010
0.143,812
0.263,131
0.252,1660
-0.0936,9212
-0.347,10301
-0.04,5956
0.167,1087
0.0135,4691
0.175,1553
0.0911,3071
-0.173,10216
0.0456,4024
0.00581,4810
-0.0689,8093
