coef,rank
0.637,1445
0.0822,3372
-0.492,10465
-0.205,7754
-0.738,10335
-0.171,9098
0.00035,5024
-0.0613,6385
0.332,370
-0.109,7582
-0.0116,5627
0.0118,4525
0.138,1041
0.476,102
-0.223,8377
0.156,3496
-0.102,9930
-0.0175,6269
0.0168,4486
0.19,726
-0.00236,5078
-0.243,7805
-0.114,8303
0.00492,4896
0.328,1416
0.337,556
0.0225,4227
1.04,618
0.0567,3809
0.0448,3568
0.216,770
-0.197,7671
-0.0342,5860
0.742,90
0.0135,4394
-0.11,9603
-0.0828,8065
0.0155,4622
-0.18,9402
-0.232,9916
0.0719,2115
0.115,378
0.167,1905
0.101,2005
0.2,1121
-0.21,9215
0.0708,1400
0.0924,712
0.0129,4536
-0.0855,7853
0.152,1428
0.224,1123
-0.0926,7707
0.0823,1429
0.247,616
0.112,2695
-0.583,10207
-0.11,7507
0.0457,2767
-0.0724,8056
0.12,2559
-0.147,8837
-0.0735,8265
-0.0912,9622
0.0536,2904
-0.133,9829
0.0661,2586
-0.00622,5327
-0.000851,5096
-0.186,5929
0.113,1051
0.0103,4519
-0.2,9594
-0.0767,6847
-0.0395,6056
0.0298,4196
0.165,662
0.139,1057
-0.0741,8271
-0.0679,7623
-0.443,9255
-0.121,7243
0.145,408
0.0692,2322
-0.0131,5447
0.164,2211
0.0169,4577
-0.35,9717
-0.0363,6977
-0.0453,7816
0.279,687
0.0272,4366
-0.0529,6157
-0.155,8478
0.0114,4927
-0.151,9989
-0.041,5508
-0.0464,7209
-0.00539,5299
-0.18,9451
-0.18,10295
0.0959,2120
0.00353,4945
-0.28,9852
0.36,977
-0.106,7385
-0.324,9871
-0.00643,5202
-0.281,10127
-0.373,10430
0.335,1514
-0.071,6394
-0.0121,5659
-0.0734,8905
-0.115,8261
-0.179,9818
0.238,100
0.0384,3885
-0.183,9543
-0.0482,7416
-0.00205,5416
0.0372,3378
-0.092,6489
0.6,373
0.112,1135
-0.0303,5627
-0.0363,5505
0.0105,4562
0.148,1780
-0.219,9959
0.0195,4144
-0.123,8959
0.244,1113
0.113,1700
-0.0942,4161
-0.142,7233
-0.187,10218
-0.181,10009
-0.179,7454
0.0802,1736
-0.197,9058
-0.000403,4841
0.537,1
-0.0512,7240
0.207,1198
0.0993,2902
0.04,3330
-0.0814,6731
2.97e-05,5006
-0.0836,8632
0.307,2425
-0.289,10337
0.368,751
-0.02,5589
0.0218,4233
-0.02,5802
-0.215,8825
0.111,1974
-0.168,8867
-0.274,10267
0.00792,4867
-0.0448,7740
0.00486,4943
0.302,488
0.18,377
0.223,111
0.0542,3691
0.162,506
0.00227,4797
-0.141,7173
0.086,2370
-0.12,9565
