coef,rank
-0.173,5900
-0.249,9297
0.0395,3984
0.31,1526
0.857,375
0.000703,4846
-0.0526,7258
-0.0409,5847
0.0128,4538
-0.0889,7114
-0.199,10161
-0.148,10084
0.0728,2619
-0.161,8828
-0.209,8205
0.422,2147
0.0419,2686
0.00407,4749
0.0421,3669
0.0266,4182
0.0748,3461
-0.159,6758
-0.177,9536
0.191,779
-0.0135,5109
-0.0419,5953
-0.079,8089
0.633,1538
-0.169,8384
-0.122,9057
0.00924,4873
0.232,2388
0.358,265
-0.353,9652
0.00956,4543
0.0271,3679
0.00147,5163
0.0865,3344
-0.246,10123
-0.0383,5994
0.0857,1752
-0.0323,7480
0.0502,3922
0.134,1307
-0.166,8899
0.221,1132
0.00482,4589
0.00565,4664
-0.21,9043
-0.022,5784
-0.0425,5982
0.0563,3660
-0.357,10445
-0.0801,8932
0.141,1873
-0.0804,6873
-0.399,9150
0.317,556
0.0431,2870
-0.0552,7416
0.112,2696
-0.305,10373
0.0179,4374
0.107,617
-0.0492,7111
0.0711,2230
0.027,4098
-0.0303,6252
0.471,12
0.315,2184
0.114,1034
-0.167,9877
0.0403,3890
-0.166,8766
-0.112,7587
-0.00927,5547
-0.0649,7623
0.0541,3020
0.107,1346
0.00721,4959
-0.271,7777
-0.12,7231
-0.0268,6619
0.0388,3392
-0.0573,6922
-0.0499,5999
-0.102,8510
0.119,3101
0.013,4200
0.0811,1251
0.115,2622
-0.226,9802
0.165,2235
-0.0618,6545
-0.184,9242
-0.0907,8700
0.0445,3880
0.0305,3738
0.128,1444
0.00676,4830
-0.0874,8695
0.0627,3021
-0.0439,6829
0.0777,3350
0.121,3091
-0.0903,7063
0.0468,4016
0.328,318
-0.00424,4983
-0.312,10326
-0.23,7769
-0.0655,6239
-0.139,10083
0.0353,3094
0.0341,4240
-0.209,10117
-0.142,9796
-0.21,9363
-0.0936,7724
-0.0065,5269
0.0147,4586
-0.0742,8459
0.0992,3284
0.231,2234
-0.0223,6093
0.0424,4216
-0.266,9256
0.126,1817
-0.145,8607
0.0253,4297
0.0107,4512
0.0621,3409
0.323,572
0.0396,3800
0.0296,3479
-0.03,5370
-0.03,6342
0.0709,2703
0.0181,4309
-0.0814,8842
-0.144,8198
0.0836,2875
-0.0827,7460
-0.00327,5330
0.0716,3352
-0.0768,6884
0.0578,2658
0.315,595
-0.214,10018
0.0281,3823
-0.24,6311
0.138,1883
0.233,1621
-0.0959,7856
-0.0454,6183
0.123,1656
-0.0331,5626
0.42,21
-0.228,9699
-0.00707,5183
-0.139,8451
0.14,231
-0.192,9634
-0.222,9740
0.0654,2657
0.0845,1859
0.0743,3165
-0.0587,7719
0.0475,3682
-0.347,9827
-0.00153,5405
-0.164,10176
0.0564,1694
-0.041,6455
-0.205,10373
-3.46e-05,4749
-0.303,9140
0.104,565
0.202,249
0.157,1739
0.14,790
0.08,2000
0.0466,2785
0.0298,2756
0.115,1681
0.131,994
-0.0528,6503
-0.0692,7915
-0.16,6843
0.0644,2823
0.0269,3857
0.0288,3120
-0.216,10215
-0.202,9351
0.0999,3280
-0.0582,7608
-0.0501,6594
0.0266,4516
0.0261,3775
0.136,2256
0.104,2129
-0.075,6365
-0.0428,7114
-0.226,9689
0.383,187
0.566,47
-0.0783,7410
0.0183,4454
-0.141,9719
-0.0586,7745
0.21,284
0.105,2788
-0.00695,4905
-0.0494,6185
-0.092,9793
-0.00721,5397
0.098,2621
0.148,1512
0.233,1725
-0.163,4257
-0.000132,5142
-0.189,10383
-0.0319,7152
-0.153,8543
0.0545,4045
0.39,138
-0.169,9807
0.0552,2396
-0.0636,8457
-0.219,9036
-0.225,10078
-0.0706,6286
0.062,3923
-0.114,10110
-0.0777,7032
0.0234,4334
-0.315,8307
0.0168,4512
-0.101,7037
0.262,2117
-0.0999,6585
0.113,1429
0.135,1330
0.0934,2133
-0.0817,7833
0.177,1009
0.132,2483
-0.235,10345
0.229,1062
-0.093,8652
0.0292,3449
-0.186,8276
-0.192,7881
0.395,429
0.0922,3696
0.0886,2393
-0.135,9492
-0.000737,5037
-0.0734,7242
-0.143,8768
0.213,1047
0.125,993
-0.144,9053
-0.234,9189
-0.135,9170
-0.203,9609
-0.208,7209
0.0557,3840
0.0492,2048
-0.133,8666
0.203,530
0.417,126
0.0743,2889
-0.0546,6697
-0.065,6582
0.159,1168
0.104,2177
0.127,2515
0.00766,4819
0.404,18
-0.0719,6425
0.0252,4455
0.138,2306
-0.289,10175
0.0368,3937
-0.0705,8569
0.0855,2761
0.0212,4405
-0.204,9285
-0.215,9065
-0.312,9659
-0.133,10074
0.157,632
-0.0601,6051
-0.14,9530
-0.065,6709
0.0414,4392
-0.0172,5642
-0.0831,7972
0.213,824
-0.155,9158
-0.0755,7012
-0.228,7896
0.142,432
-0.223,9434
-0.0798,8141
-0.397,9766
-0.167,8407
-0.126,9556
0.0293,3622
0.124,1359
-0.00912,5380
0.0824,3526
0.255,1291
-0.232,9965
0.144,3009
-0.059,6614
0.137,2479
-0.0406,6411
-0.338,10229
-0.239,8411
-0.0598,8039
0.0538,3282
-0.097,8725
-0.108,7981
-0.0438,7322
-0.348,8318
0.00318,5199
-0.0829,8536
-0.116,7529
-0.135,8245
-0.193,8929
-0.352,5598
0.0256,4089
0.182,248
0.0326,3962
0.0589,2710
-0.0809,8201
-0.114,6914
-0.126,9945
-0.247,4827
-0.222,9102
-0.0782,9143
0.0633,1882
0.00706,4916
-0.126,9798
-0.288,10319
-0.416,6363
0.234,2740
-0.81,8895
-0.332,5996
-0.36,6966
0.433,148
0.106,3092
0.0349,4052
-0.0338,5682
-0.00311,5419
-0.116,10124
0.563,1757
-0.0357,5679
-0.067,6320
-0.0781,5397
0.0238,4270
4.81e-05,5071
-0.309,8920
-0.101,7322
0.0873,2413
0.049,3256
-0.311,10160
-0.0811,8543
0.0737,3001
0.0934,3278
-0.14,8580
0.61,102
-0.283,10127
-0.0269,6192
-0.0372,5835
-4.94e-05,5337
-0.294,10325
-0.316,7927
-0.0605,7442
-0.125,9073
0.107,2261
-0.0746,7387
-0.125,7293
-0.221,10004
0.162,1145
-0.0787,7860
0.155,1230
0.257,1335
-0.171,9616
-0.143,7524
-0.0613,6691
0.169,706
-0.0786,6305
0.0279,4139
0.132,2418
0.128,1832
-0.225,10193
0.0215,4301
0.0536,3392
-0.339,10066
0.0586,3607
0.0673,4092
0.0815,127
-0.0128,5693
0.543,47
0.0346,4364
0.0293,4368
0.241,953
-0.0905,8734
0.0672,1197
-0.012,6994
-0.128,8973
-0.246,8884
0.0586,3303
-0.0233,5440
0.118,748
-0.16,9110
-0.0681,6689
-0.182,9511
0.183,1731
0.343,518
-0.0971,8836
-0.127,8671
-0.306,10089
-0.0506,6376
0.15,1472
-0.0606,8024
0.0898,2002
-0.191,9310
-0.0655,7181
-0.00122,5349
-0.0278,6309
-0.0115,5110
-0.146,9588
0.0303,3450
0.399,1744
0.476,187
-0.218,9339
-0.0321,5253
0.194,241
-0.0152,5439
-0.143,8064
0.107,3587
-0.0914,6959
0.131,2606
0.155,677
-0.18,8093
-0.199,8228
0.0648,3514
-0.209,9376
-0.0324,6111
-0.0197,5856
0.00863,4453
