coef,rank
-0.339,7502
0.342,617
0.097,2841
0.385,1052
-0.228,7123
-0.0283,5646
-0.00439,5218
-0.0422,5877
-0.0059,4973
0.144,1989
0.0629,3052
0.0756,1875
0.108,1677
-0.202,9447
-0.194,7982
0.194,3281
0.0287,3409
-0.0487,8238
0.0955,2217
0.0762,2722
-0.121,7733
-0.531,10197
0.0506,3483
-0.18,9630
0.0119,4725
-0.0369,5846
0.0685,2631
-0.558,9098
-0.0657,6381
0.115,1723
0.0116,4803
0.169,2963
-0.0552,6382
-0.261,8727
-0.243,10373
0.0889,1385
-0.0643,7498
0.034,4284
-0.0259,5749
-0.0783,7071
0.0413,3139
0.0303,3313
0.249,958
0.231,262
0.229,836
-0.384,10361
0.0226,3524
-0.027,6929
-0.444,10437
-0.236,10290
-0.0534,6321
-0.0203,5373
0.0324,4205
0.0474,2734
0.0949,2813
0.0208,4513
-0.29,7967
-0.133,7974
-0.0119,5871
0.0614,2589
-0.0022,4994
-0.107,7937
-0.0558,7602
0.0267,3611
-0.037,6608
-0.0965,9078
0.00396,5120
0.128,1157
0.0132,4675
-0.0269,4498
0.00269,5027
-0.0883,8156
-0.0474,6327
0.0933,2836
0.296,754
-0.0166,5823
0.0661,2714
-0.0112,5381
0.00937,4692
0.0975,2219
-0.425,9129
-0.148,7748
-0.0911,9262
-0.0783,8194
-0.0111,5387
0.186,1929
0.136,1399
0.302,1409
-0.0774,8811
0.00855,4635
0.179,1647
0.101,2690
-0.00165,5121
0.17,1922
0.0185,4746
-0.155,10035
0.225,1432
-0.0126,5673
-0.0673,7438
-0.127,8550
-0.0286,6364
-0.148,9457
-0.0876,8374
0.526,70
0.158,2614
0.181,1844
-0.278,9506
-0.0932,7422
0.0148,4468
-0.0374,6006
0.367,1302
0.316,358
-0.0175,5931
0.00312,4928
-0.206,9782
-0.0876,7974
-0.0711,7968
-0.102,7271
0.201,970
-0.14,10099
-0.00604,5622
0.0759,1930
0.231,1612
0.901,64
0.0906,1640
-0.019,5376
0.0778,3412
0.0376,3840
0.139,1907
0.337,145
0.0402,3249
0.0793,2920
0.13,2481
0.156,965
-1.06,9906
0.0345,4301
0.0717,2437
-0.0121,5526
-0.0482,5354
0.151,379
-0.0512,6182
-0.136,8231
0.0842,2550
-0.169,10053
0.00836,4803
-0.142,8270
-0.00743,5355
-0.288,9902
-0.266,10319
-0.0466,7215
-0.825,10306
0.064,3504
-0.485,10321
-0.102,8017
0.0517,3383
0.0911,2348
-0.137,7586
0.217,539
0.0775,3075
-0.0359,6075
0.0899,2995
0.0605,1839
-0.292,10352
0.0132,4850
-0.00265,5306
0.163,448
0.17,1287
0.026,4127
0.364,114
0.248,1473
-0.106,8908
0.0178,4412
-0.0387,7899
0.0589,3162
-0.0431,6902
-0.145,8436
0.788,96
0.15,108
-0.0383,6608
-0.311,10242
0.18,362
-0.00706,5519
-0.0801,8964
0.0327,2535
0.0492,3498
0.194,301
0.0922,2764
-0.00974,5610
0.149,3030
-0.188,10205
0.0736,2590
0.0118,4317
-0.00192,5104
0.226,972
0.299,1098
0.00494,4920
-0.0822,7526
0.179,2146
-0.109,9810
-0.377,10340
-0.0639,6686
-0.107,7004
0.0311,3503
-0.0917,7270
0.318,364
0.0835,3360
0.063,2971
-0.0961,7272
-0.00952,5391
0.214,140
0.107,1638
-0.128,8100
-0.386,10427
-0.0529,6294
-0.0673,8974
-0.0221,6056
0.0215,4656
-0.00347,5137
-0.11,6805
0.181,2683
-0.0986,7913
-0.0219,6198
-0.0155,6203
-0.0493,6307
-0.493,10375
-0.153,8559
-0.233,10318
0.0394,3047
-0.069,8663
-0.0966,6839
-0.165,9386
-0.091,6690
-0.00443,5246
0.0601,1778
-0.233,9930
0.187,1255
0.049,4100
-0.278,10225
-0.079,6585
-0.0119,5048
0.333,1190
0.134,1042
-0.165,9870
-0.00148,5071
-0.217,10241
-0.108,7925
0.003,5108
-0.16,9772
-0.247,9864
0.152,796
0.0878,1093
0.0165,4672
-0.247,8632
-0.405,10269
-0.166,7156
-0.029,6176
-0.153,9811
0.227,266
0.0023,5023
0.0801,3085
-0.28,10138
-0.0333,6338
0.173,1227
-0.268,9565
-0.025,5929
0.148,1564
-0.144,6349
-0.0294,5803
0.0937,578
-0.0437,6358
0.27,176
-0.317,10185
0.00744,4962
0.14,1337
0.325,454
0.0624,3151
0.0275,4188
-0.138,8147
-0.0509,6840
-0.0342,6104
-0.141,7900
0.025,4460
-0.0097,5317
-0.118,7843
-0.206,9651
-0.0691,8516
0.0841,2797
-0.0366,5868
-0.186,9019
-0.00896,4971
-0.209,8514
-0.0576,8158
0.193,304
-0.0894,6538
-0.0969,8549
0.0322,4477
-0.0793,6650
-0.146,9247
-0.0429,6578
-0.179,9330
0.0962,2338
0.0285,4394
0.162,2865
-0.0893,9007
0.175,1996
-0.042,6776
-0.105,6195
-0.27,9753
-0.0445,6969
0.0559,2344
0.0889,2102
-0.0134,5522
-0.172,7867
-0.0479,5873
-0.04,6124
0.511,368
-0.137,8266
-0.263,9310
0.0949,2209
0.166,1915
0.281,1770
0.0749,1965
-0.0653,7591
0.0593,3008
0.17,1326
-0.106,9626
0.195,2949
0.00654,5037
0.0735,2150
-0.163,8455
-0.208,9469
-0.326,10186
0.0714,2661
-0.00669,5515
0.0627,2460
-0.151,9449
-0.0715,8026
-0.0405,6804
-0.0855,6421
0.00929,4587
0.0481,2994
-0.207,8914
-0.0521,8110
-0.0897,9433
-0.15,8388
-0.0882,8917
0.135,1749
0.916,1545
0.637,1060
-0.88,9201
-0.406,6637
0.119,3405
-0.325,10199
0.333,684
-0.0402,6458
-0.00745,4997
-0.115,9948
-0.00252,5093
0.0354,4046
0.221,1584
0.0312,4152
-0.399,9325
-0.027,5734
-0.0783,8814
0.33,1399
-0.0381,5850
0.0832,2515
0.0194,4291
0.0341,4299
-0.169,10175
-0.201,9745
-0.0507,6256
0.12,2112
-0.0705,6163
-0.0115,5157
0.098,1842
-0.184,8754
0.132,313
0.22,850
-0.0962,5461
-0.0109,5667
0.0699,2359
-0.00889,5382
0.296,175
-0.172,8104
-0.027,5963
-0.0247,6028
0.0239,4108
0.0408,3690
-0.144,7693
0.0499,3511
-0.0507,5781
-0.244,9904
0.0353,3920
0.15,2690
-0.0326,6323
-0.0766,6977
0.187,991
-0.108,8482
-0.251,10425
-0.0245,6049
0.231,1345
-0.0276,5537
-0.0846,5574
-0.0307,8441
-0.017,5865
0.133,2378
0.152,2381
-0.0896,7238
-0.157,8735
-0.0464,7039
0.0571,1557
-0.00667,6227
-0.0509,6901
-0.0634,6032
-0.197,9916
-0.453,10431
0.0129,4596
-0.047,6367
-0.0981,7418
0.154,1792
-0.18,8690
0.0136,4520
0.103,1329
-0.121,8564
-0.226,9379
0.0534,3818
-0.201,9735
0.0147,4488
0.07,2633
0.178,1661
-0.0617,7060
0.33,560
0.0186,4618
0.133,2045
-0.158,9785
-0.0887,9470
0.316,2151
-0.255,9348
-0.284,9955
0.0534,4054
0.006,4814
0.0397,3831
0.057,3638
0.176,2844
0.189,1700
-0.0398,5834
-0.0295,6386
-0.304,9620
-0.368,9988
0.299,318
-0.0945,7287
-0.116,8468
-0.114,9171
-0.0624,8675
-0.101,7487
0.161,1457
0.033,4290
0.301,161
0.11,1374
0.255,853
-0.19,9241
0.0307,4388
0.0887,2815
0.202,829
-0.0208,6065
-0.0656,7585
0.142,1661
0.0563,3701
0.0509,2969
-0.035,5973
0.0819,2771
0.272,754
0.252,191
-0.101,6618
-0.326,10448
0.123,1815
0.0523,2809
-0.0962,6652
0.0579,3170
0.0177,4534
-0.0537,6335
0.0913,2609
0.144,997
0.141,613
-0.0611,7611
-0.00444,5223
-0.146,9295
-0.0728,7134
0.0442,1270
0.0648,2965
0.00772,4756
-0.265,8967
-0.174,7407
-0.00193,5222
0.0327,4120
0.352,24
-0.156,9034
-0.0786,7449
0.243,1313
0.155,847
-0.083,9311
0.0184,4348
0.444,405
0.0753,2808
-0.399,9808
0.15,2553
0.574,68
-0.114,9547
-0.174,6725
-0.445,10306
-0.308,9870
-0.314,8822
-0.131,10000
0.0473,3360
0.0276,4000
0.0778,2593
-0.116,7191
-0.143,8829
-0.0854,8669
-0.000673,5104
-0.00809,5215
0.0508,3926
-0.0559,6279
0.134,3302
-0.0382,7140
0.271,192
0.0433,4101
-0.132,9257
0.0976,2354
-0.234,9782
-0.0276,6504
0.0165,4214
0.434,2349
-0.368,5976
-0.0829,5452
0.0939,2691
-0.105,7330
0.0516,3433
-0.00819,5119
0.206,1287
-0.00356,5032
0.039,3983
0.103,2714
-0.121,8374
0.0694,3063
-0.456,9133
0.0547,3849
0.166,534
-0.0474,6083
0.0414,3668
0.186,1542
-0.102,7528
-0.0796,7557
-0.116,8281
-0.144,8654
0.188,832
-0.139,9577
0.183,1309
-0.117,8468
-0.139,9680
0.0266,4026
-0.0573,7195
-0.11,8385
-0.17,8724
-0.000432,4985
-0.00271,5332
-0.267,10048
-0.141,8780
-0.142,8906
-0.212,9981
-0.293,10240
0.0135,4713
0.00445,4753
0.0244,4454
-0.104,8554
0.0844,3432
-0.00588,5056
-0.0988,8747
0.0702,2841
0.104,3056
0.157,647
-0.0287,6488
0.00786,4818
-0.104,9070
0.0977,1884
0.0977,2432
0.231,254
0.287,868
-0.0614,5995
0.0175,3984
0.0327,4150
0.0497,3835
0.0432,3924
0.113,2210
-0.119,8833
-0.0101,5467
-0.215,10335
0.169,1766
-0.089,6653
0.00982,4801
-0.161,8527
0.0273,3992
0.0348,3479
0.337,697
0.0192,4300
-0.189,8205
-0.265,9334
0.146,1101
0.0435,3420
0.112,2639
-0.0433,6745
-0.239,9588
-0.211,9181
-0.0469,6667
-0.128,9644
0.0216,3894
-0.106,8024
-0.0373,6513
0.00346,5010
0.197,247
0.0746,3255
-0.0673,7947
0.261,3010
-0.381,9189
0.0309,3878
-0.0785,8727
-0.0237,6315
0.145,685
-0.272,9508
-0.193,9632
0.0744,2181
-0.0732,9439
0.0782,2107
0.14,2082
0.129,2542
-0.161,8534
0.135,1609
-0.17,8986
-0.488,7959
0.125,1718
0.0559,3806
0.0274,4203
-0.0728,8263
-0.19,9362
0.997,1550
0.0467,3470
0.0104,4525
0.0412,4131
0.0382,3143
-0.106,7209
0.874,933
0.507,2059
0.0239,4755
-0.175,8092
-0.0901,8127
0.258,903
0.0512,3930
0.0162,4126
-0.196,9639
-0.37,10284
-0.556,10078
0.0601,2590
0.109,1870
0.163,375
0.0394,4140
-0.0558,7204
0.569,289
0.0841,2035
0.134,1520
-0.0261,6144
-0.0154,5312
-0.234,8839
0.0701,3502
-0.256,9950
0.0375,3491
0.116,1735
0.158,1961
-0.0285,6563
-0.0825,7425
0.105,3086
0.04,3681
0.171,1962
-0.323,10243
-0.217,6562
-0.143,9076
0.44,199
-0.198,9917
0.13,1257
-0.167,8658
-0.0536,5997
-0.277,10149
-0.197,7885
0.0987,2923
0.193,894
-0.0108,5480
0.198,3039
-0.02,5553
-0.0527,6665
-0.0213,5688
-0.202,9893
-0.0861,8572
-0.0833,7082
0.034,4612
-0.0627,4384
0.0727,2260
-2.61e-06,5203
-0.0938,9000
-0.142,8016
0.00343,4858
0.0216,4198
-0.107,8295
0.101,1368
0.363,770
-0.0952,7325
-0.0621,6745
0.358,139
-0.0287,5886
0.00115,5160
0.779,195
-0.0187,5070
0.549,1219
-0.0517,5902
0.00498,4791
0.0962,2627
-0.0481,6125
-0.111,8937
-0.042,6594
-0.0816,6011
0.0915,2649
0.0733,2909
0.139,1592
-0.0177,5743
-0.144,6969
0.0928,4014
0.154,573
0.0718,2021
0.0658,2770
-0.232,10073
-0.133,8217
0.0729,3488
-0.0684,7952
0.145,1401
0.0192,4510
-0.0797,5947
-0.0685,7092
-0.0133,5665
0.117,1498
-0.153,9570
-0.0439,6468
0.567,182
-0.0311,6574
-0.0498,6572
0.0619,3873
-0.0511,7626
0.032,3915
-0.241,9981
0.157,1515
0.247,1584
0.099,2435
0.221,819
0.16,1591
-0.0486,5743
0.044,4119
0.0735,3494
-0.13,10004
-0.573,10459
-0.186,7256
0.0465,3669
0.146,2343
-0.275,10000
-0.171,9890
-0.179,9691
-0.0107,5075
-0.0537,7929
-0.11,6562
0.184,1847
-0.153,8717
-0.125,9756
-0.0296,5947
-0.0285,5715
0.0638,3330
-0.124,7720
-0.205,10336
-0.276,10254
0.00343,4691
0.0048,4733
0.0046,4768
-0.0241,9456
0.0447,78
-0.219,4382
-0.228,9333
-1.83,10414
-0.156,9577
-0.194,9708
-0.0654,5862
0.579,144
0.0274,4343
0.109,1469
0.181,1846
0.139,1517
0.00169,4977
-0.0574,8674
-0.172,9398
-0.0327,6227
0.0463,4291
-0.927,10451
-0.151,7071
0.375,1717
0.172,1414
-0.0739,6900
0.478,1366
0.139,2087
0.366,337
0.0684,3851
0.0465,3660
0.117,1704
0.608,272
0.257,548
-0.134,9646
0.204,223
-0.079,6267
0.281,611
0.0823,2600
-0.451,10373
-0.018,5544
0.093,1697
-0.0706,9540
0.0863,2787
0.107,2066
-0.0377,6189
-0.369,10162
0.176,1293
0.0429,3798
-0.0914,6878
0.0284,4396
0.0284,4344
-0.152,9730
0.0736,2233
0.0184,4622
0.00317,4775
0.0212,4166
0.24,1538
-0.0394,5530
0.165,915
-0.187,10077
0.305,1070
0.0673,2716
-0.163,8510
0.248,1592
0.0714,2582
-0.00397,5319
-0.176,7597
-0.0312,6637
-0.0506,6466
0.14,1278
0.0801,2358
0.0164,4560
0.0116,4522
0.0151,4590
-0.0622,6678
-0.165,8074
0.0188,4391
0.023,4213
0.298,1730
-0.116,7162
0.132,1401
0.252,667
0.0829,3097
0.0299,3886
0.0435,3508
-0.482,9957
0.08,2612
0.00858,4944
0.249,2616
-0.0432,6765
-0.0174,4678
-0.0403,7518
-0.026,6174
0.0667,2355
0.342,2488
-1.05,10428
0.105,3411
0.404,1040
-0.108,8489
0.193,2584
0.274,221
0.123,1446
0.268,312
-0.133,9234
-0.0547,6348
0.0564,3605
-0.249,9998
-0.157,9500
0.12,1747
0.0087,4628
0.302,764
-0.103,8803
-0.116,7684
-0.337,10241
0.0135,4634
-0.0101,5552
0.952,1522
-1.26,9967
0.129,2032
-0.487,10262
0.23,1343
0.0625,3543
0.116,2888
-0.0106,5543
-0.145,8775
0.00626,4897
0.0309,4096
0.0147,4225
0.00195,4911
0.257,799
-0.161,8788
-0.0167,5855
0.15,1760
-0.0722,8615
-0.0902,6176
-0.143,8503
0.235,1913
0.173,1567
-0.0173,6152
0.0282,4333
-0.0642,5462
0.00123,5068
-0.0809,7928
0.256,1331
0.0281,3929
-0.123,7927
-0.0654,5838
-0.0843,7663
0.0343,3984
-0.497,10446
0.00305,5109
0.0413,3458
0.765,1421
