coef,rank
-0.613,9619
0.0222,4440
0.0381,4015
0.0207,4586
1.24,106
-0.0176,5320
-0.219,10379
-0.0274,5530
0.21,1204
-0.0887,7107
-0.102,8624
-0.0013,5158
0.0854,2269
-0.141,8483
-0.318,9497
0.894,683
0.236,8
-0.0781,9437
-0.111,8553
0.00934,4718
-0.00327,5108
0.536,728
0.0534,3409
0.0383,3891
0.0132,4711
0.11,2836
-0.0243,6107
-0.181,4979
0.0572,3794
0.0126,4701
0.276,334
0.53,696
0.0256,4360
-0.0283,5276
-0.00706,5186
0.129,565
0.0799,2493
0.0689,3655
-0.00604,5174
-0.0732,6959
0.0447,3016
-0.0225,6897
0.101,2929
0.00315,5112
0.254,664
0.228,1045
0.0621,1691
-0.0193,6398
-0.0758,6527
-0.0415,6426
0.314,218
-0.0507,6060
-0.0912,7674
-0.00407,5299
-0.245,10171
-0.249,9782
-0.316,8277
-0.108,7466
-0.0053,5495
0.043,3239
0.221,1229
-0.00373,4955
-0.0985,9055
0.0678,1651
-0.172,10100
0.0554,2772
-0.0587,7746
0.0397,3535
0.183,1070
0.374,1881
0.0159,4427
-0.117,8949
0.085,2792
-0.389,10419
-0.178,8748
-0.0563,7129
-0.0473,6986
0.239,217
-0.134,9805
-0.12,8993
-0.374,8763
-0.356,10114
0.00653,4863
0.0516,2942
0.115,1797
0.281,1019
0.151,1174
0.0912,3457
-0.0819,8983
0.137,238
-0.0726,6838
-0.0818,7264
0.0929,3288
0.0796,3418
-0.0429,6301
0.0187,4220
-0.0678,6072
-0.146,9964
-0.0138,5641
-0.0409,6270
-0.0656,7935
0.138,1266
0.0176,4413
-0.0191,5339
-0.0792,6292
-0.0281,5722
0.208,1661
0.0331,4201
0.0157,4438
-0.0221,5571
-0.338,9079
0.0532,3392
0.0418,3034
0.209,22
-0.18,9481
-0.0715,7486
-0.152,9950
0.0181,4323
0.000306,5060
0.0913,1188
0.00381,5126
-0.124,9761
-0.321,9654
0.123,3288
0.0387,3433
0.0106,4781
-0.194,8331
-0.0687,6847
0.00913,4708
-0.136,8700
0.115,1120
-0.161,9627
-0.221,9250
-0.0793,8012
-0.764,8799
0.246,1745
-0.0928,8584
0.137,1176
-0.0671,5636
0.0413,3206
-0.224,9436
-0.111,7685
-0.0462,6333
0.0119,4743
-0.0263,5607
0.0625,3653
0.0236,3986
-0.0571,6199
0.145,1418
0.106,1310
0.264,2648
-0.0264,5983
-0.244,8642
-0.0649,6961
0.207,771
0.0219,4350
0.188,1994
0.135,1530
0.0626,3385
0.21,771
0.042,4059
0.047,2421
0.188,988
0.0924,2970
-0.107,9147
-0.0209,6244
0.0193,4641
0.0241,4207
-0.097,7536
0.358,790
-0.195,10195
0.0589,2787
0.00206,4989
0.222,412
0.037,3395
-0.211,9526
0.349,1213
-0.0602,8724
-0.0597,7444
0.0736,3255
0.158,555
-0.1,9089
-0.0299,6792
0.00933,4361
0.0595,3149
0.00354,4917
0.183,1246
-0.245,10412
-0.0341,5201
0.0671,2752
0.0309,3732
-0.00691,5666
-0.0974,8382
-0.00568,5077
-0.0553,5839
0.0529,3088
0.112,2105
0.432,392
0.00913,4691
0.185,1639
0.0214,4194
-0.292,9654
0.0994,1250
-0.241,9841
-0.212,9493
-0.144,8046
-0.0477,6433
-0.11,7615
0.141,827
0.00725,4817
0.194,371
0.103,2815
0.0154,4357
-0.0963,7425
0.173,35
0.0463,3111
0.0487,3905
0.195,934
-0.0846,6368
-0.137,4064
0.0555,3627
0.135,581
-0.116,10106
0.0559,3831
-0.0558,5766
0.104,2601
-0.197,10111
0.149,352
0.0486,2681
0.00403,4710
0.0783,2786
0.117,2759
0.235,1344
-0.0502,8152
-0.139,8469
-0.0701,6935
-0.265,7720
0.0412,3863
-0.0837,6666
0.0288,4536
0.0547,4175
-0.121,9336
0.184,639
-0.108,8557
-0.0864,7981
-0.0122,5075
0.0102,4933
-0.161,9779
0.147,1990
-0.13,9519
0.0116,4436
0.109,3107
0.413,659
-0.581,10465
-0.112,6370
-0.185,9919
0.0467,3080
0.0342,3770
-0.183,9622
0.0171,4725
0.165,1568
0.031,3606
0.172,1250
0.381,399
0.125,1476
0.0121,4556
-0.0729,5461
-0.191,9100
-0.053,8689
0.0948,2547
-0.039,6305
-0.147,8137
0.172,924
-0.0928,7951
-0.022,5558
-0.0838,7776
-0.0852,7573
-0.268,9839
-0.119,8832
-0.0411,6353
-0.162,8309
0.279,507
-0.262,9787
0.113,2370
0.097,2507
-0.0258,6513
-0.156,8920
-0.151,8467
-0.12,7805
0.00376,4727
-0.0435,5664
-0.0569,8123
0.0499,3334
0.432,608
0.1,1937
-0.142,8359
0.0927,3527
0.103,2032
-0.0854,8035
0.0507,3605
-0.0603,6804
0.177,1514
-0.129,6581
-0.176,10363
-0.205,9210
0.0785,2377
0.341,1233
0.000178,4853
0.0506,2993
0.0256,3785
-0.0941,8315
-0.288,10295
-0.0615,5873
-0.0678,6252
0.133,1965
0.11,3456
-0.0441,6255
0.133,2535
-0.0657,7258
-0.182,8756
-0.0462,5688
0.271,17
-0.117,9021
0.0434,3561
-0.0464,6315
-0.00218,5067
0.656,753
0.0249,4195
0.471,0
0.274,864
0.267,550
-0.215,9233
0.0336,2781
-0.0307,6572
0.0043,5006
0.162,968
-0.0684,7906
-0.0071,5497
-0.156,7648
0.141,459
-0.738,9523
-0.127,7595
0.0253,3600
0.0363,3010
0.0618,3686
0.0327,3480
-0.159,9117
-0.0836,4386
0.307,2319
3.23,152
-0.717,9099
0.721,1368
0.167,1731
0.538,118
-0.0547,6921
-0.108,7490
-0.035,7209
-0.104,9916
-0.164,5406
-0.185,8323
-0.24,9414
-0.187,6748
-0.198,9671
0.0149,4275
-0.222,7744
0.417,201
-0.164,9778
0.0185,4323
-0.0437,6082
-0.000202,5172
0.0968,2480
-0.0478,6202
-0.0751,7113
-0.154,7674
-0.126,7955
0.0754,2464
0.149,2173
-0.0716,9058
0.00331,5012
-0.173,6299
-0.103,8733
-0.0303,5908
-0.153,9100
0.153,1301
-0.00094,5014
-0.137,8817
0.085,2653
0.146,935
0.0865,2517
-0.451,10347
-0.145,9189
0.206,1862
-0.189,9285
-0.16,9857
1.07,4
-0.224,10286
0.0428,4186
-0.0251,5723
0.378,34
-0.185,10173
-0.00506,5379
-0.412,10330
0.449,110
0.295,2361
0.0157,3320
0.035,3770
-0.183,8654
-0.275,9724
0.13,2390
0.0346,4424
0.0487,2913
0.0144,3873
-0.0147,7363
0.0797,2746
0.09,3425
-0.0227,5682
-0.293,9875
0.0893,1415
-0.0722,7134
-0.0762,6879
0.306,377
-0.121,7632
0.0957,2995
-0.0458,7069
-0.193,9718
-0.0193,5354
-0.0341,5998
0.118,2011
-0.0304,6706
-0.0916,8723
-0.223,9698
-0.0972,8043
0.197,1698
-0.161,9753
-0.353,10327
0.0509,3252
-0.0189,6315
0.234,2612
-0.287,9674
0.127,2534
0.0162,4559
0.129,867
-0.331,10437
0.136,2191
0.0464,4291
0.0695,3503
-0.245,9416
-0.1,8834
0.213,1782
1.48,1
-0.025,6031
-0.332,10295
-0.0604,7003
0.042,3343
0.0821,1058
-0.11,7714
0.211,869
0.00828,4898
-0.0959,8434
-0.0143,5580
0.0552,3775
-0.15,8559
-0.24,9374
-0.134,8541
-0.107,7994
0.197,460
0.195,587
-0.0807,7088
0.302,416
-0.187,10253
-0.0427,6225
0.00279,4985
-0.194,9051
0.293,74
-0.311,9650
-0.0155,5334
-0.207,9896
0.0549,2714
0.44,542
0.0636,2983
0.274,643
0.126,2559
-0.162,9567
0.0114,4787
-0.14,10023
-0.0696,7931
-0.0333,6462
-0.00037,4903
-0.159,9189
0.043,1340
0.0235,4194
0.08,2232
-0.09,6492
0.274,1563
-0.0491,7103
-0.00886,5500
0.0276,4245
0.0239,4267
0.0449,3899
-0.0926,6869
-0.026,6177
-0.0236,6374
-0.0287,6346
0.0133,4728
-0.101,8157
-0.0314,5349
0.0696,3796
0.158,2177
0.257,29
0.196,2834
-0.0234,5286
0.0581,4024
-0.371,9370
-0.0656,8274
0.0457,3436
0.0364,3674
0.128,1556
-0.127,7411
-0.0538,6780
-0.0362,6724
-0.204,10004
-0.374,9747
-0.058,6420
-0.147,8229
0.758,208
-0.0264,6586
0.208,520
0.172,1436
-0.124,9084
0.0241,4438
0.177,1366
0.121,1258
-0.00829,5707
0.0753,3676
-0.546,7946
0.265,2698
0.114,2269
0.0743,3373
0.0191,4585
0.202,1235
-0.106,7311
-0.0861,7539
0.022,4583
-0.0509,6368
0.0882,2728
-0.0684,7561
-0.0827,5416
-0.245,7162
0.0488,3099
-0.0386,5850
-0.167,9763
-0.161,8916
0.187,1282
-0.247,10219
0.515,4
0.0375,3898
-0.0577,6849
0.0504,3285
0.0147,4726
0.092,2416
-0.0901,8557
0.168,673
-0.0473,6803
-0.14,9077
0.262,741
0.119,1080
-0.0712,7967
-0.0786,7021
-0.0564,6702
-0.0164,5389
-0.0207,5804
0.0797,3131
0.193,769
-0.0202,6054
-0.505,10331
0.0377,3885
0.0993,3172
0.372,1227
-0.109,8990
-0.0449,6281
-0.13,7611
-0.0243,6046
0.054,2933
-0.0479,5990
0.13,958
-0.0523,7137
-0.0952,7948
-0.0794,8119
0.357,490
-0.177,7735
0.227,4
-0.116,8397
0.0454,3926
-0.237,9991
-0.0684,7228
-0.194,10000
-0.17,9509
0.073,2427
-0.212,9524
-0.0483,5820
-0.12,8418
-0.0524,6246
0.118,1570
0.0228,4017
0.154,2483
0.0586,2600
-0.183,8117
-0.229,8881
-0.0189,5634
0.155,816
0.0475,4058
0.244,233
-0.0971,7192
0.352,352
-0.0187,5709
-0.105,9124
-0.0809,8784
-0.0197,5619
-0.13,9103
0.0189,4500
0.152,622
-0.0573,6480
0.167,374
-0.338,6759
0.588,695
-0.0548,7245
0.0945,1185
0.0609,1912
0.11,1306
-0.0558,5796
0.166,1432
-0.158,10164
-0.0273,7115
-0.104,8927
0.284,536
-0.151,7711
0.035,4156
0.119,1920
-0.218,9674
0.0106,4007
0.0635,3098
0.406,447
-0.153,8493
0.0976,1546
-0.0333,5704
-0.53,7160
-0.213,10339
0.0845,3587
-0.159,8011
0.00623,4807
-0.132,7743
0.135,3494
0.0196,3933
-0.0101,5452
0.131,2868
-0.124,8968
-0.0238,5615
-0.165,9333
-0.0176,6412
-0.0746,7039
-0.0396,5981
0.911,224
-0.265,10461
-0.0934,8055
-0.0505,7440
0.156,2038
-0.1,8526
-0.168,7823
-0.062,7662
-0.0225,5768
-0.000559,5220
-0.193,9095
-0.216,8585
0.0101,4899
-0.324,10298
-0.0519,7533
-0.0991,8571
-0.114,7504
0.129,852
-0.136,8528
-0.284,9565
-0.0513,7183
0.19,1718
0.221,1181
0.171,3134
-0.0294,6056
-0.052,6271
-0.0488,6351
-0.00331,5081
0.0758,3468
0.138,2791
-0.0755,6889
0.465,455
-0.19,8544
0.0384,3983
