coef,rank
-0.148,5659
-0.111,7037
0.000296,4822
-0.347,9353
0.194,2990
0.219,750
0.00119,4983
-0.272,10042
0.336,355
-0.0188,5435
-0.00493,5380
-0.0391,6945
0.0884,2192
-0.2,9414
0.177,2476
-0.169,5511
-0.0501,8157
-0.0441,7982
-0.156,9449
0.107,1972
0.253,994
0.0447,4225
0.153,1345
-0.0124,5440
0.345,1310
-0.208,9095
0.0924,1956
-0.0863,4304
-0.245,9490
0.0331,3945
0.132,1936
0.0378,4449
-0.147,8396
0.0455,4126
0.0818,2225
0.103,1032
-0.0692,7660
-0.201,8636
0.344,161
0.191,992
-0.145,9758
0.0618,1684
-0.0451,6105
0.197,494
0.136,2055
0.0931,2915
0.0917,788
-0.122,10264
0.0554,3668
-0.111,8581
-0.063,6610
-0.193,8882
-0.00908,5404
-0.0714,8603
0.0788,3203
-0.0751,6750
0.368,1434
0.127,2463
-0.0246,6541
0.0245,3972
0.237,1073
0.231,567
0.11,1268
-0.0374,7419
-0.0477,7049
-0.0686,8194
-0.0137,5853
-0.037,6484
0.413,38
-0.371,7930
0.053,2816
0.206,315
0.0728,3065
-0.246,9817
-0.0601,6498
-0.0922,8211
-0.0194,5906
-0.117,8929
-0.0421,7032
-0.0284,6273
-0.318,8236
0.29,829
-0.115,9839
-0.125,9466
-0.0883,7879
0.431,300
0.0683,2952
0.196,2284
-0.147,10215
0.00338,4972
-0.271,10024
0.0823,3078
0.214,1686
-0.193,9077
-0.0504,6469
-0.0642,7792
-0.331,10002
0.053,2788
0.249,244
-0.0472,6446
0.0763,2050
-0.0677,7509
0.0111,4662
0.0357,4135
-0.146,7473
0.136,2483
0.444,307
0.0207,4521
-0.0363,5863
-0.426,10463
-0.4,9610
-0.265,9937
0.0534,2572
-0.0107,5706
-0.155,9083
0.122,1634
-0.00589,5189
-0.0281,5466
0.0907,2724
0.21,53
-0.0846,8965
-0.11,9476
0.369,676
-0.277,8649
-0.0318,6516
0.152,2485
0.234,1462
0.0185,4335
0.24,675
0.148,1502
-0.0477,7175
0.244,345
-0.106,7322
0.0324,4048
0.274,2587
0.475,510
-0.162,9984
-0.0664,7519
0.0917,3332
0.0548,2658
0.242,966
0.277,476
-0.144,8937
-0.0352,6620
0.0892,3013
0.164,1830
0.0356,3507
0.064,3666
-0.0862,7721
-0.0658,7999
-0.155,5469
0.055,3744
-0.24,8573
0.102,2266
0.246,499
-0.0491,6816
0.469,246
0.00902,4712
-0.217,9535
0.0454,3684
-0.118,8028
-0.00291,5252
-0.135,8710
-0.0649,6904
-0.0201,6060
-0.0187,6150
0.0522,3761
-0.0958,9014
0.111,2187
-0.13,6972
-0.183,10090
0.0777,2164
-0.0603,8984
0.0251,4209
0.0583,2589
-0.0324,5604
-0.0282,5361
0.0122,4329
-0.115,9162
-0.248,9856
0.0209,4310
0.108,1278
0.0759,1656
-0.0214,7117
0.137,1243
-0.0556,7343
-0.355,10416
-0.0794,8227
0.144,3096
-0.109,9039
-0.21,9947
-0.116,10287
0.266,139
0.14,2025
0.0565,3929
0.00981,4712
-0.0436,6406
-0.257,9437
0.0654,1988
0.0187,4425
0.207,678
0.0162,4577
0.0192,4090
0.14,1983
0.239,820
0.247,1092
0.15,1220
0.989,2
0.0103,4540
-0.122,9515
-0.025,6299
0.142,2139
-0.137,8209
-0.0432,6021
0.0218,3523
-0.00794,5433
-0.0965,8119
-0.179,9447
-0.158,7613
0.38,2287
-0.28,10322
-0.0318,6667
-0.0134,6086
0.0174,4702
-0.327,9663
-0.232,9698
-0.0291,6093
-0.185,10395
-0.0789,9009
0.0954,2992
0.000985,4959
-0.0964,6796
0.241,1301
-0.0559,8420
-0.0463,6293
-0.146,8617
-0.0377,5037
0.0321,4086
-0.214,8993
-0.361,9227
0.478,510
0.266,75
0.115,1715
-0.089,8051
0.0233,4073
-0.114,8064
0.048,4097
-0.0924,8326
-0.0476,6177
0.0229,4137
-0.0687,8804
-0.119,7158
0.337,1025
-0.105,6808
-0.06,5648
-0.149,9425
-0.0699,7653
0.0294,3939
0.13,1804
-0.156,9008
-0.172,8961
0.00122,4850
0.314,192
-0.0435,5685
0.283,109
0.0622,3206
-0.114,5979
-0.237,9668
0.013,4233
-0.0879,7607
0.265,194
-0.188,8908
-0.205,10043
-0.113,8531
0.0625,3654
-0.0221,5893
-0.0958,7875
0.162,1996
-0.279,10422
-0.16,9398
-0.0079,5027
0.32,326
0.086,3196
-0.052,6293
-0.23,9918
