coef,rank
-0.0994,5213
-0.0701,6209
-0.0486,5921
0.249,2008
-0.148,6292
-0.0309,5725
-0.0692,7864
0.0427,3852
0.0832,3049
-0.0701,6698
-0.0136,5687
0.0228,3933
-0.0129,5672
-0.151,8684
-0.0876,6275
-0.407,8319
-0.152,10402
-0.0302,7138
0.0205,4349
0.00921,4721
-0.0746,6730
0.807,206
0.143,1490
0.0724,2931
-0.156,7211
-0.0192,5453
-0.0982,8652
-0.103,4414
0.0552,3848
0.0762,2653
0.203,913
-0.187,7538
0.0373,4106
0.133,3006
-0.0981,8429
0.0451,2830
0.0109,4807
0.0967,3183
0.0903,2649
0.17,1245
-0.0373,6451
-0.00122,5425
-0.199,9179
-0.003,5368
0.351,218
0.13,2275
-0.0615,8476
-0.0433,7943
-0.0245,5386
0.189,637
-0.163,8991
0.0696,3399
0.392,79
0.039,3123
-0.0141,5753
0.055,3760
0.481,937
0.199,1495
-0.0152,6028
0.0693,2332
0.273,784
0.0754,2830
-0.00205,5278
-0.057,8399
-0.14,9688
-0.158,10137
-0.00137,5335
0.207,342
0.0825,2848
-0.078,4933
0.0282,3857
0.0854,2035
0.252,488
-0.219,9521
-0.0456,6189
-0.118,8859
-0.0125,5624
0.0487,3210
0.117,1123
-0.145,9481
-0.0936,5894
0.307,743
-0.0583,8147
0.0278,3814
-0.0874,7846
-0.0874,6803
0.0165,4596
-0.135,6948
-0.154,10271
0.0524,2300
-0.0857,7154
0.02,4560
0.133,2681
-0.0552,6392
-0.0952,7594
0.0495,2927
0.454,223
-0.0297,6503
-0.141,9338
0.0447,3650
-0.0176,5879
0.065,2958
0.0389,3642
0.332,526
0.197,2225
0.123,2672
-0.16,7889
0.384,164
-0.226,9703
0.279,508
0.406,1112
0.00788,4459
0.089,1425
-0.0346,7089
-0.0669,7087
-0.0141,5594
0.0385,3359
0.111,2352
0.259,510
0.0354,3161
-0.0921,9190
0.146,504
0.161,2392
0.00244,4839
-0.00206,5193
-0.104,7021
-0.172,7994
0.0343,3934
0.301,339
-0.118,8302
0.12,1025
-0.031,6440
0.029,4364
-0.0391,6690
0.034,3462
-0.00409,4920
-0.0913,8546
0.0813,2408
0.323,1157
0.134,570
0.00764,4853
0.225,838
0.273,256
-0.154,9867
0.0905,2983
-0.177,8863
0.0753,2064
-0.167,8423
0.287,202
0.0664,2379
-0.432,8279
-0.215,9924
-0.219,8307
0.0614,3224
-0.17,9300
0.0259,4214
-0.11,7083
0.0438,3656
0.0717,3201
0.0544,3443
-0.103,7687
-0.0667,8727
-0.057,6763
-0.259,10066
-0.0672,7933
-0.00817,5668
-0.151,9106
-0.0423,7027
-0.15,8728
0.114,2855
0.198,479
0.204,203
0.0186,3868
-0.131,9077
0.0734,2107
0.0285,4024
0.193,2442
-0.0999,9895
-0.0116,5482
0.143,1953
-0.0171,5987
0.0453,3188
-0.044,7455
0.0773,608
-0.0333,6452
0.0494,3056
0.112,2391
0.0939,1854
-0.0302,5152
0.132,1125
0.159,1027
-0.0334,7551
-0.107,8640
0.0417,3967
0.333,884
-0.071,8065
-0.0945,7855
-0.119,7353
-0.0123,5890
0.041,3961
