coef,rank
1.4,360
-0.316,9918
0.187,1568
-0.438,9981
0.262,2515
0.041,3811
-0.134,9630
0.0562,3529
-0.146,8153
-0.0141,5317
0.0293,4161
-0.115,9573
-0.0206,5975
0.11,2670
-0.247,8698
0.11,3737
0.0945,817
-0.0526,8420
-0.0721,7431
0.0497,3449
-0.0775,6797
0.312,1748
-0.0888,7643
-0.0451,6427
0.748,192
0.0548,3867
-0.0106,5547
0.218,3012
-0.229,9289
-0.217,10244
-0.129,8647
-0.146,6953
0.382,212
-0.0518,5667
0.127,1237
0.0204,4027
0.198,459
-0.244,9240
0.0297,4182
0.08,2774
0.0665,2262
0.119,322
0.0945,3044
-0.0641,7585
0.0027,4883
-0.158,8350
-0.066,8698
-0.119,10225
-0.177,8533
0.0863,2358
-0.00689,4952
-0.00956,5120
-0.183,9477
-0.087,9152
0.0707,3417
0.0869,3153
0.397,1285
-0.00588,5136
0.0656,2000
0.0726,2234
0.104,2858
-0.0763,7114
0.000903,5144
-0.0363,7355
-0.00853,5402
-0.128,9756
0.0273,4087
-0.0688,7737
-0.329,10425
-0.421,8437
0.0379,3382
-0.00204,4998
-0.12,8215
-0.0439,5973
0.112,2975
0.0212,4474
-0.145,9690
0.0214,4166
-0.06,7767
0.111,1875
0.358,2100
-0.244,9185
0.00267,5051
-0.143,9774
0.0724,2816
-0.632,10475
-0.254,10363
0.219,2070
-0.0224,6193
0.0227,3821
-0.178,8954
0.165,1619
0.208,1738
-0.15,8396
-0.129,8318
-0.0765,8218
0.28,954
-0.0263,6337
-0.242,10342
0.057,3348
-0.0337,6575
-0.146,9444
-0.0408,6699
-0.272,9785
-0.223,8629
0.0545,3923
0.203,1721
-0.431,10465
-0.21,9525
0.0991,2638
-0.16,6888
-0.00727,4805
0.142,480
-0.0723,8869
0.109,2448
-0.0466,6679
0.00961,4536
0.0202,4279
-0.166,9293
-0.132,9994
0.143,531
-0.0972,9196
-0.0728,6140
-0.181,7361
-0.102,9188
-0.147,7815
-0.283,9442
0.0409,3757
-0.221,9733
0.0157,4541
-0.0626,7807
0.000781,5387
-0.453,10445
-0.19,10115
0.846,1646
-0.383,10014
0.0377,3600
0.102,1884
-0.279,8822
0.0434,3124
-0.0417,5967
0.0583,3415
0.283,223
-0.139,9656
-0.229,9589
0.0101,4825
0.0647,2405
0.0539,3866
-0.0188,5621
-0.0449,7139
0.317,2374
0.105,2540
-0.313,9359
-0.0327,6011
0.0386,3724
-0.0415,6567
0.0251,4570
-0.0914,7925
0.206,1034
0.0015,4929
0.191,1338
0.0254,3505
0.0456,3723
-0.149,8744
-0.0118,5708
-0.0596,7980
-0.0314,6152
0.0547,2991
0.207,850
-0.189,8024
0.00437,5155
0.119,1163
0.0235,3553
-0.185,9892
-0.0332,6454
0.179,1245
-0.241,8406
0.117,381
0.0432,3248
-0.168,8839
-0.174,10151
-0.0147,5893
-0.156,10279
-0.139,10426
-0.0781,7990
-0.0999,8766
-0.0642,6855
0.0767,2351
0.303,1730
0.0634,2863
-0.187,9698
0.0344,2765
-0.0986,8405
-0.0234,5527
0.151,2581
-0.0235,6166
-0.106,8153
0.651,75
-0.0103,5771
0.0848,3158
-0.128,8424
-0.363,10146
0.0118,4426
-0.244,9870
-0.134,8232
0.0193,4645
-0.187,9740
-0.0793,6899
0.052,2968
0.00656,4846
-0.0108,5718
-0.368,10400
0.143,1825
0.132,1883
0.0629,1481
-0.0589,7567
0.121,2071
0.147,1540
-0.292,9363
0.0811,2981
0.0164,4662
-0.0496,7518
-0.0679,8906
-0.0258,5739
-0.0917,6388
-0.135,8188
0.0279,4031
-0.0174,5886
0.0173,4161
-0.136,7594
-0.0322,6019
0.149,2315
0.262,1107
-0.0479,8032
-0.0291,5824
0.0378,3984
0.615,602
0.012,4645
-0.104,7106
0.0743,3970
0.139,2997
0.168,564
-0.111,8925
-0.0216,5777
0.23,301
-0.109,7963
-0.348,10337
-0.0702,7631
-0.118,7901
0.0285,3909
0.0574,2125
-0.133,7381
0.253,1611
0.0923,3206
-0.488,10115
0.0286,4200
0.0631,2523
-0.0906,8274
-0.204,9886
0.0487,3858
-0.0499,6171
-0.0296,6181
0.0255,4429
-0.259,9474
0.0314,3905
0.0889,2577
-0.171,6688
0.25,1011
0.0352,2765
-0.072,7162
-0.165,9591
0.0137,4466
0.176,869
-0.269,10386
-0.104,7490
-0.0998,8216
-0.215,9968
0.0132,4849
-0.246,10346
0.184,733
0.168,1771
-0.0864,7360
0.0552,3827
0.0913,2805
0.181,1189
-0.125,9981
0.319,202
-0.357,10373
-0.205,9303
-0.352,10260
0.021,4564
0.0469,2921
0.135,976
0.193,2311
0.00708,4969
-0.111,7707
0.357,839
-0.124,8797
0.0481,3259
-0.0622,6704
-0.206,9852
-0.172,9064
-0.254,8209
-0.0611,7898
0.325,634
-0.0177,5839
0.109,3270
-0.0944,6958
0.0541,2845
0.14,357
0.0306,3923
0.236,657
-0.184,8020
-0.078,6464
-0.024,5715
0.453,544
0.0903,3142
0.251,1286
-0.0835,7807
0.228,1223
0.305,1606
-0.00403,5350
0.0744,2646
-0.00658,5542
-0.229,9904
0.0191,3893
0.394,1664
0.0578,2778
0.0146,4454
-0.233,9432
-0.00292,4975
0.269,810
1.92,827
0.0825,2050
-0.108,9365
0.073,2786
0.00916,4669
0.00606,4951
0.17,2356
0.0275,3665
1.24,978
-0.192,8695
0.00201,5011
-0.0354,7062
0.0289,4412
-0.0623,7984
0.192,995
-0.79,8399
-0.0711,5102
-0.963,9519
-0.89,9837
0.113,3430
0.264,741
-0.0337,5687
0.076,2959
-0.21,9379
0.111,739
-0.0391,7424
1.13,536
0.104,3135
-0.0282,5464
-0.13,6020
-0.238,10070
0.142,419
0.212,2226
0.0396,4035
0.176,788
-0.0582,7054
0.118,2612
-0.0893,8782
-0.186,9550
-0.0622,6513
-0.00379,5084
-0.186,8218
-0.229,9678
0.15,810
0.177,1778
-0.0405,7668
-0.164,9081
0.573,1009
0.109,1785
-0.00878,5087
-0.148,8984
-0.0301,6033
-0.225,8908
0.0328,4271
0.241,380
0.18,532
0.108,2037
-0.0243,5483
0.0739,2840
-0.213,8602
-0.0887,7341
0.0715,2723
0.182,2317
-0.0328,6329
0.0403,4240
-0.00783,5191
-0.0266,5969
0.0836,2241
0.145,1332
-0.14,7732
0.365,263
0.265,2546
-0.0816,10386
-0.0776,8224
-0.166,8348
-0.0464,6057
0.33,399
0.258,811
0.0386,3288
-0.0778,9497
-0.0205,8089
-0.103,8424
0.0326,4356
-0.0215,5644
0.0785,3386
0.189,111
0.0653,3244
-0.0885,7199
-0.0161,5764
-0.496,10465
-0.012,5046
-0.0962,8808
-0.131,8748
0.0524,3840
0.112,2614
0.0102,4711
-0.113,9619
0.0207,4461
0.022,4736
-0.0765,7499
0.376,360
0.115,1740
0.000643,4800
0.0424,3556
-0.0288,6893
-0.997,10443
0.247,1221
0.0886,3212
-0.191,7576
0.0791,1995
0.101,2290
-0.144,8089
0.328,1632
-0.254,9581
0.0399,4182
-0.016,5830
0.0749,3615
-0.36,9945
0.00042,5299
0.231,884
-0.154,9258
0.0304,3777
-0.0906,9663
0.0865,2797
-0.213,9824
0.162,1699
0.0588,3507
-0.154,9879
-0.0297,5690
-0.0946,7385
0.553,132
-0.0741,7054
0.12,2005
-0.0874,8418
-0.134,9302
-0.209,9634
-0.0306,5935
-0.00951,5502
-0.17,9526
-0.0827,7547
0.142,2204
-0.115,9106
0.202,1874
0.0515,3336
-0.0475,6453
-0.0454,7043
0.0264,4531
0.0933,2119
-0.16,8706
0.206,1447
-0.182,9824
-0.171,10016
0.0484,2951
0.0462,3401
-0.156,9972
-0.223,10243
-0.0488,6502
-0.079,10342
-0.154,9484
0.0471,3267
0.0924,3644
-0.293,9006
-0.00395,5291
-0.0565,7063
-0.129,9432
-0.153,8985
-0.0088,5423
-0.0333,5663
0.0429,3494
-0.0264,6546
-0.0114,5623
-0.113,6976
-0.206,9992
0.254,1880
0.22,1762
-0.273,9666
0.0243,3955
-0.524,10024
-0.027,5339
0.0199,4713
-0.477,10076
0.0448,2797
0.145,735
0.168,611
0.00659,4648
0.115,2712
-0.279,10235
0.0889,1552
0.0313,4061
0.173,2724
-0.021,5546
-0.181,8785
0.494,787
0.154,412
0.173,877
0.061,3632
0.107,1788
-0.00205,5279
0.0324,4064
0.0938,1895
-0.0137,6082
0.375,2535
-0.624,8630
0.0707,4093
0.0682,3314
0.0305,4272
-0.0505,7157
0.147,1894
-0.111,7420
-0.247,10149
-0.0512,7058
0.00134,5087
0.238,575
0.0264,4382
0.558,1108
-0.519,9696
-0.0435,6798
-0.0011,4957
0.038,3779
-0.0231,5839
0.231,818
-0.096,7998
-0.114,8226
0.0933,2603
-0.034,6089
0.0332,3933
-0.00455,5257
-0.166,9421
-0.0558,7355
-0.133,9256
-0.202,10171
0.0891,2309
-0.344,10304
0.0213,4040
0.13,1202
-0.181,9150
0.0737,3048
0.155,1239
-0.0499,6708
-0.16,8942
0.0668,3070
0.0495,2583
0.0583,4002
-0.0322,6357
0.214,1628
0.154,3073
-0.0141,5659
-0.0802,7351
0.0529,4000
0.184,391
0.139,758
-0.0233,5454
0.181,390
-0.139,9515
0.415,30
0.0715,2713
0.281,901
0.383,988
0.0217,3742
-0.132,8764
0.0663,3483
0.0613,3451
-0.0675,7209
-0.0636,7191
0.0922,2648
0.103,1606
0.274,703
-0.252,9303
0.0391,3940
0.0469,4016
0.0147,4381
0.0237,3980
-0.124,7672
0.0126,4613
0.368,784
-0.0419,5569
-0.073,7535
