coef,rank
-0.619,9651
-0.106,6928
0.275,805
-0.219,7946
0.667,728
-0.0239,5513
-0.0885,8529
-0.151,8483
0.0458,3822
-0.0195,5452
0.0334,4013
0.186,176
-0.0496,7061
-0.0136,5511
-0.093,6363
1.36,211
-0.0145,6198
-0.0249,6795
0.0728,2797
-0.102,8276
-0.151,8297
-0.00911,4881
-0.223,10052
-0.0237,5781
-0.292,8972
0.0377,4241
-0.041,6769
-0.34,6696
-0.274,9765
-0.0351,6429
-0.136,8792
-0.221,7980
-0.0402,6014
-0.335,9499
-0.0948,8324
-0.148,10199
-0.0286,6252
0.473,272
-0.0516,6508
-0.0351,5901
0.00561,4510
-0.0628,9029
0.0948,3033
0.0226,4353
-0.0724,6818
-0.199,9063
-0.125,10211
0.0398,2640
0.379,298
0.00116,4954
-0.0869,7228
0.0442,3922
0.176,1244
0.0456,2814
0.117,2365
0.0367,4182
0.0474,3912
-0.0232,5552
-0.0238,6497
0.0748,2157
0.225,1178
-0.123,8288
0.127,939
0.122,393
-0.0787,8164
0.0824,1918
0.203,230
-0.22,10353
-0.293,10357
0.559,1161
-0.0347,6772
0.0443,3277
0.103,2383
-0.212,9440
0.0335,4522
-0.0851,7998
0.14,990
-0.125,9100
0.0568,2735
-0.0796,8004
-0.107,6039
0.275,937
-0.111,9756
0.0119,4471
0.0275,4181
0.115,2904
-0.0932,8271
0.302,1414
0.214,27
-0.0972,9723
0.192,1474
0.158,1719
-0.0536,6174
0.238,1126
0.221,1032
0.0816,1873
0.0323,4091
-0.137,9830
0.0454,3543
-0.0208,5672
0.0917,1611
0.144,1168
0.0451,3426
-0.252,9621
0.225,1974
-0.21,9140
-0.378,10164
-0.00556,5178
-0.0562,6379
-3.65e-05,4985
0.128,3328
-0.142,8141
-0.00524,5271
-0.0357,7145
-0.0329,6136
-0.0725,7517
-0.0189,5755
0.103,2491
0.0349,4131
-0.0936,9185
-0.0796,8824
0.137,599
-0.14,7304
0.0466,4239
-0.0205,6013
0.199,1976
-0.343,9935
-0.0103,5148
-0.135,8378
-0.0256,5728
0.125,911
-0.133,9167
0.023,4497
-0.0551,7240
0.0117,3590
-0.523,10417
-0.114,9183
0.0954,2023
-0.291,8960
-0.0562,7926
-0.179,8803
-0.228,9709
-0.262,10278
0.147,911
-0.0615,6448
0.277,727
-0.00107,5058
0.0152,4628
-0.0857,7706
-0.133,9804
-0.0746,4739
0.0152,4780
-0.179,7662
-0.0129,5365
-0.0543,6481
-0.0102,5453
-0.203,8647
-0.0705,7342
-0.248,9901
-0.189,9528
-0.0171,5527
-0.0628,8553
0.116,2096
0.209,1224
-0.0224,6150
-0.0712,8369
0.00653,5013
0.213,156
0.251,510
-0.105,6501
0.0101,4937
-0.0881,8746
0.0313,3031
0.151,1124
0.169,408
-0.0131,5098
0.252,1897
0.00366,4883
0.0134,4388
0.126,2242
0.0115,4719
-0.0957,8990
0.0138,4412
-0.000376,5262
-0.145,9583
-0.124,9366
-0.197,9505
0.00697,4905
0.234,2273
0.000825,5245
-0.164,9349
-0.0868,9844
0.0572,3129
-0.149,8471
-0.314,9706
0.00135,5098
-0.252,10188
0.971,12
-0.0735,8849
0.0989,2886
-0.0123,5151
0.249,1352
-0.168,10291
-0.102,7516
-0.105,7611
-0.183,8688
-0.0619,6893
-0.11,7618
-0.0854,8394
0.00712,4821
0.0125,4764
-0.1,7511
-0.141,8269
0.0431,3718
-0.0321,7094
0.00673,4765
0.043,4028
-0.0578,6694
-0.0468,5717
1.76,647
0.166,1324
0.0349,3439
-0.136,10297
-0.174,8848
-0.121,6878
-0.28,10112
-0.109,8671
-0.0536,7613
-0.094,9456
-0.00498,4890
-0.0219,5692
0.259,1123
0.342,593
-0.0378,7463
-0.0929,7395
0.0483,3723
0.363,1589
0.0286,4163
0.325,582
-0.094,6074
0.231,1985
0.168,568
0.0785,2624
0.0319,3936
-0.0267,5907
-0.176,9311
0.311,658
0.142,1081
0.0688,3434
-0.0496,7148
-0.105,9854
0.129,2772
-0.17,7551
0.158,2260
0.1,3590
0.129,1517
0.0203,4056
0.116,1561
0.018,4530
0.104,2517
-0.142,8393
-0.00888,5283
-0.00482,5387
0.0798,3221
0.0362,3755
0.179,1135
-0.349,8930
-0.116,7775
-0.0506,8551
0.196,910
0.0302,3952
0.101,2703
-0.151,9371
-0.0229,5650
0.309,549
0.0104,4777
-0.0906,7739
0.0033,5045
-0.0511,6845
0.119,1686
0.168,1775
0.23,827
0.144,2208
-0.0696,6705
-0.278,10252
-0.113,9787
0.0346,3948
-0.138,8240
-0.255,9857
-0.28,9798
0.0594,3955
0.0134,4507
0.0312,4036
0.181,2441
0.082,2404
0.0374,4362
-0.231,8970
-0.167,9623
-0.136,9331
-0.23,9955
-0.15,9042
0.0649,3529
-0.0366,5282
-0.121,9777
-0.0148,5545
-0.208,10301
-0.0228,5021
-0.154,8191
-0.0922,8704
-0.041,7449
0.205,382
0.0651,3352
0.92,11
-0.239,9061
0.0831,2928
0.13,3194
-0.113,7800
-0.329,9907
0.162,1014
-0.237,9486
0.187,2593
-0.0494,7595
-0.0104,5640
0.149,854
0.00958,4730
-0.0995,9463
-0.523,9773
-0.0638,8262
0.113,1144
-0.173,8626
-0.214,9553
0.00336,4857
-0.569,7698
-0.259,10459
0.014,4540
-0.105,8437
-0.0252,6185
0.191,448
0.183,2201
-0.0802,8802
0.00265,3150
-0.103,7138
0.0336,3145
-0.0376,7207
0.155,2031
0.271,16
-0.179,9423
-0.738,8171
-0.0436,4830
-0.434,6351
-0.212,4980
-0.00689,4028
0.0556,3623
-0.277,9663
0.193,855
0.15,1713
0.0105,4649
-0.021,6266
-0.39,7766
0.178,2096
0.101,2908
-0.249,7531
-0.0216,5565
-0.0808,8893
0.205,2293
0.214,1278
-0.212,10206
-0.104,8442
-0.0508,6242
0.11,1285
0.0185,4450
0.176,1966
0.109,2356
-0.392,10220
-0.178,8958
0.0767,2418
-0.0132,5286
-0.00156,5436
-0.0492,6517
-0.301,7754
-0.0314,6409
-0.138,9332
0.266,360
0.203,728
0.176,2185
0.0369,4144
-0.0384,6448
-0.148,9577
-0.132,8807
0.406,452
0.22,532
0.121,2884
0.143,2057
0.00572,5031
-0.448,10268
0.0739,2713
-0.212,9460
0.0984,2402
0.187,787
0.0341,3858
0.145,1328
0.328,670
0.198,1334
0.087,3938
-0.0953,10448
-0.124,9430
-0.27,9758
0.0102,4883
-0.294,10173
-0.0866,7306
0.0195,4114
-0.00236,5056
-0.016,7540
-0.157,9507
-0.121,6994
-0.0395,6271
0.207,1524
0.188,117
-0.0799,7345
0.195,1297
0.0957,2916
-0.246,9570
-0.163,8040
0.102,1338
0.0682,3324
0.00748,4787
0.642,7
0.0235,4330
-0.0151,5944
-0.00335,5446
-0.0664,6878
0.124,1755
0.289,808
0.186,656
0.337,273
-0.19,10114
0.063,1960
-0.224,6497
-0.039,5598
-0.102,7331
-0.254,8370
0.179,325
0.175,1045
-0.117,7501
-0.492,10147
-0.337,10176
0.312,744
0.0742,2433
-0.26,9186
-0.0627,5921
-0.217,9947
-0.154,8494
-0.0943,7951
-0.0998,8794
0.00594,4616
0.0827,2880
0.0799,3027
0.275,581
0.104,2280
-0.0798,8165
-0.223,9492
-0.0872,7206
0.232,1420
-0.0625,6740
0.0492,3599
-0.112,9005
0.0261,4265
-0.188,9336
-0.0658,6820
-0.0684,7829
0.126,1544
0.244,428
0.263,823
-0.0829,8245
0.181,2105
0.0307,3920
0.342,88
-0.0518,7324
0.0533,4069
-0.0859,8371
-0.264,9985
0.0103,4840
-0.0626,7336
-0.133,9517
-0.0152,5930
-0.128,9487
0.0337,3574
-0.154,9468
0.0208,4308
0.0311,2221
-0.0858,7876
-0.115,9052
-0.142,7333
0.0986,3343
0.114,1430
0.256,293
0.139,1222
0.121,1935
0.113,2190
-0.075,6510
0.262,125
0.00279,4756
0.0819,2139
0.695,51
0.0238,4286
-0.00172,4869
-0.0686,6346
-0.328,10081
0.0949,1448
-0.229,7385
-0.37,10036
-0.189,8483
-0.2,7370
0.139,389
0.0201,4466
0.0644,2744
-0.0621,6807
-0.0294,5396
-0.166,9219
-0.14,9878
0.135,1494
-0.309,9209
0.278,729
0.109,2844
0.131,3327
0.0396,3382
-0.0243,5893
-0.161,9156
-0.213,10229
0.0863,2622
0.26,592
0.0206,4445
-0.00957,5791
-0.0233,4244
-0.476,7247
0.434,1739
0.178,1206
0.0174,4584
-0.0842,8229
0.206,1190
-0.0764,6625
0.164,1165
0.179,833
-0.103,7658
-0.00809,5327
-0.0164,5848
0.909,320
0.262,2306
0.165,546
0.105,2730
0.238,252
-0.0416,6315
-0.149,8540
0.153,1453
0.0642,3320
-0.121,8164
0.00917,4701
-0.129,9361
0.488,36
0.0141,4542
0.129,953
-0.131,9199
-0.00701,5315
0.254,281
-0.0354,5722
0.0182,4176
-0.111,9036
0.0869,3067
-0.0269,5857
0.212,598
-0.0298,6096
-0.211,9656
-0.185,9736
0.0191,4018
-0.143,6966
0.148,1110
-0.109,7232
-0.0325,5439
-0.0968,8696
-0.0112,5219
-0.14,7813
-0.0115,5542
0.0436,3342
0.297,878
-0.104,9051
-0.05,7057
0.0521,3589
0.0414,3738
-0.0554,6072
0.174,2720
-0.119,10189
-0.0579,6844
-0.143,8278
0.172,1443
-0.0417,6471
-0.0144,5399
0.0917,2659
-0.0496,7127
-0.16,8776
-0.0788,6453
0.0112,4763
-0.047,6127
-0.0489,6610
-0.001,5128
0.202,1843
0.0695,2202
-0.0767,6347
-0.27,9379
0.164,851
-0.101,8652
0.0205,4658
-0.179,9940
0.0486,3870
-0.0806,6737
-0.0164,5611
0.0103,4488
0.0449,2861
0.0645,3211
-0.203,10086
-0.00444,5288
-0.0804,8283
-0.269,9988
0.0164,4316
-0.393,7359
-0.138,6446
-0.0244,6132
-0.0419,7065
-0.132,10137
0.113,1255
-0.233,9041
0.0324,4240
0.0454,3231
0.0314,3127
0.101,1544
-0.291,10197
-0.03,5343
0.0527,3774
0.0674,3160
-0.0979,7438
-0.663,9109
-0.325,10442
-0.0328,5451
0.106,2486
0.0557,2896
-0.186,9292
-0.0138,4466
-0.0152,5954
-0.181,7248
0.272,1126
-0.0232,6384
-0.135,7805
-0.554,8907
-0.297,6362
-0.234,9470
-0.128,7324
-0.00354,5370
-0.116,7660
0.149,1759
0.0579,1856
0.0469,3570
-0.258,9601
0.776,384
0.176,356
-0.000144,5042
-0.151,10103
-0.0848,6857
-0.081,7991
0.101,3578
-0.0519,7278
-0.0085,5322
-0.0368,6520
-0.0418,6001
-0.337,9907
0.0265,4480
-0.211,9479
-0.175,10261
-0.0117,5723
-0.114,7510
0.0198,4318
0.11,2739
-0.244,9104
-0.0219,6051
0.133,2496
-0.267,9917
-0.535,9573
0.0826,2771
0.115,2789
-0.0107,5091
-0.0713,7540
-0.213,9394
0.399,570
0.313,306
0.274,1367
0.0821,3217
-0.0751,7331
-0.102,8259
0.279,2417
0.316,289
-0.0802,7451
0.166,799
0.147,1310
-0.0969,8910
0.281,435
0.0954,3789
-0.414,7902
0.103,1408
-0.0744,8505
-0.0972,9103
0.139,2399
-0.00165,5152
-0.00363,4544
0.144,1236
-0.048,7057
-0.0869,6670
0.196,1392
0.248,577
0.0692,3417
0.077,3025
0.0664,2701
0.0465,4218
-0.0961,6498
0.45,1643
-0.155,7652
-0.0572,7945
0.0194,4470
0.0963,2851
-0.0345,6386
0.151,1399
0.193,2368
0.0373,4116
0.127,1744
0.159,1290
-0.201,10224
0.481,719
-0.571,10007
0.0445,3417
-0.05,7756
-0.155,9496
0.121,2195
-0.166,8808
-0.0638,6472
0.22,166
0.157,1228
-0.126,8170
-0.115,6455
0.0876,2204
0.092,1706
-0.108,8764
0.0574,2993
-0.086,7715
-0.155,7805
0.0426,2807
0.251,368
-0.301,9946
-0.0675,8314
-0.0313,5742
0.258,477
-0.0875,7732
-0.127,7314
-0.0668,7412
-0.128,8284
0.341,247
-0.305,9402
0.518,70
-0.0569,6417
0.0882,1476
-0.267,9249
-0.135,6563
-0.0514,6207
-0.128,7268
-0.000301,4911
0.0645,2843
-0.124,8684
-0.205,8648
-0.0222,6455
0.281,1496
0.212,1562
0.122,2298
0.0264,3741
-0.0916,7693
0.0345,4168
0.0971,2643
-0.026,5589
-0.139,9724
-0.13,8388
-0.0705,10296
0.0204,1951
-0.0191,8168
-0.00692,6847
0.00645,3865
-0.0604,3359
-0.0147,5291
-0.888,8963
-0.178,9886
