coef,rank
0.544,1715
-0.0185,5219
0.0933,2905
-0.369,9533
1.1,172
0.0217,4303
-0.0226,6007
0.429,106
0.0225,4318
0.168,1627
-0.151,9596
0.107,1092
-0.2,10229
0.113,2620
-0.0581,5790
0.588,1441
-0.0176,6372
0.06,1632
-0.0327,6149
0.081,2588
-0.0352,5830
0.279,1980
-0.161,9288
0.229,469
-0.336,9412
0.172,1954
-0.13,9442
1.13,518
0.214,1455
0.0861,2392
-0.208,9860
-0.154,7051
-0.0342,5859
0.0923,3526
0.29,72
0.0478,2726
0.0848,2346
-0.375,10234
-0.185,9471
0.147,1557
0.0275,3636
-0.0558,8708
0.0157,4707
-0.017,5890
-0.0185,5410
-0.0615,6261
0.0442,2423
0.124,260
0.108,2739
-0.0661,7231
-0.0384,5870
0.0175,4468
-0.0261,5918
-0.0675,8446
-0.0473,6702
0.0546,3766
-0.644,10337
-0.2,9072
-0.0612,8280
0.134,845
-0.321,10183
-0.0248,5627
-0.00868,5589
0.02,3983
0.0491,3088
-0.00403,5366
-0.000645,5299
0.132,1096
-0.0906,7633
-0.303,7202
-0.0414,7071
-0.119,8993
0.418,46
-0.099,7396
-0.121,7758
0.117,1892
0.0816,2267
0.064,2703
-0.13,9733
0.00443,5058
-0.116,6139
0.281,904
0.0526,2694
-0.0406,6682
0.0455,3581
-0.339,10115
0.0448,3671
0.082,3582
0.021,3787
-0.0343,7234
-0.168,8775
-0.0265,5796
0.0397,4272
-0.131,8034
-0.0359,6107
-0.0713,8049
-0.0176,5019
-0.0332,6649
-0.196,10078
0.0557,3370
0.00218,4971
-0.114,8810
0.156,844
0.228,1201
0.0806,3650
0.0951,3133
0.0754,3516
0.16,1728
-0.0436,6059
-0.258,10090
0.0367,4348
0.2,1096
-0.136,10032
-0.0117,5758
-0.135,8701
-0.0616,7177
-0.0666,7799
0.0897,2743
0.0848,2846
0.063,2039
0.0226,4218
0.218,79
-0.328,9717
-0.0711,5844
-0.0121,5625
0.733,65
0.439,349
0.26,436
0.256,573
-0.196,9720
-0.0106,5499
0.28,196
-0.187,8770
-0.0264,6220
3.83,47
-0.238,8637
-0.167,10026
-0.0215,5895
0.235,1788
0.0707,2037
-0.207,9204
-0.132,8175
-0.193,9746
-0.0291,6376
0.127,2256
-0.252,9843
-0.000142,5024
-0.0298,5614
-0.0053,5201
-0.0725,8221
0.7,1005
-0.0367,6316
0.0882,3330
-0.00845,5207
-0.048,6277
-0.0482,6783
-0.074,6400
-0.126,8753
0.179,1320
0.201,853
-0.0645,6760
0.135,266
0.168,1237
-0.252,10007
0.0821,2118
-0.0874,8892
-0.00908,5474
-0.101,9171
0.136,1746
-0.214,8382
-0.0457,7096
0.0629,2646
0.0776,892
-0.0701,7457
-0.0488,7145
0.00771,4532
-0.383,9797
-0.0636,8840
-0.04,6666
-0.181,9060
0.0222,4256
-0.135,9772
-0.142,10179
0.0394,2124
-0.00939,5581
-0.0896,8479
0.169,1438
0.167,615
0.0307,4380
-0.0147,5867
0.0295,3774
0.0482,1994
-0.0544,7040
-0.226,9644
-0.351,9957
0.063,2749
0.18,992
-0.177,8384
-0.0383,7307
-0.262,9638
0.145,1421
-0.199,8550
0.0216,3980
0.112,2479
-0.328,10322
-0.0122,5324
-0.0271,5761
0.00783,4705
0.245,102
-0.144,9886
0.0172,4568
-0.148,8498
0.135,1924
-0.0473,6128
0.0173,3801
0.0919,1669
-0.224,10092
0.195,941
0.00376,4825
1.46,901
-0.098,7898
-0.0955,9128
-0.0139,6108
-0.251,9859
-0.135,7126
-0.116,7759
-0.0727,7625
0.156,292
-0.0563,8171
0.113,2696
0.171,974
-0.184,8451
0.402,348
-0.103,9925
-0.0971,7507
0.128,2060
-0.127,6072
-0.0641,6713
0.294,755
-0.145,6748
0.51,416
0.113,1439
-0.0876,8349
0.0252,4158
0.117,1561
-0.0361,5795
0.165,1967
-0.121,9073
0.151,1934
-0.01,5537
-0.00335,5375
-0.213,8690
-0.0233,5239
-0.095,6627
0.28,1926
-0.0651,7345
-0.0892,8316
0.0256,4049
-0.0252,5873
0.381,97
-0.08,6987
-0.0811,8135
0.0893,2737
0.0214,4351
-0.0968,8264
-0.0822,7090
-0.101,5820
-0.136,8196
-0.0705,9387
0.0379,3935
-0.0118,5392
-0.147,8127
-0.0113,5572
0.148,1191
0.363,309
0.00461,4971
-0.102,8030
-0.00937,5327
-0.0155,5612
-0.0995,8086
0.0434,3906
0.0841,3039
0.0518,3902
0.0464,3766
-0.0417,6171
-0.00793,5548
-0.223,9826
-0.0634,6525
0.213,1129
-0.18,8532
-0.179,8068
0.171,207
0.0707,2588
-0.275,9240
-0.0051,5427
-0.0194,5633
0.362,815
-0.189,9918
0.0717,2527
0.0607,3369
-0.0233,5697
0.209,1122
-0.216,7715
-0.0725,8397
-0.151,8391
0.00226,5054
-0.012,4870
-0.132,7775
-0.141,9807
-0.0875,9302
-0.096,8361
-0.104,7948
-0.2,8271
-0.0588,6085
0.0553,3614
0.121,3327
-0.104,7604
0.183,1909
-0.0156,5567
0.137,2343
-0.0707,6054
0.0274,3854
0.0287,4164
0.109,1644
0.0533,3614
-0.00088,4994
0.693,656
0.0669,2435
0.165,412
0.179,1750
0.148,1808
0.304,595
-0.294,5028
-0.0131,5789
-0.0498,7455
0.0818,2532
0.0997,1458
-0.102,8820
0.493,320
-0.0276,6519
-0.105,3643
0.2,1753
0.0973,755
-0.0452,7589
0.137,2308
-0.0655,8135
0.2,909
-0.44,6511
-0.0797,5194
-0.15,4197
0.937,1342
0.497,2007
-0.24,9532
-0.221,8999
0.15,1422
0.173,1415
0.0892,1252
0.0294,3145
0.235,3068
0.00997,4798
-0.0302,5507
0.016,4396
-0.131,8622
0.11,864
-0.115,6248
0.263,836
-0.0371,6498
0.00159,4903
-0.172,8694
0.0686,2413
0.392,62
0.148,2357
0.216,820
-0.368,10119
0.0766,3037
-0.153,9814
0.251,1015
0.0571,2127
-0.105,7905
-0.557,9956
0.0687,2892
0.0498,3008
0.0594,3421
0.0684,3041
-0.019,5337
-0.0542,6752
-0.0701,7491
0.127,1260
0.518,5
-0.328,9897
0.422,22
0.21,1821
-0.0159,5580
0.114,1625
0.329,1047
0.0477,3492
0.154,2077
-0.0487,6422
0.0758,2781
-0.127,9341
-0.0095,5526
-0.244,9289
0.179,1572
-0.495,9423
-0.0149,6855
0.329,18
0.00928,4607
-0.372,10288
-0.215,9465
-0.156,8716
-0.0166,5733
-0.0324,7173
-0.0358,9595
0.113,1996
0.153,2587
-0.00367,5085
-0.293,9886
0.101,1095
-0.107,8020
-0.00524,5107
0.0281,4557
0.0294,4358
0.137,2388
-0.068,7952
0.237,537
-0.0418,5888
0.108,2684
-0.239,10072
0.0634,2390
-0.183,10233
0.011,5028
-0.0589,6964
-0.152,8491
-0.0567,7256
-0.0102,5078
0.103,1823
-0.0228,6531
0.228,2655
-0.213,8827
0.0875,3241
-0.0517,5532
-0.0199,6047
-0.197,9728
-0.0152,5220
-0.195,7406
0.0473,3926
0.0494,4010
0.0632,2782
-0.0841,6508
-0.0567,5826
-0.00136,5347
-0.0247,5587
0.111,2110
0.023,4072
-0.11,10065
0.372,166
-0.154,8991
-0.0532,6513
-0.196,10066
0.0208,4100
0.404,185
0.000241,4839
-0.0573,6186
-0.0868,7377
-0.0496,6415
-0.15,9783
-0.0718,7770
-0.0207,5390
-0.118,8066
-0.0512,7211
-0.0597,6824
0.123,1880
-0.00561,5251
0.044,3711
0.23,1628
-0.122,8614
0.237,441
-0.000696,5026
-0.167,7776
-0.0514,7282
0.03,4240
-0.3,10081
0.0832,2810
-0.0819,8257
0.145,558
-0.0652,7756
0.0982,1601
-0.0231,5669
-0.144,8931
-0.0317,8522
0.0632,3007
-0.0118,5544
0.931,34
-0.187,7582
-0.0507,7164
0.122,1845
-0.122,9273
0.124,1868
-0.177,9523
0.112,2949
0.126,1279
0.0258,3402
-0.03,6405
-0.401,10233
-0.0351,6149
-0.0553,5713
0.151,2546
0.0507,3973
0.0851,1706
-0.224,7333
-0.15,7592
0.179,2264
0.197,2484
-0.0565,7847
0.0279,4145
-0.0262,6060
-0.0918,7644
-0.0446,5713
-0.0493,6668
-0.0152,5734
0.0784,2695
-0.272,8812
-0.0711,6735
0.0724,3477
-0.00827,5007
0.128,778
-0.0337,6211
0.0279,4506
-0.0326,6273
0.126,1732
0.00343,4802
-0.0318,6682
0.0304,3360
-0.13,4969
-0.593,8383
-0.34,8088
0.0994,2575
0.0589,3679
0.0217,4485
0.118,2365
0.0637,3480
0.0426,3722
-0.16,9647
-0.0875,7312
0.0163,4585
-0.0712,7657
-0.585,9891
-0.111,5542
-0.033,6323
-0.318,10198
0.000342,5111
-0.364,10423
-0.203,9436
-0.196,9788
0.0264,4311
0.125,1984
0.00336,4903
0.0154,4548
0.118,2310
0.153,1271
0.0117,4564
0.152,893
-0.105,8601
0.012,4522
0.129,2264
0.157,521
-0.147,9725
0.359,248
0.334,138
0.106,2061
0.0263,4359
0.108,2573
-0.0128,5520
0.0487,2623
0.243,1886
-0.119,8933
-0.0526,6114
0.0625,4146
-0.137,9578
-0.134,8731
0.0217,4596
-0.0327,6398
0.107,1382
-0.0273,5529
-0.249,10446
-0.088,8313
-0.114,8418
-0.0694,7826
0.0966,3113
-0.273,8917
-0.0555,8460
-0.192,9737
0.0504,3821
-0.192,9485
0.00538,5063
-0.117,8771
-0.0492,6683
-0.0548,7340
0.0466,4040
0.142,2473
-0.0218,5753
0.124,2575
0.0428,3498
0.0384,3322
-0.324,10057
-0.109,9418
-0.0447,5771
0.156,2337
-0.0837,7847
0.0406,3541
0.14,2142
-0.0291,6248
-0.064,6460
0.275,711
0.172,787
-0.0953,8849
-0.0161,5886
0.0194,4463
0.0434,3786
-0.172,9604
0.0142,4436
-0.295,10172
-0.0734,8183
-0.197,5251
-0.377,9160
-0.0492,7067
-0.0818,8834
-0.0214,6194
-0.069,8008
0.0214,4218
0.0423,3961
0.0385,3492
-0.0849,9788
-0.0449,6872
0.00842,4849
0.156,2186
-0.000537,4952
-0.145,9328
-0.039,5898
-0.07,4457
-0.0556,6732
0.334,748
-0.157,8581
0.138,730
0.164,1313
-0.907,8806
0.0298,4092
0.106,3340
0.135,2587
-0.186,10423
0.0671,3628
-0.487,8434
2.11,122
0.179,2022
0.0551,4024
-0.222,10207
-0.232,9529
-0.055,6928
0.0557,1941
0.13,1733
0.0889,3454
-0.334,8300
-0.0826,8342
-0.0818,7701
0.016,4308
-0.00444,5088
-0.00415,5229
-0.106,6857
-0.0357,6630
0.0487,3475
-0.0658,7446
0.0866,3088
-0.0464,5772
0.305,479
0.237,925
0.0384,3460
0.108,1926
-0.0248,5554
0.0356,3598
0.166,1717
-0.174,8099
0.0756,2545
0.325,566
-0.356,10354
-0.191,6287
0.112,2094
0.0624,3765
-0.00698,4953
0.257,140
-0.203,9273
0.316,1009
-0.071,6766
0.0324,4133
-0.264,9538
-0.19,9713
-0.0721,7455
0.19,3124
-0.0408,6078
0.0123,4556
0.0315,3831
0.0524,3344
-0.0765,8261
-0.0706,6735
0.208,2438
-0.315,6643
0.0994,1512
-0.0796,8708
0.0731,2088
0.247,1063
0.0267,3605
0.414,744
-0.122,8675
0.0298,3650
0.115,3125
0.152,1982
0.0934,2676
0.211,893
-0.0713,7103
-0.0702,7964
-0.35,9315
0.252,1309
-0.0327,5061
0.29,1242
0.0825,1409
0.133,1954
0.0657,3498
-0.0425,6698
0.0709,3146
-0.0545,5576
-0.126,8624
-0.0228,5826
-0.153,9076
0.0988,1787
-0.0898,6213
0.194,3177
0.0358,3788
-0.0416,7397
-0.0397,6331
0.00295,5144
-0.35,10359
0.0532,3884
-0.144,9819
0.201,719
-0.072,6918
-0.241,8235
-0.231,10192
0.104,1427
0.102,1787
0.0347,3695
0.185,905
-0.307,9644
0.131,514
0.179,943
0.148,2394
0.0858,1591
0.209,783
-0.093,7420
0.0299,4375
-0.375,10113
-0.0686,7460
0.0411,3904
0.154,1682
-0.187,7984
0.113,2741
-0.119,7830
-0.0319,6832
0.14,2610
-0.0395,5277
0.228,805
-0.37,10218
-0.208,9332
-0.022,5875
0.0347,3845
-0.314,9867
0.0475,3093
0.166,2520
0.143,2387
0.0386,4063
-0.0982,9129
0.107,2314
0.0457,3897
0.0349,3988
-0.317,10171
0.088,1959
-0.259,10167
-0.0131,6809
-0.0325,9991
-0.00599,6392
0.00874,3418
-0.0235,9409
-0.152,3913
-0.0775,6622
-0.455,6740
-0.159,9626
-0.0289,5825
0.151,2754
-0.192,8440
-0.0416,5776
0.0237,4098
-0.134,7757
-0.176,9734
0.174,2359
-0.168,10446
-0.0242,5612
-0.0657,7310
0.627,865
-0.209,6859
-0.139,6887
1.23,91
-0.0329,6031
0.172,1474
-0.0208,4964
0.113,2472
0.0964,3092
-0.201,7186
-0.0336,6336
0.0123,4614
-0.429,10115
-0.111,8182
0.0574,3034
-0.0314,6579
0.0804,3828
-0.0828,6769
0.0267,4143
-0.00702,4965
-0.313,10277
0.0238,4110
0.0231,3432
-0.0918,7503
-0.156,9333
0.196,1025
0.0156,4561
0.177,1288
-0.0248,5868
0.108,2763
-0.139,9005
0.0544,3686
0.0633,2615
0.153,649
-0.0236,5792
-0.102,8124
0.0283,3884
0.11,3118
0.00543,4887
-0.115,8719
0.191,587
0.319,974
-0.0714,7329
0.0704,3596
0.38,717
-0.222,10320
0.135,1685
0.326,1120
-0.107,9248
-0.0312,5942
0.0682,2902
-0.0859,8546
-0.00755,5496
-0.0653,7641
-0.0159,5633
-0.0412,6141
0.657,46
0.13,680
0.164,333
-0.0374,5184
-0.145,7689
-0.283,10406
-0.00731,5365
0.169,1505
0.121,1049
-0.0909,8492
-0.317,8573
-0.0685,7036
-0.0606,7538
0.366,1954
-0.0373,6536
-0.189,6367
-0.0119,5988
0.248,252
0.129,854
-0.785,8719
-0.34,7048
0.578,497
0.559,470
-0.0854,7940
-0.0834,6033
-0.0324,6122
0.0369,3732
0.0968,2410
0.144,1062
-0.205,9618
-0.146,9030
0.0355,3967
-0.0521,6738
-0.103,8387
0.293,65
0.0762,3466
-0.17,10030
-0.301,10147
-0.128,7741
0.281,436
-0.0548,6850
-0.462,7603
-0.368,5499
0.0104,4626
0.134,3077
-0.13,7753
-0.057,6108
0.147,2422
0.184,919
-0.104,7930
0.289,22
0.0379,3896
0.0301,3120
0.163,1334
-0.224,9583
0.0984,2672
0.00163,4953
0.075,3115
-0.0283,6697
-0.0217,5118
-0.158,8786
-0.201,8187
-0.0175,5604
-0.09,9315
-0.0186,5776
-0.239,7627
0.122,1776
0.282,179
0.487,203
0.0444,3276
-0.172,8867
-0.0588,5705
-0.0973,7990
-0.148,9153
0.0771,3487
-0.0186,6456
-0.129,9523
-0.241,5302
0.313,2621
-0.175,8401
0.012,4690
-0.227,8699
-0.162,8128
0.199,2144
-0.143,7764
0.124,1938
-0.0251,5320
0.0279,3578
0.256,848
-0.0199,3760
0.202,2782
0.407,1927
-0.137,9192
-0.0955,7636
0.0873,2711
-0.414,10122
0.0551,4305
0.825,493
-0.105,9485
0.076,2530
-0.397,10029
-0.0916,7655
0.152,2977
0.336,27
0.0581,2632
