coef,rank
0.533,1748
0.103,3011
0.0743,3278
-0.2,7688
0.745,558
-0.148,8682
0.01,4575
0.0707,3247
-0.395,10400
0.0279,4316
-0.0208,5931
-0.0927,9023
-0.202,10246
0.0994,2882
-0.0174,5204
0.423,2134
-0.0426,7762
-0.0387,7663
0.0971,2176
-0.0423,6461
0.0697,3556
-0.248,7879
0.119,1934
-0.117,8383
0.263,1903
-0.0456,6057
0.0244,4159
0.577,1696
0.31,666
0.0569,3198
-0.0556,6809
-0.382,9583
-0.0762,6894
0.2,2233
0.258,132
-0.0734,8530
-0.0071,5491
0.0528,3918
0.193,1022
0.0375,3817
0.122,985
0.00523,4970
-0.115,7708
0.0298,4109
-0.0591,6473
-0.269,9836
-0.00361,5134
0.0717,1249
-0.0391,5714
0.0896,2258
-0.0794,7032
0.213,1259
0.0738,3145
0.0312,3496
0.173,1356
-0.176,8811
0.233,2231
-0.365,10325
-0.0307,6860
0.226,109
-0.0915,6997
0.346,127
-0.0855,8645
0.0682,1638
-0.134,9575
-0.042,7142
0.0415,3515
-0.13,9425
0.344,120
0.413,1719
-0.0213,6159
-0.0584,7166
0.0916,2612
0.0448,3845
-0.03,5832
0.273,230
-0.0145,5707
-0.0318,6174
0.00911,4701
0.115,1798
-0.444,9263
0.293,817
-0.0123,5867
-0.0302,6252
-0.00946,5343
-0.101,7083
0.13,1504
-0.268,8905
0.0637,1931
0.116,507
-0.178,8950
0.095,2810
0.136,2636
-0.114,7680
-0.0229,5793
-0.0548,7424
-0.304,9819
0.158,497
0.118,1640
0.322,171
-0.061,7748
-0.255,10370
-0.0487,7015
0.0366,4114
-0.0957,6588
-0.0897,7044
0.535,141
-0.12,8017
-0.0802,7012
-0.205,9565
0.266,2012
0.115,2230
0.18,193
0.0605,1963
-0.0674,7103
0.11,1872
-0.228,10420
-0.146,8279
0.0244,4385
0.0512,2503
0.123,802
0.03,3720
-0.108,6748
0.447,840
-0.0972,9059
0.251,1469
0.0246,4364
-0.224,9876
-0.213,9640
0.00332,4855
-0.0804,8453
-0.13,9122
0.239,1161
-0.169,9918
-0.468,6856
-0.117,6794
-0.103,8878
-0.158,9720
-0.378,9747
-0.0502,7647
-0.0502,6157
-0.216,9557
-0.139,8818
0.185,447
-0.172,8816
-0.183,8985
0.0966,1474
-0.00655,5111
-0.0263,5842
-0.00605,5380
-0.0021,4206
0.0279,4433
0.222,1728
0.182,992
0.0188,4318
0.015,4584
-0.0576,6094
0.0247,4230
-0.168,8860
0.723,3
0.535,31
0.116,467
0.0665,3216
0.128,2351
0.0125,4625
0.128,897
0.0628,3470
-0.163,10200
0.0184,4369
0.0304,4085
0.108,1778
-0.0244,6310
0.00711,4655
0.165,940
0.186,278
-0.163,8806
-0.127,6789
-0.0409,7751
-0.0257,6055
0.0448,3939
0.102,1572
0.0507,2985
-0.0866,9166
0.0116,4176
0.202,481
-0.0398,6681
-0.00663,5246
0.0312,3965
0.944,81
-0.139,9647
-0.172,9467
0.0643,1302
0.016,4458
0.019,4494
-0.202,8349
-0.0815,8416
0.00258,4996
0.585,122
0.0289,3622
0.061,3602
-0.169,9241
0.0236,4444
-0.0597,7864
-0.0552,6377
-0.0402,6078
-0.0144,5373
-0.028,5789
-0.24,9740
-0.162,10039
-0.0388,6947
0.0117,4796
-0.0679,6758
0.0429,3632
-0.0111,5149
-0.0383,7477
0.05,2985
0.118,2162
0.187,1028
0.436,454
-0.846,9488
-0.0363,6222
-0.0327,6703
-0.00973,5833
-0.113,7736
-0.233,8615
0.111,2476
-0.0154,5615
-0.0214,6075
0.0311,3471
0.0219,4333
-0.0845,7557
-0.24,9245
-0.151,8173
0.00607,4691
0.0635,3311
-0.000316,4994
-0.3,8145
0.0955,2599
0.641,24
-0.372,9304
0.132,3083
0.359,8
-0.14,9493
-0.0464,6712
0.0578,2961
-0.0949,7560
0.0241,4620
-0.143,9464
0.0516,3799
0.0373,3585
-0.0822,9253
0.0103,4773
-0.121,6780
-0.226,8870
-0.261,8330
0.164,945
-0.0439,6701
-0.0537,7021
0.0894,2661
-0.157,9011
-0.0963,7369
-0.0803,8102
0.203,861
-0.333,10074
-0.0441,6621
-0.202,9597
-0.13,6169
0.403,221
0.00791,4620
-0.171,9373
-0.088,7902
0.828,1
0.0888,2503
0.0729,2711
0.143,2171
0.302,160
-0.254,10226
-0.321,10188
-0.00966,5397
-0.163,9456
-0.137,7822
0.193,1217
-0.366,10359
0.021,4379
-0.181,9332
-0.0147,5925
0.28,358
0.116,2391
0.0449,3865
0.0457,3828
0.324,1063
0.138,485
0.0214,4448
0.211,2137
0.149,984
0.0291,4543
-0.214,8764
-0.00329,5162
-0.0542,6978
0.0796,2936
-0.0773,7258
0.277,553
-0.613,10392
0.0116,4325
0.315,689
-0.113,9050
-0.54,10340
0.0554,3751
0.0666,2456
-0.128,10140
0.042,3547
-0.0364,6148
-0.194,8181
0.525,165
-0.0586,6638
-0.088,6678
0.206,1365
-0.00229,4819
-0.103,8302
0.00981,4769
0.0428,4370
-0.0911,9120
0.0178,4574
-0.108,8994
-0.118,8203
0.104,830
0.0516,4192
-0.0988,9332
-0.0116,5587
0.153,2109
-0.0881,7193
0.412,234
-0.0452,3133
0.00681,4931
-0.00258,5316
-0.101,8349
-0.0931,8718
0.13,1213
-0.186,8108
-0.0177,6006
1.15,1100
-0.194,8729
-0.0636,8618
-0.111,9920
0.563,43
-0.00305,5211
-0.421,10469
-0.637,7650
-0.0536,4925
0.0487,3105
1.68,579
-0.202,5410
0.194,1432
-0.15,7891
0.186,934
0.0708,3156
-0.0247,6675
0.0496,2140
-0.38,7674
-0.165,8009
-0.364,10299
-0.322,8513
-0.175,9366
0.0371,3211
0.162,2711
-0.262,9862
0.0857,2450
-0.144,9333
0.296,641
-0.122,9570
-0.153,9004
-0.204,9161
-0.0763,7142
0.0339,4173
0.0751,3068
-0.0167,5763
-0.145,8135
-0.00566,5678
0.0171,4612
-0.337,8161
-0.116,9045
0.0183,4068
-0.143,8905
0.135,1583
0.0427,4176
0.195,990
0.123,1814
-0.174,9930
-0.149,9134
-0.105,7011
0.11,1966
-0.225,8768
0.0309,4388
-0.0158,5873
0.176,2376
0.153,1067
0.0805,3370
-0.00479,5100
-0.184,9842
-0.112,9012
-0.0855,8014
1.29,3
-0.159,8425
-0.12,5949
-0.0135,6699
0.135,1002
-0.187,8706
-0.233,9310
-0.057,6466
-0.264,9999
-0.062,7714
-0.0411,7701
-0.000103,5223
-0.172,9727
-0.179,7977
-0.0841,7642
0.304,738
-0.0737,8828
0.235,566
0.307,425
0.0329,4436
-0.0207,5448
-0.228,9141
-0.0624,7730
0.072,3227
-0.28,9921
0.15,1929
-0.224,9948
0.0668,2251
-0.183,10232
0.0249,4669
0.128,1669
0.0883,3447
-0.141,9412
0.115,2333
-0.0146,5654
0.0619,1997
