coef,rank
-0.123,5402
0.278,1047
-0.0879,6818
0.00117,4851
0.343,2014
-0.0862,7202
0.0991,1515
-0.411,10452
0.0543,3629
-0.17,8801
0.15,1030
-0.129,9801
-0.0114,5616
0.17,1676
-0.274,9026
-0.431,8597
-0.000581,5275
0.0656,1393
-0.0949,8113
0.0496,3456
-0.11,7503
0.276,2004
-0.0119,5337
-0.1,7998
0.366,1201
0.483,138
-0.0101,5529
-0.259,5673
-0.246,9503
-0.155,9586
-0.00588,5317
0.0559,4222
-0.331,10321
-0.213,8103
0.0423,3386
0.0284,3621
0.0338,3957
0.229,1480
-0.183,9448
0.0529,3417
0.0676,2224
0.0442,2470
-0.0643,6573
-0.12,9157
-0.104,7630
-0.0641,6334
-0.113,10059
0.0966,618
0.0105,4584
0.345,30
0.31,226
-0.0898,6918
-0.122,8398
-0.107,9690
0.164,1492
-0.0636,6494
-0.0864,5384
0.175,1784
-0.138,10164
-0.00631,5357
-0.159,8350
0.0704,2942
0.0259,4075
0.101,738
-0.117,9254
0.0235,4065
0.176,418
0.0142,4543
-0.0381,6157
0.354,1995
-0.0762,8414
-0.0813,7920
-0.222,9850
-0.0432,5962
-0.0543,6365
0.0617,3214
-0.216,10336
-0.115,8907
-0.0376,6838
-0.224,10263
-0.479,9510
0.018,4374
-0.0813,8981
-0.113,9187
0.197,672
0.132,2626
0.0692,2918
0.337,1197
0.0583,2133
-0.019,6330
-0.0109,5392
-0.0331,5976
-0.0493,6076
-0.0882,7131
-0.0405,6235
0.0842,1799
-0.073,6178
-0.123,9584
0.0165,4534
-0.00271,5122
-0.0311,6464
-0.0402,6581
0.0385,3665
-0.00616,5061
-0.0369,5542
0.335,509
0.335,708
-0.163,8903
0.0638,3253
0.0283,4247
0.523,662
-0.131,7908
-0.123,9826
0.00272,4953
0.0332,4261
0.123,1629
0.0839,1850
-0.101,7265
0.0388,4027
-0.157,10269
-0.075,8695
0.0323,3626
0.181,2149
-0.094,6190
0.0804,1920
0.127,2845
0.239,1421
0.0633,3149
-0.158,8855
-0.035,6017
-0.0414,6902
