coef,rank
-0.0617,4914
-0.0209,5269
-0.0279,5445
-0.545,10341
0.0756,3984
0.144,1616
-0.137,9674
-0.0979,7326
0.0408,3922
-0.17,8810
0.0417,3748
-0.0263,6348
0.0331,3917
-0.168,8957
-0.214,8265
-0.369,7853
-0.0523,8277
0.0336,2864
0.0629,3068
-0.011,5422
5.51e-05,5013
-0.0834,5781
-0.19,9707
0.0139,4635
-0.0485,5594
0.0155,4706
0.0273,4055
-0.506,8641
-0.163,8288
0.19,615
0.103,2478
-0.299,8905
-0.19,9137
0.136,2982
0.189,471
0.0968,1176
-0.0955,8413
-0.181,8336
0.162,1397
-0.0432,6136
0.119,1029
0.0363,2927
0.161,1980
-0.00479,5436
0.227,859
-0.0663,6387
-0.0772,9158
-0.111,10133
-0.0769,6559
-0.0814,7708
0.165,1257
-0.0678,6442
-0.0897,7638
0.126,547
-0.0368,6403
0.22,1192
0.108,3292
0.0619,3675
-0.0512,7848
0.149,630
0.119,2576
0.114,2008
0.106,1353
0.0081,4685
0.142,796
0.0428,3260
0.222,147
0.0861,2085
-0.314,10396
-0.622,9851
0.101,1341
-0.073,7637
-0.169,9134
-0.203,9335
-0.143,8184
0.127,1712
-0.0341,6490
-0.207,10223
0.0509,2962
0.0515,3529
-0.279,7856
0.511,125
-0.0425,7393
0.0352,3527
-0.137,9040
-0.0684,6411
0.0157,4627
0.0622,3873
0.0335,3191
0.00248,5028
0.341,377
-0.101,7735
0.41,411
0.0323,4386
-0.0857,7371
0.0146,4398
-0.0564,5834
-0.049,7299
0.14,1232
-0.0238,5761
0.049,2978
-0.285,10427
0.0411,3567
0.0736,3426
-0.0344,5494
-0.023,5618
0.24,1362
0.0651,3445
-0.0577,6413
-0.0473,6272
0.0425,4273
-0.00834,4827
0.0409,3068
0.105,689
0.0972,2679
0.16,1045
0.025,3907
0.264,601
-0.112,8169
-0.0628,8039
-0.0244,6546
-0.083,8770
-0.138,7267
0.251,2078
0.159,437
-0.0527,6036
0.342,714
-0.126,8266
-0.00912,5204
-0.0874,7533
-0.0688,8058
0.0991,2398
-0.412,10400
0.149,1080
-0.632,7999
0.0473,4100
-0.0361,6595
-0.143,9458
-0.0325,5090
-0.0479,7549
-0.077,6774
-0.0363,5853
0.292,190
-0.127,9426
-0.0111,5217
0.0431,4086
0.0922,1582
-0.148,8091
-0.0399,6309
0.0918,1659
0.225,2857
0.411,62
0.2,1952
0.139,1590
0.192,936
-0.158,9534
-0.164,8052
0.164,1074
0.117,2256
-0.0281,5825
-0.103,7679
-0.0159,6061
0.0693,3147
0.819,1
-0.0124,5734
0.0414,3458
-0.0597,6961
0.0069,4911
-0.0387,5935
-0.132,7001
0.185,600
0.0483,3205
0.022,3641
-0.125,8929
0.184,287
-0.0644,6443
-0.115,6615
0.00864,4578
0.14,895
-0.053,6363
0.0273,4041
-0.0508,7462
0.0484,2706
-0.132,10407
0.0586,3185
0.0622,2657
-0.0227,5682
0.0291,4057
-0.327,8923
-0.0408,6953
0.0154,4207
0.0231,3485
0.0717,2666
0.238,873
-0.11,6783
-0.0539,7454
0.227,573
0.0138,4759
0.0889,1253
-0.116,7365
-0.205,9729
-0.444,10395
-0.107,9405
0.227,925
0.0169,4612
-0.158,8312
0.169,987
0.001,4880
0.0841,1997
-0.0384,6937
0.0389,3693
-0.181,9069
0.162,1564
-0.181,9203
-0.0183,6188
-0.0498,7221
0.0609,3546
-0.167,9260
0.19,2162
-0.307,5430
-0.234,10090
-0.0432,7208
0.000905,5139
0.316,474
-0.0134,5061
-0.0343,5771
0.0787,2503
-0.0819,8695
0.0017,5072
0.229,1232
0.11,2034
0.125,2646
0.159,2290
-0.0181,6237
-0.1,7585
0.0799,3029
0.572,722
-0.026,5648
-0.0477,5884
-0.0878,6015
-0.143,7267
0.149,810
-0.201,10206
-0.0445,6641
-0.0988,8358
-0.199,9653
0.0557,3941
0.186,522
0.523,67
-0.0628,7652
-0.0658,8681
-0.214,8711
0.133,2871
-0.376,10166
-0.583,10352
-0.0666,7395
-0.0836,8115
-0.0894,8229
-0.124,8592
-0.148,8860
-0.194,9292
0.0425,3197
0.117,2154
-0.262,9502
-0.0601,7114
0.0634,3173
-0.171,6686
-0.227,9557
0.00529,4803
0.00945,4786
-0.0969,8140
-0.156,8316
0.00791,4948
-0.184,9853
0.0138,4714
0.0722,2879
0.0634,3161
0.171,1857
0.0666,3011
-0.378,10473
-0.068,6355
0.169,1533
-0.333,10242
-0.13,8161
-0.216,9766
0.0762,1725
-0.0347,5965
-0.0547,6303
0.154,1820
0.0953,2939
-0.572,10458
-0.0122,5871
0.0806,2268
0.042,4355
0.0834,2368
-0.0452,6239
0.587,146
-0.119,8699
0.063,2783
-0.144,8689
-0.26,10264
0.212,1092
0.146,3038
-0.00846,5310
-0.0885,7210
0.0291,4049
-0.142,6691
0.366,404
-0.0783,8272
0.0513,2546
0.0411,3575
-0.0797,7321
0.138,2689
-0.225,8872
-0.0901,7460
0.556,270
0.124,2534
-0.0443,5629
0.0621,3007
-0.201,9050
0.0243,4663
0.0584,2561
0.141,1091
0.163,666
-0.162,9084
0.0271,3471
0.301,2159
0.0772,2087
0.0251,3974
0.202,1487
0.267,553
0.00554,4811
-0.514,7211
0.143,797
-0.0333,6755
-0.0961,8235
-0.0849,8465
0.241,167
0.637,125
-0.0042,5297
1,1313
-0.0838,6756
-0.0317,7001
-0.0129,5773
0.015,4735
-0.0781,8585
0.0753,2946
-0.629,7601
-0.464,9341
-0.726,8445
-0.944,9986
1.07,719
-1.25e-05,4851
-0.0396,5804
-0.0354,6295
0.00417,4727
0.0146,4418
-0.0284,6769
0.346,2532
0.21,1710
-0.214,9078
0.27,2118
-0.242,10105
-0.13,10043
-0.564,10382
0.0144,4612
-0.0304,6274
0.0299,3895
-0.241,9673
-0.0216,6190
-0.0553,6670
0.42,244
0.177,1230
0.283,1167
-0.0861,6997
-0.0826,8216
0.324,538
0.0189,4153
-0.101,7788
-0.556,9949
-0.00846,5564
0.183,478
0.0595,3415
0.26,329
0.154,2451
0.137,1838
-0.144,9279
-0.136,9371
0.0102,4664
0.468,271
-0.0766,7499
-0.114,7000
-0.166,8928
-0.0752,7975
-0.478,10329
-0.137,9354
-0.0815,7099
-0.116,8295
-0.199,10005
0.0693,2644
-0.113,8689
-0.112,7169
0.154,1928
-0.0704,5442
-0.0286,8283
0.131,1083
-0.165,8328
0.1,3181
-0.138,8301
-0.0413,6230
-0.0181,5801
-0.0299,6990
-0.0193,7938
0.326,91
0.0706,3730
-0.142,9049
-0.0978,6951
0.0343,3429
-0.0248,5731
-0.145,8436
-0.197,9693
-0.136,7946
-0.176,8254
-0.0419,6892
0.132,1886
0.11,2764
-0.133,8232
0.308,186
-0.00588,5488
0.0962,1817
0.245,896
0.155,1225
-0.178,8895
0.319,57
-0.283,10031
-0.0623,7418
0.0202,3985
-0.481,8960
0.183,1849
0.0416,4125
-0.0548,5580
0.184,296
0.0222,4316
0.571,25
0.0117,4777
0.149,2211
-0.157,8188
-0.174,10092
0.103,3159
0.136,2739
0.0505,3889
0.00267,4906
-0.191,9783
0.125,1110
0.0769,1194
-0.0617,6503
-0.227,9965
-0.0296,5898
-0.0153,6015
0.18,432
0.035,4229
0.0884,2812
-0.027,5512
-0.0329,5972
-0.0947,7654
0.104,1865
0.0732,2772
0.0609,3219
-0.0931,7481
-0.0221,6009
-0.0287,5763
-0.0556,6759
0.006,4958
-0.0566,7389
0.02,4466
0.213,507
-0.0514,6562
0.0407,3224
0.0115,4774
0.0745,2641
-0.11,7742
0.0419,4147
0.127,1840
0.0197,4474
0.147,544
0.154,752
0.119,1140
