coef,rank
0.588,1567
-0.0539,5915
-0.0991,7068
0.453,723
-0.157,6380
0.109,2229
0.0754,2194
-0.0785,6820
0.23,1011
0.0446,3912
0.32,87
0.0167,4254
0.0927,2072
-0.00397,5276
-0.181,7775
0.484,1847
0.0573,1964
-0.0787,9459
-0.0351,6224
0.0557,3268
-0.163,8517
-0.0215,5039
-0.0826,7475
-0.0998,7990
-0.311,9190
-0.177,8631
-0.0306,6357
-0.276,5870
0.0967,3060
-0.0853,8101
0.0331,4168
0.447,970
0.208,1204
0.144,2869
-0.0244,5829
-0.0238,6294
0.0892,2232
-0.219,8893
-0.264,10221
-0.0802,7123
0.0964,1492
0.174,46
-0.21,9302
0.0623,3024
-0.0376,5888
-0.033,5629
0.0227,3516
-0.015,6122
0.0293,4186
0.0189,4379
-0.0905,7327
0.163,1826
0.0547,3629
-0.0147,5878
-0.194,9734
0.0248,4423
-0.388,9056
0.0105,4784
-0.0365,7147
-0.0374,6700
-0.194,8943
-0.0359,5963
0.0437,3325
-0.0751,9119
-0.171,10089
0.0206,4200
0.0222,4304
0.0203,4322
-0.00835,5310
-0.456,8750
0.0353,3498
0.0373,3525
-0.121,8241
0.0162,4503
-0.104,7417
0.0447,3718
-0.0927,8482
0.0184,4285
-0.0125,5703
-0.0154,5787
-0.0471,5394
-0.00775,4889
-0.0163,6086
0.042,3275
-0.0256,5876
-0.0859,6769
0.072,2835
0.63,272
-0.0278,6513
0.0598,1980
-0.0441,6190
-0.0282,5843
-0.0901,6899
-0.193,9071
0.074,3353
0.0506,2884
0.0039,4598
-0.134,9772
0.0751,2683
-0.214,9881
0.135,750
-0.0853,8044
-0.000263,5109
-0.132,7751
-0.0432,5677
0.371,371
0.0652,3681
-0.1,7578
0.125,2030
-0.0282,5735
0.0471,4219
-0.31,10208
-0.142,10115
-0.0193,6250
-0.0829,7488
0.228,405
0.109,1259
-0.0568,6177
-0.0145,5502
0.00816,4494
0.152,441
0.0702,2107
0.00928,4701
0.413,986
-0.0901,8865
-0.286,9725
-0.0663,6061
-0.0379,5971
0.155,1670
-0.0608,6795
0.0489,2913
0.0644,3344
-0.2,8968
-0.135,9408
-0.396,6297
0.185,2312
-0.167,10025
-0.152,9630
0.0536,3837
-0.0709,8482
-0.18,8812
-0.0754,6857
-0.0455,6307
-0.0201,5996
-0.128,7992
-0.253,9848
-0.0166,5772
-0.175,8555
0.052,3412
-0.0149,5811
-0.189,5789
-0.107,8180
-0.0112,4838
0.0418,3730
0.113,2027
-0.26,10332
0.126,2856
0.113,1939
0.391,118
0.0815,2755
0.285,562
0.00763,4598
-0.0775,7308
0.158,1873
-0.0693,8008
0.16,488
-0.141,8942
0.224,111
-0.123,8171
-0.342,9804
-0.141,9585
0.0652,2576
0.127,153
0.119,1643
0.195,225
-0.153,8593
-0.22,8128
0.0948,739
-0.0247,6015
0.0184,4559
0.0519,3057
-0.0436,7193
-0.00677,5581
-0.0281,7653
-0.125,9214
0.0593,2731
0.0777,3099
-0.0193,6018
0.66,335
-0.0224,6182
-0.0646,6853
0.117,197
-0.172,9852
-0.138,8267
-0.14,7347
0.166,548
-0.0854,7606
0.0596,3914
0.252,11
-0.203,8870
0.0239,4118
0.0834,3378
0.216,78
0.0932,2852
-0.0314,5845
0.105,2961
0.163,1051
-0.096,7271
0.0405,3349
0.0308,3752
0.0151,4670
0.443,108
-0.25,9877
0.0116,4543
-0.0429,7743
-0.168,10172
0.135,1840
0.0751,2919
-0.183,8022
-0.669,8550
0.0925,2653
0.00602,4815
0.0156,4237
-0.0651,6656
-0.458,10312
-0.131,8099
-0.185,10018
-0.0406,7024
-0.0412,7493
-0.0369,5573
0.0785,2775
-0.0694,6263
-0.242,9466
-0.0188,6287
-0.102,7624
-0.162,8885
-0.29,8043
-0.189,9349
-0.138,7774
0.0241,4599
-0.298,9305
0.14,938
0.0523,3394
0.0635,2933
0.0834,2256
-0.324,10412
0.0592,3873
0.146,1036
-0.0453,6120
-0.118,9287
-0.0457,7733
-0.0792,6412
0.0883,3454
0.0444,4011
-0.425,9823
-0.0263,6079
0.0766,2142
-0.0613,7298
-0.0167,5606
-0.104,7943
-0.212,9531
-0.0644,7543
0.246,528
0.23,1304
-0.101,8381
0.0308,4031
-0.249,7742
-0.0726,6816
0.00813,4604
-0.195,9689
-0.00928,5293
-0.104,7220
-0.0785,7710
-0.0325,5978
0.235,1055
0.0042,4984
0.199,765
-0.0502,6282
-0.179,9861
-0.0243,5781
-0.102,7103
-0.0764,7123
-0.146,8207
0.178,1383
-0.0133,5343
0.194,94
0.144,1626
0.0565,3607
-0.137,8139
-0.128,7563
-0.305,9584
0.0617,2352
0.354,5
-0.283,9327
0.0375,3806
-0.139,8297
-0.0253,5616
-0.0542,6874
-0.0111,5373
0.34,150
-0.115,8347
0.00403,5041
0.157,2927
0.0343,3218
-0.0786,6999
0.2,339
-0.376,9598
-0.124,7599
0.0301,3762
-0.0697,8733
-0.0209,5827
-0.0951,7736
-0.0763,6161
-0.347,10053
0.0872,2829
0.304,1354
0.204,1396
0.0945,3118
0.0956,2191
-0.0911,7033
0.114,3412
0.0293,3760
-0.079,8034
-0.0113,5705
-0.109,8002
-0.132,10093
0.166,3199
-0.00318,5515
-0.0233,6142
0.13,2470
0.0975,2745
-0.151,8217
-0.161,3904
0.118,1217
-0.0515,7531
-0.16,9621
-0.0583,7577
0.0581,3043
-0.262,9112
0.103,1056
-0.263,5010
0.103,3093
0.0392,2831
0.00352,4821
0.15,2104
0.0449,2949
-0.0225,5629
0.33,2714
0.23,2769
-0.153,4219
-0.464,7168
1.72,193
0.114,2518
-0.0366,5746
0.116,2047
-0.118,7722
-0.0806,9139
0.0687,1397
-0.318,6989
0.537,124
0.0754,3345
0.0245,4307
0.0825,2733
0.0147,4291
-0.28,8559
0.216,1264
0.218,399
-0.304,10454
-0.0673,6619
-0.0969,8999
-0.0939,7706
-0.0614,6493
0.231,716
-0.228,8829
-0.186,9087
0.0181,4432
-0.0743,6722
0.0169,4275
0.123,2145
-0.287,7596
0.0653,2998
0.101,1618
-0.0394,6344
0.0385,3858
0.2,1900
-0.116,8398
0.295,157
-0.0628,7324
0.017,4446
0.234,1545
-0.0138,5486
-0.113,6988
0.224,1035
-0.0544,7309
0.037,4330
0.231,321
0.0056,5063
-0.229,10052
-0.0843,7871
-0.0122,5586
0.166,1014
-0.159,8084
-0.114,7523
-0.23,7131
0.0275,2218
0.0316,3888
0.102,2843
0.21,1655
0.0348,4249
-0.143,8486
-0.164,10153
0.032,2753
-0.0499,10186
0.0606,3254
-0.0466,5743
0.172,1046
-0.157,8069
-0.0732,8807
-0.106,8007
-0.0661,6647
0.101,2804
-0.146,8133
0.217,1434
-0.0516,7320
0.0495,3814
0.171,1811
0.0381,4181
-0.0523,6529
-0.175,10320
-0.0667,7948
0.214,1215
0.00484,4907
0.296,762
-0.0624,7455
-0.0946,7119
0.144,1054
-0.009,5708
-0.86,10391
-0.105,6922
-0.128,7890
-0.201,7701
0.0147,4441
-0.0935,7749
-0.255,9736
-0.286,8587
-0.0691,6457
-0.221,9118
-0.0559,7393
0.0373,4254
0.379,695
0.0265,4525
-0.138,8198
-0.146,9081
0.284,89
-0.0363,7296
0.06,3367
0.00824,4890
0.264,643
-0.207,10142
-0.103,8869
-0.114,7640
-0.173,8984
-0.402,10351
0.0716,3199
0.102,2349
-0.129,9432
0.054,3297
0.052,3434
-0.025,5801
-0.136,9675
-0.0923,7807
0.209,692
-0.145,8282
0.208,435
0.131,2755
-0.101,8078
-0.108,8176
0.0359,3417
-0.191,8118
-0.0337,6667
0.14,2101
0.213,1372
0.0545,3628
0.237,172
0.0593,2548
0.106,1574
-0.089,8535
0.255,220
0.157,1258
-0.0126,6687
-0.239,10284
-0.0413,6734
0.0818,3784
0.255,1693
-0.0733,7978
0.169,1070
-0.102,8804
0.168,1199
0.0697,3150
-0.175,8343
0.0283,4017
-0.0755,9035
0.0807,2181
0.0175,4644
-0.0371,6201
0.355,1188
0.281,1188
0.492,144
-0.0981,9179
0.429,1258
0.28,1186
-0.188,8463
-0.323,8918
0.00358,4738
-0.122,9621
-0.0242,5999
-0.00203,4916
0.0288,4227
-0.0039,5391
0.0815,1750
0.214,561
0.301,1578
0.226,1150
-0.119,7689
0.188,2733
0.0449,3149
-0.115,8604
-0.0419,6439
0.0901,2211
0.443,9
-0.0999,7529
0.0265,4189
-0.0472,8109
-0.587,8658
-0.156,3858
-0.387,8520
0.0492,3761
-0.0602,6352
0.114,1775
0.118,2362
-0.135,7902
-0.119,8372
-0.0705,7666
0.113,2527
0.145,1625
0.148,1332
-0.15,6113
-0.0695,5089
0.0114,4500
-0.164,8585
-0.0411,6606
0.0933,3038
0.00529,4828
-0.0914,7876
0.0541,3601
-0.141,8597
-0.269,10321
0.125,1296
-0.191,9356
0.00838,4701
-0.0758,8119
-0.0321,6209
-0.0027,5158
0.0696,2826
0.0984,2802
0.0791,1949
-0.19,10199
0.0708,3397
-0.185,9514
0.0666,2912
-0.129,8765
0.0914,2889
0.0996,2268
0.0448,2783
0.171,2560
0.291,103
0.123,2826
-0.529,10231
-0.0955,8671
-0.116,8322
-0.092,6877
-0.0475,7011
0.14,754
0.115,2923
-0.0361,6659
-0.0898,8372
-0.0883,7769
0.134,1199
-0.392,10364
0.0814,3829
0.108,498
-0.0646,7042
-0.176,8857
0.00711,4899
0.159,1407
-0.208,10140
0.147,1546
-0.09,8466
-0.208,9453
-0.203,8659
-0.22,9972
-0.062,6480
0.00141,4806
-0.12,9677
0.019,4811
0.066,2326
0.0936,3424
0.106,3018
-0.0512,6789
-0.105,8790
-0.00815,5380
-0.0133,5663
0.0476,3893
-0.0217,5354
0.148,1126
0.139,659
-0.00234,5107
-0.106,8021
0.266,272
-0.185,9756
0.0285,3847
0.394,143
0.147,576
2.33,71
-0.143,6510
0.104,1740
-0.0321,6540
-0.0466,7595
-0.155,9990
0.188,1698
0.188,1142
0.0157,4552
0.0705,1313
-0.135,9631
-0.112,7788
-0.208,8691
0.0608,3603
-0.201,10064
-0.041,5950
-0.183,5300
-0.0296,5956
0.364,610
-0.32,10306
-0.0966,9019
0.11,2149
-0.0835,4811
0.00723,5025
-0.157,6931
0.371,529
-0.0221,6327
0.406,330
0.0979,3688
0.201,3068
-0.107,7493
-0.0397,5702
-0.0838,7958
-0.268,9883
-0.0667,7216
-0.0241,6836
0.0314,3971
-0.248,9500
-0.299,7849
-0.0611,7571
0.0374,3766
0.112,1020
-0.018,5388
0.0606,2943
-0.0364,5692
0.0157,4404
0.0382,3789
-0.0181,5869
0.0976,2879
0.383,678
-0.287,10113
0.154,1969
-0.141,9968
0.104,2024
-0.252,9661
0.193,166
-0.0639,6993
0.321,854
0.0152,4570
0.336,492
-0.147,8312
-0.313,7608
0.0794,2861
0.0138,4841
0.16,986
-0.156,9635
-0.152,8395
-0.0524,5976
-0.0807,7021
-0.387,10027
0.0799,3255
0.0184,4552
0.0516,3545
-0.439,9443
-0.108,7794
-0.0945,7859
0.0405,3535
-0.0759,7316
0.105,1327
0.144,1777
-0.363,9656
-0.012,4139
-0.142,9868
-0.099,9264
-0.0866,8778
0.193,1614
0.0984,966
-0.33,9229
-0.192,9917
0.213,144
-0.162,7950
-0.058,6495
-0.216,9748
-0.124,8568
0.0425,3858
0.01,4767
-0.337,9197
0.166,2142
0.155,3494
-0.0772,6371
0.0271,3629
-0.174,9090
0.07,3378
-0.138,9491
-0.129,8998
1.2,15
-0.0115,5565
0.126,1768
-0.0726,7128
0.193,432
-0.11,6496
-0.207,7008
0.0321,3940
0.0359,3498
-0.025,5781
-0.106,8173
-0.256,9908
-0.0194,5440
-0.0127,5729
0.181,919
0.0277,4271
-0.232,8123
-0.0633,6931
0.0307,3774
0.0138,4532
-0.161,9709
0.1,2336
-0.131,7445
-0.0737,8461
0.245,401
0.295,916
-0.12,9772
