coef,rank
-0.32,7315
-0.243,9222
0.221,1230
0.155,2925
0.0876,3871
0.0142,4489
0.0924,1689
0.0783,3098
0.216,1147
0.00473,4875
0.77,8
0.0171,4237
0.129,1211
0.643,27
-0.264,8899
0.0347,4158
-0.0131,6100
-0.0494,8273
0.12,1668
0.0377,3819
0.17,1880
0.426,1131
-0.121,8490
-0.0602,6883
0.062,4038
0.928,0
-0.0363,6579
-0.323,6451
0.127,2587
-0.0947,8378
-0.0575,6858
0.738,255
0.189,1397
0.203,2206
0.0358,3612
-0.142,10134
-0.0764,7880
-0.288,9701
-0.0608,6759
-0.0399,6045
0.00472,4546
0.0151,4296
-0.236,9628
-0.0509,7153
-0.0132,5278
0.0236,4277
-0.0055,5254
-0.0525,8413
-0.0105,5044
0.173,781
0.0647,3067
-0.0755,6620
0.238,594
-0.077,8842
0.066,3515
-0.163,8614
-0.243,7358
0.303,626
-0.0518,7867
0.0632,2526
0.015,4615
-0.135,8588
0.105,1378
-0.0939,9689
0.0676,2445
0.109,1223
0.101,1606
0.181,502
-0.173,9367
-0.318,7371
-0.0617,7881
-0.146,9570
-0.221,9834
-0.0981,7366
0.239,1255
0.276,222
-0.000503,5119
0.0251,4042
-0.0745,8285
-0.133,9262
0.0258,4640
-0.0782,6332
0.0299,3730
-0.0465,6935
-0.0806,7670
-0.287,9751
0.0293,4170
-0.249,8680
-0.0635,8266
-0.0941,9654
0.399,214
-0.167,9045
-0.161,8190
0.0853,3315
-0.189,9328
-0.11,9230
0.0967,3039
-0.0969,8960
-0.222,10259
0.294,242
-0.08,8468
0.0475,3495
-0.142,9585
0.00842,4742
-0.0945,6572
0.0714,3590
0.251,1270
-0.0942,7441
0.0714,3077
-0.0959,7517
0.135,3246
0.0525,3404
-0.0402,7067
0.122,411
0.238,667
0.089,2368
0.0633,2456
-0.0756,6634
-0.00423,5204
-0.153,10234
0.0828,1773
0.0204,4163
-0.133,7187
0.61,346
0.015,4416
-0.0472,5928
-0.158,7762
-0.19,9475
-0.118,7983
-0.169,9355
0.095,1549
-0.065,7504
-0.0107,5246
-0.00164,5329
0.0594,3352
0.0882,3491
0.0407,3492
0.0903,2152
0.18,2305
0.0484,2918
-0.0323,5738
0.166,1463
0.0789,2675
-0.214,10356
-0.111,7616
0.0601,3698
-0.102,9048
0.143,2241
0.0298,4053
0.261,40
-0.43,8267
0.0418,4063
-0.363,9775
-0.0404,6255
0.154,1415
-0.208,10070
-0.333,10003
0.0917,2402
-0.105,7580
0.573,12
-0.109,7817
-0.0581,8351
0.103,2371
0.0333,4337
0.00496,4959
-0.116,9587
0.0689,3321
-0.0732,8295
0.0311,4067
0.0183,4267
0.152,996
0.0245,4123
0.0465,2167
-0.0954,8209
0.0781,1962
-0.00237,4810
-0.0141,5146
0.132,212
0.00651,4671
0.403,127
-0.142,9777
0.0297,3845
-0.143,10187
-0.0761,9869
-0.0989,8576
-0.224,10378
0.15,1736
-0.0574,7514
0.338,1511
-0.0304,6486
-0.0703,7021
-0.0464,8295
0.275,111
-0.169,8854
0.039,4209
-0.242,10434
0.0876,2698
-0.208,8846
0.0263,3762
0.137,2244
0.274,292
-0.147,7666
0.103,1152
0.0273,4259
0.255,712
0.0341,4350
0.229,427
-0.233,9655
-0.0624,7592
-0.0104,5677
0.0601,2944
0.0854,3165
-0.089,7081
0.0128,4509
0.111,343
0.0841,1873
-0.0847,7807
0.277,335
-0.237,8781
-0.256,5002
0.0561,3613
-0.0338,6758
-0.048,8064
0.291,617
0.696,179
-0.154,8588
-0.188,10041
0.166,222
-0.00101,5234
-0.339,10184
-0.173,9514
-0.165,8132
0.265,1086
-0.0118,5832
-0.0658,6736
0.008,4749
-0.253,7573
-0.174,9098
-0.168,8267
0.045,4328
-0.00365,5058
0.0486,3255
-0.0149,5845
-0.0377,6372
0.0598,2907
0.18,971
0.213,1397
-0.0213,5920
0.18,1564
-0.0506,7192
0.0792,1336
0.185,2078
-0.0793,6097
0.338,695
-0.308,8868
0.0889,2388
-0.143,9654
0.0662,2747
0.303,207
-0.0514,6643
0.312,375
-0.06,7377
0.0254,4435
-0.395,10326
-0.00135,5089
0.303,263
-0.423,9591
-0.0637,6609
-0.0881,9885
0.239,502
0.109,1837
-0.117,7519
0.0553,3424
-0.116,8597
-0.131,8047
-0.0614,7105
-0.0611,6873
0.00224,5070
-0.109,8607
-0.0187,5601
0.104,2705
-0.00279,5199
-0.109,7438
0.182,1337
-0.18,9319
-0.095,9362
0.0474,3603
0.0114,4658
0.312,424
-0.154,8082
0.371,820
0.0462,2960
0.128,1086
-0.131,7235
0.0235,4329
-0.0665,6744
0.283,1337
-0.0713,7377
-0.0541,6971
-0.052,6454
-0.00915,5274
0.0987,2861
0.226,2268
0.259,12
0.0526,4113
-0.0307,6359
-0.0426,5310
-0.281,9851
0.084,1941
-0.0786,9044
0.0328,3835
0.04,4020
-0.16,7681
0.0262,4470
-0.33,10395
-0.362,10009
-0.0239,5742
-0.0547,5840
0.0357,3832
0.434,198
-0.212,8059
0.257,31
0.233,222
0.0149,4641
-0.106,7922
0.028,3435
-0.465,9387
0.0195,4428
-0.0182,5905
-0.159,8386
-0.197,9312
0.0552,3672
-0.44,6493
0.00381,5036
0.0924,1559
0.296,122
-0.0145,5700
-0.0205,6043
0.0312,4332
-0.0949,9262
-0.115,3712
0.0862,3368
-0.0565,8303
0.104,745
-0.205,9263
-0.048,7344
0.0351,3988
-0.27,5483
1.4,117
0.114,2860
-0.464,7169
1.91,143
0.00677,4700
-0.0135,5295
0.0553,3499
0.472,51
0.0884,1270
-0.141,10343
-0.393,7795
0.18,2046
-0.115,7307
-0.0629,5233
-0.249,10158
-0.0857,9037
-0.404,9796
0.339,406
0.0333,4036
0.151,964
-0.147,8232
0.0309,3800
0.187,1067
0.101,3127
-0.0763,7143
0.0283,4261
-0.0585,6350
-0.119,9220
0.592,31
0.0852,1159
-0.0245,5821
1.27,78
0.297,70
-0.0678,7318
0.161,1289
0.0604,3252
-0.0638,6177
0.109,2374
-0.000273,5223
-0.0997,8535
-0.0444,6398
-0.0646,6280
0.174,980
-0.308,9686
0.0673,3552
-0.0541,7298
0.414,615
-0.146,9507
-0.0721,6876
-0.0704,7093
-0.0722,7507
0.0754,2471
-0.0462,6782
0.0994,3012
0.281,613
0.369,1947
-0.0337,8680
0.128,1142
-0.0259,5398
-0.104,7213
0.214,1231
1.02,0
0.0694,2178
-0.105,10110
-0.0317,9274
0.465,6
-0.17,7828
-0.274,10350
0.251,1083
-0.0362,7250
-0.17,9299
0.405,144
-0.0776,7457
0.046,4018
0.145,2264
-0.104,9022
0.0222,4584
0.102,2911
-0.268,10058
-0.112,8164
-0.0527,7710
-0.0937,8773
-0.0517,6535
0.01,4757
0.173,2026
0.115,1760
0.141,1923
0.0987,1915
-0.0864,9401
-0.203,6296
-0.172,8168
0.276,819
-0.00712,4905
0.142,669
-0.144,8839
-0.174,8665
-0.267,8353
0.0121,4644
0.0391,4200
0.228,159
0.85,13
-0.0573,5839
0.189,1145
-0.0764,6860
-0.188,9750
0.154,741
-0.148,10371
-0.161,8785
-0.0656,6990
-0.136,8470
-0.104,8626
-0.0628,7589
-0.204,9244
0.0804,2980
-0.258,9581
-0.221,9813
0.0835,2747
-0.0166,5905
0.0904,2308
-0.074,6916
-0.255,10005
-0.0997,8860
0.00528,4663
-0.0733,7279
0.177,1704
-0.0881,8408
0.363,664
0.0897,2343
-0.144,8986
-0.0307,6387
-0.21,8396
0.11,1728
-0.203,9372
-0.132,7975
-0.152,9413
-0.0407,6843
0.211,93
0.0491,3299
-0.0893,8544
-0.162,9592
-0.0418,6290
0.0101,4201
-0.108,8483
0.0513,3121
-0.124,7058
-0.342,9515
-0.105,8910
0.157,1259
0.115,1725
-0.0513,6481
0.0142,4781
-0.00475,5070
-0.0361,6565
-0.023,6345
-0.189,10222
-0.173,8018
-0.137,9020
0.291,1587
0.121,2969
0.239,1224
-0.0142,5806
-0.123,6110
0.04,4213
0.183,2221
0.154,2892
0.0453,2770
-0.0822,8697
-0.176,10067
0.15,1207
0.0153,4478
0.0105,5023
0.0575,2520
0.0562,3334
-0.271,8797
0.246,956
-0.0895,7049
0.284,1897
-0.138,10040
-0.0618,7147
0.0529,3816
0.184,608
-0.233,10223
-0.0207,5430
0.0441,3502
-0.0289,7018
0.234,3040
-0.664,8917
0.272,2663
-0.125,8529
0.237,1015
0.0379,3888
-0.165,8705
0.237,995
0.0828,2662
-0.0979,8430
-0.032,5924
-0.00391,5202
-0.0403,6666
-0.666,10130
-0.313,7946
-0.101,8804
0.0979,2865
-0.0849,8061
-0.197,9445
0.146,1826
-0.141,8991
-0.0086,5288
0.145,1672
-0.0681,7185
-0.0193,5931
0.00992,4851
-0.0373,6181
0.0589,2756
-0.0293,6107
-0.276,10433
-0.125,8759
0.284,611
0.0562,2705
-0.193,10213
0.0597,3615
-0.0841,7479
0.0323,3915
0.35,82
0.44,78
-0.137,8986
0.0145,4217
-0.413,9983
0.0319,4072
1.14,0
0.172,2870
0.199,297
0.0213,4155
-0.115,7363
-0.0086,5409
0.181,328
0.0156,4671
-0.0853,8532
-0.0402,6705
0.1,2374
0.0132,4741
-0.0324,5587
-0.258,8774
0.0856,966
-0.115,8383
-0.0273,5674
0.0722,3190
-0.084,7667
0.154,889
0.152,1478
0.00737,4839
0.0665,3623
0.0778,3428
0.0331,4118
-0.0766,6838
0.229,344
0.0586,2539
-0.15,8124
-0.0516,7541
0.165,2481
-0.292,9583
0.0386,3656
0.0857,2152
0.329,353
-0.033,6387
0.145,2041
0.217,1141
-0.155,9398
0.0366,3350
-0.118,9761
0.163,1246
0.0036,5116
-0.00768,5391
-0.0663,7823
0.119,2371
-0.04,6787
-0.358,6985
0.521,915
0.295,45
0.0833,1484
-0.151,10302
-0.178,10205
0.128,2434
0.111,2362
-0.0346,6872
-0.0288,7208
0.0102,4550
0.0691,3407
0.416,363
-0.208,9258
-0.192,9974
-0.129,8127
-0.177,5247
-0.0718,7217
0.0834,3329
0.303,383
0.00166,5146
-0.0254,5466
-0.462,6793
-0.0324,6613
1.15,8
0.137,2564
-0.0327,6876
-0.0666,6329
-0.418,7865
0.0306,3876
0.0308,4614
0.067,3830
-0.237,10276
-0.0646,6551
-0.0259,6142
-0.0519,8372
0.129,1755
0.268,1140
0.37,1582
-0.0455,6917
0.036,3819
-0.0126,5700
-0.149,8168
-0.0516,7016
-0.0132,5324
-0.171,10138
0.0394,3750
0.26,226
-0.0274,5633
-0.191,8231
0.0321,4378
-0.0909,7269
-0.00354,5300
0.431,5
0.0604,3658
0.0215,4233
0.0518,4071
-0.173,8080
0.211,313
0.245,1099
-0.119,7756
-0.197,6350
-0.00486,5237
-0.248,9634
0.089,2205
0.0247,4055
-0.0741,6793
0.413,526
0.00309,4835
-0.135,6880
-0.000868,4736
0.103,2358
-0.103,8280
-0.642,10294
0.136,1988
-0.108,8239
0.109,1743
-0.0336,5986
-0.082,8436
0.153,1645
-0.0669,6092
0.121,3544
-0.126,9592
0.131,749
0.0394,3323
-0.21,9119
-0.0294,6754
0.0817,3368
-0.00845,5180
0.0893,1646
-0.0792,6507
-0.0153,5506
0.0681,3234
0.043,4094
-0.0497,6508
0.0217,4259
-0.158,6931
0.0398,4062
0.0649,4229
0.281,1301
-0.00151,5130
-0.182,9225
0.103,2723
0.127,1103
-0.0732,7540
-0.184,7558
-0.152,9167
-0.122,8738
0.157,1307
0.0897,2010
0.0992,3636
0.00833,4792
-0.0289,6643
0.0439,3128
-0.0552,6874
0.544,14
-0.12,7936
0.31,597
0.0512,3079
0.142,1450
0.518,16
0.379,1137
-0.132,8859
-0.0351,6627
-0.177,9989
0.222,270
0.015,4581
-0.217,8714
-0.0329,6678
-0.0176,5521
0.215,1591
-0.101,9316
-0.0317,5754
-0.0127,5226
-0.169,9416
-0.157,7832
-0.101,8342
-0.00926,5252
0.159,1608
-0.528,10391
-0.256,9742
0.0758,3445
0.234,36
-0.182,8076
-0.3,8720
0.0399,3830
-0.353,10118
-0.108,7498
-0.0836,8079
-0.136,8969
-0.0241,5320
-0.0194,6317
0.0245,4379
-0.00802,4995
-0.213,9624
0.0619,2277
0.157,1385
0.0317,4241
-0.144,8481
0.0538,3868
-0.0589,7613
-0.048,6278
0.000123,5114
-0.004,6523
0.0687,62
-0.046,10420
-0.0166,8574
-0.19,4163
-0.1,7141
0.117,3476
0.0134,4651
0.00434,4797
0.0675,3869
0.237,1669
-0.247,9311
0.0133,4543
0.16,2134
0.0245,4316
-0.106,6909
-0.139,10355
-0.0547,6560
0.207,567
0.207,2960
-0.24,7175
-0.241,8321
-0.233,6749
0.0207,4636
-0.187,9238
-0.41,9011
-0.0714,6461
-0.114,7684
-0.189,7054
