coef,rank
-0.28,6903
0.154,2240
0.0546,3650
-0.113,6466
-0.323,8177
0.0886,2643
-0.0529,7278
-0.225,9591
-0.0607,6258
-0.0437,6050
0.135,1261
0.0529,2630
-0.0932,8475
-0.0658,6827
0.102,3390
-0.157,5410
0.0371,2955
0.0203,3654
0.102,2073
-0.206,10028
0.272,834
0.627,498
0.402,29
-0.108,8181
-0.00827,5023
0.0231,4550
-0.0303,6343
0.895,882
-0.0587,6231
0.0761,2657
0.0692,3199
-0.172,7312
0.251,820
-0.169,7478
-0.0223,5748
-0.017,5923
-0.102,8590
0.0307,4347
-0.188,9522
-0.129,8303
0.108,1222
0.00887,4722
0.113,2706
-0.137,9471
-0.0181,5400
0.362,270
0.00419,4642
0.0986,576
0.116,2613
-0.0813,7699
-0.00542,4916
-0.478,10463
0.137,1888
-0.0451,7458
-0.0131,5723
-0.127,7903
0.011,4297
-0.0827,6927
-0.0199,6269
-0.0244,6126
-0.272,9857
0.0663,3047
-0.0289,6502
-0.119,10142
0.0921,1738
0.00594,4905
0.0336,3828
-0.0128,5585
0.0862,2757
0.63,949
0.0539,2788
0.21,292
0.044,3800
-0.00564,5051
0.295,763
0.0221,4443
-0.104,8839
0.131,1178
-0.113,9402
-0.156,9650
-0.456,9351
-0.0609,5965
0.029,3769
0.244,94
-0.228,10165
0.0127,4730
-0.0724,7650
-0.0802,6039
0.00445,4667
-0.0223,6543
0.0934,3001
-0.0331,5973
-0.00754,5227
0.000285,5091
0.0301,4452
-0.0572,7525
0.121,2675
0.0364,3490
0.0412,3668
0.0372,3866
-0.052,7396
0.102,1962
-0.0495,7042
-0.216,9156
-0.0901,6489
-0.0631,6450
-0.292,9632
0.0703,3307
-0.0378,5900
-0.192,9382
0.207,2514
0.0186,4210
0.0611,2283
-0.105,9770
-0.278,10303
0.0453,3617
-0.0222,5903
-0.155,8457
0.0844,2857
-0.0185,5913
0.0423,3331
-0.0234,6269
-0.296,9439
-0.201,7645
0.126,886
0.0339,4365
-0.222,8722
0.0912,2491
0.00785,4738
-0.105,7999
-0.0568,7563
-0.246,10329
-0.0622,6382
0.235,269
-0.00325,3659
-0.329,9595
0.0996,1671
-0.0501,6936
0.191,2191
0.0968,1252
0.141,2149
0.0424,3778
-0.155,9163
-0.00539,5402
-0.26,9920
-0.0459,6163
-0.156,10066
0.0222,4483
-0.0151,5497
0.00344,4928
-0.414,8120
-0.0568,6902
-0.154,7250
0.137,1616
-0.208,9802
0.0195,4441
-0.182,8307
0.0618,3134
-0.13,8148
-0.0211,5609
0.0867,3073
-0.102,9789
0.0472,3684
0.146,2073
-0.103,9046
-0.0932,9056
0.195,966
0.00153,5149
0.342,160
0.215,1760
-0.0819,8296
0.164,492
0.0517,1919
-0.0481,6734
-0.0768,8227
-0.0646,6450
-0.107,6508
-0.0673,8983
0.194,297
-0.0427,6109
-0.0832,8437
0.129,918
-0.0352,7042
0.0509,1505
0.0619,3076
-0.00144,5119
-0.117,8124
-0.000293,5219
0.161,2905
-0.19,10231
0.121,1591
0.0139,4135
-0.0849,8024
-6.71e-06,4942
0.0922,3385
-0.161,10022
-0.195,9733
0.043,4213
-0.0319,6997
0.22,1263
0.361,70
0.342,736
-0.0258,6283
-0.158,8705
