coef,rank
-0.143,5602
0.0105,4678
-0.0551,6089
0.257,1943
1.8,16
-0.172,9111
0.138,810
-0.117,7797
0.263,727
0.0128,4684
0.11,1759
-0.0636,7971
-0.122,9198
-0.105,7742
0.77,69
-0.0872,4882
0.000286,5227
0.0292,3127
0.151,1139
-0.16,9481
-0.104,7392
0.334,1622
0.0465,3607
-0.135,8757
0.0167,4657
0.151,2201
0.0848,2185
0.0547,3660
0.293,768
0.0998,2043
-0.0263,5918
0.112,3555
-0.0705,6758
-0.187,7733
0.0796,2281
0.369,0
0.155,908
-0.181,8343
0.0287,4212
-0.108,7835
-0.121,9321
0.0117,4531
-0.153,8441
0.032,4037
-0.0653,6622
-0.102,7195
-0.172,10442
0.138,129
0.112,2661
-0.132,9074
0.024,4138
0.0391,4010
0.334,173
-0.101,9550
0.122,2250
1.35,0
-0.346,8597
0.146,2172
0.0484,2652
-0.0425,6897
-0.209,9172
0.48,12
-0.0798,8462
-0.0253,6708
-0.0809,8227
-0.091,8928
0.00878,4902
0.0561,3006
0.117,2117
-0.417,8396
-0.0871,8776
-0.0588,7183
-0.0236,5656
0.121,2338
-0.386,10364
0.416,17
0.189,430
-0.127,9150
0.116,1163
0.19,694
-0.0184,5086
-0.0732,6233
0.206,78
0.0862,1857
-0.0754,7528
0.0934,3264
0.0197,4490
0.738,150
0.0774,1521
-0.0388,7492
0.0175,4685
-0.145,8667
0.677,32
-0.0483,6241
-0.0618,6771
-0.184,10284
0.239,1283
-0.0431,7080
0.194,558
0.185,1018
-0.0657,7943
-0.103,8483
-0.14,9541
-0.0893,6815
-0.123,7057
0.221,1351
0.0202,4503
-0.0392,6024
0.0881,2716
-0.268,10150
-0.0529,5495
-0.0806,6649
-0.035,6813
-0.0461,7707
-0.0131,5585
-0.0589,7079
-0.0164,5633
-0.0679,6454
-0.0437,6346
-0.00456,5189
0.085,1695
-0.126,9801
-0.129,7118
0.0221,4559
-0.158,10149
0.0997,3258
0.229,1506
-0.1,7680
-0.178,9181
-0.0293,5843
-0.0047,5242
-0.144,9384
0.189,1665
0.0365,3917
-0.638,8035
-0.148,7322
-0.107,9009
-0.0253,6044
-0.0309,5058
-0.2,10435
-0.498,10471
0.0483,3637
-0.196,9787
0.0234,4302
0.0126,4692
-0.179,8903
-0.101,9007
-0.102,7142
-0.00734,5267
-0.0895,8821
-0.405,8028
-0.017,5700
-0.456,10247
0.191,883
0.0792,2733
0.235,335
0.795,18
0.151,1283
0.225,870
1.01,0
0.0979,2829
0.076,1320
-0.17,9333
-0.232,9840
0.216,181
0.103,1379
0.182,1129
-0.129,9774
-0.261,10141
-0.112,6633
0.116,1622
0.0772,2177
0.0801,823
-0.0453,6616
-0.0762,8208
-0.314,10288
-0.318,9286
0.0213,3763
-0.0381,6597
0.206,1062
-0.00392,5379
-0.0734,8351
-0.029,6747
0.00645,4613
0.173,753
-0.018,5793
0.304,276
-0.0522,7304
0.708,269
-0.127,9427
0.289,154
-0.00812,5737
-0.0682,7504
-0.159,8679
-0.184,8068
-0.0462,7114
-0.0556,6747
-0.119,7360
0.0825,1435
-0.31,10035
-0.0876,7331
0.138,2603
-0.0897,8942
-0.194,9291
-0.0654,6668
-0.0852,6889
-0.24,10204
0.104,2623
0.0337,3617
-0.172,10221
-0.12,9405
0.015,4748
0.057,3354
-0.171,9018
-0.00228,5119
-0.016,5788
-0.116,8546
-0.0185,5570
0.387,654
-0.393,6190
0.401,45
0.0303,3638
-0.15,10386
-0.13,8113
-0.208,8272
0.0858,2935
0.128,1357
-0.0288,6419
-0.0221,6458
0.127,2498
-0.0598,6852
-0.204,8765
0.227,1445
-0.0879,9611
-0.249,10049
-0.0164,5457
-0.312,8271
0.143,1698
0.029,4273
-0.543,10204
-0.29,9223
0.139,969
-0.0195,6013
-0.0427,6579
0.0927,2035
-0.133,8520
-0.0318,5914
-0.0363,6464
-0.212,9488
-0.0334,6502
-0.00017,5156
0.0414,4206
0.696,91
-0.157,7754
0.0406,4331
0.0466,3636
0.0133,4320
-0.0465,6751
-0.162,9317
-0.0346,6138
-0.166,8854
0.014,4288
0.0124,4836
-0.151,7887
-0.0837,7900
0.00867,4652
-0.011,4745
0.263,902
0.024,3469
-0.0623,6907
-0.0398,6339
0.187,1387
-0.0381,6454
0.043,3553
-0.124,7901
0.0113,4741
-0.108,8183
-0.119,7776
-0.00889,5374
-0.152,9276
-0.294,9940
0.265,576
-0.112,7528
0.266,578
-0.101,7814
0.0967,1164
0.118,2092
-0.0602,6447
0.0316,4172
-0.154,8063
0.0904,3432
-0.0476,7696
0.177,422
-0.0235,5398
0.0283,4131
-0.199,9264
-0.27,9415
-0.164,9570
-0.0372,6365
