coef,rank
-0.011,4511
-0.116,7139
-0.0503,5961
-0.0964,6217
0.144,3377
-0.0741,6877
-0.0532,7292
0.114,2428
-0.0171,5245
0.0453,3897
0.0634,3036
0.055,2536
-0.0599,7445
-0.158,8793
-0.167,7554
-0.896,10434
0.0562,2016
-0.00352,5238
-0.0276,5991
-0.037,6306
0.116,2716
-0.708,10449
-0.0894,7657
0.117,1910
-0.145,7043
-0.37,10310
0.0955,1886
-0.465,8206
-0.145,7963
0.191,609
0.305,220
-0.00798,5062
0.204,1247
-0.179,7607
0.0677,2589
0.0158,4247
-0.055,7203
0.378,540
-0.0782,7243
0.19,1010
-0.0352,6369
-0.0149,6380
-0.19,9059
0.0942,2175
-0.328,10354
0.0718,3292
-0.129,10257
0.0181,3844
0.11,2695
0.21,452
-0.0998,7571
0.0253,4307
0.0456,3871
0.044,2879
-0.0573,6947
-0.0841,6972
0.127,3120
-0.0478,6101
0.0224,3916
0.105,1370
0.103,2864
-0.106,7907
0.0072,4857
-0.0517,8163
0.07,2377
-0.0489,7422
-0.146,9884
-0.068,7696
-0.00765,5285
0.608,1025
-0.0188,6036
0.0291,3813
0.0437,3805
-0.168,8787
0.0505,4200
0.185,828
0.0959,1888
0.0642,2698
-0.0597,7755
0.0987,2190
0.159,3498
0.374,434
0.0418,3169
0.0234,3998
-0.0381,6300
-0.13,7595
0.101,2087
0.393,910
-0.0208,6117
-0.0262,6767
0.146,2089
-0.0104,5341
-0.178,8452
0.298,657
0.438,92
-0.0108,5536
0.0302,4133
-0.0288,6467
-0.14,9312
-0.0101,5347
-0.0432,7022
0.15,1076
-0.0239,6053
-0.155,8164
0.0862,3574
0.151,2250
0.135,2586
-0.233,9831
-0.0475,6149
-0.117,7984
0.229,2295
-0.147,8249
0.0545,2523
-0.113,9916
-0.214,9872
-0.257,10334
-0.00623,5205
-0.249,9795
-0.0502,6556
0.0758,1592
-0.129,9951
0.118,893
0.461,353
0.0665,3993
-0.0582,7698
0.201,1946
0.112,2897
-0.123,8206
-0.381,10440
-0.119,8318
0.0787,1992
0.0214,4694
-0.00892,5206
0.0944,2164
-0.311,5682
-0.0195,5183
0.00456,4941
0.0712,2698
-0.217,8026
0.13,619
0.166,1807
-0.117,7810
0.0333,3920
0.096,1890
-0.249,9811
0.0301,4372
0.0104,4580
-0.0262,5540
-0.142,9068
0.0239,3987
-0.0142,4302
-0.169,9366
0.0577,3756
0.147,1465
-0.257,10216
-0.0425,6596
0.386,537
0.167,1031
0.0848,2906
-0.0429,6274
0.0265,4410
-0.0512,8026
0.012,4738
0.0407,4146
-0.0237,6208
0.0192,4389
-0.00532,5347
0.0906,1832
0.0836,2721
-0.182,7896
0.0943,2134
0.0374,3586
0.0276,3272
0.102,1984
0.13,849
-0.143,8395
0.222,2163
-0.066,8944
0.0316,3665
-0.0302,5815
-0.0947,8771
0.125,968
0.132,438
0.0342,2428
0.0698,2819
0.17,494
0.219,858
-0.00429,5375
0.158,2934
0.0572,3064
-0.111,8205
0.0509,1885
-0.125,9062
0.0915,2878
0.0497,4042
-0.0305,6472
-0.157,9215
-0.28,9665
0.0724,1747
-0.12,7441
0.0261,4055
-0.0312,5492
0.0201,4053
-0.347,10384
0.196,1248
0.0489,4047
-0.113,8325
-0.163,8681
0.088,1903
0.0273,3912
0.213,270
0.000567,5115
0.248,664
0.0499,3543
-0.000743,4999
-0.0733,8109
0.206,842
-0.112,8174
-0.153,7520
-1.11,10180
0.178,1186
0.00719,4745
0.0645,1776
-0.0468,6237
-0.22,8447
-0.0107,5166
-0.0163,5637
-0.0891,8930
0.12,618
0.111,2732
0.137,1488
-0.42,10353
-0.0301,5797
-0.0174,6192
0.0663,3247
0.078,3066
-0.302,8160
-0.148,8634
0.0446,3964
-0.115,6362
0.381,946
-0.0577,7423
0.183,653
-0.0443,6633
0.0355,3665
-0.219,9896
-0.0903,7270
0.0356,3815
0.0496,3839
-0.014,5695
0.0169,4135
0.0537,3978
-0.354,9765
0.12,2776
-0.112,6355
0.0213,4441
0.152,677
0.196,483
0.000376,5076
0.261,498
0.0737,3127
-0.14,9666
0.0638,3403
0.255,1089
-0.0585,7078
0.0302,4053
-0.11,5929
0.178,1805
-0.0604,9008
0.0626,3300
0.202,533
0.0695,3292
0.0743,2888
-0.12,8696
-0.058,6408
-0.128,8890
-0.026,5808
-0.0494,6260
0.128,1531
-0.114,8453
0.174,1690
0.0733,3266
0.109,2765
-0.0535,6337
0.0856,2765
-0.0282,6632
0.138,1724
0.0288,4233
-0.184,8989
0.00591,4683
0.342,962
-0.0862,9154
0.0866,2094
0.237,1884
-0.0433,6849
0.261,881
-0.0125,5401
0.0462,3501
-0.00861,5270
0.172,1296
0.11,2053
-0.112,7889
0.861,91
-0.0725,8399
0.377,379
-0.0878,8390
0.297,1518
0.106,2873
0.0702,2340
0.106,852
-0.0871,8104
-0.105,7975
0.0841,3496
-0.144,7617
0.206,983
-0.145,7589
0.0254,4588
-0.117,7020
0.0704,2793
0.207,1428
0.0677,3998
-0.0552,7836
0.108,1775
0.0366,3805
-0.0385,6093
0.0898,1125
-0.288,7643
0.0296,3979
-0.0184,5917
0.0214,4532
0.21,1009
-0.134,7897
-1.05,10082
-0.0315,6603
-0.0563,7705
-0.118,8761
-0.059,7602
0.225,226
-0.213,8525
0.0132,4386
-0.822,9892
-0.188,8635
0.102,652
-0.0345,7021
-0.0828,7010
-0.00778,5440
0.24,583
1.18,1200
0.858,576
0.0748,3002
0.54,2101
-0.796,9980
-0.304,10094
0.273,1087
0.0845,2741
0.182,1311
0.0119,4574
0.0845,936
0.546,1820
-0.203,8595
-0.304,10012
0.194,2692
-0.213,9837
-0.106,9582
0.0459,4027
-0.151,8325
-0.194,10080
0.023,4141
-0.0668,6606
-0.1,9085
0.0434,3741
0.126,2740
0.0271,4253
0.0675,3602
0.264,582
-0.0615,7509
0.0612,3717
0.0331,3302
0.103,2542
-0.594,10106
-0.00255,5332
0.0333,3545
-0.158,9165
0.157,1242
0.127,2848
0.064,3446
-0.103,8440
0.101,1781
0.174,995
-0.38,10170
-0.066,7137
0.211,1812
0.0251,4518
-0.19,10153
