coef,rank
-0.25,6597
-0.0221,5293
0.182,1627
-0.415,9854
-0.485,9509
0.283,346
0.0484,3054
0.0624,3405
-0.357,10323
-0.0918,7193
-0.14,9432
0.0235,3900
-0.0815,8141
-0.0309,5959
-0.139,7089
-0.242,6235
-0.052,8266
0.0668,1343
0.106,1972
-0.16,9477
-0.022,5557
-0.0232,5064
-0.0275,5853
0.13,1642
0.116,3366
-0.188,8791
0.0752,2436
-0.44,7930
-0.427,10427
-0.00609,5362
0.021,4533
-0.562,10332
0.287,592
-0.345,9586
-0.0242,5824
0.0701,1910
-0.0605,7371
0.0557,3876
-0.16,9078
-0.0039,4981
0.0398,3195
-0.0209,6801
0.236,1080
-0.0357,6581
0.00284,4879
0.0354,4040
-0.0226,6379
0.0255,3379
0.135,2325
0.0338,3873
-0.0704,6792
0.431,130
0.433,50
0.112,753
-0.131,8726
-0.02,5493
0.097,3397
0.0338,4220
-0.0423,7447
0.0269,3870
0.269,821
0.0663,3046
0.0992,1500
-0.015,6064
0.101,1534
0.0873,1791
0.0246,4209
0.0636,2747
0.0839,2811
1.26,115
0.0286,3843
0.099,1714
0.0428,3835
0.277,612
0.0519,4174
0.0618,3209
-0.058,7363
-0.0985,8468
0.0836,1891
-0.0688,7660
-1.15,10472
0.0161,4404
-0.0105,5760
0.138,857
-0.0216,5740
-0.00431,5066
0.239,294
0.209,2158
0.062,1994
0.085,1148
-0.385,10415
-0.113,7990
-0.0432,5933
-0.0481,6235
-0.207,9548
0.0642,2423
-0.261,9359
-0.0235,6209
-0.146,9409
-0.0234,5745
-0.04,6862
-0.0645,7417
0.0149,4508
0.046,3924
-0.125,7086
-0.244,9593
0.345,652
0.22,983
-0.13,8167
-0.146,8594
-0.313,8814
0.0731,2967
0.0685,2023
-0.0785,9082
-0.00354,5294
-0.0555,6952
-0.0118,5435
0.0808,2931
0.321,221
-0.107,9547
0.0284,3958
0.0253,3954
-0.429,10249
-0.253,8356
-0.0379,6804
0.00801,4821
0.429,376
-0.14,8562
-0.137,8411
0.146,1545
0.0153,4332
0.103,2295
0.512,83
-0.0334,6491
2.05,520
0.188,2288
-0.0387,6682
0.27,110
-0.0862,5936
-0.000693,5205
0.154,1963
-0.159,8689
0.107,2106
0.00446,5048
0.112,2520
0.14,2204
0.0051,4803
0.0749,3450
-0.311,10431
0.000146,5082
0.511,1612
-0.22,9966
0.0064,4566
0.221,607
-0.142,8794
0.13,1512
-0.168,8107
-0.105,8243
-0.019,5434
-0.125,8395
0.2,1237
0.00301,4888
0.0102,4791
0.327,375
0.165,515
0.0258,4107
0.231,623
0.116,1192
0.11,2193
0.0604,3625
-0.0853,8398
-0.000738,5233
-0.0293,7305
0.106,1903
-0.248,10452
0.127,1994
0.431,772
-0.0199,6482
-0.027,6122
-0.000459,5031
-0.0795,8320
-0.0502,7445
-0.0549,7963
-0.0225,7201
0.172,769
-0.197,10258
0.15,1722
0.0657,2676
0.415,1100
-0.154,9863
0.0185,4107
0.0211,3605
0.0741,2588
-0.0192,5429
-0.0891,6424
-0.0771,8264
-0.287,10351
0.0541,4025
0.0567,2336
0.126,2403
0.126,1739
0.19,1953
0.0374,3246
0.0172,4529
0.302,440
-0.373,10298
-0.249,10243
-0.0267,5559
-0.064,7660
-0.108,9229
-0.0865,8532
-0.105,7642
0.155,1656
-0.131,8246
-0.00387,5231
-0.0438,6988
0.134,1859
-0.0569,6670
0.288,1262
-0.225,4758
0.0659,3347
0.0461,2960
-0.104,9921
-0.00734,5289
0.117,3198
0.166,1622
-0.0927,8234
-0.0778,8565
-0.0917,9391
0.216,1359
-0.0603,6866
0.13,2579
-0.0103,5365
0.0691,1435
0.317,229
-0.14,8531
0.503,954
-0.068,6824
0.274,885
-0.445,9802
0.178,2549
0.174,501
-0.215,10274
0.118,1626
0.0907,2086
0.0155,4271
0.137,2388
-0.0254,6093
0.0763,3263
-0.118,9278
-0.0451,7702
-0.193,8407
0.514,347
0.0386,4103
-0.419,9787
0.0181,4555
-0.115,9068
0.0452,3401
0.0292,4220
0.129,2035
-0.396,10445
0.19,250
-0.0487,6647
-0.408,10356
-0.419,10473
-0.114,7933
-0.0115,4747
0.35,377
0.0103,4440
-0.133,8662
0.0245,4135
0.368,219
0.0187,4585
0.0177,4339
-0.469,10470
-0.07,7371
-0.0615,6880
0.0891,3221
0.0512,3426
0.00713,4747
0.18,1612
0.414,106
-0.273,9895
-0.1,7435
-0.0489,6361
-0.0984,9431
0.0546,3434
0.151,1834
-0.04,5918
-0.164,8261
0.482,425
0.0412,3197
0.0566,3061
-0.283,9334
-0.165,9878
0.478,88
-0.27,9419
0.0369,3796
-0.0121,5415
-0.159,8965
0.0982,2292
-0.00939,5350
-0.0903,6069
-0.0578,7756
-0.135,8098
-0.058,7362
-0.337,9215
0.597,41
0.107,1398
0.0622,2091
-0.00547,5245
-0.178,9401
-0.0601,5841
0.173,2125
0.203,1023
-0.438,10290
0.323,456
-0.213,8649
0.0648,2931
-0.27,9832
-0.0261,5387
-0.126,9904
0.00667,4986
0.259,98
-0.117,8180
