coef,rank
-0.334,7437
-0.364,10200
-0.106,7251
-0.0195,5140
-0.0767,5457
-0.206,9625
-0.123,9438
0.16,1712
-0.277,9935
0.00582,4847
0.111,1716
0.00362,4903
0.0234,4288
0.0765,3343
0.205,2176
1.38,199
-0.052,8261
0.00489,4690
0.182,742
0.118,1760
-0.156,8379
0.262,2111
-0.0517,6589
0.0157,4582
-0.0235,5225
-0.265,9732
-0.0969,8607
-0.129,4570
-0.02,5391
-0.162,9698
-0.0449,6485
0.028,4585
0.0357,4125
-0.0986,6380
0.0463,3269
0.0156,4260
-0.0379,6586
0.0368,4223
0.137,1788
-0.213,9709
-0.142,9724
-0.0644,9082
-0.111,7620
0.15,1029
0.0708,3255
-0.245,9619
-0.0351,7087
0.0199,3724
0.0695,3424
-0.12,8808
-0.132,8343
-0.185,8755
-0.00652,5328
0.0803,1500
0.516,14
-0.129,7949
-0.241,7330
-0.0185,5427
0.0759,1635
-0.0274,6243
-0.124,7696
0.0409,3734
-0.0398,6973
-0.0205,6394
0.0645,2553
-0.036,6871
0.0468,3294
0.108,1563
-0.15,8972
-0.23,6397
0.0171,4373
-0.191,10111
0.141,1686
-0.0729,6748
-0.124,7817
-0.0674,7482
0.101,1782
0.041,3453
-0.0471,7222
0.0607,3245
-0.132,6291
-0.0961,6720
-0.0344,7001
-0.0674,7770
0.0531,3365
0.109,2998
0.0442,3691
-0.145,7124
-0.0411,7232
0.027,3565
-0.0769,6934
-0.0035,5156
0.0468,4132
0.102,3029
0.0906,3011
-0.111,9249
-0.17,8044
0.16,477
0.0682,2865
0.0279,4145
-0.0189,5938
0.121,1551
0.00538,4885
-0.0945,6932
-0.198,8271
0.181,1837
-0.292,9631
0.0832,3041
-0.334,10354
-0.282,10224
-0.158,6870
-0.13,7875
0.0839,1568
-0.0688,8736
0.153,1673
-0.0864,7941
0.209,193
-0.000897,4755
-0.113,8193
0.112,777
0.0389,3477
-0.122,9733
-0.317,9612
-0.271,8578
0.13,827
-0.143,7748
0.178,2076
-0.249,10101
-0.017,5405
-0.0715,7072
0.00234,4907
-0.0495,7050
0.249,1055
-0.0661,7584
-0.239,5129
0.0864,3515
-0.078,8162
0.0255,4159
-0.159,7124
0.0565,2596
-0.167,8635
0.0227,4256
-0.141,8862
-0.101,8839
-0.086,7056
-0.0677,6667
-0.128,9635
0.159,2014
0.125,1754
0.0823,1910
-0.198,5872
0.179,1255
-0.176,7599
-0.0851,7535
-0.0364,5932
-0.0312,6219
0.213,1735
-0.105,8253
-0.131,8176
0.0133,4579
-0.142,8518
-0.0371,7355
-0.15,9000
-0.0232,5819
-0.0623,7767
0.0278,4015
0.152,1521
-0.063,7884
-0.183,9330
0.0174,4281
-0.0486,7200
-0.0949,8953
-0.0142,6259
-0.0241,5880
-0.0662,7866
0.138,1821
0.686,184
-0.0279,6986
-0.0411,6710
-0.0168,5469
0.109,1394
0.354,31
-0.09,9240
0.0265,2999
