coef,rank
0.326,2583
0.241,1321
-0.246,9598
0.0319,4430
-0.668,10216
0.109,2222
0.167,496
-0.000605,4872
-0.0731,6538
-0.0945,7263
-0.117,8990
-0.118,9622
-0.0253,6139
0.116,2585
-0.00908,5072
0.294,2740
0.0437,2595
0.0351,2797
-0.0456,6545
0.139,1373
0.176,1787
0.317,1718
0.0647,3129
-0.0888,7678
0.162,2849
0.0681,3576
0.0892,2052
0.476,2010
-0.218,9152
-0.0778,7874
0.0302,4249
-0.0292,5344
-0.14,8277
-0.4,9968
0.163,732
0.0757,1716
-0.069,7649
-0.203,8664
0.143,1656
0.115,2094
-0.0688,7737
0.0403,2698
-0.313,10202
-0.168,9913
0.212,993
-0.198,9042
-0.142,10344
-0.0549,8536
0.18,1674
0.0453,3483
-0.147,8676
0.052,3753
0.0342,4158
-0.104,9637
0.017,4831
-0.228,9537
0.225,2288
0.491,101
-0.0127,5911
0.0529,2887
0.186,1590
-0.191,9556
0.132,857
-0.085,9463
0.094,1690
-0.0414,7110
-0.018,6043
0.0344,3763
0.392,53
-0.399,8225
-0.122,9665
0.0373,3527
-0.119,8205
0.0507,3694
-0.0976,7274
0.146,1384
-0.129,9388
-0.0433,6577
0.185,318
0.0297,4220
0.779,542
-0.00667,4862
0.0605,2362
-0.04,6655
0.0614,3138
-0.0563,6144
-0.177,9901
-0.033,5258
0.0649,1892
0.0109,4496
-0.202,9319
-0.261,10097
0.107,3047
-0.134,8083
0.143,2039
-0.0386,6751
-0.00398,4766
-0.0336,6669
0.117,1653
0.152,1448
0.119,1010
0.0873,2326
-0.176,10031
-0.106,7204
-0.332,9745
0.0618,3766
0.248,1290
-0.159,8838
0.0965,2554
0.169,1506
-0.00984,4930
0.0723,2981
-0.105,9539
0.125,367
-0.109,8119
0.0668,2967
-0.0401,6670
-0.0245,5387
0.223,758
-0.0105,5461
0.0795,1873
-0.0689,8288
0.312,983
-0.226,8011
0.0347,3596
-0.175,8305
0.222,1581
-0.15,8772
-0.0398,6026
0.0264,4269
