coef,rank
-0.129,5453
-0.298,9792
-0.139,7929
-0.0559,5668
0.967,257
-0.0245,5530
-0.0979,8811
0.117,2380
0.214,1172
0.168,1639
0.0391,3825
0.142,534
-0.0547,7259
-0.0163,5575
-0.313,9457
0.204,3226
0.0837,1079
0.0513,2023
0.181,751
-0.237,10242
0.00513,4918
-0.187,7128
0.129,1734
-0.0765,7341
-0.266,8676
-0.127,7715
0.0623,2809
0.733,1252
0.000408,4942
0.172,799
-0.0652,7077
0.346,1520
-0.325,10304
0.263,1647
-0.127,9144
-0.0377,6994
-0.159,9704
0.0155,4620
0.00775,4784
0.152,1481
-0.00809,5124
-0.0162,6461
-0.055,6375
0.0362,3880
-0.0844,7140
-0.249,9669
-0.112,10037
-0.0689,9086
0.00855,4643
0.0382,3722
0.192,919
-0.213,9170
0.0655,3345
-0.00616,5422
0.0729,3358
0.0398,4111
-0.108,5668
0.246,1018
0.0777,1571
-0.183,10263
-0.0171,5323
0.172,1141
-0.152,10025
0.0463,2578
0.226,142
-0.0939,9011
-0.0506,7418
-0.0823,8173
0.167,1310
0.102,3571
0.104,1261
-0.0424,6578
-0.0455,6278
0.0952,2802
-0.0537,6354
-0.117,8821
-0.081,8153
0.176,608
-0.00705,5436
0.157,1050
-0.528,9772
-0.351,10085
0.00457,4969
0.0622,2548
0.0261,4227
-0.0597,6214
0.158,1050
-0.0578,5663
0.0129,4204
-0.022,6520
-0.285,10107
-0.0373,6094
0.0247,4568
-0.137,8154
0.381,177
0.096,1490
-0.0955,6648
-0.0992,9018
0.0141,4605
0.113,2084
-0.0204,6010
0.113,1709
-0.00173,5166
-0.236,9409
-0.185,8080
-0.0324,5819
0.00907,4703
-0.0929,7417
0.0795,2902
0.0273,4266
0.218,2419
-0.342,10324
0.0949,1299
0.0758,1416
-0.234,10071
0.12,1672
0.0305,3677
0.135,1947
-0.0113,5416
0.0294,3455
0.0446,3228
0.0123,4526
0.0176,4557
0.149,3027
0.112,1129
0.685,91
0.307,920
0.183,1045
-0.22,9711
-0.106,8006
0.0169,4260
0.116,2003
-0.0816,6807
0.0595,3170
0.249,2645
-0.0807,6204
-0.14,9709
0.0291,4037
-0.408,9950
0.00972,4660
-0.111,7535
-0.278,10137
-0.133,8690
-0.133,9535
-0.114,7693
