coef,rank
0.366,2398
0.14,2420
-0.306,10079
-0.266,8538
0.203,2935
0.236,621
-0.164,10046
0.327,337
-0.0118,5124
0.122,2328
-0.0929,8378
0.0832,1669
-0.0366,6583
0.192,1404
-0.00245,4959
-0.427,8560
-0.039,7564
0.0011,4939
0.0685,2933
-0.00407,5174
-0.191,8942
1.07,59
0.159,1256
0.0931,2436
-0.168,7374
-0.339,10187
0.00345,4999
-0.206,5165
-0.0144,5267
0.0415,3670
-0.165,9271
-0.106,6383
-0.064,6592
-0.164,7389
-0.0204,5680
0.054,2454
-0.0929,8337
0.00705,4785
-0.0735,7097
-0.0522,6382
0.0214,3880
-0.0101,6074
0.0303,4360
-0.0887,8376
-0.176,9043
-0.185,8834
-0.00813,5427
-0.0335,7358
-0.224,9249
-0.0269,5940
-0.0653,6668
0.445,110
-0.111,8127
-0.0312,6745
-0.183,9603
0.21,1300
-0.0384,4831
-0.0355,5834
0.0221,3933
0.0646,2483
-0.206,9125
-0.103,7820
0.00604,4911
-0.0454,7819
-0.0591,7469
-0.0798,8575
0.0993,1644
0.0566,2988
-0.153,9028
0.0802,3717
0.158,421
-0.137,9400
-0.183,9378
-0.0847,7025
-0.191,8930
-0.0524,6997
-0.0301,6309
-0.143,9462
0.0278,3875
0.194,642
0.272,2672
0.596,55
0.0899,1366
-0.0763,8120
0.111,1881
-0.257,9430
0.0543,3367
0.0414,4182
-0.0269,6456
0.0531,2268
0.215,1234
-0.00458,5178
0.171,2162
-0.0873,7117
-0.167,8971
-0.128,9619
-0.156,7807
-0.132,9744
-0.146,9420
-0.115,8253
-0.0532,7444
0.101,1990
0.0305,3948
-0.0835,6683
0.302,1318
0.0381,4256
-0.0208,5275
-0.0347,5888
-0.29,10180
-0.117,7980
0.0957,3713
0.0564,3322
0.024,3824
-0.069,8742
0.0655,3426
-0.0822,7802
-0.0538,7276
-0.149,8342
-0.126,8481
-0.0866,8955
0.00138,5241
-0.116,9621
0.429,435
-0.0655,5762
0.0176,4311
-0.263,9498
0.45,317
0.218,698
-0.0299,5757
-0.219,9950
-0.0218,6019
-0.235,10266
-0.0407,5908
-0.0289,6320
-0.532,7304
-0.0894,6362
0.113,1369
-0.19,10091
0.415,711
0.0741,1916
-0.224,9426
0.413,88
0.0944,2344
0.17,595
0.187,1391
-0.132,8100
-0.0959,8888
0.0397,4128
0.166,1086
-0.0808,8526
0.251,2709
-0.0303,6110
-0.317,9418
0.162,1251
0.0102,4540
0.00245,5006
0.0645,3796
-0.0334,6139
-0.13,8143
-0.0514,6517
-0.249,9978
-0.0269,6758
-0.117,8264
-0.0685,6995
-0.118,9381
-0.0133,5901
-0.0364,6309
-0.00114,5288
0.016,4426
-0.413,10200
-0.0221,6212
0.0687,2454
0.0888,614
0.0424,3641
0.047,3008
-0.286,10166
-0.224,8193
-0.105,9992
0.203,246
-0.0466,6202
-0.0893,8617
-0.063,7972
0.0583,2294
-0.0764,9878
-0.132,9370
-0.00598,5305
0.179,1299
0.0737,2440
0.0465,4197
0.0682,2723
0.0992,2023
-0.0291,7264
-0.0564,7110
-0.234,9740
-0.272,9281
0.045,3377
-0.0711,7194
-0.0882,6757
0.0232,3918
-0.0343,5566
-0.0535,6392
0.15,2407
-0.094,9080
-0.133,8217
0.0255,4396
-0.0154,5394
-0.0615,6881
-0.0471,6121
0.119,1184
-0.00155,5254
-0.0184,6024
0.355,305
-0.0409,5812
-0.143,8479
-0.0246,6587
0.0459,3129
-0.0227,6022
0.024,4265
-0.233,8724
0.174,2703
0.424,33
-0.0689,8283
-0.0493,8117
0.301,554
0.0815,3678
-0.0153,5273
-0.0542,6969
-0.0282,6399
-0.0749,8884
-0.241,9322
-0.0268,5855
-0.31,9887
-0.106,7355
0.000567,5023
0.106,2414
0.0624,3411
0.13,3284
0.342,184
0.0742,3397
0.336,1567
-0.0336,5500
0.0545,3063
0.19,582
0.0482,3386
0.0837,2244
-0.198,9639
-0.104,7567
0.0667,2856
-0.12,7934
-0.0948,8706
-0.00497,5466
0.00996,4782
-0.139,7054
-0.288,9564
-0.083,5992
0.0511,3472
-0.124,9283
-0.0583,7199
-0.0977,7968
-0.0617,6911
-0.0898,7228
-0.12,9270
-0.0503,6690
-0.364,10236
0.081,2505
0.314,232
-0.197,7078
-0.0765,6910
-0.0932,9993
0.00346,4958
0.0233,4162
-0.134,7863
0.0863,2569
-0.0706,7262
-0.0738,6787
0.0258,4309
0.11,2052
-0.239,9583
-0.227,10264
0.109,1871
-0.144,7968
-0.0943,7550
0.0325,4334
-0.154,8636
0.00768,4722
-0.0597,8154
0.0444,3681
0.0766,3174
0.0177,4513
0.0314,4128
0.183,2243
0.0624,2313
0.038,3785
0.416,665
-0.0872,8248
-0.117,7837
0.0646,3995
-0.0503,6727
-0.0368,6342
-0.205,9701
0.324,141
-0.0631,6703
0.637,348
-0.0438,7100
0.0339,4518
0.0373,3750
-0.361,9447
-0.0755,6548
-0.12,9447
-0.0489,7852
-0.0322,6244
0.131,1949
-0.472,10376
-0.0816,6526
0.0176,4590
-0.147,7631
0.0946,3067
0.0291,4206
0.0958,2189
0.178,1753
0.089,3719
0.206,114
-0.0559,7281
-0.0138,5791
-0.0504,6435
0.0153,4090
0.179,3087
-0.0464,7543
0.0726,2180
0.351,430
0.0446,3834
0.112,2617
0.161,2425
0.157,608
-0.126,9735
0.15,1144
0.008,4711
0.0763,2454
-0.248,8954
0.173,203
-0.441,7137
-0.232,9233
-0.00373,5349
-0.12,10041
0.00829,4888
0.0324,3494
0.0837,2765
0.25,2948
0.105,3637
-0.0562,3623
-0.12,4307
-0.452,7853
-0.0995,7145
0.0639,3805
0.254,389
-0.207,9354
-0.0116,5900
-0.0129,5755
-0.325,7071
0.372,522
0.0711,3438
0.167,2948
0.0128,4580
0.0706,1890
-0.0275,5033
0.197,1422
0.0332,4042
0.3,78
-0.113,7579
-0.0505,7420
0.104,2341
-0.179,8794
0.0491,3688
-0.232,8885
0.191,1202
-0.139,9585
0.0551,3835
-0.0809,9354
0.233,753
0.509,1212
0.0867,2365
-0.0368,6155
0.083,2860
0.108,2089
0.44,373
-0.206,9870
-0.0028,5306
0.0416,3470
-0.0728,7271
-0.19,8476
-0.0343,6128
0.251,1428
0.097,2911
-0.0476,7062
0.486,365
0.079,2588
0.0572,3852
0.0161,4506
0.0842,2580
0.068,2689
-0.0728,7613
0.134,2490
-0.0269,5518
0.00235,4702
-0.00171,5328
0.00548,4966
-0.032,5515
-0.111,7333
-0.0881,7192
-0.0594,6670
0.129,828
-0.0539,8436
0.00963,3745
0.219,498
0.503,312
-0.0448,6440
-0.212,8964
0.0455,2930
-0.0252,5749
0.0889,2945
-0.0718,7321
-0.136,7945
-0.344,10140
-0.0388,6742
-0.0571,6915
-0.0927,7059
0.0534,3816
0.125,1897
-0.0925,9123
-0.129,9567
-0.0897,7434
-0.0223,5807
0.551,55
-0.0643,7527
0.0659,3280
0.0384,3689
0.0296,3481
0.471,1461
-0.216,8856
0.13,2477
-0.237,8173
0.0443,3210
-0.106,8042
-0.013,5164
0.173,2874
-0.155,8199
-0.0825,6749
0.0251,4167
-0.0542,5976
-0.52,10420
0.0123,4953
-0.127,7973
0.185,908
0.144,858
0.0561,1943
-0.182,9137
-0.0678,7047
-0.0687,6937
-0.127,9123
-0.0425,6788
0.159,1847
0.0631,3325
0.719,37
0.136,1912
0.0378,3860
0.164,793
0.212,434
0.159,1457
-0.0696,6915
0.0798,2047
-0.101,8088
-0.225,10048
0.216,1241
-0.00723,5583
-0.0655,5968
-0.0634,6949
-0.0554,6691
0.225,101
0.00887,4817
-0.00602,5561
-0.00856,5167
0.0545,3879
-0.0205,6026
0.0426,3628
0.055,2700
0.147,846
-0.0336,6475
0.0741,2581
0.0215,4289
-0.0106,6467
-0.0637,7225
0.066,2641
0.988,21
-0.135,6803
-0.0505,7152
-0.0407,6544
0.0998,2035
0.0557,3355
0.331,160
-0.273,9577
-0.0881,8365
0.0271,3323
0.0728,2426
-0.272,9407
-0.179,9668
-0.153,7138
-0.316,9945
-0.227,9168
0.0837,1739
-0.34,8651
0.332,836
-0.0762,6566
-0.243,7954
0.0411,2941
-0.0271,6630
-0.0493,6969
-0.0911,7627
-0.256,9437
-0.213,9780
-0.0417,6958
-0.11,8393
-0.333,9434
0.212,1295
-0.163,8518
-0.417,9706
-0.00215,5367
0.169,930
-0.0453,6540
-0.0127,5528
0.041,3895
0.101,2550
0.0942,1882
0.139,191
0.833,1270
-0.345,5712
0.38,1997
-0.121,8427
-0.213,9243
0.2,498
0.147,1897
0.415,184
0.0806,2721
-0.0168,5882
0.117,2459
0.0343,4102
0.0906,2503
-0.162,6230
-0.193,6534
-0.0264,6060
-0.143,8205
-0.0783,7868
-0.068,6978
0.0548,3580
-0.0915,7882
-0.0133,5427
0.00193,4822
0.19,814
0.0613,2943
-0.019,5630
0.219,534
-0.101,8864
-0.0638,7352
-0.126,9105
0.0335,3850
-0.0852,6933
-0.0906,8613
-0.102,8843
-0.122,8061
-0.00533,5191
-0.0611,6799
-0.117,8504
0.0157,4668
0.257,332
0.063,2104
