coef,rank
-0.318,7297
-0.0261,5366
0.104,2736
-0.0892,6126
-0.51,9647
-0.198,9524
-0.011,5515
-0.25,9840
-0.136,7966
0.0527,3725
-0.104,8670
-0.13,9823
0.19,439
0.0913,3038
0.0699,3861
-0.392,8134
0.023,3762
0.0551,1847
-0.158,9500
0.0748,2750
-0.129,7902
-0.345,9023
0.131,1687
0.184,858
-0.277,8807
-0.044,6003
0.00667,4862
-0.36,6951
-0.0353,5709
0.00857,4835
0.0179,4627
0.0941,3757
-0.227,9605
0.056,3994
-0.075,7728
0.0478,2724
-0.022,6030
-0.0859,6614
-0.064,6849
-0.195,9489
-0.161,9991
-0.0437,8142
-0.142,8224
-0.0232,6129
0.204,1067
0.087,3020
0.0896,840
-0.0474,8165
-0.16,8230
0.143,1182
-0.0602,6525
0.0293,4220
0.209,865
0.108,819
-0.0236,6011
0.159,1953
-0.257,7537
-0.351,10284
0.0555,2370
-0.095,8788
0.18,1657
-0.0594,6620
-0.247,10456
-0.0942,9695
-0.21,10326
0.0183,4314
0.0473,3279
-0.145,9714
0.0978,2513
-0.383,8070
-0.0951,9044
0.0318,3715
-0.00129,4997
-0.164,8718
0.0532,4142
-0.0343,6441
-0.0171,5816
-0.0711,7590
-0.0657,7992
-0.168,9805
0.164,3458
-0.213,8775
-0.11,9737
-0.0962,8753
-0.0501,6694
0.0267,4464
-0.0875,8101
0.322,1282
0.0985,988
-0.0721,8977
-0.00138,5161
-0.0745,7088
0.0708,3680
-0.124,7903
0.0164,4795
-0.0386,6750
-0.129,7306
-0.00849,5487
0.061,3065
0.175,1133
-0.0749,8299
0.152,1049
-0.0739,7922
-0.259,9684
-0.158,7668
0.22,1367
0.2,1755
-0.221,9702
-0.0845,7107
-0.0468,6259
-0.405,9647
0.145,1759
-0.155,10237
0.0621,1892
-0.0206,5795
0.0119,4680
0.097,1530
0.0372,3903
0.0685,3236
-0.0708,8360
0.0386,3499
0.0172,4297
0.157,2438
-0.233,8091
-0.0261,6246
-0.109,7126
-0.191,8281
0.0657,3097
0.0741,3123
0.0497,3616
0.0181,4206
-0.168,9733
-0.245,9541
-0.103,8694
-0.0993,4192
-0.0887,6349
-0.0247,6113
-0.175,9957
-0.0254,4975
0.0774,1814
0.0562,3730
-0.161,8733
-0.201,9845
-0.118,9232
0.131,2186
-0.0162,5462
-0.101,9027
0.162,1965
-0.254,10275
-0.0559,7598
-0.535,9166
-0.0849,7629
0.146,2542
0.0786,2767
-0.0596,6656
-0.0511,6868
0.28,1136
0.00835,4741
-0.126,8083
0.264,399
-0.264,10098
0.115,484
-0.0683,7067
-0.08,7286
0.0339,3772
0.103,1372
0.261,421
-0.0457,7187
0.232,632
-0.333,9752
0.0981,2031
-0.12,9580
-0.128,10347
-0.2,10027
0.074,2083
-0.288,10178
0.387,974
-0.0728,9177
-0.122,9335
0.0676,3383
-0.0398,6934
-0.0607,7876
0.0565,2357
0.0302,2711
-0.156,9765
0.0193,4225
0.0116,4768
0.000929,5155
0.527,678
0.105,1669
-0.0903,7632
0.0186,3788
-0.123,9012
0.0611,3502
0.0293,4359
-0.0577,7591
0.0531,3574
0.0191,4648
-0.097,9580
-0.139,7811
-0.0525,6363
0.387,518
0.0653,2193
-0.0291,5693
-0.184,9116
-0.00998,5269
-0.00641,5029
-0.222,9540
0.227,150
0.0493,2996
0.0165,4605
0.16,1865
-0.137,8211
-0.161,8835
0.0156,3897
-0.0336,6568
0.163,1377
0.0189,4419
0.353,828
-0.116,3906
-0.094,7802
-0.0876,8867
0.0503,2371
-0.144,8363
-0.202,8174
-0.128,8026
-0.15,9529
0.0302,3467
-0.00425,5423
0.253,1022
-0.225,10076
-0.187,8495
0.147,2461
-0.0429,7769
-0.0932,7403
0.33,281
-0.375,8919
-0.103,7719
-0.0153,5198
0.02,4648
0.366,1023
-0.0206,5986
0.000436,5241
0.0439,3513
-0.04,6422
-0.179,9384
0.0123,4885
-0.0774,7861
-0.192,9220
0.0926,1940
-0.08,9198
-0.0312,5524
-0.196,7961
-0.0818,6367
-0.233,8030
0.116,1786
-0.15,9767
-0.0115,5466
-0.0868,7653
0.156,1583
0.275,551
-0.063,7479
0.011,4879
0.367,454
0.0233,4192
-0.145,8649
-0.0778,5523
-0.0168,5486
-0.0749,9528
-0.227,10031
-0.055,6859
-0.185,8849
0.178,849
-0.123,8760
-0.275,10054
0.00647,4915
-0.187,9661
-0.094,7234
0.111,1879
0.281,166
0.369,291
-0.183,9294
-0.147,8229
-0.164,8802
0.301,252
0.0651,2102
-0.175,9251
-0.0271,5620
0.0693,3336
-0.139,7765
-0.0503,5829
-0.0368,7158
-0.105,9195
-0.379,10025
-0.0177,5876
0.106,2896
0.366,786
0.197,614
-0.171,9878
0.0163,4509
0.0785,2766
0.332,320
-0.0391,5321
-0.0792,8641
0.00463,5114
0.0671,2710
0.536,440
-0.188,8757
0.16,571
-0.0788,9055
-0.121,8947
-0.065,6912
-0.0331,5366
-0.0137,5222
0.042,3969
0.211,2182
-0.0147,5517
0.0981,3067
-0.0926,8047
-0.228,9387
-0.173,7502
0.0101,4646
0.202,412
0.0125,4753
0.0679,3257
0.0156,4079
-0.173,6330
-0.0204,6366
-0.00511,5296
-0.00338,5108
0.0916,2842
0.0359,4105
-0.269,4787
-0.00696,5528
0.0124,4629
-0.0125,5544
0.0329,3668
0.183,520
-0.181,8044
0.0422,2998
-0.366,6251
