coef,rank
-0.841,10291
0.299,864
0.0991,2802
-0.0882,6113
1.31,78
0.17,1262
-0.106,9043
0.0138,4550
0.147,1982
-0.136,8155
0.186,606
0.0347,3398
0.0984,1916
-0.0437,6264
0.121,3134
-0.368,7838
0.0801,1186
-0.0227,6654
-0.0332,6170
0.00779,4775
0.271,845
0.000673,4744
0.075,2881
0.0187,4492
0.00633,4802
0.146,2280
-0.106,8895
-0.0399,4059
0.152,2221
-0.0724,7699
-0.126,8586
0.0267,4603
0.133,2195
-0.113,6611
0.109,1591
-0.0394,7091
-0.104,8629
-0.0479,5870
-0.179,9384
-0.261,10136
-0.213,10370
-0.0729,9377
-0.0426,6050
0.228,277
-0.029,5669
-0.208,9186
0.0143,4008
-0.0136,6022
-0.264,9735
0.313,70
-0.221,9793
-0.0513,6067
0.0486,3796
0.00496,4819
-0.218,9997
-0.0701,6637
-0.32,8328
-0.169,8612
-0.0384,7254
-0.113,9249
-0.208,9160
0.172,1145
0.0779,2113
0.0394,2892
-0.0341,6501
-0.0971,9102
-0.0912,8814
-0.0601,7406
-0.181,9504
1.32,95
-0.0812,8582
0.0164,4283
0.0785,2921
0.126,2255
0.127,2704
0.127,1720
-0.243,10422
-0.013,5445
0.147,679
-0.0504,7011
0.545,1190
-0.0608,5963
-0.0771,8853
0.0281,3800
-0.0696,7327
0.0774,3542
0.173,857
-0.143,7092
0.0462,2619
-0.101,9809
0.0237,4542
0.08,3116
0.0476,4119
0.0268,4511
0.0564,3806
-0.0533,7368
0.244,1243
0.135,767
0.281,149
0.0235,4294
0.003,4940
-0.0663,7478
-0.0697,7775
-0.165,8361
-0.22,8576
-0.0273,5700
0.122,2756
0.268,605
-0.125,8064
-0.0611,6642
-0.469,10033
0.0737,2958
-0.0466,7387
0.207,26
-0.00468,5326
-0.000626,5098
0.186,299
0.0299,4052
-0.0111,5410
0.139,408
0.119,877
0.163,332
-0.188,8078
0.12,3333
-0.00891,5489
-0.00163,5016
-0.407,10245
-0.0198,5444
-0.165,8984
-0.173,9422
0.123,954
-0.142,9350
-0.177,8591
-0.131,9319
0.334,2452
-0.189,7976
-0.113,9148
-0.0538,7060
0.0551,3819
-0.0656,8291
-0.00945,5259
0.0643,3283
0.101,2227
0.0994,1797
-0.00976,5193
-0.312,10240
-0.0647,7867
0.0151,4631
0.0365,3854
-0.0779,8441
-0.126,5173
0.0347,4256
-0.00159,4697
0.0102,4624
-0.227,9979
-0.0535,6941
-0.222,8944
0.0565,3305
0.133,1962
0.047,3647
-0.103,7689
0.146,191
-0.154,9073
0.172,1673
-0.0229,6170
0.101,1429
-0.0298,6108
0.061,2754
-0.0498,6263
-0.0258,5049
-0.0235,6252
0.0321,3795
-0.0643,9147
0.0568,3225
0.0624,2459
-0.107,7530
0.021,4625
-0.146,10390
0.0299,3733
-0.178,9013
0.0377,3590
0.166,472
-0.0208,6348
-0.0305,7833
-0.119,9076
-0.114,9143
-0.0868,7441
-0.0255,6264
-0.22,7629
0.022,4348
-0.0472,6252
-0.0364,7742
0.0428,3528
0.319,375
-0.0261,5297
-0.058,7601
-0.141,8942
-0.0937,6863
0.0124,4493
0.0331,4106
0.13,1683
0.0604,3804
0.00255,4854
-0.0756,6885
0.104,2690
0.144,2324
-0.232,10148
-0.0386,5873
0.132,972
-0.0509,7446
-0.0322,6576
0.367,259
0.0962,2559
0.23,688
-0.0529,8293
0.216,149
-0.0128,5714
-0.199,9704
-0.256,9003
-0.497,7191
0.0264,4388
-0.159,10205
0.0268,3615
-0.0337,5914
-0.203,8183
-0.0142,5251
-0.115,8817
0.0793,1557
-0.0221,6457
0.288,774
-0.00718,5232
0.0285,4292
0.204,1683
-0.0452,7888
-0.0645,6706
0.00402,4868
-0.339,8558
0.0115,4655
-0.209,8936
-0.282,8430
0.00753,4874
0.00269,4995
0.173,776
-0.0424,6569
-0.0528,6909
-0.0954,7584
0.228,1265
-0.0659,7489
0.165,1762
-0.186,10202
-0.0547,8188
0.072,3695
-0.202,8034
0.217,1582
-0.135,6686
-0.142,9289
-0.0352,6337
0.0308,3881
-0.204,9885
0.0337,4262
-0.161,8767
-0.0553,7205
0.0802,2945
-0.256,9425
-0.0196,5742
0.161,1381
0.28,1959
-0.00538,5231
