coef,rank
-0.0769,5035
-0.181,8290
-0.00208,4888
-0.113,6486
0.463,1453
0.162,1347
0.0567,2754
0.0895,2888
0.352,305
0.0341,4161
-0.0219,5975
-0.00849,5528
0.0381,3736
-0.378,10423
-0.501,10364
0.376,2345
0.0554,2050
-0.0134,5996
-0.209,10090
0.2,637
0.223,1241
-0.0384,5212
0.175,1055
-0.00366,5158
-0.0753,6035
0.229,1319
0.0454,3390
1.16,480
-0.148,8035
0.019,4453
0.119,2154
-0.0701,5904
0.0262,4343
-0.174,7548
0.175,595
0.0568,2337
0.0052,5019
-0.142,7673
-0.145,8781
-0.111,7910
0.221,164
0.00962,4672
-0.176,8831
0.00443,5067
0.111,2472
0.234,997
-0.0557,8196
-0.0866,9647
0.024,4309
-0.021,5747
0.312,223
-0.212,9155
0.232,643
-0.0711,8589
-0.161,9275
-0.267,9942
-0.304,8130
-0.206,9163
-0.00975,5749
0.029,3787
-0.0748,6587
-0.177,9369
-0.0471,7273
-0.0707,8947
0.092,1740
-0.072,8305
-0.00139,5337
0.0888,2023
0.0207,4475
-0.134,5422
-0.0674,8087
-0.0249,5899
0.0061,4795
-0.217,9498
0.17,2073
0.00482,5042
-0.114,9099
-0.041,6490
-0.0214,6115
-0.0713,7747
0.244,2874
0.0149,4427
-0.0602,8222
-0.00113,5058
-0.103,8286
-0.261,9481
-0.0263,6093
0.402,870
-0.0436,7360
0.0214,3902
0.00388,5024
-0.0415,6210
-0.39,10318
-0.132,8046
-0.00955,5465
-0.0651,7826
0.0504,3762
0.103,1335
0.0119,4689
-0.271,10267
-0.138,9858
-0.137,9271
0.00354,4944
0.112,2674
-0.337,9783
-0.251,9656
-0.0855,6583
-0.101,7586
-0.0789,6969
-0.0318,5838
0.403,1124
0.308,393
0.00229,4902
-0.06,8359
-0.136,8726
0.0592,3183
0.0182,4140
0.363,194
0.18,1195
-0.0299,6498
-0.0776,8772
-0.0536,7673
0.0299,4342
-0.216,7883
0.084,1816
0.0903,3425
0.341,716
0.0875,2577
0.105,2514
-0.0357,6037
0.158,469
-0.0102,5753
-0.184,8723
0.00854,4918
0.602,1972
0.462,542
0.115,1315
-0.116,8912
0.192,2184
