coef,rank
1.93,120
0.126,2631
-0.0716,6475
0.785,103
-0.0526,5204
0.0967,2492
0.0369,3485
0.0434,3839
0.182,1539
-0.032,5778
-0.187,10070
-0.00355,5263
0.117,1462
0.121,2458
-0.0942,6380
1.7,83
-0.133,10305
0.00787,4484
0.165,945
-0.0355,6252
0.0526,3905
-0.176,6978
0.136,1607
-0.125,8557
-0.521,10317
-0.329,10146
-0.0852,8287
-0.185,5002
0.147,2281
-0.124,9089
0.17,1290
0.353,1477
0.144,1982
-0.109,6552
-0.115,8865
-0.0211,6136
-0.109,8760
-0.367,10209
0.0289,4207
0.0535,3397
-0.136,9626
0.138,170
-0.0249,5637
0.0553,3264
-0.0521,6274
0.187,1492
0.029,3168
0.0484,2210
-0.19,8730
0.0662,2881
-0.0115,5079
0.135,2231
0.252,501
0.142,375
-0.275,10296
-0.199,9204
-0.383,9004
-0.11,7511
0.0865,1313
-0.00965,5494
0.173,1762
0.0433,3672
-0.0213,6150
-0.09,9591
0.0663,2504
0.00197,5099
0.103,1561
-0.0569,7272
0.122,2043
-0.307,7246
0.0479,2996
0.139,961
0.0111,4650
-0.0626,6495
-0.162,8507
0.0862,2601
-0.0831,8210
-0.0173,5622
-0.0407,6963
0.0226,4448
0.38,1970
-0.201,8628
0.073,1894
0.0823,1951
-0.0544,6833
-0.203,8755
-0.204,10137
-0.0494,5521
-0.0245,6316
-0.048,7946
0.0375,4225
-0.223,9772
-0.186,8594
0.0369,4268
0.238,892
-0.0636,7765
-0.0631,5976
-0.108,9272
0.0606,3080
-0.116,8292
-0.102,9116
-0.108,8651
0.141,1079
0.0795,3320
0.142,2811
0.666,18
0.0571,3828
-0.0151,5426
0.144,1743
0.318,305
0.15,3096
-0.403,10435
0.0883,1442
-0.08,9137
-0.198,9709
0.00981,4749
0.0586,2605
0.0794,2969
-0.107,8074
0.0221,3812
-0.11,9626
0.104,1165
0.0598,3867
0.188,2642
-0.0739,8306
-0.219,8960
0.0937,3170
-0.0731,6961
0.101,2576
0.00902,4702
-0.0167,5774
0.201,682
0.0804,3322
0.0295,4150
-0.113,4265
-0.0413,5570
0.144,795
0.061,3010
-0.00509,4640
-0.0413,7221
-0.242,9649
-0.0608,6489
-0.14,8833
0.000692,5190
0.0649,3480
0.477,90
-0.0701,8046
0.232,1171
-0.136,8941
0.139,699
0.116,3457
-0.0783,7463
0.283,1243
-0.00478,5087
0.0132,4471
-0.261,10333
0.601,93
0.0361,3873
0.162,1519
0.0241,4265
-0.264,10095
0.0593,1892
-0.0251,5842
-0.0831,7360
-0.0292,6424
0.0319,3820
-0.0637,7077
-0.139,9928
-0.0195,5418
-0.0692,5841
-0.105,8874
0.00294,5053
-0.0488,8475
0.0676,2912
-0.0022,5086
-0.118,7783
-0.0908,6287
-0.0127,6012
0.102,1578
-0.213,9494
-0.0135,5813
0.0264,3991
0.151,260
0.0189,3600
0.0701,2810
0.234,134
0.14,1887
0.0109,4752
-0.271,8273
0.138,1021
0.242,326
0.00526,4800
-0.0086,5353
-0.00961,5187
-0.369,10052
-0.0142,5772
-0.034,6119
0.313,955
-0.00257,5319
-0.0571,6078
-0.14,8686
0.157,2314
0.0711,2000
0.723,5
0.0222,4488
-0.131,7831
0.115,1806
-0.181,8984
-0.0808,8251
0.0117,4624
0.0531,3178
0.103,2811
0.15,1729
-0.031,5675
0.0204,3614
-0.0385,6775
0.00821,5029
-0.217,9913
-0.109,6789
-0.418,6451
-0.146,8976
0.0573,2495
0.0487,2443
-0.195,9193
0.0302,4411
-0.18,9051
-0.0815,7905
-0.122,9792
-0.0647,8505
-0.161,8079
-0.0277,5876
0.126,2634
-0.0196,5552
0.0713,1354
-0.0355,5980
-0.00771,5198
1.23,32
0.0855,2808
-0.0695,6393
-0.361,9219
-0.0446,5707
-0.143,9740
-0.219,10300
-0.19,9969
0.0697,2604
-0.031,5640
0.122,2653
-0.132,9274
0.0132,4671
0.0739,2445
0.0749,1479
-0.0799,6422
0.0365,4283
0.568,88
0.241,2241
-0.169,9729
0.0625,2539
-0.14,9472
-0.0346,6156
0.0381,4164
-0.06,6426
-0.018,5650
-0.1,8105
0.0684,3412
-0.199,10072
0.0546,3389
-0.25,7744
0.0946,3087
-0.0498,8512
-0.0331,6045
-0.0568,6913
-0.245,9645
0.149,1283
-0.0362,6095
0.0671,3551
-0.132,8976
0.0655,3099
0.0954,3099
-0.0283,6065
-0.0289,5940
0.0226,4355
0.16,1658
0.0845,3238
0.475,55
0.126,1951
-0.00962,5649
-0.249,10052
-0.0521,6248
0.000668,4935
0.0121,4541
-0.0201,5251
0.0803,1650
-0.116,9438
0.176,2499
-0.00377,5375
0.224,1224
-0.0384,5852
0.0782,2652
-0.0995,8483
0.0676,3206
-0.21,9889
-0.122,8131
-0.305,8757
0.000128,4891
-0.193,9032
0.119,1363
-0.0648,5630
0.129,2514
0.127,1018
0.0529,2466
-0.0471,6750
0.0391,4039
0.816,27
0.298,970
-0.0654,6785
-0.0251,5659
-0.269,9994
-0.2,8466
0.0106,4670
-0.373,10344
0.674,256
-0.112,9658
0.0259,4274
-0.162,9964
-0.0544,6537
-0.0611,8106
-0.298,7748
0.0363,3675
-0.0659,7921
0.135,2380
-0.197,9316
-0.126,7736
-0.389,5958
-0.172,10149
0.016,4440
-0.209,10156
0.0724,2240
-0.0903,8495
-0.298,9518
0.133,563
-0.126,3789
-0.103,7142
-0.0243,6584
0.0836,1209
0.000702,5089
0.1,1220
0.042,3791
0.0583,3713
-0.171,6150
0.186,2616
0.0412,3475
2.51,39
0.135,2175
-0.187,8493
-0.099,8143
-0.178,8921
0.044,2935
-0.155,10400
-0.114,4996
0.00165,4957
0.0822,3235
-0.269,7805
-0.0693,7045
-0.164,10338
0.151,2825
-0.0179,5365
0.0902,2341
0.0366,3673
-0.291,10076
0.0449,3222
0.0458,3688
-0.166,8555
0.0729,3105
-0.247,9081
-0.0285,5583
-0.0494,7097
-0.168,8514
0.0886,1081
-0.00966,5377
0.187,3028
-0.0281,6294
0.0316,3612
0.00707,4907
-0.0301,6035
-0.313,9832
-0.127,8633
-0.0665,7371
-0.0825,7971
-0.135,8863
-0.186,8416
0.0544,3376
0.13,2774
0.145,2029
0.186,523
