coef,rank
0.32,2619
0.186,1854
0.244,1033
0.0395,4327
-0.279,7694
0.526,9
0.0645,2515
-0.0907,7134
0.131,2211
-0.207,9355
-0.0367,6515
-0.0317,6592
-0.128,9304
0.0832,3199
0.0796,3723
0.692,1126
-0.00194,5363
-0.0792,9479
0.0367,3835
-0.15,9298
0.273,828
0.576,620
0.161,1232
-0.0398,6273
-0.264,8657
0.269,968
0.00638,4871
-0.0672,4181
0.0634,3672
-0.106,8695
-0.184,9576
-0.37,9503
0.155,1833
-0.203,7948
-0.0168,5553
-0.0152,5818
-0.0586,7320
0.125,2738
-0.0785,7255
-0.19,9415
0.0915,1598
0.0434,2516
-0.133,8067
-0.113,8995
-0.0424,5995
0.0417,3907
0.054,2011
-0.0637,8897
0.0375,4006
0.0611,3034
0.0845,2621
-0.0632,6342
0.131,1996
0.0134,4393
-0.199,9805
0.615,30
-0.281,7851
0.379,289
0.115,683
-0.023,6062
-0.0786,6670
0.0216,4263
0.314,10
-0.0256,6722
-0.0644,7653
0.24,57
-0.0859,8662
0.0954,1875
-0.0208,5646
-0.246,6561
0.00289,5015
0.149,849
-0.0189,5523
0.0464,3802
-0.111,7551
-0.179,9887
-0.0505,7089
-0.127,9140
0.0304,3774
0.0777,2723
-0.299,8046
-0.137,7549
-0.0799,8938
0.112,1278
-0.208,10018
-0.129,7575
-0.0306,6250
-0.142,7068
-0.0758,8739
-0.0557,8291
0.146,2083
-0.0287,5858
-0.115,7360
0.144,2297
0.0689,3490
-0.0222,6044
0.137,2429
0.033,3631
0.00923,4772
-0.286,10336
-0.112,9386
-0.153,9544
0.00373,4939
-0.106,7202
0.217,2033
0.309,661
-0.0858,6585
0.287,489
-0.174,9021
-0.157,8798
0.131,3292
-0.0223,5159
-0.0346,6793
0.0749,1450
-0.0478,6541
-0.0791,7712
-0.122,9480
0.0479,3670
0.256,527
-0.131,9985
-0.0829,8912
0.116,919
-0.141,7311
-0.038,5372
-0.0372,6772
0.0363,4324
-0.293,9537
0.0716,2934
0.0999,2597
-0.109,8099
-0.048,7191
-0.0638,7472
0.103,2893
-0.0824,8094
-0.381,6171
-0.0794,6181
-0.0489,7070
0.0982,1957
-0.0385,5187
0.0655,2233
-0.109,7487
-0.124,7979
-0.0891,7615
-0.0926,8609
0.181,1474
0.123,2472
-0.181,10275
-0.212,9123
0.273,266
-0.0727,8231
0.423,1933
0.06,3609
-0.0884,6159
-0.0455,6416
-0.0107,5164
0.139,1356
-0.00978,5205
-0.164,9475
-0.314,10275
-0.0195,5566
-0.0564,6543
0.00268,4912
0.0136,4690
-0.133,8470
-0.083,8471
-0.0508,7600
0.0771,3096
0.0112,4727
0.0285,4114
-0.093,6282
-0.185,10110
-0.0393,6959
0.103,371
-0.0541,6956
0.115,1133
0.0365,3842
-0.306,9171
-0.0977,9853
0.153,696
0.175,1472
0.0919,1810
0.186,349
0.0231,3948
0.077,617
0.0621,3063
0.179,411
-0.112,8015
0.153,783
-0.383,9458
0.0644,2825
0.147,1194
0.074,1010
0.0498,3326
0.136,2086
0.253,1432
-0.00587,5410
-0.141,8935
-0.00561,5132
-0.0624,8465
-0.0218,5301
0.28,265
-0.185,8320
0.0115,4442
-0.234,9760
-0.0524,6364
-0.237,9404
0.155,1152
0.00538,4768
-0.0677,7780
-0.0877,8686
-0.00986,5687
-0.261,9971
-0.171,8843
-0.219,9690
0.108,403
-0.00789,5430
0.184,1090
0.0644,3164
-0.285,9293
3.21,94
-0.137,8805
-0.104,9376
-0.0167,6299
-0.168,8765
-0.252,8882
0.213,1035
-0.104,8532
-0.000871,5035
-0.0763,8929
0.12,2591
0.0801,2735
-0.112,7069
0.133,2694
0.0304,3164
-0.00442,5106
-0.214,9634
0.692,426
0.161,1411
0.254,1036
0.178,2825
-0.173,7773
-0.00367,5276
0.028,4225
-0.0245,5886
-0.214,10222
0.0915,2370
0.198,1567
0.159,829
0.174,1638
0.239,143
-0.0753,9029
0.0455,4127
0.0549,3992
0.131,2637
0.0332,4421
-0.132,9073
-0.13,9408
-0.00739,5293
0.146,1543
0.144,1762
-0.0758,6877
0.000383,4881
0.204,856
-0.0523,5865
-0.0834,7889
-0.0898,7297
-0.279,8113
0.248,1037
-0.0872,9865
0.17,1235
-0.0522,6770
0.0794,3122
0.0542,3456
0.0152,4426
-0.133,8102
-0.0831,7758
-0.274,10322
-0.035,5913
0.333,54
-0.0471,6530
0.00846,4681
0.0977,2743
-0.14,8074
0.0839,2937
-0.117,8166
-0.0793,8885
-0.129,8404
0.0552,3629
0.242,865
0.21,1347
-0.0138,5146
0.0181,4262
-0.0743,8317
0.582,213
0.0305,4060
-0.0591,6562
0.0673,3942
-0.164,9567
-0.0853,8031
0.00527,4817
-0.018,5527
0.264,628
-0.325,8972
0.0415,2924
-0.165,8621
0.0179,4478
0.267,1749
0.309,688
-0.0149,5672
-0.0811,9121
0.0269,4070
0.079,3014
-0.204,8332
0.00933,4787
-0.0176,5526
-0.344,9878
-0.152,8552
-0.278,9458
0.188,698
0.286,759
0.243,2074
0.0741,1992
-0.104,8716
-0.114,9138
-0.125,8359
-0.0488,7563
-0.291,7670
-0.0593,8071
0.037,3459
0.168,1894
-0.262,10029
0.119,2508
-0.156,3856
-0.0192,6068
0.194,194
-0.145,9346
-0.126,9580
0.103,1746
-0.309,9634
-0.0939,9235
-0.254,4912
-0.24,9334
-0.0489,7953
-0.0826,9196
0.417,185
0.0824,1683
0.0526,3506
0.3,2804
-0.323,7917
0.0335,3176
-0.577,8167
-0.24,5748
0.0678,3358
0.19,1887
-0.00825,5417
0.176,1371
0.0381,3249
-0.047,7853
0.0389,4031
-0.0444,5845
-0.281,9827
-0.0982,5632
-0.0532,6547
-0.12,9881
0.111,3255
0.142,2142
-0.0389,6561
-0.0395,6368
-0.23,9549
-0.0425,7086
0.0181,4459
0.0699,3709
-0.0508,6426
0.633,81
-0.298,10214
0.0642,2811
0.272,853
0.0451,2701
-0.107,7945
0.649,798
-0.0505,7099
-0.124,9044
-0.101,7970
-0.0713,7289
0.456,330
-0.0955,7882
0.29,178
-0.12,9021
-0.0585,6843
-0.183,8369
0.00221,4972
-0.107,6848
-0.00377,5254
-0.0452,6971
0.095,3457
-0.00962,5484
0.0109,4928
-0.0531,6566
0.409,17
-0.0295,6321
0.0785,2719
0.279,962
-0.25,9696
-0.344,8223
0.0295,2076
0.0795,2254
-0.138,7828
-0.249,9482
0.181,1642
-0.189,9232
-0.0778,8312
0.041,2318
0.0111,3501
0.0209,4458
-0.201,8324
0.0855,2595
-0.251,9466
-0.0315,7026
0.0529,3555
0.101,2698
0.0425,4161
-0.169,8528
0.0238,4317
0.0772,2058
-0.103,8129
0.206,1395
-0.165,8827
-0.152,8984
-0.0388,7080
-0.118,9362
-0.18,9133
0.182,886
-0.196,9158
0.186,660
-0.318,10211
0.251,167
0.0286,3532
-0.366,7979
-0.059,5999
-0.0348,5857
-0.302,8929
-0.0769,8371
0.0322,4043
-0.231,9478
0.912,91
0.417,236
-0.055,6174
0.185,393
0.49,270
-0.086,6325
-0.0532,6876
0.315,361
-0.00982,5429
-0.0844,8342
0.0871,935
-0.166,8876
-0.0792,7377
-0.202,9607
-0.0207,6195
0.09,1815
-0.0895,7118
-0.15,8550
-0.0873,6827
-0.0286,5850
-0.0933,7613
0.196,476
-0.172,9883
-0.254,10057
-0.0724,6993
0.0374,3467
0.133,1431
-0.00242,5154
-0.143,8242
-0.181,10100
-0.224,8609
0.0158,4372
0.178,974
-0.212,10402
-0.0406,5663
0.0727,2703
0.271,669
0.0654,3676
-0.143,9250
-0.0416,6883
-0.109,9474
-0.0294,6389
-0.0348,6520
-0.0346,6054
-0.0635,6900
-0.00397,5729
0.19,623
-0.00771,5397
-0.348,9778
0.0812,3561
0.0266,4083
0.0421,3831
0.0755,2694
-0.212,9852
-0.102,8072
-0.207,8801
-0.0616,7475
0.0429,2535
0.146,795
-0.0423,5725
-0.0811,7619
-0.00987,4996
0.143,2665
-0.074,6529
-0.0343,6771
0.392,1433
-0.127,7187
0.306,1065
0.0548,4000
0.0567,2318
-0.0996,9155
-0.0305,6208
-0.12,8397
-0.228,9106
0.0349,4331
-0.0629,7834
0.158,1122
-0.193,7875
-0.223,9464
-0.186,8850
0.0321,4488
0.0154,4484
0.0571,3170
0.269,522
0.0387,3697
-0.0448,6659
0.104,2504
-0.109,9235
0.0609,1838
0.976,986
-0.147,3769
-0.176,6370
-0.0053,5288
-0.12,7620
-0.117,9070
-0.173,8840
0.193,1427
-0.0441,6325
0.0352,4112
0.15,1885
0.0286,4266
-0.0753,7773
-0.106,5643
0.49,1214
-0.0811,8202
0.0835,3121
-0.0661,7480
-0.143,8572
-0.237,9794
-0.259,10280
0.0319,4171
-0.167,9087
0.00844,4722
-0.127,9315
0.0892,2878
-0.251,10263
0.0825,2009
0.106,1671
-0.102,8534
-0.143,9145
0.0543,3642
0.0818,1877
-0.139,9587
0.0356,4188
-0.0314,5988
-0.124,8519
-0.0525,6789
0.0558,3650
0.0433,3713
-0.0614,7987
0.297,1468
0.355,29
-0.13,7636
0.144,3195
-0.0159,5742
-0.0963,7800
-0.0426,5869
-0.0281,6210
-0.0272,6420
0.15,2441
0.202,222
0.103,1749
-0.203,9907
0.0417,3725
-0.26,9582
0.12,3339
-0.0516,8270
-0.15,9122
-0.24,9705
-0.023,5708
-0.0942,7946
0.0194,4163
-0.0655,7150
0.00829,4806
-0.108,7761
0.231,1476
0.121,1943
0.171,1858
0.0105,4512
0.0557,2634
0.118,3033
0.0681,2260
0.223,1849
-0.0317,5362
-0.129,8982
0.0989,1820
0.374,193
-0.189,10038
-0.246,9669
-0.0047,4907
-0.0206,5777
-0.136,9783
-0.0358,6898
-0.203,9793
-0.124,8945
0.0243,4321
-0.106,9012
0.0305,4318
0.104,1292
0.798,1235
-0.103,6019
-0.103,8748
0.000991,4925
-0.152,10306
-0.161,10044
-0.0904,6506
0.172,1338
0.0132,4676
-0.0551,8729
-0.139,9699
0.0259,4428
0.103,2948
0.43,113
-0.071,7533
-0.0832,7073
-0.671,9168
0.106,2088
0.0608,3719
-0.289,10182
-0.0532,7546
0.00314,4607
-1.27,9823
0.0678,2807
0.123,3152
0.0156,4651
0.112,766
0.0265,4398
-0.283,6643
1.3,547
0.0284,4666
-0.221,8760
0.0266,4379
-0.014,5380
0.0132,4990
0.058,1848
-0.12,8235
0.182,2032
-0.45,9469
0.00445,4763
-0.0623,7072
0.00814,4684
0.0946,3056
-0.262,10413
-0.173,7879
-0.0577,7495
-0.119,8511
-0.0397,6621
-0.126,7920
-0.2,8353
0.202,1292
-0.0658,6699
0.0393,3421
-0.124,9140
0.249,960
-0.11,9483
0.165,1729
0.609,73
-0.122,9251
-0.0345,5833
0.184,1606
-0.179,6145
-0.0883,7807
0.104,2991
-0.147,9068
-0.0562,7021
-0.138,8114
-0.00875,5196
0.147,1746
0.013,4429
0.0187,4324
-0.0463,6454
0.282,207
-0.267,7793
0.00785,4841
0.159,1177
-0.039,6350
-0.0346,6023
0.208,157
0.083,2861
-0.169,7566
-0.307,6554
-0.0203,6050
-0.0423,7241
0.0221,4054
-0.0711,6553
-0.0338,6977
0.0704,3525
-0.178,9757
-0.0767,8179
0.338,913
0.183,1541
-0.0482,6385
-0.0402,6420
-0.0136,5432
0.0522,3167
0.00715,4734
0.164,2176
-0.224,6922
-0.00794,5145
-0.0109,5628
0.357,192
0.133,2237
-0.00275,5135
-0.039,6496
0.055,4009
-0.076,7409
0.0604,3284
0.124,1856
0.00373,4874
-0.0404,5501
-0.0223,5087
0.0392,3649
0.00293,5154
0.144,1085
0.189,1123
-0.109,7714
0.531,71
0.157,617
0.162,1159
0.17,1475
-0.384,9712
-7.08e-05,4707
-0.00629,5355
-0.0273,6103
0.14,1055
0.13,1744
-0.0614,6272
-0.127,9910
-0.171,9479
-0.212,8954
-0.0294,6616
0.116,2044
0.104,2358
0.0622,3482
-0.123,7256
-0.000789,5253
-0.0884,7428
0.264,555
0.119,3154
-0.0737,6713
-0.162,8637
0.0291,3674
-0.227,8710
-0.228,7812
-0.152,8617
-0.0946,6597
-0.138,8111
-0.164,9797
0.205,621
0.163,2253
0.1,1302
0.466,550
-0.0469,5769
0.0412,4005
-0.1,9175
0.187,1027
-0.107,7564
0.034,4010
0.0168,4626
0.0246,4123
-0.0228,5508
-0.0223,7824
0.013,3090
-0.0178,8005
-0.0337,10123
0.00505,4133
-0.00514,3073
-0.114,7460
0.289,2838
0.00452,4968
-0.0297,5849
0.0623,3956
-0.098,6922
-0.0553,6052
-0.131,9518
-0.0305,5668
0.321,124
-0.286,9483
0.00099,5275
-0.0481,6386
0.0172,4555
-0.183,6588
-0.101,5706
0.0236,4456
-0.273,7247
-0.23,9899
0.0957,2772
0.225,2898
-0.182,8791
0.144,2237
0.284,1948
0.0455,3686
0.012,4631
0.489,576
0.0389,4078
-0.0337,6695
-0.0884,8740
-0.364,9785
0.543,44
0.0948,2312
-0.199,8315
0.0147,4744
0.02,4289
0.00326,4939
-0.209,9694
0.271,283
0.0235,4411
-0.309,9817
-0.0854,6968
0.104,2260
-0.294,9970
-0.0657,7234
-0.0655,6722
0.0688,2466
-0.059,7638
0.0305,4256
0.0792,2453
-0.0838,8630
-0.293,9606
0.0919,3737
-0.0479,6733
0.0933,2234
-0.0594,6308
-0.0682,7215
0.0288,4462
-0.255,9055
0.025,4150
-0.149,9292
-0.29,9090
0.0408,3453
0.0849,3029
-0.057,7191
0.155,748
0.0265,4178
0.136,877
0.125,1642
0.276,482
-0.0876,6666
0.0686,2239
0.0114,4755
0.189,2578
-0.28,9529
0.149,1111
0.0777,3178
0.00909,5014
-0.148,10019
0.0908,2117
-0.295,8294
-0.138,8814
0.0568,3254
-0.296,7555
-0.2,10124
-0.314,7680
-0.0613,8533
0.00802,4833
0.251,52
-0.22,5465
0.101,3567
-0.187,7125
-0.23,8205
0.0384,4012
-0.344,9342
